Date,Open,High,Low,Close,Volume
2021-03-05,36.0,36.77,30.5,31.0,34236300
2021-03-12,31.5,37.0,31.5,35.32,12685100
2021-03-19,35.39,37.0,30.09,30.68,7799600
2021-03-26,30.68,31.33,22.56,25.7,9206600
2021-04-02,25.89,27.5,24.51,25.98,5610500
2021-04-09,26.49,27.0,23.03,23.62,4519400
2021-04-16,23.78,25.6,22.55,24.44,3869200
2021-04-23,24.36,24.55,22.08,22.8,3516900
2021-04-30,23.0,24.25,22.26,22.73,3316200
2021-05-07,22.88,24.01,20.85,22.51,2734700
2021-05-14,22.29,23.52,19.78,22.94,5617800
2021-05-21,22.6,25.0,22.32,24.28,2120100
2021-05-28,24.35,25.4,22.8,25.24,1539500
2021-06-04,25.26,25.95,25.0,25.7,1482200
2021-06-11,25.99,29.7,24.85,25.24,5947500
2021-06-18,25.39,25.64,23.81,23.86,5514300
2021-06-25,24.03,24.03,22.01,22.24,4061000
2021-07-02,22.25,22.55,20.81,21.18,2942100
2021-07-09,21.18,21.18,19.32,19.6,1919000
2021-07-16,19.58,19.88,18.16,19.38,2959700
2021-07-23,19.05,20.77,18.7,19.12,1604600
2021-07-30,19.14,19.39,16.92,16.93,2622500
2021-08-06,16.99,17.0,14.74,15.15,2652100
2021-08-13,15.13,15.57,14.47,14.7,3968100
2021-08-20,13.64,14.25,12.06,13.58,8117200
2021-08-27,13.44,14.31,12.32,14.05,12073200
2021-09-03,14.52,18.75,14.08,18.21,11338500
2021-09-10,17.93,18.15,15.91,17.5,8113100
2021-09-17,16.65,18.6,16.1,17.5,10069300
2021-09-24,17.28,17.98,16.61,16.98,6119100
2021-10-01,16.96,18.2,16.71,17.65,9671500
2021-10-08,17.71,18.89,14.8,14.81,7591000
2021-10-15,14.8,15.97,13.83,15.85,6171900
2021-10-22,15.63,17.28,14.31,17.0,8208200
2021-10-29,17.02,17.85,16.61,17.28,3480200
2021-11-05,17.23,17.35,15.81,17.0,5888600
2021-11-12,17.24,17.24,12.12,12.18,11753900
2021-11-19,12.2,12.36,10.16,10.3,7654500
2021-11-26,10.27,10.46,9.41,9.82,7849200
2021-12-03,9.8,9.89,8.24,8.75,13492200
2021-12-10,8.82,11.04,8.8,10.89,10352400
2021-12-17,10.84,11.07,7.7,8.26,15997700
2021-12-24,8.12,8.5,7.64,8.02,14141800
2021-12-31,8.14,9.13,7.51,7.85,7455400
2022-01-07,8.1,8.58,6.86,6.89,9717400
2022-01-14,6.88,7.53,6.59,7.27,9554700
2022-01-21,7.32,7.35,6.12,6.16,6868900
2022-01-28,6.13,6.57,5.72,6.2,11402200
2022-02-04,6.27,6.97,6.07,6.22,10040400
2022-02-11,6.12,7.5,6.12,6.7,10396600
2022-02-18,6.76,7.43,6.58,7.0,10351600
2022-02-25,6.88,7.32,6.11,7.02,8813100
2022-03-04,6.95,7.41,6.55,7.12,10804200
2022-03-11,7.15,8.88,7.0,8.02,9678100
2022-03-18,7.96,9.1,6.82,8.97,6397100
2022-03-25,8.9,10.33,8.82,9.54,6825900
2022-04-01,9.48,10.52,8.7,10.14,5371400
2022-04-08,10.15,10.25,8.48,8.61,5109700
2022-04-15,8.51,9.27,8.35,8.91,3902900
2022-04-22,8.83,9.05,7.27,7.72,4019000
2022-04-29,7.48,8.16,7.21,7.36,3888900
2022-05-06,7.35,7.78,6.86,7.29,5667900
2022-05-13,7.1,7.13,5.47,6.39,13178300
2022-05-20,6.15,6.15,5.33,5.69,14321700
2022-05-27,5.68,5.79,4.48,5.07,13715700
2022-06-03,4.99,5.04,4.6,5.0,8394200
2022-06-10,5.07,5.39,4.52,4.57,10176900
2022-06-17,4.34,4.42,3.89,4.4,11046600
2022-06-24,4.47,4.75,4.25,4.42,23032200
2022-07-01,4.47,4.98,4.16,4.57,8738700
2022-07-08,4.43,5.08,4.41,4.97,4355600
2022-07-15,4.9,4.99,4.59,4.84,5296200
2022-07-22,4.93,5.29,4.8,5.1,4984800
2022-07-29,5.12,5.48,5.01,5.4,6031400
2022-08-05,5.39,6.25,5.24,6.24,6212100
2022-08-12,6.37,7.79,6.18,7.77,11205400
2022-08-19,7.6,8.08,7.15,7.21,9228100
2022-08-26,7.04,7.32,6.94,7.03,5672900
2022-09-02,6.89,7.06,5.82,5.83,9698000
2022-09-09,5.86,6.25,5.46,6.24,8866200
2022-09-16,6.27,6.41,5.7,5.74,15333600
2022-09-23,5.62,5.77,4.74,4.92,8854200
2022-09-30,4.91,5.27,4.76,4.99,6755800
2022-10-07,5.07,5.25,4.35,4.35,10193600
2022-10-14,4.4,4.4,3.51,3.52,10938600
2022-10-21,3.64,3.91,3.29,3.52,8353600
2022-10-28,3.53,3.72,3.34,3.69,9395900
2022-11-04,3.67,3.93,3.16,3.25,8289400
2022-11-11,3.26,3.32,2.34,2.95,13773800
2022-11-18,2.97,3.28,2.76,2.87,11639300
2022-11-25,2.83,2.94,2.64,2.87,10007800
2022-12-02,2.83,3.05,2.71,2.82,8008600
2022-12-09,2.81,2.89,2.61,2.68,7077900
2022-12-16,2.7,2.86,2.19,2.3,8882900
2022-12-23,2.33,2.36,2.05,2.21,8174500
2022-12-30,2.18,2.49,2.1,2.46,5652700
2023-01-06,2.5,2.66,2.39,2.55,4302000
2023-01-13,2.64,3.03,2.58,3.0,7249800
2023-01-20,3.01,3.15,2.88,3.1,3278700
2023-01-27,3.11,3.43,2.92,3.4,3680100
2023-02-03,3.35,4.12,3.34,3.89,6170500
2023-02-10,3.84,5.1,3.66,4.95,17032100
2023-02-17,4.7,6.15,4.66,5.6,17386200
2023-02-24,5.45,5.6,5.07,5.24,4666600
2023-03-03,5.25,5.62,4.58,4.96,10275400
2023-03-10,4.95,5.01,3.85,3.93,5547000
2023-03-17,3.81,4.12,3.31,3.4,7756000
2023-03-24,3.4,3.86,3.22,3.36,6168500
2023-03-31,3.4,7.1,3.37,6.54,120102200
2023-04-07,6.54,7.12,6.12,6.52,10962600
2023-04-14,6.5,7.21,6.29,6.33,9888400
2023-04-21,6.3,6.51,5.53,5.83,7180400
2023-04-28,5.82,6.8,5.68,6.73,7299200
2023-05-05,6.66,7.33,6.4,7.17,7275200
2023-05-12,7.2,7.75,6.26,7.02,14655300
