Date,Open,High,Low,Close,Volume
2015-04-03,73.32,74.64,72.57,74.42,18537113
2015-04-10,74.82,78.39,74.37,78.32,24049284
2015-04-17,78.72,81.92,77.56,80.39,26129420
2015-04-24,80.48,81.3,78.62,79.63,17216268
2015-05-01,80.0,80.5,78.68,80.36,18586898
2015-05-08,80.45,81.88,76.59,77.77,27419011
2015-05-15,77.94,78.05,75.47,76.71,17823800
2015-05-22,76.29,77.3,75.68,76.88,19240107
2015-05-29,76.2,78.21,75.89,78.06,20162075
2015-06-05,78.76,79.75,76.77,78.96,24836923
2015-06-12,77.88,79.27,76.96,77.65,20587900
2015-06-19,77.11,79.37,76.98,77.84,20941100
2015-06-26,77.98,79.61,77.27,79.08,22332966
2015-07-03,77.89,78.15,75.44,75.6,16246519
2015-07-10,74.39,74.56,72.01,73.19,19440549
2015-07-17,73.35,74.25,71.59,71.8,19186819
2015-07-24,71.58,71.8,67.74,68.3,22953721
2015-07-31,67.71,71.58,67.19,70.08,26671240
2015-08-07,69.35,70.43,67.68,68.66,20342583
2015-08-14,68.97,74.12,68.71,73.28,28129319
2015-08-21,73.02,73.77,69.14,69.14,24768707
2015-08-28,66.28,72.99,64.72,71.72,41807172
2015-09-04,71.29,73.15,69.02,69.53,29469899
2015-09-11,69.34,70.44,65.71,66.79,19692577
2015-09-18,66.48,69.66,65.94,66.73,25758590
2015-09-25,67.15,67.24,64.03,66.01,23590804
2015-10-02,65.03,68.7,63.49,68.67,24080537
2015-10-09,69.36,74.51,69.3,73.47,30873184
2015-10-16,73.68,75.37,71.93,74.1,21282380
2015-10-23,73.27,74.38,71.82,73.58,21351398
2015-10-30,73.28,75.43,69.48,74.41,25430732
2015-11-06,73.86,77.23,73.75,74.97,21936192
2015-11-13,74.81,77.24,72.24,73.39,20855754
2015-11-20,73.52,76.25,72.89,73.96,18401783
2015-11-27,73.86,76.08,73.47,75.06,11150356
2015-12-04,75.13,77.04,69.52,71.6,32676550
2015-12-11,69.82,70.52,65.53,65.92,31697987
2015-12-18,65.39,69.5,64.78,65.85,30336872
2015-12-25,66.23,69.51,65.11,69.08,18174898
2016-01-01,67.71,69.38,66.31,67.5,14803967
2016-01-08,66.98,68.59,62.83,63.06,28800661
2016-01-15,62.85,64.7,58.72,62.68,42027648
2016-01-22,63.39,64.28,58.14,63.69,32484022
2016-01-29,62.9,68.71,61.63,68.71,35089452
2016-02-05,67.43,70.37,63.92,65.36,33954522
2016-02-12,63.57,67.66,63.13,66.95,29978663
2016-02-19,68.13,71.34,67.04,70.14,23301312
2016-02-26,71.78,72.07,67.29,69.8,18218892
2016-03-04,70.31,71.66,68.52,69.72,26053500
2016-03-11,70.07,70.74,66.2,69.95,28368600
2016-03-18,69.13,71.57,67.48,71.3,21035000
2016-03-25,70.89,71.36,67.25,68.51,15269100
2016-04-01,68.66,69.42,66.9,68.2,14796100
2016-04-08,68.68,71.14,66.94,70.6,17317400
2016-04-15,70.81,74.47,70.33,72.15,21980100
2016-04-22,72.15,76.12,70.7,75.85,18058200
2016-04-29,75.26,78.09,74.63,76.65,18145900
2016-05-06,76.22,76.89,73.85,76.06,25309000
2016-05-13,75.25,77.2,74.25,75.34,20485500
2016-05-20,76.15,77.08,73.82,74.96,23258300
2016-05-27,74.48,77.35,74.31,76.15,14843800
2016-06-03,76.22,76.51,74.33,74.83,12433300
2016-06-10,75.56,77.17,74.52,75.45,19884200
2016-06-17,74.84,75.69,73.82,74.95,19500200
2016-06-24,75.98,78.31,74.84,75.27,20131400
2016-07-01,74.36,76.25,72.5,75.67,21676900
2016-07-08,74.9,76.5,74.53,76.13,15325700
2016-07-15,76.33,77.66,75.93,77.32,19255700
2016-07-22,77.01,77.13,75.13,75.38,11259500
2016-07-29,74.9,75.26,73.25,74.73,16672000
2016-08-05,74.4,74.85,72.11,73.68,21981600
2016-08-12,74.19,74.77,73.13,74.46,14271800
2016-08-19,74.9,77.51,74.5,76.54,20506700
2016-08-26,76.03,77.94,75.67,77.17,17058300
2016-09-02,77.1,78.48,76.01,77.51,15740800
2016-09-09,77.6,78.17,76.0,76.11,17376400
2016-09-16,75.1,76.15,70.93,71.03,26845000
2016-09-23,71.53,72.8,69.15,69.6,23858700
2016-09-30,69.8,73.37,67.83,72.92,29173500
2016-10-07,72.92,74.0,72.09,73.54,20118800
2016-10-14,74.11,74.87,72.76,73.22,20658300
2016-10-21,73.22,75.6,71.77,74.61,24334900
2016-10-28,74.72,75.5,73.29,73.63,24686700
2016-11-04,73.64,73.69,66.56,66.59,39155600
2016-11-11,67.47,67.82,64.4,64.95,35227000
2016-11-18,64.57,70.29,64.37,68.22,35407700
2016-11-25,69.3,70.25,68.72,69.75,15267700
2016-12-02,70.18,72.96,66.85,70.85,27091000
2016-12-09,71.29,72.13,67.81,70.58,28780600
2016-12-16,72.25,73.51,69.8,73.44,27656200
2016-12-23,73.21,73.26,71.6,72.11,14939200
2016-12-30,72.1,72.54,71.02,71.23,9155200
2017-01-06,72.27,72.96,70.34,71.08,17250500
2017-01-13,70.52,70.81,68.47,69.08,25042800
2017-01-20,69.74,70.16,68.27,68.59,15575900
2017-01-27,68.29,69.25,67.61,68.95,21758800
2017-02-03,68.53,69.83,67.02,69.18,23023500
2017-02-10,68.95,69.9,65.63,68.47,28505500
2017-02-17,67.39,67.75,65.39,66.27,29659300
2017-02-24,67.0,67.25,64.19,64.89,21701900
2017-03-03,64.93,66.79,64.64,64.86,26319200
2017-03-10,64.82,65.04,61.01,62.6,31970900
2017-03-17,62.51,65.21,61.8,64.09,32708700
2017-03-24,63.76,64.07,62.43,62.83,24291100
2017-03-31,62.15,64.5,62.1,63.36,27685300
2017-04-07,63.38,64.87,62.71,62.99,20272700
2017-04-14,63.29,65.73,63.24,64.09,20118800
2017-04-21,64.14,64.15,61.48,61.86,22410800
2017-04-28,62.34,62.92,61.03,61.54,20119400
2017-05-05,61.54,61.6,57.2,60.4,36003100
2017-05-12,60.26,61.65,59.8,60.87,23609800
2017-05-19,62.07,62.12,59.52,60.64,20953900
2017-05-26,60.84,61.79,60.23,61.0,20885800
2017-06-02,60.6,60.8,58.79,60.7,25166300
2017-06-09,60.26,61.86,58.07,61.01,39821100
2017-06-16,61.5,62.16,58.91,61.83,25180000
2017-06-23,61.68,62.12,59.63,60.12,24489000
2017-06-30,60.11,60.7,59.29,59.87,19863700
2017-07-07,60.17,61.56,57.84,58.68,14475100
2017-07-14,58.55,59.93,58.38,59.82,14520300
2017-07-21,59.74,61.25,59.68,60.03,18144200
2017-07-28,60.13,63.02,59.31,62.73,18837000
2017-08-04,62.63,62.71,60.41,62.09,22029000
2017-08-11,61.91,62.14,60.93,61.13,14384800
2017-08-18,61.33,61.69,58.71,59.15,17473700
2017-08-25,59.13,59.84,58.44,59.22,12426300
2017-09-01,59.33,59.92,58.69,59.75,14427100
2017-09-08,60.0,62.05,59.78,60.24,16245200
2017-09-15,60.36,62.43,60.12,61.35,23035200
2017-09-22,61.28,63.49,61.09,62.94,17022200
2017-09-29,63.35,65.7,63.26,64.21,19054600
2017-10-06,63.81,64.55,63.47,63.91,13324700
2017-10-13,64.08,65.22,63.79,64.73,15074200
2017-10-20,65.03,65.59,64.2,65.47,16747300
2017-10-27,65.49,66.24,63.65,65.05,26433600
2017-11-03,65.05,68.75,64.28,68.26,30036400
2017-11-10,68.52,69.12,67.79,68.17,18396200
2017-11-17,68.0,68.79,66.45,68.4,21851800
2017-11-24,68.18,68.64,67.72,68.42,11422500
2017-12-01,68.17,71.09,67.66,70.24,29614100
2017-12-08,70.49,71.14,68.28,68.87,16583800
2017-12-15,68.9,71.04,68.9,70.62,26096900
2017-12-22,70.91,73.27,70.62,72.99,18502900
2017-12-29,72.97,74.06,72.97,73.66,9316200
2018-01-05,74.01,75.11,73.49,74.55,12239700
2018-01-12,74.6,76.76,74.14,76.53,21096200
2018-01-19,76.78,76.79,74.96,75.55,13680200
2018-01-26,75.74,78.09,75.74,77.18,15794100
2018-02-02,76.88,77.19,73.35,73.58,20726400
2018-02-09,72.99,73.87,65.71,68.18,29600100
2018-02-16,68.89,70.53,66.6,68.16,27293700
2018-02-23,68.88,68.88,67.19,68.32,17861500
2018-03-02,68.36,68.42,64.24,65.64,31430600
2018-03-09,65.17,66.51,62.47,63.67,35338700
2018-03-16,63.75,64.93,63.21,64.45,25543900
2018-03-23,64.07,67.38,63.13,65.49,26923100
2018-03-30,66.22,67.62,62.98,64.96,27532700
2018-04-06,64.86,68.11,63.44,67.53,35774300
2018-04-13,68.08,73.82,67.6,73.63,31941800
2018-04-20,74.45,76.88,73.78,76.47,24155100
2018-04-27,76.27,78.02,75.67,77.04,20254500
2018-05-04,76.98,78.12,75.97,77.71,19363900
2018-05-11,78.21,85.79,76.54,84.97,35657900
2018-05-18,85.23,86.24,83.54,85.42,24766700
2018-05-25,85.98,86.38,80.72,82.4,20612100
2018-06-01,82.49,86.11,81.03,85.1,17712600
2018-06-08,85.74,87.67,84.48,85.47,29999500
2018-06-15,85.89,86.76,82.84,83.33,27421100
2018-06-22,83.27,85.17,81.68,83.33,25429200
2018-06-29,83.5,84.84,80.83,83.68,20194500
2018-07-06,83.04,84.81,82.28,84.25,12541400
2018-07-13,84.7,86.6,83.1,83.64,22130300
2018-07-20,82.8,83.54,81.29,83.08,17394700
2018-07-27,83.27,84.93,82.34,83.47,21948000
2018-08-03,84.09,84.55,81.84,82.29,18323700
2018-08-10,82.45,83.13,76.1,78.78,34695500
2018-08-17,78.89,79.91,76.84,78.55,28512800
2018-08-24,78.52,80.45,78.4,79.34,14244700
2018-08-31,79.46,81.07,79.46,79.87,15009400
2018-09-07,80.04,80.06,75.85,76.65,16384300
2018-09-14,77.0,78.04,74.69,77.58,24789900
2018-09-21,77.79,79.98,77.4,79.6,22714100
2018-09-28,80.34,83.08,80.07,82.17,25894300
2018-10-05,82.32,83.35,81.03,81.4,18730200
2018-10-12,80.9,82.81,75.72,76.96,23623700
2018-10-19,74.97,75.37,71.51,72.18,34253200
2018-10-26,72.4,72.51,66.84,67.91,29040400
2018-11-02,68.28,69.14,65.65,68.31,27069500
2018-11-09,68.93,75.79,68.7,73.55,36467600
2018-11-16,74.29,74.29,69.7,73.38,26153600
2018-11-23,72.61,73.64,69.05,69.83,17380400
2018-11-30,70.47,71.7,67.51,70.27,24303300
2018-12-07,72.04,72.43,65.89,66.54,22502300
2018-12-14,65.71,67.0,62.57,65.1,30608500
2018-12-21,64.82,65.76,59.6,59.98,37920700
2018-12-28,59.42,61.46,56.83,60.47,23146300
2019-01-04,60.78,63.42,59.72,63.21,22314400
2019-01-11,63.55,66.31,62.75,66.22,24585300
2019-01-18,65.45,67.23,64.45,67.03,24951900
2019-01-25,66.35,66.7,63.94,66.53,15381200
2019-02-01,65.64,68.23,64.99,68.04,22877900
2019-02-08,67.47,67.91,63.38,64.96,18445900
2019-02-15,64.48,68.26,63.94,67.19,28358500
2019-02-22,65.69,68.31,65.64,65.93,18259100
2019-03-01,65.78,67.57,65.37,67.55,17040900
2019-03-08,67.76,67.98,62.12,62.71,21089600
2019-03-15,63.27,65.6,62.81,65.47,17576300
2019-03-22,65.76,67.79,65.13,65.24,23488300
2019-03-29,65.27,67.49,64.51,66.2,21746800
2019-04-05,66.89,68.36,65.57,68.04,15843100
2019-04-12,68.35,68.83,64.04,65.33,22501900
2019-04-19,65.16,65.25,61.79,61.82,37922200
2019-04-26,62.35,63.42,59.76,61.31,71089800
2019-05-03,60.06,60.6,56.95,57.95,73886000
2019-05-10,57.33,60.73,54.5,54.97,118910500
2019-05-17,54.57,55.01,52.62,52.76,58416100
2019-05-24,52.87,53.98,51.29,53.47,71362000
2019-05-31,53.68,53.78,49.69,49.77,45817100
2019-06-07,50.3,50.6,47.0,47.84,61923000
2019-06-14,48.08,49.83,47.7,49.31,46167200
2019-06-21,49.29,51.63,48.96,50.61,43494100
2019-06-28,50.33,51.25,49.34,50.28,33387400
2019-07-05,51.0,51.36,47.95,49.28,27460300
2019-07-12,49.25,52.11,48.7,51.72,35298300
2019-07-19,51.82,52.42,50.62,52.33,43420700
2019-07-26,52.35,52.7,51.03,51.59,29994100
2019-08-02,51.57,54.05,50.3,51.18,52451300
2019-08-09,50.25,50.46,44.88,47.13,73489500
2019-08-16,46.95,46.98,43.08,44.57,65910000
2019-08-23,44.79,45.96,42.17,42.37,44139400
2019-08-30,42.94,44.11,41.83,43.48,36244300
2019-09-06,42.86,45.81,42.37,45.46,32393700
2019-09-13,45.0,46.9,44.53,45.09,47056700
2019-09-20,47.61,48.85,44.4,45.7,68366400
2019-09-27,45.36,45.94,44.41,45.14,27601300
2019-10-04,45.0,45.42,42.26,43.07,28579300
2019-10-11,42.9,43.04,40.45,41.12,38310500
2019-10-18,41.03,41.31,39.97,40.45,38263600
2019-10-25,40.57,43.1,40.28,42.53,37118200
2019-11-01,42.67,42.99,40.11,42.29,38116500
2019-11-08,42.99,44.62,38.3,40.1,78728400
2019-11-15,39.13,39.34,37.6,38.95,59452200
2019-11-22,39.15,39.94,37.7,39.58,54741700
2019-11-29,39.77,40.57,38.31,38.57,35348900
2019-12-06,38.84,39.16,37.54,39.01,52529100
2019-12-13,38.03,38.81,37.25,37.71,57035700
2019-12-20,37.99,39.23,37.98,39.01,57307300
2019-12-27,39.01,40.58,38.99,40.16,27816100
2020-01-03,40.25,44.25,40.16,43.61,49023300
2020-01-10,43.98,46.21,43.69,45.9,66170400
2020-01-17,46.26,47.58,45.52,45.83,51862600
2020-01-24,45.37,45.45,41.84,42.22,43354800
2020-01-31,41.02,41.66,39.42,39.72,48709000
2020-02-07,39.7,42.45,39.44,41.89,36432300
2020-02-14,41.49,42.61,40.18,41.6,43065800
2020-02-21,41.6,43.6,40.98,42.12,33705500
2020-02-28,40.5,40.55,29.64,32.74,104929700
2020-03-06,33.58,34.63,26.27,26.86,109409000
2020-03-13,15.58,19.19,9.44,14.26,423943800
2020-03-20,11.4,13.68,9.0,10.23,202224200
2020-03-27,10.25,15.29,9.47,11.61,239143500
2020-04-03,11.32,14.2,10.12,13.0,291327100
2020-04-10,12.6,18.27,12.43,15.36,266249400
2020-04-17,15.96,16.02,12.16,13.63,223968600
2020-04-24,12.04,14.5,11.5,13.81,278143100
2020-05-01,13.35,17.24,12.75,15.24,227128800
2020-05-08,14.37,16.81,13.39,15.02,211179200
2020-05-15,14.89,15.38,12.75,13.82,145081600
2020-05-22,14.8,15.23,13.67,14.13,159801200
2020-05-29,14.7,14.77,12.72,12.95,160588800
2020-06-05,12.9,20.85,12.67,20.79,276173700
2020-06-12,23.53,24.5,17.26,18.5,360163900
2020-06-19,17.34,20.96,17.1,19.71,248324700
2020-06-26,19.85,20.52,17.35,17.69,151455000
2020-07-03,17.85,18.83,17.27,17.78,112019600
2020-07-10,18.21,18.54,15.95,16.71,104242000
2020-07-17,16.76,17.73,15.75,16.28,100736500
2020-07-24,16.25,18.03,15.68,16.74,109518500
2020-07-31,16.73,17.04,15.41,15.74,87982200
2020-08-07,15.75,16.49,14.96,15.45,108868100
2020-08-14,15.67,16.74,14.36,14.64,150113600
2020-08-21,14.47,14.51,12.93,13.16,110546300
2020-08-28,13.13,14.03,12.72,13.13,89042800
2020-09-04,13.16,13.17,12.12,12.25,108804700
2020-09-11,11.87,11.98,9.83,10.22,137390300
2020-09-18,10.22,12.09,9.93,11.65,181629000
2020-09-25,11.09,11.59,10.11,10.22,118668600
2020-10-02,10.42,10.65,9.23,9.87,137074500
2020-10-09,10.1,11.34,10.01,10.82,125743300
2020-10-16,10.64,10.96,10.0,10.09,92307100
2020-10-23,10.19,10.36,9.66,10.02,107349800
2020-10-30,9.79,9.84,8.52,9.13,130280100
2020-11-06,9.26,10.62,9.03,10.01,126936700
2020-11-13,11.55,12.7,11.19,11.8,156902000
2020-11-20,12.5,13.72,12.25,13.49,113018100
2020-11-27,13.85,17.27,13.83,16.56,142290800
2020-12-04,16.24,18.61,14.77,18.59,174869200
2020-12-11,17.83,21.61,17.55,20.89,193040000
2020-12-18,21.43,21.65,18.45,18.52,135896000
2020-12-25,17.01,18.39,16.88,17.67,84391200
2021-01-01,17.72,18.14,17.09,17.31,64402300
2021-01-08,17.75,21.15,17.32,20.08,135525200
2021-01-15,19.25,24.6,19.0,22.39,126554800
2021-01-22,23.05,23.75,20.26,21.49,73615400
2021-01-29,21.0,22.42,19.46,20.06,96635100
2021-02-05,20.63,23.14,19.8,22.56,73984800
2021-02-12,23.02,25.79,23.0,25.39,102282300
2021-02-19,26.66,27.18,25.03,25.42,64590300
2021-02-26,25.99,28.68,24.42,26.61,115966500
2021-03-05,27.37,32.52,27.01,31.23,134642900
2021-03-12,31.68,31.9,28.21,30.63,108753100
2021-03-19,30.04,30.31,26.51,28.1,106649500
2021-03-26,27.82,28.23,25.35,27.76,84846700
2021-04-02,27.31,27.82,26.36,27.38,67007000
2021-04-09,27.0,27.15,24.24,24.59,91958200
2021-04-16,24.78,26.05,23.92,24.38,77921600
2021-04-23,24.48,25.11,22.4,24.65,76672700
2021-04-30,24.43,26.98,24.41,25.36,80205500
2021-05-07,25.65,27.54,25.12,27.39,80368300
2021-05-14,27.71,28.13,23.32,25.1,116961200
2021-05-21,25.24,26.83,24.49,25.12,79148100
2021-05-28,25.38,26.25,24.55,25.96,70977200
2021-06-04,26.67,30.05,26.66,29.14,91613900
2021-06-11,29.32,29.79,27.92,28.33,62610500
2021-06-18,28.66,30.72,27.82,27.99,133017200
2021-06-25,28.16,33.01,28.16,32.91,98291200
2021-07-02,32.61,33.5,30.99,32.58,79615700
2021-07-09,32.51,32.57,28.5,30.24,71193400
2021-07-16,29.63,30.63,25.87,25.94,81906800
2021-07-23,24.39,27.55,23.9,26.58,87039200
2021-07-30,26.69,27.6,25.89,26.1,62560400
2021-08-06,26.1,27.08,25.22,26.39,75714200
2021-08-13,25.62,26.98,25.34,25.79,61810600
2021-08-20,25.2,25.26,21.62,21.95,92503000
2021-08-27,22.88,25.79,22.8,25.66,71748400
2021-09-03,25.83,26.93,24.86,25.92,77539900
2021-09-10,25.65,26.38,24.39,24.98,47598600
2021-09-17,25.4,28.08,25.39,26.94,102847300
2021-09-24,25.74,28.45,24.96,28.1,86031400
2021-10-01,29.02,31.17,29.0,31.15,110805800
2021-10-08,31.64,33.98,31.26,33.63,117492700
2021-10-15,34.22,34.57,31.56,31.66,84469400
2021-10-22,32.92,33.97,32.21,33.93,84413900
2021-10-29,34.56,35.75,33.11,33.53,80162300
2021-11-05,34.32,35.35,32.73,33.42,78714100
2021-11-12,33.92,35.08,31.43,32.08,65954900
2021-11-19,31.62,32.35,28.81,29.12,67133500
2021-11-26,29.09,32.48,27.85,29.7,72328900
2021-12-03,30.8,31.27,27.82,29.16,89254700
2021-12-10,29.75,31.49,29.0,30.77,55090300
2021-12-17,30.2,30.39,27.23,28.04,82063200
2021-12-24,26.9,29.37,26.05,28.85,51215000
2021-12-31,28.61,30.38,28.2,28.99,47413900
2022-01-07,29.21,33.82,29.15,33.21,96356500
2022-01-14,33.09,35.62,31.93,35.51,87083100
2022-01-21,36.09,37.0,33.1,33.75,77323900
2022-01-28,32.6,38.93,31.37,37.57,115495900
2022-02-04,37.69,42.31,36.51,40.8,98051700
2022-02-11,40.47,43.16,38.97,42.98,94497700
2022-02-18,42.6,42.77,38.81,39.56,93003500
2022-02-25,41.0,41.09,37.56,38.74,98090800
2022-03-04,38.53,56.45,38.24,56.15,315541800
2022-03-11,57.71,59.6,51.03,57.95,427454200
2022-03-18,55.75,58.2,52.28,56.24,246468500
2022-03-25,57.98,63.24,57.18,58.71,193375200
2022-04-01,56.82,59.84,54.51,58.11,133341400
2022-04-08,58.71,62.09,55.1,61.8,136228300
2022-04-15,60.55,61.36,57.6,59.34,94586700
2022-04-22,60.21,63.56,56.32,56.62,126022200
2022-04-29,54.62,57.72,51.53,55.09,120658500
2022-05-06,54.53,64.98,53.95,64.94,163855100
2022-05-13,63.11,64.47,56.91,64.08,166088600
2022-05-20,64.64,69.17,61.47,63.26,147086300
2022-05-27,63.57,71.28,62.8,70.86,106047700
2022-06-03,73.07,74.04,68.18,70.29,116721800
2022-06-10,70.1,71.47,62.9,63.87,133067900
2022-06-17,61.37,64.12,54.35,55.68,187520800
2022-06-24,57.91,59.93,54.3,57.52,151019800
2022-07-01,58.21,62.97,57.08,60.44,152880600
2022-07-08,59.06,63.23,56.69,60.67,121373100
2022-07-15,59.58,59.99,55.91,58.71,106541300
2022-07-22,60.05,63.77,59.58,61.06,90210900
2022-07-29,61.84,66.05,61.1,65.75,90510400
2022-08-05,65.17,65.81,56.83,59.01,124485700
2022-08-12,58.34,66.16,58.34,65.73,88128100
2022-08-19,63.41,72.49,62.46,71.29,145002800
2022-08-26,68.6,76.1,67.27,73.55,190545500
2022-09-02,73.2,77.13,67.84,68.77,122024300
2022-09-09,68.99,69.51,64.03,65.61,87925800
2022-09-16,67.0,67.81,63.01,64.41,162036000
2022-09-23,62.6,65.96,58.04,58.73,108536900
2022-09-30,58.31,63.12,57.43,61.45,125508400
2022-10-07,63.72,72.04,63.4,69.8,128655400
2022-10-14,69.1,70.28,62.73,66.68,104636500
2022-10-21,68.08,71.66,65.86,71.26,79758200
2022-10-28,70.81,74.17,69.85,71.84,64606800
2022-11-04,71.2,75.76,69.9,73.27,71686300
2022-11-11,74.05,76.11,67.14,74.33,97565400
2022-11-18,73.75,75.78,68.52,71.25,73723300
2022-11-25,69.11,72.88,66.77,70.28,55419400
2022-12-02,68.15,70.53,67.34,68.21,58257800
2022-12-09,69.22,70.25,62.52,62.6,65288300
2022-12-16,62.9,65.76,61.27,62.53,69569400
2022-12-23,63.0,63.98,60.61,63.95,56415200
2022-12-30,64.31,64.83,61.29,62.99,34893800
2023-01-06,62.3,64.63,59.7,63.75,45867500
2023-01-13,64.87,66.58,63.12,65.31,46299200
2023-01-20,65.42,67.11,63.78,66.91,43904100
2023-01-27,67.31,67.93,62.31,66.54,49789300
2023-02-03,65.82,65.96,61.01,61.24,63475400
2023-02-10,61.5,65.77,60.21,65.63,52710200
2023-02-17,65.01,66.99,60.05,60.73,70579800
2023-02-24,60.54,61.28,57.96,58.98,54364200
2023-03-03,59.27,61.7,58.37,61.25,97710800
2023-03-10,61.06,63.58,59.43,59.86,76431900
2023-03-17,58.36,61.63,55.51,58.48,110847100
2023-03-24,58.51,60.75,57.03,58.18,74132300
2023-03-31,58.7,62.98,58.03,62.43,67252800
2023-04-07,65.74,66.47,62.97,63.04,63199900
2023-04-14,63.2,65.21,63.17,64.48,44156200
2023-04-21,64.38,64.41,61.39,61.87,39787700
2023-04-28,61.87,63.07,59.92,61.53,43640600
2023-05-05,60.98,61.88,58.28,60.69,53897800
2023-05-12,60.62,61.15,56.31,58.09,76025700
2023-05-19,58.4,60.23,57.77,59.13,56534100
2023-05-26,59.1,60.35,58.27,58.94,50059100
2023-06-02,58.11,59.99,57.52,59.69,52472700
2023-06-09,60.79,60.79,58.49,59.32,44873900
2023-06-16,58.66,60.11,57.97,58.15,55544200
2023-06-23,58.15,58.15,55.89,56.07,53316900
2023-06-30,56.15,59.45,56.1,58.8,51667900
2023-07-07,58.95,59.58,57.17,58.61,33595000
2023-07-14,58.52,61.91,58.3,59.38,54058200
2023-07-21,59.1,60.95,58.97,60.74,37292200
2023-07-28,61.21,63.97,61.06,62.08,43126900
2023-08-04,62.55,64.53,60.03,63.52,53923200
2023-08-11,63.82,66.03,62.44,65.84,51667800
2023-08-18,65.54,65.8,62.45,64.07,38997900
2023-08-25,64.68,64.97,60.84,61.84,33742300
2023-09-01,62.17,64.85,61.75,64.57,35008900
2023-09-08,65.21,66.9,64.44,65.28,36742700
2023-09-15,65.7,67.67,63.56,66.15,61501300
2023-09-22,67.13,67.21,62.54,62.89,40039400
2023-09-29,62.65,66.36,62.49,64.88,43329500
2023-10-06,65.0,65.07,59.1,61.4,57322000
2023-10-13,63.56,64.77,62.61,64.37,60651900
2023-10-20,64.59,66.95,64.13,65.18,41069200
2023-10-27,64.2,64.23,61.87,62.23,48086900
2023-11-03,62.15,63.44,60.95,63.01,35176300
2023-11-10,63.3,63.37,60.02,60.98,47176400
2023-11-17,61.09,62.22,59.62,60.96,40541700
2023-11-24,61.44,62.01,59.24,60.16,27259600
2023-12-01,59.97,60.72,58.78,58.83,48415700
2023-12-08,58.43,58.7,55.84,56.47,52460000
2023-12-15,56.37,59.68,55.12,58.56,92033600
2023-12-22,59.69,61.94,58.84,60.81,52962000
2023-12-29,61.3,61.8,59.55,59.71,26466900
2024-01-05,60.18,61.05,58.59,58.94,32165600
2024-01-12,57.97,58.64,56.67,58.06,50440400
2024-01-19,57.85,57.98,55.53,56.42,44855500
2024-01-26,56.42,58.43,55.94,58.4,38714900
2024-02-02,58.35,58.99,56.73,57.04,44145300
