Date,Open,High,Low,Close,Volume
2015-04-03,8.87,9.24,8.69,8.97,6300800
2015-04-10,9.27,9.42,8.86,9.39,8489400
2015-04-17,9.38,9.69,9.26,9.29,8435800
2015-04-24,9.18,9.51,9.08,9.18,6588800
2015-05-01,9.2,9.87,9.2,9.5,8728400
2015-05-08,9.68,9.93,9.13,9.49,7007700
2015-05-15,9.49,10.44,9.49,10.15,10030800
2015-05-22,10.26,10.44,9.67,9.78,7167500
2015-05-29,9.55,9.6,9.08,9.44,7670500
2015-06-05,9.56,9.62,9.12,9.21,5792600
2015-06-12,9.26,9.33,8.91,8.97,7500700
2015-06-19,9.06,10.04,9.05,9.38,35144600
2015-06-26,9.44,9.55,8.91,8.94,9251300
2015-07-03,8.9,9.02,8.25,8.49,8423100
2015-07-10,8.41,8.59,7.8,7.91,12015900
2015-07-17,7.85,8.11,7.33,7.36,9028700
2015-07-24,7.13,7.21,5.93,6.44,22538800
2015-07-31,6.36,6.68,6.13,6.24,16876500
2015-08-07,6.19,6.36,5.9,6.0,13776300
2015-08-14,6.07,7.34,5.95,6.92,18503900
2015-08-21,7.03,7.59,6.81,7.14,14364400
2015-08-28,6.9,7.01,5.85,6.73,17256800
2015-09-04,6.94,7.1,6.45,6.62,11562500
2015-09-11,6.67,6.83,5.95,6.3,8174700
2015-09-18,6.27,7.24,6.13,7.1,16935500
2015-09-25,6.95,7.1,6.23,6.57,11946300
2015-10-02,6.4,6.79,6.1,6.78,11231100
2015-10-09,6.8,7.98,6.75,7.83,17037300
2015-10-16,7.96,8.7,7.37,8.45,14915600
2015-10-23,8.42,8.46,7.76,8.26,11526300
2015-10-30,8.23,8.8,7.52,7.57,11369500
2015-11-06,7.46,7.83,6.82,6.91,11812700
2015-11-13,6.91,7.06,6.54,6.9,9442600
2015-11-20,6.94,7.09,6.37,6.66,11445000
2015-11-27,6.67,7.1,6.59,6.82,5974600
2015-12-04,6.89,7.59,6.87,7.59,8638600
2015-12-11,7.45,7.55,6.95,7.14,7933400
2015-12-18,7.09,7.11,6.22,6.33,15076500
2015-12-25,6.5,6.93,6.41,6.86,5043200
2016-01-01,6.81,6.82,6.42,6.5,4917400
2016-01-08,6.67,7.18,6.58,6.92,9411500
2016-01-15,6.95,6.97,5.94,6.06,11441000
2016-01-22,6.12,6.14,5.38,5.93,9861200
2016-01-29,6.07,6.7,5.92,6.62,11166100
2016-02-05,6.67,8.46,6.66,8.44,14998600
2016-02-12,8.61,8.88,7.57,8.86,22516100
2016-02-19,8.58,9.67,8.29,9.26,14669200
2016-02-26,9.21,9.82,9.08,9.62,13817900
2016-03-04,9.59,10.89,9.07,10.14,15990000
2016-03-11,10.31,10.73,9.63,10.26,15347700
2016-03-18,10.65,11.25,9.78,10.74,17358000
2016-03-25,10.69,11.3,10.07,10.65,9281100
2016-04-01,10.7,11.28,10.32,10.95,9313200
2016-04-08,10.92,12.13,10.49,11.98,11522300
2016-04-15,12.35,13.08,12.0,12.74,14928100
2016-04-22,12.8,14.59,12.63,13.83,17047600
2016-04-29,13.81,15.78,13.67,15.67,13920800
2016-05-06,15.84,15.85,13.97,15.1,15785200
2016-05-13,14.75,15.94,14.03,15.65,15244200
2016-05-20,16.0,16.49,13.76,14.63,18680000
2016-05-27,14.36,14.98,13.46,13.67,13477700
2016-06-03,13.56,15.58,13.4,15.49,10708700
2016-06-10,15.53,15.94,14.96,15.18,14579200
2016-06-17,15.47,16.05,14.57,15.03,42418100
2016-06-24,14.62,16.1,14.38,15.27,16306200
2016-07-01,15.45,17.55,14.32,17.4,21688700
2016-07-08,17.78,18.42,17.33,18.36,16228100
2016-07-15,18.23,19.3,18.03,19.02,13263500
2016-07-22,18.85,19.11,17.51,18.19,11492700
2016-07-29,17.81,19.63,17.01,19.5,11369200
2016-08-05,19.65,20.31,18.89,19.22,10760000
2016-08-12,19.26,21.04,19.26,20.61,11881200
2016-08-19,20.81,21.59,20.18,20.77,13026500
2016-08-26,20.04,20.57,17.44,17.97,19495400
2016-09-02,17.8,18.98,17.17,18.85,15018100
2016-09-09,19.16,19.85,17.62,17.82,12345100
2016-09-16,17.44,18.52,16.71,16.92,17518900
2016-09-23,17.22,18.89,16.91,17.79,12798600
2016-09-30,18.05,18.49,17.22,17.62,11972500
2016-10-07,17.75,18.08,15.03,15.51,14941500
2016-10-14,15.66,16.09,15.16,15.48,8294000
2016-10-21,15.65,17.15,15.52,16.88,7892900
2016-10-28,17.03,17.15,15.1,15.43,11900300
2016-11-04,15.53,17.09,15.34,16.5,13408200
2016-11-11,16.13,17.54,14.31,14.42,22573200
2016-11-18,14.04,17.39,13.8,16.25,19183200
2016-11-25,16.6,17.76,16.25,16.43,9378700
2016-12-02,16.68,17.98,16.05,17.91,10614100
2016-12-09,17.6,18.37,16.39,16.57,11223000
2016-12-16,16.78,17.34,14.62,14.71,14924200
2016-12-23,14.61,14.9,14.05,14.3,8179800
2016-12-30,14.42,16.19,14.4,15.07,8283400
2017-01-06,15.14,17.56,15.14,16.86,9330100
2017-01-13,17.02,17.62,16.6,17.46,8409500
2017-01-20,18.14,19.02,17.88,18.39,8640700
2017-01-27,18.67,19.28,18.02,18.84,7452300
