Date,Open,High,Low,Close,Volume
2015-03-27,65.95,67.14,64.61,65.97,233300
2015-04-03,66.12,67.83,65.35,66.99,236400
2015-04-10,66.73,67.65,66.16,66.36,208800
2015-04-17,65.96,66.5,65.0,65.18,201400
2015-04-24,65.44,74.37,64.75,74.07,305300
2015-05-01,74.53,76.64,70.65,71.11,323100
2015-05-08,70.66,74.76,70.63,73.02,286700
2015-05-15,72.76,74.7,72.3,74.05,300400
2015-05-22,73.6,73.76,71.26,72.19,284200
2015-05-29,71.78,73.28,70.89,71.2,203600
2015-06-05,71.38,72.47,68.99,69.1,269900
2015-06-12,69.41,71.46,68.51,70.83,365800
2015-06-19,70.06,72.4,69.55,69.8,398000
2015-06-26,69.95,70.87,69.26,69.94,280500
2015-07-03,69.13,72.55,68.25,72.01,285600
2015-07-10,71.19,75.49,70.06,73.59,272900
2015-07-17,73.82,77.3,72.95,77.3,284400
2015-07-24,77.24,79.09,75.4,76.55,342800
2015-07-31,76.58,79.31,75.35,78.88,481700
2015-08-07,78.82,83.88,78.67,83.57,387700
2015-08-14,83.51,83.77,80.75,82.45,293000
2015-08-21,82.25,82.67,74.66,74.7,374100
2015-08-28,72.12,81.16,70.84,80.59,597700
2015-09-04,79.98,84.26,79.12,82.8,499300
2015-09-11,83.9,87.19,83.72,86.84,480900
2015-09-18,86.68,90.33,86.58,88.73,435500
2015-09-25,89.25,89.35,84.9,86.15,496700
2015-10-02,85.33,87.89,82.55,87.46,439600
2015-10-09,87.95,90.4,87.31,89.71,456600
2015-10-16,89.93,91.32,88.37,89.96,343800
2015-10-23,89.46,93.43,86.0,87.76,505100
2015-10-30,88.52,92.61,88.41,91.07,312800
2015-11-06,90.55,94.85,90.08,92.53,375900
2015-11-13,92.31,93.69,90.5,92.42,340300
2015-11-20,92.19,97.05,91.32,96.58,361000
2015-11-27,96.54,96.76,93.21,93.84,246100
2015-12-04,93.55,93.96,87.89,88.3,258900
2015-12-11,87.91,94.25,86.21,86.72,353600
2015-12-18,86.75,95.63,86.11,93.33,332900
2015-12-25,93.73,93.73,89.67,91.33,228100
2016-01-01,90.89,91.82,87.98,88.28,145800
2016-01-08,86.64,86.64,79.02,80.06,563300
2016-01-15,80.06,82.83,78.92,79.3,381800
2016-01-22,80.6,80.6,76.65,78.15,317200
2016-01-29,78.2,84.29,77.4,84.04,358100
2016-02-05,83.16,84.35,79.65,80.84,269000
2016-02-12,80.2,80.38,76.8,79.73,156200
2016-02-19,80.08,83.96,79.78,81.46,155000
2016-02-26,82.02,83.06,77.24,79.55,286200
2016-03-04,79.71,81.4,78.56,79.27,486600
2016-03-11,78.96,83.03,77.67,82.7,390500
2016-03-18,82.97,86.98,80.63,85.88,636500
2016-03-25,85.95,86.6,84.48,84.74,282000
2016-04-01,85.23,89.44,85.19,88.42,552300
2016-04-08,88.17,91.69,86.96,90.92,442200
2016-04-15,92.34,92.97,89.21,90.07,328100
2016-04-22,90.12,93.68,88.32,90.04,309900
2016-04-29,89.85,94.48,89.28,94.42,345200
2016-05-06,94.31,100.78,94.31,97.22,729100
2016-05-13,96.99,102.12,95.23,101.14,345500
2016-05-20,99.08,103.84,98.95,100.31,323400
2016-05-27,100.57,100.57,97.46,100.3,200900
2016-06-03,100.35,102.86,95.59,99.08,300400
2016-06-10,97.27,101.53,96.54,97.41,284100
2016-06-17,95.3,98.89,93.15,98.26,367300
2016-06-24,99.43,104.8,98.0,98.04,334300
2016-07-01,97.31,104.1,94.78,103.4,271600
2016-07-08,102.71,104.14,97.84,102.97,237800
2016-07-15,103.45,105.89,102.41,103.9,193600
2016-07-22,103.42,106.98,103.22,106.07,237600
2016-07-29,106.42,106.42,97.22,98.27,342200
2016-08-05,97.64,98.6,95.11,98.35,280600
2016-08-12,98.58,104.69,98.58,103.31,311600
2016-08-19,103.82,108.24,103.42,106.67,221700
2016-08-26,105.69,105.69,98.82,100.46,187300
2016-09-02,100.62,101.29,97.56,101.06,177400
2016-09-09,101.66,104.19,95.92,96.21,198200
2016-09-16,96.12,96.5,88.75,89.07,362400
2016-09-23,89.78,91.63,87.13,90.7,358400
2016-09-30,90.15,95.92,89.1,94.97,398400
2016-10-07,94.83,99.12,93.09,96.99,279800
2016-10-14,97.79,101.77,96.58,98.9,300300
2016-10-21,98.92,104.6,97.13,104.27,412200
2016-10-28,106.11,107.99,95.6,96.72,627900
2016-11-04,97.47,97.81,91.92,93.12,430700
2016-11-11,96.7,99.99,77.46,78.43,994800
2016-11-18,79.35,86.53,78.72,84.79,712200
2016-11-25,85.12,87.58,84.41,86.17,299800
2016-12-02,86.33,87.18,79.36,79.65,700400
2016-12-09,80.22,86.73,80.0,86.31,716900
2016-12-16,86.47,88.71,82.55,83.31,624300
2016-12-23,83.03,85.32,80.45,80.87,293300
2016-12-30,80.95,83.03,80.41,82.52,156600
2017-01-06,83.4,83.4,77.68,78.16,370300
2017-01-13,78.39,78.39,73.04,75.94,647000
2017-01-20,77.3,77.36,72.52,75.38,608500
2017-01-27,76.91,80.74,76.01,78.76,853700
2017-02-03,78.74,80.42,76.71,80.21,376900
2017-02-10,81.16,86.17,78.0,84.74,547200
2017-02-17,84.76,86.56,82.36,86.19,293300
2017-02-24,86.0,87.91,83.32,85.06,259900
2017-03-03,85.26,89.98,85.12,89.16,343300
2017-03-10,88.72,91.42,86.35,88.94,263900
2017-03-17,89.01,92.6,86.08,91.83,455700
2017-03-24,91.9,98.4,90.78,97.76,494900
2017-03-31,97.33,98.9,95.41,97.1,364200
2017-04-07,96.99,101.63,96.99,100.9,380700
2017-04-14,101.38,101.98,97.07,100.6,199100
2017-04-21,101.95,103.91,98.85,100.42,379200
2017-04-28,102.23,102.99,98.62,102.89,478800
2017-05-05,104.17,110.46,101.59,103.53,393600
2017-05-12,104.31,108.34,101.7,107.32,317700
2017-05-19,107.73,109.39,101.22,107.52,361400
2017-05-26,108.16,109.2,102.72,107.08,280600
2017-06-02,105.49,105.7,99.27,101.77,403700
2017-06-09,101.75,104.5,100.62,101.34,221600
2017-06-16,100.98,109.36,100.95,105.7,457400
2017-06-23,106.34,110.95,105.57,109.74,349000
2017-06-30,110.45,114.44,107.57,112.3,280500
2017-07-07,113.03,113.03,106.97,111.15,159400
2017-07-14,111.21,117.35,110.53,116.24,275300
2017-07-21,116.24,119.1,115.41,117.23,303000
2017-07-28,117.9,119.87,112.73,114.29,251700
2017-08-04,114.76,115.58,112.78,114.92,221500
2017-08-11,114.95,114.99,106.45,110.36,318700
2017-08-18,111.0,112.95,108.44,110.39,300500
2017-08-25,110.11,111.8,108.71,111.43,244400
2017-09-01,111.57,112.28,109.42,110.91,376600
2017-09-08,110.9,112.06,107.19,108.33,291500
2017-09-15,108.96,109.66,105.55,108.2,271100
2017-09-22,108.21,108.89,105.15,108.46,214200
2017-09-29,108.8,108.8,100.83,102.53,474200
2017-10-06,102.15,103.98,99.5,99.58,321400
2017-10-13,99.77,100.38,95.52,97.13,332800
2017-10-20,97.29,99.26,95.36,96.0,387000
2017-10-27,95.48,96.84,93.09,95.45,439900
2017-11-03,95.33,96.4,90.6,95.21,422500
2017-11-10,95.25,97.31,92.0,92.13,323600
2017-11-17,91.62,91.83,87.66,91.63,381200
2017-11-24,92.14,97.0,90.62,96.89,352400
2017-12-01,97.32,104.73,94.38,104.58,673900
2017-12-08,104.86,104.86,102.29,103.26,549500
2017-12-15,103.59,106.88,102.96,106.16,529000
2017-12-22,107.18,108.55,100.81,101.46,392000
2017-12-29,101.57,104.6,100.68,102.76,242000
2018-01-05,103.18,107.64,102.97,107.64,337000
2018-01-12,108.06,108.06,100.76,102.12,319400
2018-01-19,103.44,109.27,102.73,108.4,237400
2018-01-26,108.73,110.73,104.66,107.45,363100
2018-02-02,107.5,107.68,102.59,102.93,281800
2018-02-09,102.6,104.42,93.81,96.7,445100
2018-02-16,98.7,102.15,96.01,99.49,269700
2018-02-23,101.33,104.31,99.18,100.02,291100
2018-03-02,100.65,100.97,94.05,95.98,601500
2018-03-09,95.19,100.97,95.0,99.68,340200
2018-03-16,100.0,102.05,97.71,98.91,530200
2018-03-23,98.9,102.8,96.39,96.83,370800
2018-03-30,97.85,100.8,97.29,99.64,257200
2018-04-06,100.02,104.95,98.41,104.03,362300
2018-04-13,104.04,108.31,103.5,107.86,312200
2018-04-20,108.77,111.6,103.65,105.45,308100
2018-04-27,105.77,106.27,102.7,105.04,246100
2018-05-04,105.13,105.13,96.22,96.49,326600
2018-05-11,96.99,97.25,92.04,92.54,426900
2018-05-18,92.72,92.92,85.48,85.78,534800
2018-05-25,86.19,86.79,83.35,84.66,496100
2018-06-01,84.66,86.75,82.19,84.55,399100
2018-06-08,84.47,86.04,82.3,85.87,400400
2018-06-15,85.47,89.13,84.73,89.13,436600
2018-06-22,88.27,93.19,87.53,92.58,440400
2018-06-29,92.65,95.78,92.26,92.91,467300
2018-07-06,92.37,100.8,89.69,99.47,275100
2018-07-13,99.45,100.89,98.03,99.71,396500
2018-07-20,99.17,101.02,97.85,99.56,464400
2018-07-27,99.47,104.31,98.52,99.87,279800
2018-08-03,99.39,101.79,93.27,97.7,450300
2018-08-10,97.49,97.8,93.01,93.48,215400
2018-08-17,93.64,94.99,90.79,92.08,324400
2018-08-24,92.37,99.27,91.4,98.96,221400
2018-08-31,99.73,104.56,99.73,103.31,295700
2018-09-07,103.0,103.0,95.74,101.43,268100
2018-09-14,101.51,108.2,99.27,105.99,290100
2018-09-21,106.01,107.5,103.78,105.12,426500
2018-09-28,105.19,109.72,103.96,109.18,325400
2018-10-05,109.2,111.27,104.21,106.39,205100
2018-10-12,106.85,106.91,99.7,101.23,274300
2018-10-19,100.97,105.24,96.8,98.08,235100
2018-10-26,98.72,98.72,92.87,94.13,331700
2018-11-02,95.37,95.37,79.54,84.99,424000
2018-11-09,85.03,90.4,72.6,76.81,487400
2018-11-16,76.7,77.0,70.89,73.83,514600
2018-11-23,73.69,74.66,69.07,69.37,258400
2018-11-30,69.54,71.08,64.45,69.62,335600
2018-12-07,70.72,73.78,68.71,71.76,355200
2018-12-14,71.38,73.03,69.37,70.86,331800
2018-12-21,70.4,82.33,70.4,81.03,952700
2018-12-28,80.33,83.92,78.85,83.04,228900
2019-01-04,83.0,86.84,80.73,86.37,224100
2019-01-11,88.07,92.9,85.76,91.62,406200
2019-01-18,91.36,94.67,90.25,93.95,250800
2019-01-25,93.86,93.86,88.59,89.83,297200
2019-02-01,89.47,91.49,86.13,89.85,354300
2019-02-08,89.67,93.32,88.14,88.42,186300
2019-02-15,88.3,89.72,85.87,88.2,303900
2019-02-22,88.11,98.62,87.88,97.49,368200
2019-03-01,98.34,98.48,91.37,91.95,368400
2019-03-08,92.1,93.12,85.58,88.19,329300
2019-03-15,88.57,90.09,85.02,88.63,584300
2019-03-22,89.07,92.83,87.4,88.05,407100
2019-03-29,88.14,90.73,86.89,88.97,396300
2019-04-05,89.82,98.46,89.23,98.07,468000
2019-04-12,97.6,102.64,97.6,101.29,406200
2019-04-19,101.81,104.53,100.81,103.24,241900
2019-04-26,102.39,103.98,99.04,100.91,371400
2019-05-03,101.16,102.24,98.2,99.71,298000
2019-05-10,98.01,100.49,95.42,98.7,263400
2019-05-17,96.86,101.68,96.33,100.5,286000
2019-05-24,100.1,104.97,100.1,102.19,178000
2019-05-31,102.29,103.79,95.59,97.88,209900
2019-06-07,98.29,102.04,95.58,101.19,278200
2019-06-14,101.51,108.7,101.51,105.57,241300
2019-06-21,105.26,109.18,103.53,105.7,251100
2019-06-28,105.73,108.9,103.86,104.31,233900
2019-07-05,105.75,108.53,104.21,107.72,118900
2019-07-12,107.89,108.84,103.89,105.35,157500
2019-07-19,105.03,107.24,103.09,104.28,198900
2019-07-26,104.95,104.95,95.78,96.32,297500
2019-08-02,96.07,103.32,96.07,99.13,277400
2019-08-09,97.5,97.5,92.53,95.82,204500
2019-08-16,95.43,95.43,87.33,92.48,421200
2019-08-23,92.83,93.2,87.33,88.97,260200
2019-08-30,90.0,95.44,90.0,95.11,285500
2019-09-06,95.13,97.0,91.4,96.53,265700
2019-09-13,97.93,97.93,94.3,96.23,294500
2019-09-20,95.62,98.4,94.76,97.78,324800
2019-09-27,97.35,98.0,93.63,94.32,221300
2019-10-04,94.35,100.11,94.35,100.07,388800
2019-10-11,99.55,102.92,98.39,101.76,457100
2019-10-18,102.02,103.03,100.43,101.74,254000
2019-10-25,102.04,102.47,99.22,101.99,264300
2019-11-01,101.94,106.39,101.7,105.38,323700
2019-11-08,104.79,108.31,103.21,105.87,291000
2019-11-15,105.47,108.01,104.8,107.35,296700
2019-11-22,107.01,109.77,101.97,102.93,257400
2019-11-29,102.87,104.87,100.73,101.18,178900
2019-12-06,101.34,101.39,97.81,99.26,284900
2019-12-13,99.6,119.17,98.76,118.81,605000
2019-12-20,119.51,124.15,118.36,118.59,638800
2019-12-27,119.36,121.0,118.36,120.29,229200
2020-01-03,120.55,122.06,118.51,120.95,191100
2020-01-10,120.26,127.87,119.08,127.19,309900
2020-01-17,127.19,135.31,125.86,132.72,380600
2020-01-24,131.7,132.57,124.03,127.49,255500
2020-01-31,125.68,127.83,122.56,123.68,322000
2020-02-07,124.51,130.16,124.51,128.67,263000
2020-02-14,127.76,132.5,125.24,130.36,247900
2020-02-21,129.19,131.81,127.32,128.63,150600
2020-02-28,123.59,124.63,103.1,108.38,661100
2020-03-06,108.57,114.37,103.99,104.9,441500
2020-03-13,98.61,98.61,69.8,79.32,746500
2020-03-20,71.91,72.65,45.02,47.78,815400
2020-03-27,48.0,64.51,44.28,55.65,1198300
2020-04-03,56.02,56.51,45.32,45.64,1144300
2020-04-10,46.69,56.43,45.93,54.56,783700
2020-04-17,55.19,60.31,52.45,58.1,952300
2020-04-24,56.63,58.22,53.88,54.27,616400
2020-05-01,54.42,62.83,54.22,58.67,800100
2020-05-08,57.9,68.87,57.9,65.46,802200
2020-05-15,64.68,64.72,55.15,55.89,657600
2020-05-22,57.13,61.86,57.13,61.05,548600
2020-05-29,62.5,69.16,62.5,66.41,469200
2020-06-05,65.72,82.68,65.72,79.23,800600
2020-06-12,80.38,82.71,65.61,70.67,941000
2020-06-19,67.68,75.52,67.68,72.16,635400
2020-06-26,72.0,76.17,68.71,69.25,480900
2020-07-03,70.0,74.91,69.44,70.95,367600
2020-07-10,73.12,74.7,63.6,64.67,307800
2020-07-17,65.52,66.99,62.06,64.47,369200
2020-07-24,63.82,68.41,62.52,65.27,413400
2020-07-31,65.27,67.47,63.02,67.09,455200
2020-08-07,67.33,71.92,63.63,71.57,501600
2020-08-14,71.57,81.27,71.57,81.21,417900
2020-08-21,81.0,81.0,76.12,76.65,440700
2020-08-28,77.56,78.97,74.37,78.9,364000
2020-09-04,78.46,79.0,73.53,76.0,426100
2020-09-11,74.85,79.46,72.95,74.27,332300
2020-09-18,72.55,77.69,72.55,75.62,833600
2020-09-25,73.74,77.53,68.48,77.52,680900
2020-10-02,78.18,84.24,77.1,82.72,503500
2020-10-09,83.26,89.0,82.62,87.51,295200
2020-10-16,87.26,89.89,86.13,88.04,322300
2020-10-23,88.14,97.71,87.95,95.54,260200
2020-10-30,94.71,94.71,80.34,83.18,319200
2020-11-06,84.08,96.31,80.79,93.0,244900
