Date,Open,High,Low,Close,Volume
2015-03-27,24.02,24.52,22.39,24.41,42483600
2015-04-03,24.61,25.07,23.26,23.64,41633400
2015-04-10,23.5,24.7,23.44,24.66,32520600
2015-04-17,24.55,24.65,23.67,23.75,25329600
2015-04-24,23.97,26.07,23.91,25.64,42026400
2015-05-01,25.88,26.37,24.52,25.14,31633800
2015-05-08,25.31,25.72,24.07,25.18,32359800
2015-05-15,25.21,25.79,24.89,25.79,23946000
2015-05-22,25.71,27.2,25.58,27.15,31231800
2015-05-29,27.48,28.31,26.73,28.25,72969600
2015-06-05,28.32,29.0,27.9,28.93,51819000
2015-06-12,29.1,29.47,27.94,29.31,35101200
2015-06-19,29.12,30.8,28.88,30.68,38296800
2015-06-26,30.82,30.83,29.0,29.21,51147000
2015-07-03,28.27,29.71,28.05,28.98,32273400
2015-07-10,28.94,30.19,27.97,30.13,47744400
2015-07-17,30.48,32.12,29.87,31.88,39404400
2015-07-24,31.75,33.42,31.39,32.81,35238000
2015-07-31,32.38,32.47,30.17,30.97,45712800
2015-08-07,31.06,31.83,28.02,29.25,52221000
2015-08-14,29.58,30.06,27.11,28.92,42047400
2015-08-21,28.81,29.58,25.18,26.5,48726000
2015-08-28,24.35,28.51,23.4,28.0,60994200
2015-09-04,27.91,28.25,26.43,27.07,43453800
2015-09-11,27.61,29.95,27.04,29.57,65896800
2015-09-18,29.42,31.1,29.17,30.83,42780600
2015-09-25,30.85,31.62,29.47,30.14,45085800
2015-10-02,29.93,30.27,27.66,29.2,52855800
2015-10-09,29.53,29.79,27.88,28.65,36214800
2015-10-16,28.37,28.68,27.07,28.63,38676600
2015-10-23,28.54,29.0,25.85,26.53,61184400
2015-10-30,26.36,27.46,25.03,26.83,57642600
2015-11-06,26.97,28.17,25.97,26.97,46105200
2015-11-13,26.93,27.11,25.48,26.11,42203400
2015-11-20,26.02,28.58,26.0,28.5,42156600
2015-11-27,28.44,31.02,27.83,30.99,75063000
2015-12-04,31.0,32.46,30.76,31.94,47123400
2015-12-11,31.86,32.44,30.65,30.84,33204600
2015-12-18,30.55,31.64,29.4,30.48,45419400
2015-12-25,30.63,30.74,29.71,29.79,23374800
2016-01-01,29.68,30.02,28.94,29.36,26623200
2016-01-08,28.83,28.96,27.0,27.12,47483400
2016-01-15,27.17,27.64,25.01,25.8,53806200
2016-01-22,26.04,26.22,22.65,24.75,52858800
2016-01-29,24.74,25.65,22.81,24.92,69857400
2016-02-05,24.65,25.19,20.62,21.25,87972000
2016-02-12,20.67,21.02,18.51,20.62,105967200
2016-02-19,21.23,22.29,19.81,21.19,73489200
2016-02-26,21.56,25.66,20.45,24.6,129735600
2016-03-04,24.5,25.72,23.89,25.16,70350000
2016-03-11,25.1,26.46,24.7,26.3,44046600
2016-03-18,26.09,26.34,25.18,25.95,41057400
2016-03-25,25.98,26.6,25.5,25.95,27554400
2016-04-01,26.12,27.55,25.53,26.85,37953000
2016-04-08,26.88,27.29,24.15,24.64,74998800
2016-04-15,24.69,24.85,22.46,23.44,49796400
2016-04-22,23.4,24.97,22.64,24.75,45829200
2016-04-29,24.59,26.21,24.49,25.15,45832800
2016-05-06,25.27,25.33,21.92,22.69,47780400
2016-05-13,22.9,23.84,21.42,21.83,61224600
2016-05-20,21.91,23.75,21.87,23.63,43952400
2016-05-27,23.71,24.72,21.38,21.64,110782200
2016-06-03,21.68,23.47,21.38,23.27,71326200
2016-06-10,23.27,23.46,21.79,21.88,43843200
2016-06-17,21.72,22.41,21.15,21.38,50374200
2016-06-24,21.68,21.76,20.17,20.3,50635200
2016-07-01,20.16,20.96,19.11,20.18,52715400
2016-07-08,20.01,21.1,19.5,20.99,28240200
2016-07-15,21.03,21.6,20.52,20.61,38612400
2016-07-22,20.67,21.78,20.57,21.58,34330800
2016-07-29,21.59,22.45,21.48,21.82,39369600
2016-08-05,21.81,22.02,20.91,21.96,32125800
2016-08-12,22.0,22.0,20.79,21.2,36481200
2016-08-19,21.2,23.18,21.09,22.79,44877000
2016-08-26,22.94,23.89,22.64,23.45,42810600
2016-09-02,23.54,24.34,21.69,24.2,123639000
2016-09-09,24.19,24.8,24.06,24.07,38799600
2016-09-16,23.98,25.15,23.75,24.85,51262800
2016-09-23,25.0,25.69,24.69,25.2,34056600
2016-09-30,24.99,26.67,24.81,26.56,41024400
2016-10-07,26.51,27.17,26.09,26.65,33161400
2016-10-14,26.68,26.81,24.54,25.08,49404000
2016-10-21,25.2,25.29,24.31,25.03,29614200
2016-10-28,25.13,25.58,24.83,25.26,22236000
2016-11-04,25.41,25.93,24.2,24.67,34264200
2016-11-11,25.14,27.22,24.93,26.0,48142200
2016-11-18,26.06,27.61,25.92,26.89,39460800
2016-11-25,27.11,27.11,23.02,23.58,117852000
2016-12-02,23.56,23.67,21.01,21.11,73974600
2016-12-09,21.25,22.0,21.09,21.68,45469800
2016-12-16,21.66,21.75,21.17,21.55,37317000
2016-12-23,21.58,21.67,20.59,21.23,39795600
2016-12-30,21.17,21.36,20.75,20.84,21715200
2017-01-06,20.98,22.7,20.97,22.51,53515800
2017-01-13,22.61,23.24,22.18,23.08,47184000
2017-01-20,23.01,23.94,22.6,23.68,39979200
2017-01-27,23.69,24.69,23.33,24.2,38461800
2017-02-03,24.16,25.27,23.71,25.17,43624200
2017-02-10,24.95,26.08,24.79,25.88,35223000
2017-02-17,25.9,26.27,25.0,25.79,40437000
2017-02-24,25.8,26.25,24.69,25.5,33487200
2017-03-03,25.5,25.85,19.17,19.26,228055200
2017-03-10,19.32,19.9,18.95,19.81,80482200
2017-03-17,19.85,19.96,19.26,19.3,45003000
2017-03-24,19.25,19.35,18.38,18.63,59728200
2017-03-31,18.42,19.2,18.34,18.78,48690000
2017-04-07,18.81,18.95,17.89,18.7,62682000
2017-04-14,18.68,19.03,18.5,18.7,40152000
2017-04-21,18.42,18.64,17.98,18.09,51585000
2017-04-28,18.23,18.53,17.9,18.07,45291000
2017-05-05,18.12,19.61,18.02,19.39,52666200
2017-05-12,19.37,19.77,19.03,19.41,43330200
2017-05-19,20.22,20.35,18.72,19.42,58803000
2017-05-26,19.57,19.9,19.32,19.68,39069600
2017-06-02,19.7,23.33,19.17,23.02,164256000
2017-06-09,22.92,23.55,22.22,22.34,65756400
2017-06-16,22.05,22.61,21.41,21.93,49536000
2017-06-23,22.02,23.16,21.91,23.07,41021400
2017-06-30,23.08,23.12,22.2,22.3,39384000
2017-07-07,22.48,23.06,21.96,22.69,25824600
2017-07-14,22.74,23.98,22.6,23.16,40440600
2017-07-21,23.09,23.73,22.89,23.12,25617600
2017-07-28,23.16,23.33,22.17,22.28,26407800
2017-08-04,22.31,22.48,21.52,21.75,32214000
2017-08-11,21.76,21.98,21.09,21.47,27054600
2017-08-18,21.67,22.32,21.54,21.71,22677000
2017-08-25,21.66,22.24,21.26,21.44,29577000
2017-09-01,21.47,24.79,21.14,24.44,88517400
2017-09-08,24.21,24.65,23.88,24.0,60258000
2017-09-15,24.16,24.42,23.7,23.91,41007000
2017-09-22,23.8,24.22,23.2,23.38,31736400
2017-09-29,23.33,24.11,22.78,24.02,40873800
2017-10-06,24.1,24.62,23.9,24.56,31161600
2017-10-13,24.6,25.56,24.33,24.99,45619200
2017-10-20,25.02,25.16,24.65,24.93,25434000
2017-10-27,24.92,24.99,24.18,24.44,38111400
2017-11-03,24.38,24.98,23.33,24.39,40431000
2017-11-10,24.43,24.89,22.83,23.39,54021000
2017-11-17,23.33,23.83,22.64,23.79,45433200
2017-11-24,23.92,26.14,23.6,25.11,103968000
2017-12-01,25.23,25.45,23.72,23.96,45087000
2017-12-08,24.5,24.54,23.35,23.98,41539200
2017-12-15,24.09,24.73,23.78,24.54,31310400
2017-12-22,24.67,24.9,24.2,24.36,23289000
2017-12-29,24.26,24.6,24.01,24.16,11668800
2018-01-05,24.33,25.51,24.18,25.5,24763800
2018-01-12,25.37,25.83,25.22,25.59,32835000
2018-01-19,25.69,26.46,24.93,26.2,29888400
2018-01-26,25.69,26.75,25.15,26.62,39348000
2018-02-02,26.64,26.81,25.67,25.86,32277600
2018-02-09,25.66,26.52,24.74,25.65,37865400
2018-02-16,25.9,27.31,25.57,27.01,41119800
2018-02-23,26.81,27.95,26.81,27.59,41057400
2018-03-02,27.74,29.86,27.46,29.46,103869600
2018-03-09,29.33,31.57,29.32,31.42,57970200
2018-03-16,31.46,31.92,31.18,31.24,41649600
2018-03-23,31.19,31.65,30.24,30.29,31248600
2018-03-30,30.82,31.54,29.25,30.25,31412400
2018-04-06,29.99,32.87,29.6,32.31,59358600
