Date,Open,High,Low,Close,Volume
2026-03-13,19.0,21.98,17.0,21.14,26455600
2026-03-20,21.73,21.76,17.8,19.9,20070400
2026-03-27,20.0,24.89,19.6,23.04,14049800
2026-04-03,23.29,23.49,19.85,21.02,9977600
2026-04-10,21.0,21.2,18.82,20.1,7851100
2026-04-17,20.18,22.83,20.01,21.6,5320700
2026-04-24,21.41,21.41,19.51,20.02,5011500
2026-05-01,20.0,22.6,19.75,21.87,4713100
2026-05-08,21.87,23.39,19.1,19.61,5251300
2026-05-15,19.5,20.48,18.7,19.29,4328500
2026-05-22,19.3,19.9,18.92,19.11,2602600
2026-05-29,19.15,20.0,19.08,19.52,2439000
2026-06-05,19.23,19.41,14.97,15.08,7425300
2026-06-12,15.08,15.59,13.4,14.15,5562000
2026-06-19,14.3,14.63,12.25,12.37,8314200
2026-06-26,12.16,14.85,12.07,14.35,8080400
2026-07-03,14.31,15.26,14.16,14.71,4795800
2026-07-10,14.81,16.45,14.55,15.5,4604900
2026-07-17,15.64,16.2,14.92,15.63,4404500
2026-07-24,15.64,16.35,14.93,15.51,3635300
2026-07-31,15.76,16.4,14.72,15.13,6000900
2026-08-07,15.13,16.87,15.13,15.35,4529000
2026-08-14,15.26,15.44,14.48,14.89,4304200
2026-08-21,15.05,15.54,14.21,15.41,3148600
2026-08-28,15.28,16.34,14.84,15.28,2836100
2026-09-04,15.11,17.37,14.91,17.04,3904400
2026-09-11,16.89,18.98,16.89,18.45,5950100
2026-09-18,18.28,18.9,17.43,17.71,2861800
2026-09-25,17.86,17.97,16.12,16.51,2281133
