Date,Open,High,Low,Close,Volume
2015-04-03,49.72,50.13,48.69,49.25,7294800
2015-04-10,49.59,49.67,48.79,49.28,8781600
2015-04-17,49.38,49.58,48.0,48.28,6586400
2015-04-24,48.53,49.8,48.33,49.23,6580300
2015-05-01,49.34,49.38,48.19,48.85,7917300
2015-05-08,48.95,49.56,48.44,49.13,10657300
2015-05-15,49.0,50.19,48.54,49.79,7329500
2015-05-22,49.66,50.68,49.66,49.86,6268500
2015-05-29,49.71,49.85,49.04,49.41,5884700
2015-06-05,49.58,49.79,48.04,48.43,12126900
2015-06-12,48.31,48.5,47.65,48.0,8889800
2015-06-19,47.74,48.41,47.14,48.1,8008300
2015-06-26,48.35,49.06,47.79,47.99,7820700
2015-07-03,47.55,48.19,44.38,47.65,12381300
2015-07-10,47.49,48.45,47.28,47.78,11398300
2015-07-17,47.97,48.44,47.24,47.45,10563700
2015-07-24,47.61,47.63,46.03,46.11,8897800
2015-07-31,46.0,46.88,45.34,46.4,10525700
2015-08-07,46.16,48.66,45.94,47.62,14554500
2015-08-14,47.87,48.39,47.2,48.3,8531700
2015-08-21,48.13,48.63,45.68,45.69,8623900
2015-08-28,43.1,45.51,41.59,44.95,19038400
2015-09-04,44.8,45.06,43.19,44.31,10234000
2015-09-11,45.03,45.98,44.5,45.71,8161500
2015-09-18,45.7,47.06,45.23,46.53,13191000
2015-09-25,46.7,47.09,45.71,46.69,10290100
2015-10-02,46.68,48.19,45.55,47.77,20195900
2015-10-09,48.39,50.3,47.9,50.06,14295900
2015-10-16,50.14,50.44,49.07,50.23,8886000
2015-10-23,50.24,51.95,50.01,51.79,11411600
2015-10-30,51.94,52.38,51.44,51.58,10925300
2015-11-06,51.71,52.97,51.47,52.8,10162800
2015-11-13,52.46,53.59,52.06,52.36,9993100
2015-11-20,52.41,54.54,52.41,54.44,10940500
2015-11-27,54.44,54.52,53.47,54.06,5909700
2015-12-04,54.15,54.78,52.5,53.71,12936800
2015-12-11,53.61,53.83,52.08,52.25,8900200
2015-12-18,52.5,54.3,52.28,52.45,14598600
2015-12-25,52.89,54.1,51.11,53.82,10548800
2016-01-01,53.57,54.54,52.62,52.89,6226700
2016-01-08,52.0,52.11,47.45,47.56,21487900
2016-01-15,47.67,47.92,46.06,46.7,20732200
2016-01-22,47.39,48.84,45.76,48.19,16770300
2016-01-29,48.04,48.15,46.2,47.86,13651000
2016-02-05,47.73,48.67,46.73,47.04,22082900
2016-02-12,46.33,49.14,45.83,48.94,18244300
2016-02-19,48.63,51.3,48.63,51.25,10246100
2016-02-26,51.56,52.5,50.66,51.68,9012100
2016-03-04,51.64,52.8,51.37,52.58,10024900
2016-03-11,52.25,53.06,51.43,52.95,7921400
2016-03-18,52.7,54.47,52.4,53.99,8382400
2016-03-25,53.94,54.31,53.43,53.99,5194000
2016-04-01,54.07,54.57,52.32,54.17,13326400
2016-04-08,54.42,54.51,52.63,53.04,9386600
2016-04-15,53.25,53.57,52.47,52.87,8460100
2016-04-22,52.81,53.82,52.08,52.27,8672500
2016-04-29,52.27,53.29,51.8,52.12,10427100
2016-05-06,52.23,52.66,51.06,51.91,8613100
2016-05-13,51.98,52.93,51.68,51.71,7746400
2016-05-20,51.71,52.39,51.09,52.03,7247600
2016-05-27,52.09,54.33,51.71,54.33,8866700
2016-06-03,54.52,54.95,53.68,54.71,8151600
2016-06-10,54.79,55.44,54.2,54.56,8359600
2016-06-17,54.3,55.01,54.0,54.59,8087700
2016-06-24,55.13,56.3,53.57,54.64,10481000
2016-07-01,54.3,59.6,53.78,59.44,22870900
2016-07-08,59.3,61.5,59.26,61.33,14152500
2016-07-15,61.74,61.87,60.82,60.92,10978400
2016-07-22,60.79,61.13,60.09,60.74,9156400
2016-07-29,60.6,61.27,58.61,59.28,12443700
2016-08-05,59.29,59.59,58.23,59.36,9417900
2016-08-12,59.33,60.08,58.96,60.03,6740100
2016-08-19,60.02,60.25,59.1,60.15,7774500
2016-08-26,60.19,61.19,60.01,60.5,6175700
2016-09-02,60.68,61.49,60.4,61.12,5354100
2016-09-09,61.23,61.62,59.29,59.29,7243500
2016-09-16,59.0,60.01,57.81,58.23,13229000
2016-09-23,58.53,60.7,58.4,59.91,7683700
2016-09-30,59.64,60.36,57.01,57.87,15297500
2016-10-07,57.48,57.78,56.16,56.52,9801400
2016-10-14,56.65,57.08,55.59,56.2,6376800
2016-10-21,56.11,56.62,55.33,56.0,9155300
2016-10-28,56.27,56.52,54.75,55.05,10526800
2016-11-04,55.17,55.5,53.43,53.65,11737800
2016-11-11,54.49,56.77,52.78,56.68,17633200
2016-11-18,56.85,56.97,55.37,55.93,14300700
2016-11-25,56.01,58.36,55.92,57.98,8873100
2016-12-02,57.79,59.68,57.48,58.34,15535800
2016-12-09,58.65,60.47,58.3,60.16,8471800
2016-12-16,59.97,61.97,59.86,61.24,10738700
2016-12-23,61.53,62.14,60.26,61.73,9961200
2016-12-30,61.83,62.18,60.44,60.88,4794300
2017-01-06,61.15,61.75,60.55,61.27,6450300
2017-01-13,61.23,61.69,60.69,61.47,6255900
2017-01-20,61.33,61.7,60.64,61.47,5193800
2017-01-27,61.36,62.17,60.98,61.17,6781600
2017-02-03,60.73,60.99,57.71,57.97,14131900
2017-02-10,58.02,58.99,57.07,58.46,12412500
2017-02-17,58.75,59.59,58.71,59.13,7095500
2017-02-24,59.23,61.94,58.75,61.81,8993700
2017-03-03,61.58,63.01,61.21,62.5,9719700
2017-03-10,62.24,62.6,61.79,62.38,5374100
2017-03-17,62.33,63.03,62.08,62.84,7406200
2017-03-24,62.87,62.95,61.31,61.62,7628300
2017-03-31,61.22,61.46,58.58,58.9,18552900
2017-04-07,58.75,58.89,57.86,58.19,9208300
