Date,Open,High,Low,Close,Volume
2015-02-27,43.01,43.39,42.41,42.7,11411250
2015-03-06,42.84,43.49,41.01,41.11,13531350
2015-03-13,41.11,41.62,40.19,41.15,11569800
2015-03-20,41.41,42.63,41.26,42.41,12775650
2015-03-27,42.65,42.9,41.01,41.45,11139900
2015-04-03,41.65,42.4,40.52,40.8,9848100
2015-04-10,40.45,42.39,40.33,42.16,10718250
2015-04-17,42.09,43.01,41.57,41.85,10315200
2015-04-24,42.3,45.63,42.19,44.09,20915550
2015-05-01,44.39,44.67,43.31,43.71,13558200
2015-05-08,43.87,44.46,42.87,44.33,12098250
2015-05-15,44.22,44.78,43.8,44.3,9951150
2015-05-22,44.08,44.43,43.38,43.85,8132100
2015-05-29,43.81,44.49,42.28,42.37,10729800
2015-06-05,42.82,43.38,42.11,42.35,9602700
2015-06-12,42.32,43.7,42.23,43.34,8920500
2015-06-19,43.04,43.46,42.17,43.17,11294850
2015-06-26,43.39,43.62,42.69,43.21,10528050
2015-07-03,42.9,43.15,42.24,43.13,10621350
2015-07-10,42.79,43.24,41.68,42.26,12904050
2015-07-17,42.45,43.86,42.31,42.99,12548550
2015-07-24,43.09,43.83,42.89,43.27,18776100
2015-07-31,43.18,44.29,42.34,43.23,22869300
2015-08-07,43.25,43.31,41.74,41.97,14023500
2015-08-14,42.46,42.69,41.21,41.95,12925950
2015-08-21,41.73,42.11,38.95,38.96,15049500
2015-08-28,36.5,40.0,35.63,39.63,26492550
2015-09-04,39.43,39.64,37.75,37.89,18216150
2015-09-11,38.55,38.93,37.86,38.31,12914400
2015-09-18,38.27,39.21,37.21,37.54,14567100
2015-09-25,37.64,38.08,35.31,35.44,18695700
2015-10-02,35.1,35.44,33.33,34.71,28951050
2015-10-09,35.03,37.37,34.67,36.85,18099900
2015-10-16,36.9,37.2,34.63,35.02,18427500
2015-10-23,34.96,36.69,34.19,36.57,21455400
2015-10-30,36.6,36.78,32.97,35.1,29980650
2015-11-06,35.24,36.15,34.91,35.97,16695150
2015-11-13,35.72,36.33,33.16,33.34,14203950
2015-11-20,33.31,34.53,33.04,34.29,15250350
2015-11-27,34.39,34.72,33.82,34.56,7727250
2015-12-04,34.45,34.73,32.18,33.19,29907900
2015-12-11,33.06,33.13,31.27,31.5,19880100
2015-12-18,31.67,32.32,30.03,30.11,23654550
2015-12-25,30.37,32.59,30.24,32.3,13221000
2016-01-01,32.27,32.49,31.59,31.6,7721550
2016-01-08,31.0,31.89,30.05,30.15,20470500
2016-01-15,30.39,30.68,29.19,30.21,19924500
2016-01-22,30.51,31.69,28.97,31.02,18396600
2016-01-29,30.94,33.05,30.01,32.71,24038100
2016-02-05,32.31,34.25,30.61,33.41,23954550
2016-02-12,33.13,33.69,31.69,33.33,18457500
2016-02-19,33.7,35.47,33.33,33.93,13719000
2016-02-26,34.37,35.11,32.93,34.63,14804250
2016-03-04,34.61,36.15,34.31,35.61,19483950
2016-03-11,35.35,35.96,34.17,35.15,17244150
2016-03-18,34.99,37.07,34.91,36.79,24498900
2016-03-25,36.75,36.84,34.62,35.63,9336150
2016-04-01,35.65,36.83,35.34,36.14,13340100
2016-04-08,36.07,36.14,34.66,35.1,14041500
