Date,Open,High,Low,Close,Volume
2015-04-03,41.46,42.19,40.6,41.34,12743700
2015-04-10,41.46,42.81,41.2,41.67,11920900
2015-04-17,41.59,41.93,40.65,40.98,8672700
2015-04-24,41.1,42.55,41.02,42.29,12659200
2015-05-01,42.5,42.55,41.02,41.96,13516900
2015-05-08,42.02,42.93,41.23,42.06,17808500
2015-05-15,42.0,42.83,41.45,42.54,16014300
2015-05-22,42.34,43.97,42.23,43.86,15035700
2015-05-29,43.74,43.74,42.51,42.63,15332300
2015-06-05,42.77,43.21,40.07,40.41,16090100
2015-06-12,40.32,40.73,39.67,39.7,15044400
2015-06-19,39.68,41.42,39.51,40.99,14449700
2015-06-26,41.1,41.2,38.93,39.59,16115400
2015-07-03,39.49,40.2,39.11,39.94,13302800
2015-07-10,39.78,41.82,39.72,41.26,17219100
2015-07-17,41.44,41.92,40.64,41.41,11082200
2015-07-24,41.38,41.47,39.41,39.78,14293400
2015-07-31,39.79,42.12,39.78,41.67,16692300
2015-08-07,41.83,42.51,40.57,42.44,15684500
2015-08-14,42.39,43.1,41.73,42.91,18232400
2015-08-21,42.85,43.91,42.02,42.04,15033800
2015-08-28,41.0,41.9,39.57,40.52,24005400
2015-09-04,40.36,40.49,38.16,38.36,18785700
2015-09-11,38.87,39.42,38.56,39.32,11576000
2015-09-18,39.32,41.16,39.06,40.34,14367100
2015-09-25,40.59,41.38,39.51,40.89,21399300
2015-10-02,40.81,42.35,40.31,42.35,19240200
2015-10-09,42.49,43.0,42.03,42.3,15126900
2015-10-16,42.39,43.78,42.36,43.47,11163200
2015-10-23,43.46,44.18,42.55,42.66,17458200
2015-10-30,42.81,42.85,40.5,41.29,20175800
2015-11-06,41.24,41.79,38.52,38.66,19116600
2015-11-13,38.63,39.53,38.19,39.06,14326400
2015-11-20,39.09,40.1,38.14,39.67,16548900
2015-11-27,39.67,39.93,38.69,39.12,7663100
2015-12-04,39.14,39.65,37.92,38.63,15405500
2015-12-11,38.29,38.6,36.98,37.02,17884300
2015-12-18,37.16,38.47,36.8,37.48,19354600
2015-12-25,37.68,38.8,37.29,38.6,6651200
2016-01-01,38.59,39.19,38.18,38.69,8092600
2016-01-08,38.28,39.11,37.85,38.42,14126300
2016-01-15,38.43,40.0,38.03,39.6,19585500
2016-01-22,39.89,40.27,38.14,39.87,16850600
2016-01-29,39.88,41.44,38.75,41.3,14145900
2016-02-05,41.16,43.06,40.78,42.91,17429000
2016-02-12,42.89,43.4,41.41,41.89,18303500
2016-02-19,42.08,43.24,41.52,42.97,13482000
2016-02-26,43.12,44.04,42.43,42.55,17313700
2016-03-04,42.55,44.71,41.44,44.6,16439600
2016-03-11,44.52,45.46,43.97,44.33,17236100
2016-03-18,44.37,46.26,44.21,45.65,18099200
2016-03-25,45.44,46.45,45.26,46.04,9097200
2016-04-01,46.25,47.41,45.79,47.32,12175200
2016-04-08,47.32,47.37,45.8,45.98,13390100
2016-04-15,45.96,46.48,45.5,46.4,10685700
2016-04-22,46.4,47.28,44.63,45.21,15649400
2016-04-29,45.19,46.43,44.32,46.13,15330100
2016-05-06,46.26,47.11,45.32,45.71,16404800
2016-05-13,45.85,46.61,45.63,45.87,12735500
2016-05-20,45.81,46.0,43.82,44.97,18023600
2016-05-27,44.97,45.12,42.77,44.54,18900100
2016-06-03,44.51,45.67,44.31,45.36,14356400
2016-06-10,45.42,45.67,43.94,44.36,13580100
2016-06-17,44.39,44.83,44.12,44.81,14907300
2016-06-24,44.8,45.0,43.76,44.09,14585700
2016-07-01,44.12,46.81,43.88,46.5,20285700
2016-07-08,46.47,46.79,45.05,46.14,11441900
2016-07-15,45.94,46.08,45.27,45.87,12477100
2016-07-22,45.97,46.68,45.13,46.6,9989400
2016-07-29,46.51,46.62,44.78,46.01,13590600
2016-08-05,45.9,46.1,43.87,43.96,15665300
2016-08-12,43.99,44.43,43.5,43.97,13374600
2016-08-19,43.9,44.21,43.02,43.65,13297600
2016-08-26,43.74,44.11,42.43,42.47,9703300
2016-09-02,42.54,43.07,42.25,42.98,17982600
2016-09-09,43.18,43.5,41.12,41.13,12108900
2016-09-16,41.13,42.36,41.07,42.3,17015400
2016-09-23,42.43,44.01,42.25,43.8,12434000
2016-09-30,43.78,43.94,41.64,41.87,11670200
2016-10-07,41.72,41.76,40.38,40.72,16321900
2016-10-14,40.78,41.42,40.45,40.9,16893300
2016-10-21,41.3,41.99,40.81,40.95,13775600
2016-10-28,41.12,41.46,40.74,41.03,11544900
2016-11-04,41.41,42.25,40.39,40.9,15269100
2016-11-11,41.15,42.28,39.37,39.57,14717600
2016-11-18,39.42,41.47,39.28,40.34,17843900
2016-11-25,40.45,41.59,40.45,41.45,7013300
2016-12-02,41.64,43.11,40.84,41.25,14334200
2016-12-09,41.16,42.75,40.72,42.7,14753300
2016-12-16,42.58,44.29,42.39,43.99,17899700
2016-12-23,44.2,44.2,43.33,43.68,8576000
2016-12-30,43.68,44.21,43.32,43.88,7933500
2017-01-06,44.01,44.24,43.16,44.2,9664900
2017-01-13,44.21,44.31,43.2,44.03,10903100
2017-01-20,44.22,44.7,43.51,43.74,5761900
2017-01-27,43.77,43.92,42.89,43.06,7992100
2017-02-03,43.14,44.33,42.86,43.71,14056400
2017-02-10,43.82,43.85,42.98,43.39,11391400
2017-02-17,43.43,43.84,42.77,43.49,15165000
2017-02-24,43.49,45.63,43.26,45.61,11336700
2017-03-03,45.41,46.14,44.94,45.53,15399500
2017-03-10,45.5,45.64,43.88,44.43,14205600
2017-03-17,44.41,45.49,44.27,44.73,12879200
2017-03-24,44.82,45.4,43.87,45.15,15998400
2017-03-31,45.44,45.57,43.77,44.35,15131800
2017-04-07,44.31,45.19,43.93,44.72,16471400
2017-04-14,44.68,45.94,44.24,45.65,14930300
2017-04-21,45.69,45.81,44.1,44.51,16829800
2017-04-28,44.57,45.09,43.92,44.05,12694100
2017-05-05,44.1,44.14,43.26,43.81,11163600
2017-05-12,43.9,43.9,42.47,42.77,15978400
2017-05-19,42.84,44.16,42.76,44.02,18332400
2017-05-26,43.8,44.7,43.42,44.43,13845900
2017-06-02,44.37,45.8,44.31,45.17,12672100
2017-06-09,45.05,45.24,43.67,44.33,11020200
2017-06-16,44.33,44.75,43.66,44.45,13505000
2017-06-23,44.47,44.63,43.52,43.57,11398000
2017-06-30,43.57,44.32,42.79,43.01,18798500
2017-07-07,43.1,43.16,41.9,42.1,9335300
2017-07-14,42.09,42.66,41.67,42.36,12137400
