Date,Open,High,Low,Close,Volume
2015-09-18,40.0,42.0,38.0,41.3,3443800
2015-09-25,42.41,43.06,39.24,40.28,779600
2015-10-02,40.11,41.35,39.0,39.89,851300
2015-10-09,39.99,41.94,38.79,39.5,842900
2015-10-16,39.92,41.51,38.59,40.8,845100
2015-10-23,41.02,41.43,35.31,38.15,833600
2015-10-30,38.13,38.98,35.7,37.03,802100
2015-11-06,37.31,37.8,36.28,37.08,352400
2015-11-13,37.08,51.55,36.7,49.8,718900
2015-11-20,49.67,51.0,42.0,45.98,365400
2015-11-27,46.2,52.04,45.87,50.25,282400
2015-12-04,50.5,53.95,48.4,49.74,414600
2015-12-11,50.24,54.14,45.13,53.87,394900
2015-12-18,53.79,59.36,51.03,54.98,1582400
2015-12-25,54.6,57.0,52.96,54.22,379700
2016-01-01,54.29,55.99,51.38,53.81,397900
2016-01-08,53.2,56.97,53.13,55.22,531200
2016-01-15,55.41,57.37,48.91,49.07,500300
2016-01-22,49.63,50.86,43.93,44.81,374900
2016-01-29,44.32,46.0,41.31,42.8,744200
2016-02-05,42.47,47.38,42.0,43.88,444400
2016-02-12,43.95,45.76,40.23,42.29,524600
2016-02-19,42.41,49.54,41.93,49.3,339800
2016-02-26,49.0,51.78,43.41,47.45,457000
2016-03-04,47.54,48.0,42.96,45.56,472000
2016-03-11,45.78,48.5,41.35,42.73,1391600
2016-03-18,42.75,51.98,42.02,47.06,2134700
2016-03-25,47.11,47.11,43.83,44.94,1142800
2016-04-01,45.2,47.05,43.68,46.73,1291700
2016-04-08,46.68,48.15,45.42,45.72,733000
2016-04-15,45.89,53.1,45.0,51.41,1876100
2016-04-22,51.02,55.25,50.93,54.92,1248600
2016-04-29,55.0,55.5,53.15,54.5,548200
2016-05-06,54.71,56.24,53.29,54.71,783800
2016-05-13,54.57,55.98,47.67,48.87,1510100
2016-05-20,47.98,50.62,45.88,50.07,1918500
2016-05-27,49.88,53.5,49.83,53.37,2014400
2016-06-03,52.98,55.65,50.93,55.52,1614600
2016-06-10,55.63,61.5,55.6,60.12,2225100
2016-06-17,60.03,61.07,57.55,58.73,2705000
2016-06-24,59.14,61.6,57.9,58.15,4332300
2016-07-01,57.78,59.69,54.96,59.56,1830900
2016-07-08,59.04,60.73,58.82,60.49,778500
2016-07-15,60.5,61.87,59.18,60.01,813700
2016-07-22,60.02,61.55,59.02,60.41,670800
2016-07-29,60.44,69.38,60.05,68.31,2005500
