Date,Open,High,Low,Close,Volume
2015-02-27,51.97,52.14,51.11,51.17,4545100
2015-03-06,51.17,52.56,50.13,50.5,8571200
2015-03-13,50.6,51.04,49.29,50.47,5256400
2015-03-20,50.84,51.97,49.61,51.86,10067600
2015-03-27,51.86,52.29,50.24,50.49,5852500
2015-04-03,50.95,51.58,50.52,51.41,4383500
2015-04-10,50.72,52.23,49.81,50.28,7122000
2015-04-17,50.27,52.02,50.04,50.77,8602300
2015-04-24,51.15,52.42,50.14,51.62,6961000
2015-05-01,51.75,52.42,50.91,51.66,5493300
2015-05-08,51.8,52.56,50.93,52.39,4977900
2015-05-15,52.28,52.72,51.0,51.31,4797700
2015-05-22,51.38,53.28,51.36,52.59,6223300
2015-05-29,52.39,52.66,51.2,51.69,4634700
2015-06-05,51.88,53.32,51.14,51.88,6547200
2015-06-12,51.8,53.26,51.41,52.63,6469100
2015-06-19,51.8,53.1,51.8,52.5,7371800
2015-06-26,53.13,53.42,52.08,52.44,6047300
2015-07-03,51.66,52.05,50.66,51.48,4420600
2015-07-10,50.49,51.74,49.89,51.23,7379300
2015-07-17,51.5,53.13,51.5,52.82,5187600
2015-07-24,52.95,54.68,52.37,54.46,6750100
2015-07-31,54.11,55.83,53.5,55.51,7712300
2015-08-07,55.47,56.57,54.76,55.23,5476500
2015-08-14,56.16,58.02,54.7,57.98,7251100
2015-08-21,57.86,57.96,53.93,53.93,7553400
2015-08-28,50.2,53.26,48.25,50.9,12903800
2015-09-04,50.5,50.85,47.2,47.57,8191400
2015-09-11,47.6,50.0,41.67,48.18,6764800
2015-09-18,48.17,49.86,47.65,48.05,8702800
2015-09-25,48.48,49.1,46.75,48.05,6060000
2015-10-02,47.49,47.8,45.91,47.63,6825200
2015-10-09,48.0,50.08,47.66,49.46,5000100
2015-10-16,49.39,49.69,47.67,48.93,4121100
2015-10-23,48.66,50.55,48.04,50.51,6570500
2015-10-30,50.5,51.22,48.87,50.16,6959400
2015-11-06,50.37,52.21,50.07,51.95,5242100
