Date,Open,High,Low,Close,Volume
2015-03-27,44.39,44.96,42.9,43.04,15976200
2015-04-03,43.1,44.09,42.91,43.59,9727800
2015-04-10,43.72,44.48,42.29,42.49,14897800
2015-04-17,42.52,43.29,42.4,42.88,12293500
2015-04-24,42.88,43.51,42.21,42.56,24768100
2015-05-01,42.71,42.92,39.99,40.42,16393000
2015-05-08,40.6,41.44,39.34,40.75,16545600
2015-05-15,40.61,40.81,39.73,40.73,16270300
2015-05-22,40.55,41.0,40.12,40.28,12214500
2015-05-29,40.16,40.54,39.5,39.59,11151300
2015-06-05,39.47,40.24,39.38,39.98,14203700
2015-06-12,40.08,40.23,38.96,39.29,13499800
2015-06-19,38.99,40.05,38.77,39.3,16975100
2015-06-26,39.59,39.68,37.86,38.24,15841100
2015-07-03,38.14,38.41,37.03,37.93,14085700
2015-07-10,37.61,38.89,37.56,38.57,12705900
2015-07-17,38.87,39.57,38.54,39.5,11861000
2015-07-24,39.31,40.99,39.05,39.86,16551300
2015-07-31,39.79,40.87,39.61,40.61,12570500
2015-08-07,40.66,40.96,40.13,40.76,11790800
2015-08-14,40.99,41.38,40.57,41.35,13095900
2015-08-21,41.14,42.49,40.63,40.66,14907500
2015-08-28,39.15,39.63,36.42,38.89,24070700
2015-09-04,38.72,38.79,36.26,36.68,16489400
2015-09-11,37.25,37.96,36.32,37.23,12320300
2015-09-18,37.2,38.88,36.88,38.15,15867000
2015-09-25,38.18,38.89,37.77,38.66,14345500
2015-10-02,38.38,39.87,37.82,39.87,13657800
2015-10-09,40.05,41.55,39.89,41.41,13443200
2015-10-16,41.55,42.06,40.87,41.68,11667400
2015-10-23,41.59,43.37,41.31,43.03,14149100
2015-10-30,43.07,43.69,42.57,42.73,13031600
2015-11-06,42.73,43.68,41.48,41.87,12149900
2015-11-13,41.69,41.78,40.58,40.97,11308500
2015-11-20,40.96,43.18,40.6,43.1,13523300
2015-11-27,43.1,43.61,42.95,43.6,7653500
2015-12-04,43.63,43.69,41.29,42.7,21714400
2015-12-11,42.66,42.85,41.09,41.41,13638400
2015-12-18,40.92,42.47,40.47,41.69,19572500
2015-12-25,42.14,42.69,41.59,42.46,7359100
2016-01-01,42.41,43.6,42.24,42.92,6841800
2016-01-08,42.36,42.94,41.0,41.07,17564100
2016-01-15,41.22,41.46,38.54,38.81,20021100
2016-01-22,39.29,39.52,36.68,38.59,13551600
2016-01-29,38.64,40.12,38.08,39.47,21986000
2016-02-05,39.18,39.79,38.97,39.24,18725800
2016-02-12,39.02,39.02,35.25,36.07,21210800
2016-02-19,36.42,37.81,36.18,37.33,15217200
2016-02-26,37.84,39.41,37.48,38.61,16596000
2016-03-04,38.54,41.53,38.33,41.49,15623300
2016-03-11,41.19,42.52,40.88,42.49,12733800
2016-03-18,42.29,43.3,41.71,42.75,15372800
2016-03-25,42.61,42.9,41.67,42.32,8392400
2016-04-01,42.58,44.7,42.19,44.62,16621000
2016-04-08,44.69,44.78,43.45,44.12,10563400
2016-04-15,44.2,45.15,43.73,44.83,17468700
2016-04-22,44.75,45.97,43.96,44.9,18532100
2016-04-29,44.68,46.09,44.57,45.41,15407100
2016-05-06,45.47,46.63,44.77,46.6,11699600
2016-05-13,46.83,47.8,46.8,47.44,14412500
2016-05-20,47.46,48.2,46.11,46.84,13518100
2016-05-27,46.75,47.61,46.45,47.58,13563000
2016-06-03,47.8,48.75,47.29,48.46,8634400
2016-06-10,48.5,50.16,47.89,49.92,14680400
2016-06-17,50.0,50.44,49.26,49.86,16982600
2016-06-24,50.27,50.74,47.42,48.14,21669700
2016-07-01,47.89,49.37,46.76,48.74,27457100
2016-07-08,48.74,49.69,48.46,49.55,11691600
2016-07-15,49.58,51.34,49.28,51.33,16261600
2016-07-22,51.33,52.67,51.03,52.57,16550500
2016-07-29,52.68,54.57,52.17,54.49,16312500
2016-08-05,54.61,54.87,53.67,54.12,11697800
2016-08-12,53.84,54.66,53.59,54.35,10425500
2016-08-19,54.37,54.54,51.27,53.32,11631800
2016-08-26,53.41,54.21,52.09,52.56,9711600
2016-09-02,52.71,54.56,52.58,53.98,13713700
2016-09-09,54.26,54.56,51.49,51.49,10945800
2016-09-16,51.4,52.79,50.47,51.47,15794400
2016-09-23,51.74,54.79,51.6,54.5,11309100
2016-09-30,54.49,54.66,53.48,53.54,12078400
2016-10-07,53.33,53.33,49.64,49.8,13258000
2016-10-14,49.95,51.46,49.62,50.87,10126400
2016-10-21,51.3,53.21,51.17,52.4,11433100
2016-10-28,52.75,53.36,50.77,51.07,10321900
2016-11-04,51.44,52.33,49.09,49.34,14465600
2016-11-11,50.12,51.23,46.36,46.38,25519300
2016-11-18,46.37,49.02,45.93,48.97,20721700
2016-11-25,49.2,50.51,46.33,49.7,9914900
2016-12-02,50.07,51.56,49.58,49.95,16530100
2016-12-09,50.23,53.28,49.94,52.39,12078000
2016-12-16,52.43,53.51,51.0,52.48,14599600
2016-12-23,52.79,53.23,51.26,51.75,10849500
2016-12-30,51.92,53.03,51.34,52.79,6168100
2017-01-06,53.27,54.24,52.29,54.11,6559500
2017-01-13,54.21,54.25,51.92,52.3,12593000
2017-01-20,52.34,53.26,52.29,52.57,10669900
2017-01-27,52.5,53.73,49.19,49.25,19405600
2017-02-03,49.33,50.31,48.33,50.21,19797100
2017-02-10,50.05,50.32,48.69,50.11,11896000
2017-02-17,50.26,50.44,48.95,50.19,13348600
2017-02-24,50.19,51.16,49.95,51.08,9806400
2017-03-03,51.17,51.66,50.51,51.14,12515700
2017-03-10,50.88,50.98,48.96,49.4,11261700
2017-03-17,49.47,51.43,48.8,50.98,17115500
2017-03-24,51.05,51.8,49.94,51.03,15248900
2017-03-31,50.77,51.94,49.44,51.88,13551900
2017-04-07,51.79,54.03,51.66,53.58,14364400
2017-04-14,53.65,55.12,53.45,54.57,12366200
2017-04-21,54.83,55.93,53.76,54.35,16003500
2017-04-28,55.01,55.26,53.63,54.41,13739300
2017-05-05,54.55,55.07,53.15,54.66,10627000
2017-05-12,54.74,54.88,53.85,54.35,8854400
2017-05-19,54.47,55.76,54.16,55.24,13174600
2017-05-26,55.27,56.1,55.17,55.79,9147500
2017-06-02,55.76,57.05,55.21,56.88,16813600
2017-06-09,56.91,57.14,55.7,57.13,12287700
2017-06-16,56.79,58.72,56.72,58.13,15951900
2017-06-23,58.07,59.07,57.37,58.52,12768700
2017-06-30,58.74,59.49,58.54,58.64,17609000
2017-07-07,58.92,59.32,57.21,57.75,8088300
2017-07-14,57.84,58.22,56.59,58.08,9669500
2017-07-21,58.07,60.47,57.86,58.99,13584400
2017-07-28,58.96,61.64,58.65,61.55,10462800
2017-08-04,61.8,61.81,60.7,61.36,10139300
2017-08-11,61.31,61.31,59.36,59.71,8698700
2017-08-18,60.12,62.87,60.12,61.23,9696000
2017-08-25,61.34,63.08,61.11,62.58,7705500
2017-09-01,62.7,64.14,61.84,63.78,9316700
2017-09-08,64.25,64.3,63.06,63.97,7788200
2017-09-15,64.21,65.49,63.75,65.2,12026700
2017-09-22,65.1,65.44,63.59,63.68,11883800
2017-09-29,63.38,64.18,62.11,63.46,10564200
2017-10-06,63.68,64.71,63.15,64.52,7288600
2017-10-13,64.47,65.63,64.13,65.21,8959300
2017-10-20,65.25,65.46,63.74,64.44,12852700
2017-10-27,64.68,64.81,63.55,64.69,9863000
2017-11-03,64.63,66.83,63.78,66.27,10284100
2017-11-10,66.38,67.1,65.91,66.22,8660600
2017-11-17,66.28,67.25,65.5,66.3,9365100
2017-11-24,66.48,67.53,66.19,67.06,4559500
2017-12-01,67.24,67.25,65.13,66.19,9710000
2017-12-08,66.86,66.98,64.05,66.16,9012200
2017-12-15,66.05,66.87,65.25,65.98,11844200
2017-12-22,65.97,66.67,62.99,63.83,11439500
2017-12-29,63.94,64.94,63.48,64.51,4943700
2018-01-05,64.59,64.84,62.48,62.56,8136600
2018-01-12,62.44,63.97,61.11,61.85,12034600
2018-01-19,62.24,63.24,61.09,61.78,12297700
2018-01-26,61.9,64.99,61.78,64.39,13135300
2018-02-02,64.25,65.19,62.42,63.83,14182200
2018-02-09,63.51,64.22,58.28,60.32,20252900
2018-02-16,60.63,62.48,58.44,61.98,14690900
2018-02-23,61.72,62.5,59.74,61.26,12951700
