Date,Open,High,Low,Close,Volume
2020-10-02,10.0,11.41,8.94,9.2,517900300
2020-10-09,9.43,10.49,8.9,9.95,236496000
2020-10-16,10.04,10.05,9.18,9.71,80190000
2020-10-23,9.79,9.83,9.2,9.49,60001200
2020-10-30,9.72,11.1,9.6,10.13,148626100
2020-11-06,10.23,14.96,10.23,13.83,187652000
2020-11-13,14.96,17.06,13.18,15.8,319464400
2020-11-20,15.96,19.66,15.01,18.15,400231800
2020-11-27,18.63,33.5,18.57,27.66,610582800
2020-12-04,28.24,30.15,21.15,23.85,512033500
2020-12-11,24.44,31.24,24.44,27.2,433391900
2020-12-18,28.26,28.26,25.11,25.97,262893800
2020-12-25,26.19,29.42,25.4,27.75,227841200
2021-01-01,28.39,28.59,23.52,23.55,177690300
2021-01-08,23.91,26.44,22.5,25.2,180307500
2021-01-15,24.61,28.0,24.31,25.64,235906300
2021-01-22,26.81,32.65,25.3,32.58,272870900
2021-01-29,34.46,45.0,29.56,35.18,555255700
2021-02-05,35.33,35.62,30.5,34.05,242361100
2021-02-12,37.22,39.22,31.34,31.91,274816900
2021-02-19,30.02,30.44,24.5,29.0,964540100
2021-02-26,29.96,30.19,22.7,23.9,699799600
2021-03-05,25.19,25.9,20.18,23.95,573182900
2021-03-12,23.77,26.92,22.4,26.92,440742700
2021-03-19,27.35,27.47,23.39,24.32,321855600
2021-03-26,24.89,24.92,21.05,22.58,298158700
2021-04-02,22.48,23.95,20.86,23.07,222934400
2021-04-09,23.78,24.45,22.74,24.04,230062200
2021-04-16,24.52,26.2,22.3,22.47,366805100
2021-04-23,22.15,23.55,21.24,23.41,218917600
2021-04-30,23.69,24.26,22.81,23.04,144901400
2021-05-07,23.01,23.08,19.41,19.75,292425300
2021-05-14,19.28,20.3,17.06,20.08,603403600
2021-05-21,19.73,21.62,19.63,20.75,236701300
2021-05-28,21.06,24.75,20.67,22.95,327522400
2021-06-04,23.19,24.84,22.36,24.03,229870500
2021-06-11,24.0,25.23,23.44,24.67,207731800
2021-06-18,24.73,25.94,23.86,25.37,287208300
2021-06-25,25.1,27.01,24.51,26.78,343590400
2021-07-02,26.98,27.5,24.33,24.44,194439900
2021-07-09,24.6,25.2,22.25,23.29,152806800
2021-07-16,23.26,23.5,21.01,21.37,133376300
2021-07-23,20.97,22.68,20.55,21.81,108827900
2021-07-30,21.8,22.85,21.09,21.71,99528500
2021-08-06,21.91,22.77,21.48,21.82,96726300
2021-08-13,21.85,25.76,21.8,24.9,337920300
2021-08-20,24.9,25.94,23.66,24.01,292989100
2021-08-27,24.02,26.09,23.9,25.71,226059100
2021-09-03,25.74,26.87,25.62,26.64,236794700
2021-09-10,26.79,26.88,24.96,26.28,161728100
2021-09-17,26.15,29.29,25.03,28.71,418541400
2021-09-24,27.57,29.19,26.06,28.56,284993500
2021-10-01,28.23,28.38,23.72,24.33,246757100
2021-10-08,24.01,25.01,23.02,23.5,307127300
2021-10-15,23.26,24.71,23.26,24.0,129218500
2021-10-22,24.0,25.2,23.92,24.43,123395200
2021-10-29,24.5,26.75,24.48,25.88,157999600
2021-11-05,26.11,26.72,25.17,26.0,133758200
2021-11-12,26.25,27.11,22.12,22.83,350657600
2021-11-19,23.0,23.52,21.3,21.41,173847600
2021-11-26,21.53,21.57,20.05,21.03,160412200
2021-12-03,21.19,21.4,18.4,18.98,217436600
2021-12-10,18.54,20.15,18.08,18.94,177963900
2021-12-17,18.8,19.12,17.81,19.06,195047900
2021-12-24,18.59,19.45,17.83,18.93,134797000
2021-12-31,18.78,19.25,17.91,18.21,123359500
2022-01-07,18.36,18.84,16.06,16.56,220099100
2022-01-14,16.19,17.46,15.35,16.01,235993300
2022-01-21,15.45,15.75,13.5,13.53,214838500
2022-01-28,12.79,13.82,11.75,12.71,335435600
2022-02-04,12.77,14.37,12.27,12.94,253482600
2022-02-11,13.02,14.16,12.62,13.13,194244900
2022-02-18,13.1,14.26,10.57,11.02,436959500
2022-02-25,10.7,11.89,9.74,11.47,392692700
2022-03-04,11.96,12.52,10.74,10.96,286630200
2022-03-11,11.43,12.02,10.72,11.39,246054400
2022-03-18,11.17,13.02,10.27,12.82,256034800
2022-03-25,12.72,13.55,12.42,12.97,173653200
2022-04-01,13.01,14.36,12.85,13.83,152421300
2022-04-08,14.03,14.86,12.48,12.7,178081700
2022-04-15,12.45,13.2,12.13,12.42,96759300
2022-04-22,12.35,13.33,11.86,11.96,151073200
2022-04-29,11.83,12.16,10.36,10.4,195914600
2022-05-06,10.38,11.01,9.42,9.48,226021300
2022-05-13,7.78,8.35,6.44,8.34,482089000
2022-05-20,8.17,8.58,7.71,8.08,190738600
2022-05-27,8.01,8.85,7.37,8.85,186845700
2022-06-03,8.97,9.39,8.38,8.94,154089700
2022-06-10,9.11,9.42,8.14,8.26,152960000
