Date,Open,High,Low,Close,Volume
2015-04-03,92.63,94.56,92.2,93.29,10128700
2015-04-10,92.05,93.91,91.52,93.48,10837400
2015-04-17,92.8,93.84,90.42,90.93,21307900
2015-04-24,91.74,91.99,90.63,91.0,10754000
2015-05-01,91.45,92.46,90.65,92.0,9507100
2015-05-08,92.22,94.27,92.07,93.65,9432800
2015-05-15,93.44,95.08,92.68,93.74,10881500
2015-05-22,93.84,95.7,93.78,95.22,8900300
2015-05-29,94.91,96.06,94.19,95.69,9499900
2015-06-05,96.14,96.85,93.89,96.51,13660100
2015-06-12,96.34,99.61,96.16,98.42,12699600
2015-06-19,97.5,98.91,96.93,97.13,11827100
2015-06-26,97.99,99.25,97.21,97.62,10610900
2015-07-03,96.43,97.6,95.4,96.47,8008800
2015-07-10,95.14,96.83,94.09,96.3,12404400
2015-07-17,96.6,99.84,95.5,98.81,13693000
2015-07-24,99.11,100.52,98.24,98.34,9630200
2015-07-31,97.64,98.94,97.12,98.18,8143700
2015-08-07,98.23,99.56,97.07,97.8,7295200
2015-08-14,98.49,99.91,93.71,97.59,10170900
2015-08-21,96.92,99.28,92.22,92.28,14374100
2015-08-28,87.7,91.67,82.77,91.23,17809900
2015-09-04,90.74,91.47,86.58,87.66,13398200
2015-09-11,89.53,92.43,89.23,90.35,8199000
2015-09-18,90.4,92.65,87.09,87.43,12467700
2015-09-25,88.16,90.03,86.61,89.29,10677500
2015-10-02,88.43,89.72,84.93,88.16,12950500
2015-10-09,89.01,91.28,88.88,89.82,10868800
2015-10-16,89.63,90.1,85.88,87.61,14618100
2015-10-23,87.16,91.38,86.38,91.24,13799000
2015-10-30,90.99,93.64,89.29,90.26,10790600
2015-11-06,90.83,96.08,90.71,95.2,12678400
2015-11-13,95.48,96.06,91.78,92.32,11000300
2015-11-20,92.19,95.82,91.89,95.38,9309400
2015-11-27,95.31,95.91,93.98,95.48,6574400
2015-12-04,95.49,97.25,93.63,97.19,10811900
2015-12-11,96.84,97.31,91.85,92.37,10536600
2015-12-18,92.73,97.5,91.45,93.75,18313200
2015-12-25,94.47,96.8,93.04,96.24,6205400
2016-01-01,95.74,97.31,94.78,95.31,4390200
2016-01-08,94.0,94.26,87.67,87.96,12543800
2016-01-15,88.38,89.84,82.84,86.33,17349900
2016-01-22,87.14,87.78,82.54,85.74,12572400
2016-01-29,85.67,87.04,82.54,86.65,15073800
2016-02-05,86.65,86.81,81.38,83.57,13723200
2016-02-12,82.45,83.49,77.67,80.93,19213700
2016-02-19,82.36,84.65,81.32,82.82,12246200
2016-02-26,82.82,84.91,80.57,83.97,10810600
2016-03-04,83.7,87.96,81.3,87.3,11486800
2016-03-11,86.52,87.28,84.0,86.4,11841100
2016-03-18,85.95,87.02,83.82,86.16,14364200
2016-03-25,86.15,86.72,83.82,84.8,8309600
2016-04-01,85.38,86.13,83.46,85.29,8882000
2016-04-08,85.09,85.99,81.06,81.82,13631600
2016-04-15,82.36,85.89,81.44,84.16,14615700
2016-04-22,83.48,88.56,83.38,88.09,11254800
2016-04-29,87.55,89.77,86.94,87.78,10181000
2016-05-06,88.52,88.55,84.57,85.61,11696500
2016-05-13,84.86,87.34,84.39,84.74,10047300
2016-05-20,84.46,88.92,84.4,88.19,10390600
2016-05-27,88.19,90.85,87.31,90.24,10104700
2016-06-03,90.78,90.8,87.11,88.57,8271000
2016-06-10,88.81,90.43,86.78,87.0,8968400
2016-06-17,86.72,87.62,82.7,83.68,13861200
2016-06-24,85.22,86.76,80.93,81.08,17179000
2016-07-01,79.77,81.65,77.4,80.93,20784500
2016-07-08,80.03,81.35,77.86,80.62,14859800
2016-07-15,81.23,85.44,80.83,82.06,17727000
2016-07-22,81.67,83.26,81.5,82.83,11427300
2016-07-29,82.61,83.44,81.98,82.65,12467300
2016-08-05,83.09,86.48,81.35,86.44,13949700
2016-08-12,86.36,86.97,84.6,85.0,9110500
2016-08-19,85.08,85.96,84.97,85.42,7681300
2016-08-26,85.31,87.0,85.09,86.69,7461500
2016-09-02,86.78,90.89,86.54,90.54,14808700
2016-09-09,90.36,91.35,88.85,89.92,9422200
2016-09-16,89.27,91.14,88.81,89.39,15199500
2016-09-23,89.89,91.39,89.41,89.41,11110500
2016-09-30,88.88,90.5,87.04,90.09,16818400
2016-10-07,89.55,91.99,89.12,91.42,12828700
2016-10-14,91.79,92.06,87.34,88.03,16868700
2016-10-21,88.42,93.43,87.97,92.92,17803300
2016-10-28,93.38,95.74,92.76,95.1,15420700
2016-11-04,95.46,96.35,94.3,94.65,14716000
2016-11-11,96.01,106.34,95.3,105.93,21278500
2016-11-18,106.91,111.39,105.47,111.24,23410700
2016-11-25,111.35,112.07,110.19,112.07,9905700
2016-12-02,111.23,112.68,109.16,111.08,19576700
2016-12-09,112.04,115.69,110.85,115.02,17677200
2016-12-16,114.69,116.21,112.61,114.86,17774700
2016-12-23,114.43,118.33,114.38,117.96,9309000
2016-12-30,117.89,118.57,115.36,116.96,5428000
2017-01-06,118.78,119.74,116.6,119.05,10677700
2017-01-13,118.31,121.33,116.73,118.79,18622800
2017-01-20,117.94,117.99,113.66,117.35,12854400
2017-01-27,116.81,121.98,116.5,121.64,11180700
2017-02-03,120.97,122.58,119.0,122.16,11334800
2017-02-10,121.61,123.54,120.5,123.1,11312900
