Date,Open,High,Low,Close,Volume
2015-03-27,43.38,43.48,41.68,41.9,7025995
2015-04-03,42.11,43.15,41.63,42.76,6544156
2015-04-10,42.58,44.67,40.89,42.08,12246728
2015-04-17,41.61,43.83,41.61,42.71,9128761
2015-04-24,42.99,43.24,40.24,41.32,26342347
2015-05-01,41.4,42.38,41.4,41.73,10022906
2015-05-08,41.85,42.57,41.19,41.69,6194985
2015-05-15,41.77,43.32,41.54,42.98,6872629
2015-05-22,42.98,44.31,42.79,43.67,8544031
2015-05-29,43.53,43.59,42.85,43.0,7823504
2015-06-05,43.14,43.28,41.39,41.89,5945577
2015-06-12,41.77,41.89,40.99,41.7,6368453
2015-06-19,41.4,41.61,40.73,41.24,6571553
2015-06-26,41.54,43.0,41.3,42.81,13372114
2015-07-03,42.39,46.78,42.32,45.63,21295529
2015-07-10,45.1,45.52,42.9,42.91,10783486
2015-07-17,43.38,44.08,42.58,42.87,8376965
2015-07-24,42.83,43.2,40.64,40.86,14183768
2015-07-31,40.52,41.09,39.13,40.84,10747751
2015-08-07,40.74,41.36,40.17,41.06,5883783
2015-08-14,41.44,41.94,40.38,41.42,3757790
2015-08-21,42.16,42.62,38.29,38.3,8716308
2015-08-28,35.47,37.96,35.15,37.59,11377002
2015-09-04,37.5,37.8,35.47,35.72,7402415
2015-09-11,36.48,37.26,35.77,36.54,5546674
2015-09-18,36.47,37.09,34.18,34.25,9757567
2015-09-25,34.35,35.12,33.2,34.91,14026975
2015-10-02,34.57,35.04,32.53,34.49,12640568
2015-10-09,34.87,39.02,34.84,38.38,16409674
2015-10-16,38.29,38.95,36.75,37.32,12274870
2015-10-23,37.05,38.55,34.95,37.47,20200519
2015-10-30,37.47,37.77,36.15,37.56,12128053
2015-11-06,37.52,40.09,37.39,38.46,12267127
2015-11-13,38.28,38.52,36.44,36.86,10328151
2015-11-20,37.0,38.58,36.7,38.07,8382325
2015-11-27,38.08,38.56,37.43,37.87,3817499
2015-12-04,37.81,38.76,37.2,37.49,13954610
2015-12-11,37.31,37.44,34.59,34.74,9104640
2015-12-18,34.67,35.43,32.33,32.38,14677817
2015-12-25,32.59,34.03,32.38,33.77,11173307
2016-01-01,33.59,34.03,33.19,33.26,5147026
2016-01-08,32.66,33.28,30.61,30.65,11638470
2016-01-15,31.01,31.56,29.54,29.97,13314042
2016-01-22,30.44,30.73,28.21,29.62,11458749
2016-01-29,29.54,31.65,29.22,31.65,13535904
2016-02-05,31.28,32.3,29.36,31.06,16648509
2016-02-12,30.71,31.01,27.92,29.82,16658337
2016-02-19,30.15,32.59,29.93,32.24,12490329
2016-02-26,32.77,33.3,31.24,32.6,8203496
2016-03-04,32.73,34.42,32.04,33.94,10766661
2016-03-11,33.8,34.96,32.82,33.85,8876525
2016-03-18,33.65,36.53,33.11,36.13,11526498
2016-03-25,36.01,36.48,34.78,35.36,5367249
2016-04-01,35.37,36.63,34.85,35.96,9413310
2016-04-08,35.92,36.02,33.83,34.59,11007582
2016-04-15,34.84,37.38,34.65,37.01,7256493
2016-04-22,36.69,38.57,36.57,38.47,7496221
2016-04-29,38.24,41.69,37.09,39.01,17671005
2016-05-06,38.78,39.72,37.93,39.05,8747577
2016-05-13,38.93,40.19,38.5,38.72,9994764
2016-05-20,38.82,39.94,38.7,39.27,11416462
2016-05-27,39.22,41.73,39.01,40.71,7773325
2016-06-03,40.73,42.57,39.62,40.3,12083533
2016-06-10,40.55,41.48,39.58,39.88,10797185
2016-06-17,39.64,41.12,39.01,41.1,13833406
2016-06-24,41.81,42.11,38.69,38.84,12873149
2016-07-01,38.29,39.63,37.29,39.51,11989727
2016-07-08,39.42,41.33,38.42,41.26,6391533
2016-07-15,41.52,43.0,41.31,42.69,9294933
2016-07-22,42.52,42.68,41.24,42.05,9918079
2016-07-29,42.01,43.19,41.47,42.86,9253243
2016-08-05,42.72,43.36,40.85,43.36,10703380
2016-08-12,43.49,44.37,43.09,44.08,5536251
2016-08-19,44.27,44.99,43.16,44.18,8553113
2016-08-26,43.87,44.2,42.55,42.78,10682682
2016-09-02,42.87,43.67,41.92,43.0,8292094
2016-09-09,43.16,43.75,40.21,40.22,9274534
2016-09-16,39.88,40.81,39.09,39.89,14890596
2016-09-23,40.2,42.36,39.97,41.14,8979861
2016-09-30,40.8,43.49,40.51,43.14,10077106
2016-10-07,42.75,43.24,40.26,40.45,9658846
2016-10-14,40.69,40.89,38.97,39.45,6665061
2016-10-21,39.48,40.15,38.54,39.2,7110720
2016-10-28,39.58,39.85,36.78,37.04,10054324
2016-11-04,37.25,37.52,36.13,36.74,10480028
2016-11-11,37.31,40.74,36.97,39.93,12491073
2016-11-18,40.11,40.5,38.75,38.82,8490725
2016-11-25,39.2,39.43,38.58,38.99,5093869
2016-12-02,38.86,40.15,37.72,39.48,9769329
2016-12-09,39.84,41.32,39.65,40.46,7570076
2016-12-16,40.61,40.8,37.9,37.98,11992556
2016-12-23,38.11,38.83,37.96,38.16,6851038
2016-12-30,38.25,38.68,37.45,37.66,3906838
2017-01-06,38.23,39.33,38.13,38.96,5674281
2017-01-13,38.8,39.51,37.97,39.43,5900610
2017-01-20,39.4,39.79,38.96,39.49,5252299
2017-01-27,39.34,41.55,38.99,41.0,7519599
2017-02-03,40.71,40.96,38.58,39.21,13517738
2017-02-10,39.06,39.46,38.58,39.44,8578277
2017-02-17,39.44,40.09,38.7,39.04,8080654
2017-02-24,39.03,39.98,38.75,39.05,7010659
2017-03-03,39.15,40.36,38.84,39.72,10315643
2017-03-10,39.37,40.45,39.35,40.37,10061173
2017-03-17,40.42,42.44,39.9,42.22,12387736
2017-03-24,42.25,42.3,40.5,40.78,6866375
2017-03-31,40.14,42.61,39.88,42.16,8788226
2017-04-07,42.3,42.67,41.38,42.17,7019892
2017-04-14,42.13,42.71,41.69,41.75,4783264
2017-04-21,42.01,42.52,41.63,42.02,7306225
2017-04-28,42.73,44.1,42.04,43.32,13043343
2017-05-05,43.14,44.63,42.87,44.61,8823516
2017-05-12,44.41,46.36,43.36,43.41,11939398
2017-05-19,43.73,45.32,43.3,45.07,8267374
2017-05-26,45.34,45.57,44.26,44.49,6447965
2017-06-02,44.47,44.87,43.68,44.46,6164013
2017-06-09,44.41,44.61,42.87,44.5,7122780
2017-06-16,44.64,45.06,44.23,44.78,5202120
2017-06-23,44.88,45.16,43.51,44.08,5563648
2017-06-30,44.2,44.96,43.69,44.69,4060652
2017-07-07,45.0,45.21,44.04,44.75,3901628
2017-07-14,44.76,45.51,44.48,44.69,4574507
2017-07-21,44.62,44.74,43.14,43.5,5441402
2017-07-28,43.51,43.61,41.69,42.49,8726731
2017-08-04,42.51,42.82,41.69,42.42,7148988
2017-08-11,42.43,42.5,40.98,41.35,4579271
2017-08-18,41.61,42.1,40.88,40.95,5095061
2017-08-25,40.93,41.41,40.75,41.31,3828964
2017-09-01,41.56,42.2,39.71,41.96,5433509
2017-09-08,41.92,41.92,41.12,41.65,3560944
2017-09-15,41.85,43.75,41.69,43.38,6306360
2017-09-22,43.48,45.26,43.34,45.03,7378442
2017-09-29,45.02,46.0,44.0,45.64,8296560
2017-10-06,45.6,47.35,45.53,47.02,7565014
2017-10-13,47.09,47.27,46.72,47.0,6466578
2017-10-20,47.35,47.92,46.77,47.8,5188718
2017-10-27,47.84,48.12,46.34,47.1,7791192
2017-11-03,47.01,47.61,46.26,46.58,6613990
2017-11-10,46.63,46.83,45.18,45.7,6034768
2017-11-17,45.44,46.19,45.19,45.96,6330780
2017-11-24,46.09,47.18,45.88,46.45,3890460
2017-12-01,46.41,48.19,46.18,47.14,10646051
2017-12-08,47.48,47.62,45.84,46.98,7279424
2017-12-15,46.89,47.36,45.67,45.78,8759489
2017-12-22,46.1,47.31,46.02,46.83,5840156
2017-12-29,46.94,47.65,46.44,47.43,2983212
2018-01-05,47.68,48.88,46.94,48.8,5689022
2018-01-12,48.82,50.01,48.47,49.54,6560685
2018-01-19,49.7,50.26,49.23,49.68,4572719
2018-01-26,49.61,49.79,48.66,49.71,6603269
2018-02-02,49.47,49.97,45.8,47.84,13402638
2018-02-09,47.69,47.91,43.53,45.06,12539762
2018-02-16,45.29,48.18,45.2,47.57,9997146
2018-02-23,47.29,48.34,47.19,47.94,4066012
2018-03-02,48.09,48.3,44.43,45.15,6591505
2018-03-09,44.95,48.29,44.66,48.23,7513941
2018-03-16,48.34,49.07,46.73,48.85,8708416
2018-03-23,48.76,48.78,45.08,45.2,7860580
2018-03-30,45.8,46.78,45.28,45.76,7156284
2018-04-06,46.4,47.43,44.45,45.72,9582161
2018-04-13,45.95,47.48,45.77,47.02,5027311
2018-04-20,47.42,49.0,46.9,47.31,10102567
2018-04-27,47.45,47.63,44.5,45.17,8951869
2018-05-04,45.44,45.75,43.51,44.3,20018542
2018-05-11,44.37,44.92,43.9,44.67,10624300
2018-05-18,44.68,46.18,44.55,46.02,9172600
2018-05-25,46.34,46.93,44.82,45.03,5515300
2018-06-01,44.76,45.05,43.24,43.86,5506100
2018-06-08,44.11,45.15,43.3,45.0,8040800
2018-06-15,45.05,45.34,42.89,43.86,8922700
2018-06-22,43.45,44.08,42.09,42.57,7193400
2018-06-29,42.34,42.72,41.28,42.08,7667200
2018-07-06,41.67,42.83,41.44,42.28,4901600
2018-07-13,42.38,43.75,42.36,43.52,5643600
2018-07-20,43.34,44.24,42.92,43.89,5957600
2018-07-27,43.64,44.78,41.64,43.26,16175000
2018-08-03,43.39,44.8,42.56,43.96,9362900
2018-08-10,44.02,44.41,42.87,43.28,7115800
2018-08-17,43.26,43.42,41.0,42.8,9242500
2018-08-24,42.9,43.61,42.41,42.88,5634400
2018-08-31,43.07,43.97,42.89,43.48,5057500
2018-09-07,43.26,43.92,42.54,43.09,5978900
2018-09-14,43.3,44.19,42.46,44.07,7802900
2018-09-21,44.19,46.0,44.03,44.88,8656700
2018-09-28,44.74,44.8,42.62,43.35,6216300
2018-10-05,43.65,43.94,42.7,42.73,6111100
2018-10-12,42.55,42.73,38.36,39.0,7365400
2018-10-19,38.96,39.59,38.11,38.41,8022600
2018-10-26,38.55,40.28,36.06,39.35,14646200
2018-11-02,39.89,41.93,38.66,41.63,9318800
2018-11-09,41.76,43.39,41.48,42.53,6148900
2018-11-16,42.6,42.76,41.38,42.29,5799500
2018-11-23,42.28,42.64,41.2,41.79,3323600
2018-11-30,42.01,42.97,41.17,42.7,6741900
2018-12-07,43.4,43.78,38.71,39.72,11256300
2018-12-14,39.64,40.36,38.81,39.11,9317800
2018-12-21,39.08,39.35,36.68,36.73,9879200
2018-12-28,36.66,37.77,35.3,37.31,3887800
2019-01-04,37.45,38.17,36.58,38.15,6703200
2019-01-11,38.28,40.73,37.97,40.45,7208900
2019-01-18,40.15,41.42,39.87,41.17,7434400
2019-01-25,40.9,41.39,39.81,41.06,7133400
2019-02-01,40.69,42.67,40.33,41.0,11361300
2019-02-08,40.98,41.71,40.45,41.0,6411500
2019-02-15,41.12,42.72,40.96,42.72,6312900
2019-02-22,42.5,43.07,42.28,43.05,4513300
2019-03-01,43.38,43.64,42.44,42.68,7206000
2019-03-08,42.88,43.1,41.2,41.64,6693200
2019-03-15,41.61,42.94,41.61,42.62,6245900
2019-03-22,42.64,44.04,42.19,42.26,6662300
2019-03-29,42.27,44.63,42.26,44.51,6472000
2019-04-05,44.9,45.7,44.74,45.21,6985000
2019-04-12,45.08,45.28,38.5,40.06,19462600
2019-04-19,39.99,40.47,37.43,38.22,11717300
2019-04-26,38.09,38.58,37.32,38.41,10142900
2019-05-03,38.54,39.5,38.37,39.48,11890500
2019-05-10,38.61,38.99,36.99,37.97,7764800
2019-05-17,37.2,37.39,35.93,36.01,6769600
2019-05-24,35.72,36.67,35.28,36.25,9858000
2019-05-31,36.38,36.38,34.72,34.82,7749900
