Date,Open,High,Low,Close,Volume
2015-04-03,63.2,64.34,62.77,63.66,3124400
2015-04-10,63.75,64.95,62.36,63.78,4166500
2015-04-17,63.43,64.12,62.13,62.65,3336000
2015-04-24,62.81,64.3,62.46,63.75,2820800
2015-05-01,63.89,63.95,60.13,60.48,5089900
2015-05-08,61.69,61.76,58.82,59.86,4976500
2015-05-15,59.56,60.52,58.37,59.96,4446000
2015-05-22,59.63,61.47,59.63,60.98,2951600
2015-05-29,60.83,61.43,60.24,60.92,2441800
2015-06-05,61.04,61.34,57.36,57.63,3523500
2015-06-12,57.62,57.93,56.81,57.0,3895200
2015-06-19,56.87,58.61,56.34,58.14,4382800
2015-06-26,58.25,58.46,56.01,56.89,4027600
2015-07-03,56.96,58.55,56.4,58.32,4336200
2015-07-10,58.16,60.72,57.82,60.32,5345800
2015-07-17,60.52,61.28,59.39,60.42,4668800
2015-07-24,60.63,61.12,59.16,59.99,4834500
2015-07-31,59.87,62.63,59.55,61.71,5139300
2015-08-07,61.72,62.89,60.32,62.62,3791700
2015-08-14,62.7,64.48,62.08,64.37,3298600
2015-08-21,64.43,65.23,63.25,63.27,3773300
2015-08-28,62.16,62.85,59.24,60.48,7952200
2015-09-04,60.15,60.39,57.33,57.6,4011200
2015-09-11,58.22,59.95,57.99,59.79,4728600
2015-09-18,59.87,62.47,59.55,61.77,4199000
2015-09-25,61.97,64.09,61.54,63.52,4205100
2015-10-02,63.51,64.35,62.75,63.92,3736700
2015-10-09,64.23,64.48,62.62,63.98,5906800
2015-10-16,63.99,66.19,63.99,65.85,2960200
2015-10-23,65.49,67.02,64.76,65.71,3543400
2015-10-30,65.52,66.06,62.43,63.51,5291000
2015-11-06,63.47,65.45,61.12,61.54,5165900
2015-11-13,61.3,63.92,61.02,61.58,5078200
2015-11-20,61.7,63.85,61.32,63.34,6211300
2015-11-27,63.47,63.84,62.21,62.95,2613700
2015-12-04,63.02,63.99,60.93,62.38,7706800
2015-12-11,62.27,63.99,60.7,61.53,6147300
2015-12-18,61.52,64.12,60.85,62.85,5076100
2015-12-25,63.19,64.61,62.28,64.29,1776800
2016-01-01,64.12,65.51,63.78,64.48,1634900
2016-01-08,64.31,65.02,62.94,64.02,4203800
2016-01-15,64.19,65.28,62.85,64.01,5107500
2016-01-22,64.57,65.14,62.52,64.1,3684100
2016-01-29,64.13,66.49,62.51,66.31,3924900
2016-02-05,66.24,70.0,66.02,68.52,7372200
2016-02-12,68.98,69.72,66.42,67.22,6365100
2016-02-19,67.35,68.65,66.22,68.25,5321400
2016-02-26,68.93,71.4,68.32,68.54,4812400
2016-03-04,68.41,69.44,66.35,69.0,6112400
2016-03-11,68.89,71.92,68.77,71.18,5510400
2016-03-18,71.0,73.53,70.45,72.7,4298800
2016-03-25,72.44,73.7,71.75,73.49,2403100
2016-04-01,73.56,75.57,73.16,75.49,3140100
2016-04-08,75.6,75.81,73.57,74.36,3447700
2016-04-15,74.45,74.83,73.63,74.34,3605700
2016-04-22,74.33,74.99,70.81,71.46,2960900
2016-04-29,71.32,72.81,70.23,72.65,4597300
2016-05-06,72.78,74.33,72.21,72.98,5167700
2016-05-13,73.09,74.65,72.87,74.21,2887800
2016-05-20,74.24,74.58,70.11,71.56,4327800
2016-05-27,71.63,73.27,71.04,73.19,3089100
2016-06-03,73.15,76.26,72.6,75.76,4034300
2016-06-10,75.77,77.54,74.95,76.73,3377900
2016-06-17,76.83,77.81,76.21,77.78,3682100
2016-06-24,77.76,78.59,76.6,77.95,2989500
2016-07-01,77.95,81.59,77.94,81.08,4564400
2016-07-08,81.22,82.78,79.97,81.17,4881300
2016-07-15,80.93,81.15,79.12,79.53,3886200
2016-07-22,79.25,80.74,77.96,80.59,2990700
2016-07-29,80.61,80.85,77.79,78.87,2789600
2016-08-05,78.67,79.54,77.0,77.17,3581900
2016-08-12,77.25,78.46,76.79,77.92,2444600
2016-08-19,77.94,77.96,74.82,76.65,3082200
2016-08-26,76.76,77.57,74.75,74.83,2411900
2016-09-02,75.04,76.12,74.28,76.07,2685100
2016-09-09,76.57,77.32,73.94,73.95,2720200
2016-09-16,74.07,76.41,73.94,76.29,4203400
2016-09-23,76.34,79.7,76.22,79.39,3400600
2016-09-30,79.5,80.19,75.56,75.99,4165100
2016-10-07,75.81,75.81,72.07,72.69,5055100
2016-10-14,73.21,74.89,72.84,73.66,3576100
2016-10-21,73.87,75.46,73.6,74.08,2923400
2016-10-28,74.44,75.35,74.04,74.6,2821500
2016-11-04,74.96,76.59,73.48,74.11,4461300
2016-11-11,74.56,76.15,70.86,73.44,5673200
2016-11-18,72.98,74.44,72.15,73.26,4633400
2016-11-25,73.5,75.47,73.49,75.34,2402600
2016-12-02,75.53,77.34,72.62,73.54,3548900
2016-12-09,73.25,76.27,72.61,76.19,3819500
2016-12-16,75.77,78.97,74.46,76.67,4421200
2016-12-23,77.07,77.85,76.34,77.66,1672000
2016-12-30,77.6,78.51,76.71,78.03,1325500
2017-01-06,77.99,78.8,76.97,78.49,3201500
2017-01-13,78.54,78.8,76.84,77.26,2974300
2017-01-20,77.83,78.4,76.64,77.02,1883700
2017-01-27,77.2,77.74,76.6,76.77,2362100
2017-02-03,76.23,78.46,75.79,78.03,3687200
2017-02-10,78.25,78.93,77.66,78.67,1685900
2017-02-17,78.65,78.91,76.89,78.7,2859400
2017-02-24,78.37,81.84,78.32,81.44,2149100
2017-03-03,81.45,83.77,80.76,83.03,4839200
2017-03-10,82.89,83.44,80.6,81.61,3214100
2017-03-17,81.54,83.92,81.3,83.23,3461200
2017-03-24,83.35,84.48,82.23,84.12,2539500
2017-03-31,84.53,84.72,82.84,83.38,2657400
2017-04-07,83.41,85.01,82.62,84.26,3731300
2017-04-14,84.34,85.53,83.98,85.23,2921800
2017-04-21,85.49,86.25,84.52,85.83,5015700
2017-04-28,85.86,86.63,84.72,85.09,4551500
2017-05-05,85.11,85.35,83.81,84.87,4345400
2017-05-12,84.99,85.09,83.63,84.76,3104900
2017-05-19,84.62,85.28,83.52,84.57,4273800
2017-05-26,84.41,87.8,84.05,87.4,3212400
2017-06-02,87.4,89.56,87.23,89.22,2634800
2017-06-09,89.23,89.23,87.12,87.99,3649600
2017-06-16,87.99,89.06,86.92,88.92,3770800
2017-06-23,89.01,89.12,87.7,87.84,3702000
2017-06-30,88.0,88.71,84.93,85.16,4904900
2017-07-07,85.4,85.87,84.14,84.67,2123600
2017-07-14,84.72,85.68,83.95,85.13,3172200
2017-07-21,85.33,87.25,84.95,87.23,2839500
2017-07-28,87.25,87.38,85.75,86.14,2660400
2017-08-04,86.18,88.95,85.35,88.06,3927400
2017-08-11,88.2,89.11,87.95,88.53,3444700
2017-08-18,88.9,89.91,88.41,89.29,2639600
2017-08-25,89.43,90.41,88.63,90.02,3428100
2017-09-01,90.21,90.87,89.46,89.86,2445700
2017-09-08,89.84,90.16,88.94,90.01,2262200
2017-09-15,89.94,90.92,87.79,89.27,3601500
2017-09-22,89.19,89.29,86.14,86.15,2997000
2017-09-29,86.07,87.17,83.95,84.56,3192900
2017-10-06,84.76,85.89,84.14,85.33,4591100
2017-10-13,85.5,88.04,85.17,87.38,3775100
2017-10-20,87.23,88.84,86.79,88.78,3300400
2017-10-27,88.94,89.22,87.04,88.91,3057400
2017-11-03,88.9,89.21,86.23,89.12,3423900
2017-11-10,89.02,90.0,88.14,88.34,3792100
2017-11-17,88.28,92.48,88.28,90.05,3585700
2017-11-24,90.08,90.25,88.93,89.52,1831400
2017-12-01,89.59,92.3,89.23,91.01,3554100
2017-12-08,91.19,91.52,88.66,90.75,2887800
2017-12-15,90.65,91.28,88.2,89.54,3120700
2017-12-22,89.5,89.9,84.81,85.14,2792200
2017-12-29,85.14,85.55,84.26,85.18,1762200
2018-01-05,85.3,85.55,82.02,82.42,3254600
2018-01-12,82.39,83.18,79.11,79.22,2803400
2018-01-19,79.46,79.92,78.55,79.08,3140300
2018-01-26,79.56,81.33,78.81,80.94,3703000
2018-02-02,80.65,80.65,77.69,77.73,4116700
2018-02-09,77.62,78.35,73.81,76.29,5380600
2018-02-16,76.29,78.88,75.61,78.69,3538100
2018-02-23,78.2,80.41,75.92,80.15,5020400
2018-03-02,79.97,80.83,76.06,76.92,5699300
2018-03-09,76.52,78.31,75.21,76.38,4253900
2018-03-16,76.42,78.0,75.96,77.97,5897900
2018-03-23,78.1,80.14,77.4,77.76,5096500
2018-03-30,77.93,80.21,77.73,79.8,3402000
2018-04-06,79.8,80.54,78.32,79.75,4570100
2018-04-13,79.81,80.37,77.14,78.14,4515600
2018-04-20,78.54,80.73,77.55,78.02,4635800
2018-04-27,78.23,81.85,77.95,81.61,5343500
2018-05-04,81.36,81.61,78.24,80.2,5451700
2018-05-11,80.22,80.48,76.96,78.12,3690300
2018-05-18,78.13,78.39,75.97,76.54,3424200
2018-05-25,76.48,78.63,75.82,78.39,3873000
2018-06-01,78.59,80.29,77.48,77.58,3764000
2018-06-08,77.59,77.86,73.9,74.4,4517000
2018-06-15,74.39,76.21,73.41,76.11,5172300
2018-06-22,76.16,78.44,75.69,78.29,4212900
2018-06-29,78.68,81.25,78.24,80.56,3977500
2018-07-06,80.79,83.05,80.57,82.74,2904600
2018-07-13,82.87,83.04,78.66,80.15,5604200
2018-07-20,80.21,81.17,79.24,79.94,3760000
2018-07-27,80.0,81.28,77.56,80.66,4512900
2018-08-03,80.5,80.89,78.95,80.32,4181300
2018-08-10,81.56,82.38,80.29,81.3,4145900
2018-08-17,81.36,82.83,80.78,82.27,5704200
2018-08-24,82.44,82.6,80.22,81.23,3465100
2018-08-31,81.32,81.32,78.27,78.55,5670200
2018-09-07,78.61,80.6,78.61,79.59,3468500
2018-09-14,79.79,80.46,79.32,80.35,3233900
2018-09-21,80.6,81.12,78.38,80.22,5423100
2018-09-28,80.22,80.35,77.19,79.18,3676300
2018-10-05,78.95,81.95,78.11,81.8,4140800
2018-10-12,82.01,84.19,80.22,81.5,5413000
2018-10-19,81.48,85.68,81.29,85.15,6073300
2018-10-26,85.13,86.71,82.03,82.65,4598000
2018-11-02,82.61,84.26,81.45,82.38,5050100
2018-11-09,82.4,88.66,82.31,88.47,7320300
2018-11-16,88.31,89.95,86.81,88.32,6558300
