Date,Open,High,Low,Close,Volume
2015-04-03,30.98,31.7,30.59,31.53,20452545
2015-04-10,31.62,32.23,31.12,31.71,21186171
2015-04-17,31.65,31.84,30.79,31.01,20203565
2015-04-24,31.09,32.34,31.09,32.21,20498497
2015-05-01,31.89,32.37,31.44,31.84,24222353
2015-05-08,31.87,32.35,30.66,31.57,25335194
2015-05-15,31.43,31.88,30.81,31.6,20084711
2015-05-22,31.44,32.68,31.37,32.06,24717737
2015-05-29,32.04,32.52,31.82,32.33,16705175
2015-06-05,32.35,32.57,30.75,30.95,34028456
2015-06-12,30.52,30.6,30.06,30.15,27408700
2015-06-19,30.13,30.96,29.75,30.53,23800000
2015-06-26,30.89,30.93,29.51,29.75,20187800
2015-07-03,29.77,30.09,29.32,29.8,23163400
2015-07-10,29.89,31.29,29.78,31.03,33679400
2015-07-17,31.16,31.53,30.77,31.1,20162800
2015-07-24,31.1,31.2,30.54,30.7,18779200
2015-07-31,30.74,32.08,30.73,31.81,18539200
2015-08-07,31.9,32.56,31.45,32.36,18729000
2015-08-14,32.32,33.44,32.32,33.36,20943500
2015-08-21,33.48,33.83,32.9,32.9,16784100
2015-08-28,31.89,32.47,30.51,31.37,29591700
2015-09-04,31.26,31.29,29.59,29.67,23318100
2015-09-11,29.71,30.05,29.18,29.67,20091900
2015-09-18,29.71,31.23,29.68,30.96,23975700
2015-09-25,31.06,32.18,30.79,31.97,24576200
2015-10-02,32.06,33.12,31.81,33.04,35069500
2015-10-09,33.18,33.54,32.43,33.03,29589800
2015-10-16,33.03,34.55,33.03,34.46,22978300
2015-10-23,34.23,34.92,34.01,34.18,17878200
2015-10-30,34.24,34.48,33.0,34.4,25942400
2015-11-06,34.33,34.6,32.78,33.08,21273700
2015-11-13,32.99,34.29,32.62,33.06,23342700
2015-11-20,33.12,34.8,33.0,34.5,22194700
2015-11-27,34.93,35.0,33.42,33.65,13772000
2015-12-04,33.72,34.34,32.85,33.74,30503100
2015-12-11,33.62,33.8,32.57,32.71,23059400
2015-12-18,32.65,34.1,32.36,33.64,23457600
2015-12-25,33.73,34.42,33.15,34.26,13549500
2016-01-01,34.11,34.48,33.75,34.13,11204300
2016-01-08,33.9,34.13,33.23,33.39,23895800
2016-01-15,33.59,34.41,32.97,33.29,29210500
2016-01-22,33.55,34.1,32.18,34.01,24431400
2016-01-29,33.98,35.15,33.54,35.06,21448400
2016-02-05,35.15,37.23,35.08,36.16,42675700
2016-02-12,35.77,36.55,35.53,35.74,24555500
2016-02-19,35.91,36.65,35.6,36.26,17364200
2016-02-26,36.28,36.37,34.75,34.82,31697500
2016-03-04,34.82,35.91,34.0,35.67,27248800
2016-03-11,35.67,36.77,35.51,36.56,21968900
2016-03-18,36.45,37.68,36.14,37.06,21370800
2016-03-25,37.17,37.43,36.73,37.19,15218700
2016-04-01,37.26,38.23,36.96,38.19,15210900
2016-04-08,38.24,38.3,36.92,37.4,16091900
2016-04-15,37.34,37.68,36.85,37.54,12848100
2016-04-22,37.64,37.92,36.14,36.51,19735500
2016-04-29,36.5,37.75,36.28,37.64,24061400
2016-05-06,37.64,38.78,37.64,38.3,22372200
2016-05-13,38.36,39.08,38.28,38.89,18118300
2016-05-20,38.75,38.86,37.1,37.96,23287500
2016-05-27,37.98,38.7,37.43,38.68,18354400
2016-06-03,38.59,39.42,38.22,39.3,17801800
2016-06-10,39.3,39.52,38.7,39.32,20348000
2016-06-17,39.28,39.48,38.49,39.04,33777100
2016-06-24,39.16,39.92,36.96,37.18,36929700
2016-07-01,36.8,37.88,36.33,37.6,35359900
2016-07-08,37.6,37.74,36.66,37.46,20675100
2016-07-15,37.35,37.67,36.96,37.15,22777200
2016-07-22,37.24,37.74,36.69,37.7,17963300
2016-07-29,37.65,37.73,36.77,37.71,17848800
2016-08-05,37.66,37.76,36.55,36.76,17568000
2016-08-12,36.89,37.06,35.78,36.26,21767500
2016-08-19,36.26,36.39,34.56,35.15,25231600
2016-08-26,35.28,35.76,34.62,34.66,18191300
2016-09-02,34.86,35.16,34.35,35.03,24278200
