Date,Open,High,Low,Close,Volume
2015-03-27,82.68,83.99,78.51,79.14,13954900
2015-04-03,79.79,80.83,79.17,80.53,8383900
2015-04-10,79.42,81.4,78.92,80.34,9017500
2015-04-17,80.43,81.25,78.52,79.13,11689200
2015-04-24,79.7,81.72,79.34,80.79,8764700
2015-05-01,81.0,83.42,79.79,83.36,12662700
2015-05-08,83.37,85.87,82.79,85.58,13137000
2015-05-15,85.71,87.26,84.88,85.46,12344300
2015-05-22,85.37,87.12,84.96,85.12,9799000
2015-05-29,85.0,85.49,83.73,84.61,8258600
2015-06-05,84.86,89.22,83.66,88.24,14140000
2015-06-12,88.0,90.98,87.15,89.24,12785200
2015-06-19,88.26,90.35,87.84,89.29,11945600
2015-06-26,90.07,91.82,89.7,90.72,11119300
2015-07-03,89.37,89.77,86.85,88.17,12242100
2015-07-10,86.92,88.16,84.12,87.36,11995400
2015-07-17,88.16,89.82,88.01,88.76,11380700
2015-07-24,89.07,89.52,87.52,87.85,8115400
2015-07-31,87.0,89.94,86.0,88.36,9436900
2015-08-07,88.54,92.6,88.26,89.41,13142200
2015-08-14,90.61,91.92,86.23,90.1,10657500
2015-08-21,89.25,89.77,80.71,80.77,11535700
2015-08-28,76.0,81.59,74.05,81.2,24955800
2015-09-04,80.23,81.03,76.4,77.1,12311100
2015-09-11,78.79,81.57,77.52,78.99,9691800
2015-09-18,78.78,81.21,75.55,75.83,13571900
2015-09-25,76.73,78.03,74.65,77.25,13013000
2015-10-02,76.66,76.9,73.19,75.4,12758200
2015-10-09,75.79,79.03,75.79,78.08,9577200
2015-10-16,77.91,79.34,75.89,79.27,9418100
2015-10-23,78.72,82.52,78.61,82.48,10523700
2015-10-30,82.27,84.92,80.15,82.5,10763300
2015-11-06,82.82,88.77,82.51,87.69,15141700
2015-11-13,87.63,88.08,83.88,84.29,12272400
2015-11-20,84.08,87.63,83.9,86.53,9057800
2015-11-27,86.51,86.88,85.01,86.28,4860000
2015-12-04,86.55,87.95,84.13,86.72,11980400
2015-12-11,86.44,86.67,80.06,80.69,12183700
2015-12-18,80.95,84.54,79.44,79.55,17523600
2015-12-25,80.15,83.26,79.17,82.55,7023800
2016-01-01,82.17,83.55,81.14,81.41,5040900
2016-01-08,79.55,80.34,72.86,73.05,15741500
2016-01-15,73.42,75.67,68.64,70.17,19132700
2016-01-22,71.24,71.55,65.07,69.87,15662200
2016-01-29,69.52,70.37,67.78,70.08,14502500
2016-02-05,69.34,69.95,65.0,65.35,18917400
2016-02-12,64.81,65.47,57.19,61.64,28490300
2016-02-19,62.66,67.19,61.74,65.36,16520300
2016-02-26,65.36,68.27,62.62,66.99,14763300
2016-03-04,66.65,72.65,65.99,71.47,15774200
2016-03-11,70.8,73.7,69.33,73.55,13415400
2016-03-18,73.16,75.42,71.36,74.94,13695900
2016-03-25,74.95,75.57,69.35,70.76,12755900
2016-04-01,71.13,74.73,70.33,73.25,14808000
