Date,Open,High,Low,Close,Volume
2015-03-27,50.48,50.83,48.39,48.94,989760
2015-04-03,48.72,49.2,48.04,48.76,913259
2015-04-10,48.64,49.33,48.51,48.89,976563
2015-04-17,48.35,48.66,47.45,47.75,1239055
2015-04-24,48.16,48.25,47.41,48.05,1301226
2015-05-01,49.03,49.43,47.47,48.09,1704346
2015-05-08,48.35,49.72,47.0,49.64,2032411
2015-05-15,49.64,50.17,48.76,50.04,945221
2015-05-22,49.74,50.6,49.52,49.84,730565
2015-05-29,49.42,49.49,48.01,48.52,686853
2015-06-05,48.13,48.61,46.94,47.32,1115438
2015-06-12,47.11,48.86,46.18,48.7,1118016
2015-06-19,47.82,49.12,47.55,48.28,1545778
2015-06-26,49.19,49.57,48.23,48.48,1086365
2015-07-03,47.72,47.98,46.72,47.6,767270
2015-07-10,46.46,48.54,44.85,48.44,2325936
2015-07-17,49.01,49.72,48.74,49.63,944087
2015-07-24,49.1,49.23,45.38,45.47,1684139
2015-07-31,45.51,46.22,45.12,45.84,1214106
2015-08-07,45.33,46.6,45.04,46.16,1022546
2015-08-14,45.24,47.98,45.23,46.82,1488042
2015-08-21,46.29,46.69,42.59,42.64,1324114
2015-08-28,40.97,43.18,40.38,42.42,2591315
2015-09-04,42.18,42.32,39.67,39.84,1237509
2015-09-11,41.81,43.27,41.24,42.08,1251738
2015-09-18,41.43,43.08,41.11,41.21,1522890
2015-09-25,41.77,41.82,39.67,40.9,1022443
2015-10-02,40.06,42.44,39.15,42.43,1261737
2015-10-09,43.64,45.56,43.49,44.96,1584028
2015-10-16,45.02,45.93,43.62,45.89,1375869
2015-10-23,45.76,46.11,44.66,45.83,961304
2015-10-30,45.65,45.82,44.86,45.38,1136161
2015-11-06,45.72,47.08,45.0,45.33,1224931
2015-11-13,45.77,45.89,43.07,43.32,2990622
2015-11-20,43.06,45.38,43.04,45.1,925323
2015-11-27,44.53,45.32,43.74,45.16,617878
2015-12-04,44.88,45.88,43.68,44.43,1005535
2015-12-11,44.6,44.87,42.94,43.03,1126986
2015-12-18,42.94,44.19,42.2,42.72,1591039
2015-12-25,43.42,44.88,42.69,44.65,810057
2016-01-01,44.38,45.0,43.72,43.72,548182
2016-01-08,41.75,42.2,38.52,38.55,2147572
2016-01-15,38.91,39.01,36.57,36.92,2118912
2016-01-22,38.76,38.76,35.61,37.1,1760639
2016-01-29,36.05,38.18,35.89,38.16,1757959
2016-02-05,36.57,37.45,33.67,34.41,4906735
2016-02-12,33.35,33.68,30.36,32.58,7225660
2016-02-19,33.18,34.73,32.64,34.24,2097055
2016-02-26,34.05,34.53,31.94,33.51,3928317
2016-03-04,33.76,37.15,33.51,36.94,4044304
2016-03-11,36.1,37.98,36.07,37.93,3444365
2016-03-18,37.74,38.83,35.94,38.44,3228371
2016-03-25,38.23,38.38,34.81,35.27,2152522
2016-04-01,35.51,36.62,35.0,35.32,2373773
2016-04-08,35.76,36.08,34.55,35.75,2719366
2016-04-15,36.36,38.82,36.11,38.31,2032617
2016-04-22,37.91,40.93,37.89,40.22,2219228
2016-04-29,39.66,40.25,38.08,38.3,1917557
2016-05-06,38.37,38.63,36.17,36.72,1765175
2016-05-13,36.54,36.96,35.28,35.36,2025605
2016-05-20,35.34,37.73,35.33,37.47,2100043
2016-05-27,37.18,40.39,37.02,39.56,2932576
2016-06-03,39.39,39.62,37.05,37.68,2528733
2016-06-10,37.67,38.06,34.15,34.42,2667196
2016-06-17,33.9,34.47,32.36,34.43,4177406
2016-06-24,36.75,39.19,32.46,32.46,6148885
2016-07-01,29.11,33.3,28.26,33.14,7768068
2016-07-08,30.64,31.1,28.7,30.72,5658437
2016-07-15,31.26,33.9,31.17,33.07,5220674
2016-07-22,33.41,34.39,33.22,34.01,3174965
2016-07-29,34.07,34.57,33.33,34.26,3201460
2016-08-05,33.88,35.0,33.65,34.96,4023168
2016-08-12,35.47,36.22,34.96,35.72,3549011
2016-08-19,35.85,36.26,34.75,35.29,5206860
2016-08-26,35.19,36.01,34.16,34.42,3904294
2016-09-02,34.26,36.69,34.22,36.45,4719402
2016-09-09,36.71,36.73,35.79,35.85,3663968
2016-09-16,35.2,36.11,34.17,34.39,5718649
2016-09-23,34.95,36.46,34.64,35.33,3393640
2016-09-30,34.63,35.45,34.08,34.64,4295351
2016-10-07,34.75,35.74,34.59,35.0,3382093
2016-10-14,34.75,34.96,32.64,32.94,3782739
2016-10-21,32.66,33.62,32.42,33.06,3030831
2016-10-28,33.58,33.58,32.08,32.14,3166511
2016-11-04,32.1,32.88,31.54,31.56,3784594
2016-11-11,32.42,37.72,32.31,36.35,4184726
2016-11-18,36.76,37.22,36.19,36.33,3334047
2016-11-25,36.63,37.55,36.52,37.55,1728058
2016-12-02,37.28,38.53,36.86,38.24,3067638
2016-12-09,38.88,40.64,38.48,39.12,3737581
2016-12-16,38.28,38.89,37.79,38.23,2716788
2016-12-23,37.57,38.45,37.4,38.12,1884462
2016-12-30,38.1,38.9,37.83,38.59,1365044
2017-01-06,38.87,39.37,38.23,38.43,2116334
2017-01-13,37.79,38.26,37.29,38.08,2319647
2017-01-20,38.02,38.07,37.02,37.29,1621144
2017-01-27,37.32,39.03,37.24,38.43,1514332
2017-02-03,37.9,38.94,37.4,38.73,2510897
2017-02-10,38.15,39.35,37.91,39.24,1429893
2017-02-17,39.49,39.8,38.9,39.1,1416491
2017-02-24,39.25,39.53,38.79,39.14,979966
2017-03-03,38.95,39.61,38.79,39.49,1624443
2017-03-10,39.31,39.34,38.69,39.01,1553510
2017-03-17,39.78,42.78,39.56,42.32,2215825
2017-03-24,42.45,42.88,41.34,41.72,1850129
2017-03-31,41.53,41.92,40.38,41.09,1381334
2017-04-07,40.41,40.98,39.98,40.32,1780743
2017-04-14,40.46,40.9,40.16,40.16,1215961
2017-04-21,40.26,41.13,39.88,40.79,1364631
2017-04-28,41.95,43.58,41.93,43.06,1585369
2017-05-05,43.01,44.36,42.79,44.35,1265448
2017-05-12,43.94,44.35,43.7,44.07,1091107
2017-05-19,44.09,44.68,43.15,44.5,1315143
2017-05-26,44.11,44.2,43.47,43.62,1752081
2017-06-02,43.65,44.42,43.41,44.27,1313082
2017-06-09,44.35,44.43,43.48,44.35,2232940
2017-06-16,44.09,44.69,43.33,44.66,1701048
2017-06-23,44.85,44.97,43.76,44.37,1233384
2017-06-30,45.02,45.44,44.29,44.63,2595851
2017-07-07,44.75,45.09,44.41,44.69,1275554
2017-07-14,44.78,45.25,43.73,45.09,1159153
2017-07-21,44.96,45.59,44.37,45.53,1006771
2017-07-28,45.04,46.81,44.96,46.46,1191836
2017-08-04,47.06,48.18,47.02,47.31,1663829
2017-08-11,47.31,47.58,44.87,45.02,1415253
2017-08-18,45.62,45.82,44.97,45.12,907795
2017-08-25,45.12,45.76,44.52,45.48,798511
2017-09-01,45.55,46.04,44.81,45.81,567256
2017-09-08,44.77,45.18,44.43,45.0,790365
2017-09-15,45.53,46.56,45.47,45.89,739743
2017-09-22,45.94,46.91,45.9,46.66,871917
2017-09-29,45.65,46.58,44.68,46.47,2765040
2017-10-06,46.42,46.64,45.65,46.26,991101
2017-10-13,46.56,47.26,46.34,47.09,709019
2017-10-20,46.92,47.89,46.56,47.66,701803
2017-10-27,48.24,48.37,47.15,47.38,861194
2017-11-03,47.49,47.87,47.02,47.41,914394
2017-11-10,47.21,47.46,46.47,47.18,610043
2017-11-17,46.98,48.55,46.94,48.44,982646
2017-11-24,48.44,49.49,48.28,48.78,537151
2017-12-01,48.98,49.54,47.42,47.93,793973
2017-12-08,48.26,48.33,46.64,47.82,897691
2017-12-15,47.84,48.57,47.18,47.68,760363
2017-12-22,49.06,49.17,48.21,48.5,751702
2017-12-29,48.46,49.67,48.35,49.25,622517
2018-01-05,49.57,50.52,49.21,50.5,779643
2018-01-12,50.22,52.68,49.7,52.65,1522890
2018-01-19,52.59,53.42,52.2,53.39,544059
2018-01-26,53.02,53.7,52.57,53.0,963882
2018-02-02,52.86,52.96,51.34,51.4,812943
2018-02-09,50.18,50.55,46.62,47.78,1664035
2018-02-16,48.4,50.4,48.0,50.07,1101623
2018-02-23,49.94,50.51,49.36,50.05,587567
2018-03-02,49.99,50.25,47.73,48.49,1002235
2018-03-09,47.87,50.09,47.79,50.03,844080
2018-03-16,49.86,53.06,49.42,51.73,1698469
2018-03-23,51.83,52.15,49.36,49.36,902537
2018-03-30,50.21,50.77,49.26,49.59,1000276
2018-04-06,48.63,48.87,47.44,48.22,1005636
2018-04-13,48.72,51.24,48.62,50.87,951716
2018-04-20,50.8,51.34,50.4,50.99,640148
2018-04-27,50.89,51.2,49.61,50.04,833666
2018-05-04,50.09,50.27,49.33,49.85,888309
2018-05-11,50.11,51.18,49.66,50.57,784592
2018-05-18,50.07,50.66,49.9,50.54,788509
2018-05-25,50.66,51.07,48.45,48.87,1047702
2018-06-01,47.34,47.98,46.21,47.73,899238
