Date,Open,High,Low,Close,Volume
2015-03-27,38.89,40.25,38.38,38.79,4998900
2015-04-03,38.73,39.34,37.04,38.96,5547600
2015-04-10,38.92,39.48,38.31,38.98,2356900
2015-04-17,39.13,39.78,38.28,38.5,3546800
2015-04-24,38.59,41.8,37.78,41.57,7197900
2015-05-01,42.64,43.26,40.15,41.37,8398600
2015-05-08,41.48,42.38,40.25,41.16,5600300
2015-05-15,41.16,42.24,40.5,42.14,2842500
2015-05-22,42.38,42.38,39.37,39.84,3799300
2015-05-29,39.67,40.0,37.93,38.67,3565300
2015-06-05,38.77,39.37,38.24,39.29,3804200
2015-06-12,39.29,39.43,37.32,38.01,4794300
2015-06-19,37.88,38.43,36.97,37.85,6016900
2015-06-26,37.97,39.17,37.58,38.99,13810200
2015-07-03,38.53,39.59,37.66,39.52,4765700
2015-07-10,38.8,39.84,38.14,38.84,4154800
2015-07-17,39.32,41.13,39.06,40.84,3986500
2015-07-24,40.88,40.88,39.01,40.09,4009300
2015-07-31,41.53,43.49,40.83,43.24,7349600
2015-08-07,43.49,44.6,42.48,42.86,3829300
2015-08-14,43.04,43.12,41.58,42.6,3067300
2015-08-21,42.32,43.32,39.22,39.43,5144400
2015-08-28,37.41,40.27,35.0,39.56,6020600
2015-09-04,39.04,39.75,36.95,37.54,5529800
2015-09-11,38.4,38.91,36.65,37.37,3535900
2015-09-18,37.39,38.03,36.41,36.69,2481000
2015-09-25,36.84,38.26,36.58,37.24,2978200
2015-10-02,37.11,37.45,34.19,34.97,7224400
2015-10-09,35.34,36.65,34.8,36.32,3213300
2015-10-16,36.26,37.14,35.83,36.55,2524500
2015-10-23,36.43,38.69,36.17,37.33,6955000
2015-10-30,37.5,41.33,37.47,40.16,7933100
2015-11-06,39.42,39.82,35.65,36.09,6628200
2015-11-13,36.11,36.88,34.82,35.55,7040000
2015-11-20,35.44,38.0,35.39,37.42,4416100
2015-11-27,37.25,37.48,35.5,36.93,2841300
2015-12-04,37.0,37.28,35.59,36.01,7531800
2015-12-11,36.05,36.36,34.47,35.59,11410000
2015-12-18,35.8,37.47,34.58,36.7,8493400
2015-12-25,37.01,37.71,35.9,37.22,2401600
2016-01-01,37.06,37.75,36.58,37.36,3208600
2016-01-08,36.51,36.52,31.81,31.82,13653800
2016-01-15,32.12,34.04,31.27,33.47,9754200
2016-01-22,33.52,34.96,31.3,34.75,6202900
2016-01-29,34.47,34.68,32.29,33.58,7575900
2016-02-05,33.4,34.17,31.85,31.96,7560800
2016-02-12,31.75,32.13,29.28,32.01,12330100
2016-02-19,34.13,34.96,32.45,32.67,9357700
2016-02-26,33.06,34.48,31.58,34.35,6549800
2016-03-04,34.18,38.0,34.05,37.27,8564100
2016-03-11,37.12,38.8,36.78,38.49,5842000
2016-03-18,38.58,39.67,37.14,39.14,7800500
2016-03-25,39.01,39.32,37.24,37.63,2895800
2016-04-01,37.63,39.65,37.63,39.23,3775800
2016-04-08,39.06,39.34,37.54,38.03,3731400
2016-04-15,38.84,40.18,38.8,40.04,4489700
2016-04-22,39.89,42.5,39.49,40.66,6546400
2016-04-29,40.38,43.97,40.27,43.26,9018100
2016-05-06,43.5,43.5,42.01,42.51,4205000
2016-05-13,42.47,42.8,39.78,39.91,5846600
2016-05-20,39.94,40.92,39.66,40.82,5312300
2016-05-27,40.9,42.68,40.69,42.5,3212200
2016-06-03,42.69,42.69,40.72,41.49,4140800
2016-06-10,41.49,42.93,41.15,42.28,3689800
2016-06-17,41.93,42.96,41.25,42.92,3818800
2016-06-24,43.5,44.02,41.25,41.4,5404200
2016-07-01,40.25,42.05,39.28,41.67,7737600
2016-07-08,41.75,42.27,40.84,41.4,3372200
2016-07-15,41.59,42.49,41.16,41.72,6639800
2016-07-22,42.19,45.26,42.19,45.07,6533100
2016-07-29,45.05,45.12,43.49,44.73,4467600
2016-08-05,44.7,47.39,43.8,46.69,6952100
2016-08-12,46.86,47.97,46.57,47.43,3672000
2016-08-19,47.6,48.46,47.16,47.81,2847000
2016-08-26,47.62,48.14,46.76,46.87,2746800
2016-09-02,47.3,49.12,46.74,48.26,4361400
2016-09-09,48.44,48.72,44.62,44.82,3109500
2016-09-16,44.56,45.21,44.31,44.89,2971100
2016-09-23,45.07,46.65,44.98,46.1,2794000
2016-09-30,45.37,45.38,44.03,44.58,3855600
2016-10-07,44.58,44.61,43.39,44.32,3547100
2016-10-14,44.44,44.91,43.4,43.97,4726300
2016-10-21,44.11,47.06,43.55,47.0,6302300
2016-10-28,47.3,47.49,42.89,43.58,11927000
2016-11-04,43.8,45.26,43.67,44.38,5054400
2016-11-11,45.03,46.5,43.3,43.48,5538300
2016-11-18,43.6,46.42,42.35,46.2,4997600
2016-11-25,46.46,48.26,46.02,48.24,3314600
2016-12-02,48.07,48.69,46.96,47.71,3861100
2016-12-09,47.86,50.13,47.63,49.66,3213200
2016-12-16,49.71,50.2,47.94,48.51,2684000
2016-12-23,48.49,48.68,47.54,47.69,1697600
