Date,Open,High,Low,Close,Volume
2015-03-27,30.4,30.4,26.08,26.4,726
2015-04-03,26.4,27.6,24.8,24.8,563
2015-04-10,26.08,28.0,24.72,25.2,1239
2015-04-17,25.28,25.28,22.88,23.36,1027
2015-04-24,23.36,23.36,19.28,19.28,639
2015-05-01,19.28,32.0,19.28,31.76,639
2015-05-08,31.92,44.0,24.4,29.6,4489
2015-05-15,31.92,36.0,30.0,30.08,2926
2015-05-22,30.8,31.6,30.56,30.72,763
2015-05-29,30.8,32.8,30.72,31.2,501
2015-06-05,31.2,31.36,31.2,31.36,114
2015-06-12,31.36,32.8,31.36,32.8,751
2015-06-19,32.8,32.8,32.0,32.8,1738
2015-06-26,33.2,34.4,32.4,32.4,1252
2015-07-03,32.4,32.4,32.16,32.16,201
2015-07-10,31.92,31.92,26.4,29.6,613
2015-07-17,29.6,32.0,29.6,30.0,426
2015-07-24,30.0,30.0,29.6,29.68,76
2015-07-31,29.68,31.2,29.68,31.2,25
2015-08-07,31.2,31.2,31.2,31.2,0
2015-08-14,31.2,31.2,17.6,26.4,3177
2015-08-21,21.68,25.28,21.68,24.0,2602
2015-08-28,24.0,24.8,22.16,24.8,463
2015-09-04,24.0,24.0,22.8,22.8,388
2015-09-11,22.8,30.4,22.8,29.2,101
2015-09-18,29.2,29.2,24.0,24.0,25
2015-09-25,24.0,29.6,24.0,29.6,150
2015-10-02,29.28,29.28,29.28,29.28,50
2015-10-09,29.28,29.28,24.4,24.4,25
2015-10-16,24.0,24.0,24.0,24.0,613
2015-10-23,24.0,24.0,24.0,24.0,25
2015-10-30,31.12,31.2,27.6,27.6,363
2015-11-06,27.6,27.6,27.6,27.6,13
2015-11-13,27.6,27.6,23.6,23.68,2589
2015-11-20,24.0,24.0,23.6,24.0,925
2015-11-27,24.0,24.4,24.0,24.4,238
2015-12-04,24.4,24.4,24.0,24.0,13
2015-12-11,23.6,23.6,23.6,23.6,25
2015-12-18,23.6,24.4,22.0,22.0,1538
2015-12-25,20.0,20.8,20.0,20.8,125
2016-01-01,20.0,21.92,19.6,21.92,751
2016-01-08,21.92,22.0,13.6,17.12,10638
2016-01-15,17.12,20.0,17.12,20.0,301
2016-01-22,20.0,20.0,18.0,18.0,25
2016-01-29,20.0,20.0,14.64,14.64,276
2016-02-05,14.64,16.0,10.4,16.0,100
2016-02-12,16.0,16.0,16.0,16.0,413
2016-02-19,16.0,16.0,14.48,16.0,1276
2016-02-26,16.0,16.0,14.64,15.2,63
2016-03-04,15.52,18.8,15.52,16.0,6301
2016-03-11,16.0,16.0,14.0,14.64,2226
2016-03-18,14.64,14.96,14.0,14.8,1302
2016-03-25,14.96,14.96,13.76,14.4,1564
2016-04-01,14.4,14.56,12.48,14.0,5602
2016-04-08,14.0,14.56,14.0,14.4,626
2016-04-15,14.4,14.72,14.4,14.64,1125
2016-04-22,14.64,14.96,14.24,14.96,1164
2016-04-29,14.96,14.96,13.44,13.44,13
2016-05-06,13.44,14.8,13.44,14.8,613
2016-05-13,14.8,14.8,14.8,14.8,350
2016-05-20,13.6,13.6,13.6,13.6,500
2016-05-27,13.6,13.68,13.28,13.68,650
2016-06-03,13.68,14.4,13.6,13.6,1201
2016-06-10,12.8,12.8,12.8,12.8,375
2016-06-17,12.8,14.32,9.6,13.2,1075
2016-06-24,13.2,14.4,13.2,13.6,3088
2016-07-01,13.6,13.6,13.6,13.6,0
2016-07-08,13.6,13.6,12.0,12.0,38
2016-07-15,12.0,12.4,12.0,12.16,175
2016-07-22,12.8,12.8,11.36,12.16,426
2016-07-29,12.16,12.64,12.16,12.64,1338
2016-08-05,12.64,13.6,11.36,12.96,776
2016-08-12,12.16,12.16,12.16,12.16,75
2016-08-19,12.8,19.2,12.8,13.6,8164
2016-08-26,13.68,15.44,13.68,15.2,1488
2016-09-02,15.12,15.12,13.68,14.32,313
2016-09-09,15.04,15.92,15.04,15.68,1826
2016-09-16,15.92,15.92,15.92,15.92,251
2016-09-23,15.92,18.16,15.84,17.2,3188
2016-09-30,17.2,17.2,16.96,16.96,313
2016-10-07,16.96,19.2,16.08,19.2,900
2016-10-14,19.2,19.2,18.16,19.2,250
2016-10-21,19.2,19.2,19.2,19.2,0
2016-10-28,19.2,40.0,18.64,24.0,863
2016-11-04,29.76,39.12,19.2,20.0,1463
2016-11-11,19.68,19.68,14.8,14.8,213
2016-11-18,18.72,20.16,16.0,19.2,7613
2016-11-25,19.2,32.0,19.2,22.4,376
2016-12-02,22.4,26.96,22.4,26.96,63
2016-12-09,24.0,24.96,22.8,24.96,551
2016-12-16,25.68,25.68,25.2,25.6,763
2016-12-23,25.6,27.2,25.2,26.24,563
2016-12-30,24.0,24.0,24.0,24.0,100
2017-01-06,24.0,33.6,24.0,32.8,5451
2017-01-13,27.2,34.8,27.2,33.2,1189
2017-01-20,33.2,33.44,32.0,33.2,225
2017-01-27,33.44,37.92,29.6,30.4,3314
2017-02-03,30.0,32.0,28.4,29.6,3888
2017-02-10,29.6,32.4,29.6,31.2,2001
2017-02-17,31.2,32.16,24.0,32.0,1213
2017-02-24,32.0,32.0,29.84,31.12,2901
2017-03-03,31.12,32.0,31.12,32.0,438
2017-03-10,31.52,34.0,31.2,33.12,1452
2017-03-17,34.0,34.24,34.0,34.24,338
2017-03-24,32.0,34.24,28.96,34.24,2388
2017-03-31,31.12,32.96,24.0,32.0,1014
2017-04-07,32.0,32.8,28.08,32.4,1264
2017-04-14,32.4,32.8,28.0,32.0,439
2017-04-21,35.12,35.12,31.04,31.2,2888
2017-04-28,33.76,34.4,31.2,32.48,5001
2017-05-05,32.24,33.84,30.0,32.08,4863
2017-05-12,34.0,34.0,30.24,30.4,714
2017-05-19,33.2,33.2,28.88,31.84,1501
2017-05-26,32.32,32.32,26.08,30.4,1501
2017-06-02,30.72,32.32,29.2,32.16,451
2017-06-09,29.6,32.32,25.92,31.52,6026
2017-06-16,31.84,32.08,27.2,28.72,3213
2017-06-23,29.44,31.84,29.44,31.52,3002
2017-06-30,31.2,32.08,29.12,31.2,4289
2017-07-07,31.68,32.0,29.6,30.8,2489
2017-07-14,30.8,32.0,29.12,30.88,4451
2017-07-21,31.36,41.76,29.84,38.64,24677
2017-07-28,40.48,41.6,34.0,34.08,13664
2017-08-04,34.8,36.56,33.6,33.92,19713
2017-08-11,34.0,38.64,34.0,34.0,13614
2017-08-18,36.4,36.56,33.84,34.08,5101
2017-08-25,34.16,36.96,34.0,36.56,13564
2017-09-01,36.24,36.32,34.08,35.2,9001
2017-09-08,36.16,36.72,34.96,35.12,2063
2017-09-15,35.12,36.72,34.0,35.92,4088
2017-09-22,35.92,35.92,33.6,33.68,6739
2017-09-29,33.6,35.04,33.6,34.32,5651
2017-10-06,35.2,35.2,33.6,34.4,17038
2017-10-13,34.48,34.56,33.76,33.84,6926
2017-10-20,34.08,34.8,32.8,33.12,3538
2017-10-27,33.6,35.04,32.8,32.96,9464
2017-11-03,33.6,35.04,32.8,33.2,4951
2017-11-10,33.2,34.24,33.12,34.16,3501
2017-11-17,34.08,34.8,32.8,33.12,8014
2017-11-24,33.84,33.84,32.8,33.36,9388
2017-12-01,33.44,33.44,32.48,32.56,1277
2017-12-08,32.8,33.36,32.48,32.72,1126
2017-12-15,32.48,33.2,32.48,32.72,2014
2017-12-22,32.8,38.72,32.48,32.96,41426
2017-12-29,34.64,35.6,32.48,33.84,11151
2018-01-05,33.44,34.0,32.56,33.92,1313
2018-01-12,32.8,34.32,31.92,34.24,6101
2018-01-19,34.16,36.0,32.08,32.08,4301
2018-01-26,32.24,33.44,31.92,32.16,1038
2018-02-02,32.48,32.48,31.52,31.52,2176
2018-02-09,31.2,32.32,25.28,30.24,6202
2018-02-16,29.28,33.6,23.2,30.4,3963
2018-02-23,28.4,31.12,27.68,29.76,3601
2018-03-02,29.28,32.8,28.72,31.76,1439
2018-03-09,30.0,30.56,28.16,30.32,1414
2018-03-16,30.32,34.24,30.0,33.2,2963
2018-03-23,33.2,33.2,28.4,31.6,4564
2018-03-30,32.0,32.0,29.76,30.0,1851
2018-04-06,30.0,31.92,26.64,30.0,863
2018-04-13,30.0,33.2,30.0,32.72,3726
2018-04-20,32.8,33.44,32.0,32.24,588
2018-04-27,32.24,32.24,30.24,30.24,1838
2018-05-04,31.12,31.12,30.4,30.4,2051
2018-05-11,30.4,31.68,30.4,30.72,976
2018-05-18,31.2,31.36,28.0,31.04,2838
2018-05-25,32.0,36.0,30.88,32.4,7988
2018-06-01,32.4,33.44,31.52,33.44,1251
2018-06-08,33.44,33.84,32.8,32.88,488
2018-06-15,32.24,33.2,32.0,32.08,1126
2018-06-22,32.24,32.4,31.84,31.92,1126
2018-06-29,31.92,33.2,31.84,33.2,100
2018-07-06,33.2,33.2,28.48,32.56,2600
2018-07-13,25.44,32.48,25.44,31.36,7126
2018-07-20,31.36,31.36,28.4,29.12,2063
2018-07-27,29.12,30.72,28.8,30.0,3838
2018-08-03,31.44,31.52,30.0,30.88,4063
2018-08-10,28.32,31.2,26.8,31.12,1551
