Date,Open,High,Low,Close,Volume
2015-04-03,95.09,96.55,93.79,94.39,1261000
2015-04-10,94.1,95.58,93.17,95.43,2787700
2015-04-17,95.07,96.64,93.86,94.48,2358500
2015-04-24,94.91,100.64,94.74,98.84,4627000
2015-05-01,98.81,98.95,95.0,96.73,3336600
2015-05-08,96.76,97.84,94.2,95.93,2451200
2015-05-15,95.95,96.8,92.51,95.64,2931700
2015-05-22,95.59,97.12,93.23,94.19,2295600
2015-05-29,96.87,96.88,91.12,91.65,3109500
2015-06-05,91.89,95.29,90.97,94.77,3130800
2015-06-12,94.72,95.49,93.28,93.84,2631100
2015-06-19,93.2,94.42,91.02,93.45,2450300
2015-06-26,93.93,94.4,88.54,89.08,3077100
2015-07-03,89.29,89.68,86.75,88.36,3073100
2015-07-10,87.81,90.11,86.22,90.0,3005900
2015-07-17,90.61,92.5,90.0,91.49,2616900
2015-07-24,91.6,93.86,87.16,87.72,6480600
2015-07-31,87.11,92.45,86.77,90.52,3621100
2015-08-07,90.7,93.57,89.73,90.5,4432200
2015-08-14,90.71,92.3,87.86,89.21,2878000
2015-08-21,88.9,89.44,80.26,80.99,4556300
2015-08-28,76.91,83.0,75.56,82.04,5726200
2015-09-04,81.56,82.65,78.8,80.17,3293700
2015-09-11,81.8,82.97,80.83,81.88,2435300
2015-09-18,81.77,85.08,80.54,80.86,3252900
2015-09-25,81.61,82.25,74.28,75.13,3763000
2015-10-02,74.81,75.64,69.55,71.55,5959900
2015-10-09,72.23,76.33,72.23,75.88,3770800
2015-10-16,75.8,76.08,68.24,71.95,10926600
2015-10-23,71.58,73.34,68.82,70.33,5567000
2015-10-30,70.24,72.32,67.75,71.78,4289500
2015-11-06,71.77,73.42,71.21,71.88,2838200
2015-11-13,71.68,71.94,65.55,65.69,4041600
2015-11-20,65.26,67.99,64.85,66.95,3391500
2015-11-27,66.98,67.34,64.71,66.56,1962000
2015-12-04,66.6,67.08,60.06,60.65,5068000
2015-12-11,60.49,60.62,56.02,56.22,6264100
2015-12-18,56.35,59.91,53.54,54.08,6592700
2015-12-25,54.5,58.22,53.81,57.67,2726300
2016-01-01,57.25,57.54,55.99,56.83,1851300
2016-01-08,55.95,57.38,50.47,50.56,5294800
2016-01-15,50.92,51.89,47.7,49.25,5113200
2016-01-22,49.91,51.96,45.12,50.64,4691100
2016-01-29,50.37,53.74,48.78,53.17,4539500
2016-02-05,52.5,57.3,49.42,57.12,10304000
2016-02-12,56.46,56.73,51.11,54.14,5278200
2016-02-19,54.62,58.79,53.35,56.15,3736700
2016-02-26,56.88,58.57,54.27,57.68,3651200
2016-03-04,57.75,62.14,56.71,61.54,4303200
2016-03-11,61.31,63.07,58.84,61.4,4209800
2016-03-18,60.8,66.27,59.56,65.06,4447900
2016-03-25,65.05,66.36,62.97,64.74,2424800
2016-04-01,64.78,66.15,62.52,64.2,3454500
2016-04-08,64.1,65.21,60.11,61.95,4571300
2016-04-15,61.83,66.69,61.65,66.22,2940700
2016-04-22,65.88,68.52,65.35,67.18,3160000
2016-04-29,66.92,71.9,64.86,68.92,5972500
2016-05-06,69.4,69.56,66.33,68.8,4277100
2016-05-13,68.42,71.17,65.15,65.54,3943800
2016-05-20,65.48,68.72,64.09,68.02,4362600
2016-05-27,67.87,70.18,66.9,69.52,2734300
2016-06-03,69.49,70.36,67.35,68.0,2556400
2016-06-10,68.49,70.76,65.37,65.71,3513700
2016-06-17,65.71,66.24,62.41,65.24,3488000
2016-06-24,66.28,67.59,60.9,61.07,3782600
2016-07-01,60.16,63.01,56.98,62.03,4351000
2016-07-08,61.5,64.91,59.57,64.64,3064400
2016-07-15,65.13,68.67,64.73,67.97,2852300
2016-07-22,67.43,69.27,66.99,69.25,3203900
2016-07-29,69.08,69.78,62.69,65.9,5599100
2016-08-05,65.8,66.17,62.21,65.68,4763500
2016-08-12,65.82,66.69,65.04,65.28,2827500
2016-08-19,65.53,66.16,64.25,66.13,2330900
2016-08-26,65.64,66.1,63.92,64.2,2798000
2016-09-02,64.28,66.89,64.06,66.54,2885600
2016-09-09,66.91,68.3,64.93,64.95,2283700
2016-09-16,63.75,66.27,63.75,66.11,3184200
2016-09-23,66.74,67.05,63.38,63.72,3952600
2016-09-30,63.38,66.2,62.7,65.95,2861600
2016-10-07,65.6,67.86,65.41,66.48,3361600
2016-10-14,67.01,67.48,62.72,62.81,3065600
2016-10-21,62.45,64.53,62.03,64.43,2930600
2016-10-28,65.02,69.99,62.63,68.94,7296400
2016-11-04,69.08,70.0,68.52,68.96,3878900
2016-11-11,70.18,80.01,69.75,77.77,6414900
2016-11-18,78.44,80.15,77.09,78.76,3892300
2016-11-25,79.46,81.61,78.1,81.56,2015400
2016-12-02,81.35,81.42,78.16,79.25,3329800
2016-12-09,79.9,85.42,79.61,82.24,2911200
2016-12-16,82.59,82.61,76.26,76.64,4503400
2016-12-23,76.83,78.48,75.54,76.14,1926800
2016-12-30,76.4,77.31,74.17,74.44,1373700
2017-01-06,75.03,76.39,73.88,76.03,2492800
2017-01-13,75.66,77.43,74.61,77.03,2110300
