Date,Open,High,Low,Close,Volume
2015-10-23,60.0,60.97,55.0,56.38,29011500
2015-10-30,57.0,57.0,49.36,50.43,12544700
2015-11-06,50.86,55.0,49.89,52.43,3999600
2015-11-13,52.82,54.5,50.52,51.4,3007400
2015-11-20,51.95,51.95,45.83,48.08,6003100
2015-11-27,48.1,48.29,44.65,46.06,3579800
2015-12-04,46.3,48.85,45.88,48.55,2960000
2015-12-11,48.65,50.39,47.0,48.79,3218600
2015-12-18,48.05,49.09,46.0,46.36,3002900
2015-12-25,46.25,48.73,46.09,46.75,1454400
2016-01-01,47.29,48.88,46.28,48.0,1462200
2016-01-08,47.29,48.73,43.11,43.11,13888500
2016-01-15,43.2,44.09,39.66,40.02,11191600
2016-01-22,40.69,42.3,38.36,41.85,6834600
2016-01-29,41.47,42.31,38.95,39.77,6115900
2016-02-05,38.92,40.05,34.03,37.7,16066300
2016-02-12,37.04,37.14,31.66,34.15,8070800
2016-02-19,34.62,39.33,34.11,38.51,4861100
2016-02-26,39.42,40.15,37.17,38.46,2964000
2016-03-04,38.49,39.93,37.97,39.74,2302100
2016-03-11,39.11,42.92,39.11,42.77,3606200
2016-03-18,42.57,43.06,41.1,42.4,2290300
2016-03-25,42.38,42.5,40.15,41.15,1054000
2016-04-01,41.04,42.5,40.53,41.05,1751200
2016-04-08,41.24,41.71,40.05,41.13,3405500
2016-04-15,41.17,44.0,40.75,43.97,2334300
2016-04-22,43.83,44.87,42.83,42.98,2285600
2016-04-29,43.24,46.12,42.77,45.85,3390000
2016-05-06,46.5,46.55,42.57,43.23,3542500
2016-05-13,43.09,44.48,42.73,43.65,2104300
2016-05-20,43.73,44.02,40.11,41.03,2679900
2016-05-27,40.48,42.35,40.05,41.98,1785000
2016-06-03,42.39,43.54,42.06,43.18,2114500
2016-06-10,42.65,44.43,41.87,42.16,2027500
2016-06-17,40.97,42.36,40.4,42.14,2468800
2016-06-24,43.42,43.79,40.5,40.59,2835300
2016-07-01,39.71,41.85,38.71,41.48,3479900
2016-07-08,40.93,41.96,38.8,41.25,2538500
2016-07-15,42.34,42.99,41.88,42.37,1457300
2016-07-22,42.28,43.0,41.78,42.92,1667900
2016-07-29,43.18,45.18,42.94,45.17,2452500
2016-08-05,45.03,47.23,44.85,46.88,4448100
2016-08-12,47.39,48.6,47.08,48.41,2749100
2016-08-19,48.41,48.7,47.35,48.4,1936400
2016-08-26,47.76,49.11,47.73,48.74,2404700
2016-09-02,48.4,48.78,47.93,48.5,2187200
2016-09-09,48.25,50.09,48.2,48.2,1609300
2016-09-16,47.36,48.76,46.39,46.65,1517600
2016-09-23,47.56,50.96,47.26,50.22,2037100
2016-09-30,50.22,52.18,49.87,51.87,2468500
2016-10-07,51.92,53.66,51.75,53.49,2196000
2016-10-14,54.18,54.33,52.39,52.72,3120500
2016-10-21,52.75,52.95,51.94,52.6,1302900
2016-10-28,52.83,53.35,52.54,52.87,1404900
2016-11-04,52.73,53.1,50.39,51.07,2060000
2016-11-11,53.52,54.99,52.83,54.47,4068500
2016-11-18,53.57,54.24,52.72,52.76,2537500
2016-11-25,53.2,54.94,53.03,54.78,1089700
2016-12-02,54.0,54.99,53.71,54.09,2608600
2016-12-09,55.03,57.11,54.93,56.88,2559600
2016-12-16,57.07,58.56,56.49,58.35,3018100
2016-12-23,58.34,58.86,57.4,58.33,1820500
2016-12-30,58.41,58.54,57.63,58.14,798700
2017-01-06,59.16,59.88,58.35,58.94,1505000
2017-01-13,57.77,60.63,57.56,59.83,2246700
2017-01-20,59.66,60.5,59.59,60.35,1017900
2017-01-27,61.07,62.92,60.93,62.01,2529500
2017-02-03,60.92,65.81,60.66,65.7,3161500
