Date,Open,High,Low,Close,Volume
2015-04-03,80.01,83.32,79.6,82.45,9273600
2015-04-10,81.73,82.95,80.68,81.24,8611200
2015-04-17,81.18,81.61,78.15,79.03,11461900
2015-04-24,74.61,75.1,71.64,72.47,25437500
2015-05-01,72.99,73.15,67.58,67.94,13652700
2015-05-08,68.7,72.64,65.91,72.45,15596500
2015-05-15,72.76,75.35,71.45,74.73,12246400
2015-05-22,74.39,77.82,74.26,76.22,9443600
2015-05-29,75.91,77.74,75.28,75.98,8478600
2015-06-05,75.5,79.65,75.41,78.77,10335800
2015-06-12,78.6,78.92,76.34,76.8,8637800
2015-06-19,75.92,80.2,75.51,79.8,10343500
2015-06-26,81.03,81.82,79.73,79.8,8985700
2015-07-03,78.96,80.47,76.81,78.78,7421700
2015-07-10,78.25,82.68,77.74,82.41,9359200
2015-07-17,83.16,85.28,82.21,84.28,7414400
2015-07-24,84.36,85.63,82.06,82.6,6526100
2015-07-31,82.32,90.88,81.29,89.85,11181300
2015-08-07,90.35,91.38,88.4,91.19,12052200
2015-08-14,91.97,92.68,88.29,89.89,10539300
2015-08-21,89.46,90.86,85.33,85.71,8634300
2015-08-28,80.74,89.99,79.73,88.86,13810500
2015-09-04,88.1,91.1,85.3,88.54,9054700
2015-09-11,90.05,93.49,89.7,92.86,7708100
2015-09-18,92.56,97.6,92.49,95.49,11571900
2015-09-25,96.3,97.36,90.67,91.07,12409800
2015-10-02,90.16,91.3,85.11,91.25,11808400
2015-10-09,91.53,93.7,88.72,92.5,9660400
2015-10-16,91.97,93.64,87.08,91.82,9354200
2015-10-23,91.33,98.55,91.23,97.99,12398500
2015-10-30,97.99,100.39,95.55,98.35,8996200
2015-11-06,98.61,99.93,95.5,99.41,8962800
2015-11-13,99.3,99.37,95.03,95.5,6487300
2015-11-20,94.74,95.79,92.59,94.02,10927700
2015-11-27,94.07,95.47,91.38,92.5,7162400
2015-12-04,92.35,95.65,90.53,94.27,9817900
2015-12-11,94.65,95.13,91.76,91.91,9081000
2015-12-18,92.1,97.32,91.04,95.9,10740700
2015-12-25,96.64,100.99,96.54,99.92,6614100
2016-01-01,99.66,103.4,99.64,101.21,4506100
2016-01-08,99.6,99.81,91.42,91.78,13194100
2016-01-15,92.55,95.65,82.61,82.92,16488200
2016-01-22,84.86,88.34,76.2,85.76,17750700
2016-01-29,85.84,86.33,75.56,81.96,18043800
2016-02-05,81.61,85.7,68.47,69.58,47859100
2016-02-12,68.0,70.96,64.21,68.77,20758200
2016-02-19,69.79,73.94,68.47,70.85,13434000
2016-02-26,70.79,76.25,69.97,75.19,16843200
2016-03-04,74.1,76.84,72.31,74.01,16590500
2016-03-11,73.05,73.72,69.0,72.82,18173300
2016-03-18,72.83,78.22,71.57,77.62,13686600
2016-03-25,77.25,78.3,72.53,74.47,10953600
2016-04-01,74.96,82.78,74.23,81.88,17094900
2016-04-08,82.09,83.62,80.0,80.6,9459500
2016-04-15,81.0,84.56,79.32,81.05,11770100
2016-04-22,81.36,81.36,73.38,73.8,15014600
2016-04-29,74.0,79.45,73.82,77.4,18717700
2016-05-06,78.13,78.97,73.52,74.8,11593700
2016-05-13,75.2,77.87,72.47,75.64,10979100
2016-05-20,75.55,78.94,75.49,78.9,9768500
2016-05-27,79.13,80.3,74.6,77.77,10494000
2016-06-03,77.9,78.4,75.26,76.37,6500700
2016-06-10,76.06,77.12,73.83,73.93,6562500
2016-06-17,73.19,74.68,71.5,74.64,9558100
2016-06-24,76.11,77.44,69.44,70.08,11488800
2016-07-01,68.88,69.14,64.95,69.11,17615700
2016-07-08,68.06,68.97,65.71,68.38,8297500
2016-07-15,68.72,74.36,68.54,70.39,12214000
2016-07-22,70.5,73.02,69.88,72.98,8006600
2016-07-29,72.83,73.63,71.93,72.44,8460500
2016-08-05,72.33,74.73,66.85,74.48,23829300
2016-08-12,74.5,75.3,68.89,70.8,15556500
2016-08-19,70.88,72.15,68.11,69.43,9652900
2016-08-26,69.39,71.9,68.73,69.75,11257700
2016-09-02,69.79,73.15,69.42,70.01,10337800
2016-09-09,69.87,70.0,65.37,65.98,11531800
2016-09-16,65.56,68.33,65.1,66.32,8964400
2016-09-23,66.88,72.31,65.45,71.99,14142200
2016-09-30,72.43,75.72,70.74,74.95,12519700
2016-10-07,74.49,75.5,73.69,73.69,8626600
2016-10-14,74.03,74.5,69.96,69.98,7977000
2016-10-21,69.85,71.14,68.67,69.37,8242500
2016-10-28,69.88,75.46,67.53,74.47,15751900
2016-11-04,75.0,77.78,74.62,75.23,14331500
2016-11-11,76.16,82.13,75.56,81.75,13596200
2016-11-18,82.49,84.5,81.75,82.95,9744800
2016-11-25,83.1,83.59,82.01,83.02,4834900
2016-12-02,82.86,82.98,78.77,79.56,7556300
2016-12-09,80.3,86.38,79.86,86.19,8973500
2016-12-16,85.67,86.84,83.72,84.03,11778300
2016-12-23,83.19,86.24,81.95,84.25,7036400
2016-12-30,84.4,85.14,81.59,82.04,3352000
2017-01-06,82.72,85.5,82.72,84.33,6291000
2017-01-13,84.36,86.78,84.05,85.09,6464200
2017-01-20,84.88,86.54,84.03,85.04,6378200
2017-01-27,84.97,96.09,84.52,94.56,19704500
2017-02-03,95.23,95.74,92.65,94.52,9091800
2017-02-10,94.18,96.22,94.08,95.84,6542200
2017-02-17,96.49,97.42,94.43,95.21,6239300
2017-02-24,95.22,97.39,94.65,96.15,6394300
2017-03-03,95.96,97.67,94.66,95.48,6592300
2017-03-10,94.62,97.72,93.4,97.25,6956000
2017-03-17,97.51,98.46,95.44,97.8,5526200
2017-03-24,97.9,100.48,95.56,98.57,5875700
2017-03-31,98.11,101.11,97.33,98.11,6179600
2017-04-07,98.32,99.54,96.53,97.39,5847100
2017-04-14,97.38,98.71,93.86,94.36,7104700
2017-04-21,94.91,97.98,94.35,97.33,5756100
2017-04-28,98.85,110.6,96.91,106.6,14320900
2017-05-05,106.8,110.32,106.08,108.62,10283300
2017-05-12,108.35,109.16,106.68,107.57,5006000
2017-05-19,107.31,108.39,103.52,106.15,5702100
2017-05-26,106.19,111.45,105.61,111.08,5563300
2017-06-02,110.97,114.5,109.75,113.38,5475000
2017-06-09,113.11,113.7,108.86,109.82,6390500
2017-06-16,109.67,112.82,106.66,111.9,7849400
2017-06-23,112.49,115.63,110.84,111.86,6797500
2017-06-30,111.92,112.76,107.87,109.23,5608700
2017-07-07,109.71,111.22,108.13,109.2,3781500
2017-07-14,109.3,110.38,107.79,108.89,4421800
2017-07-21,108.9,116.36,108.65,114.91,6893100
2017-07-28,114.65,116.89,112.19,113.39,5406700
2017-08-04,114.19,120.96,112.87,119.69,11437300
2017-08-11,120.0,121.47,115.45,117.22,10259500
2017-08-18,118.42,122.96,118.0,118.81,9006300
2017-08-25,119.18,121.47,118.91,120.44,6414100
2017-09-01,120.68,125.0,118.65,124.24,7248200
2017-09-08,123.92,123.92,115.6,117.45,8437600
2017-09-15,120.05,124.76,119.81,120.92,9332800
2017-09-22,120.95,121.09,114.07,115.29,9554800
2017-09-29,114.57,119.49,113.2,118.54,10150600
2017-10-06,118.38,125.0,117.55,123.39,7358100
2017-10-13,123.36,128.09,122.98,127.77,7663700
2017-10-20,127.58,127.92,120.14,120.71,8820500
2017-10-27,121.0,125.82,120.71,124.21,7360800
2017-11-03,123.67,125.26,120.28,123.18,8568300
2017-11-10,123.64,133.75,120.76,124.22,12208900
2017-11-17,122.89,124.75,121.39,124.4,7026100
2017-11-24,124.4,125.9,122.78,125.21,3403900
2017-12-01,125.45,127.15,120.07,125.23,7339400
2017-12-08,127.0,127.82,121.61,125.23,6839600
2017-12-15,125.38,126.05,121.11,125.09,6570000
2017-12-22,125.37,129.67,120.41,121.06,7044700
2017-12-29,120.8,121.6,119.21,119.28,2738200
2018-01-05,120.17,124.45,119.58,121.23,5912500
2018-01-12,120.99,127.65,120.12,127.53,6051800
2018-01-19,128.38,130.61,125.79,128.97,5868600
2018-01-26,128.88,135.19,126.54,134.98,12067100
2018-02-02,134.55,135.65,129.21,129.66,6849900
2018-02-09,128.89,130.09,119.76,124.47,8857300
2018-02-16,126.51,132.7,125.97,131.68,7540900
2018-02-23,131.0,133.09,129.59,130.2,5313200
2018-03-02,130.96,131.27,120.96,122.63,7739900
2018-03-09,121.62,126.67,120.44,126.62,10028200
2018-03-16,127.24,127.24,124.26,124.75,5684400
2018-03-23,124.84,126.96,116.98,117.04,6765700
2018-03-30,118.54,121.24,115.94,117.74,4273000
2018-04-06,118.0,118.79,113.92,114.83,6186200
2018-04-13,115.89,117.37,110.88,113.74,7588400
2018-04-20,114.76,119.98,114.43,119.09,7907100
2018-04-27,119.55,120.73,111.04,111.82,11050000
2018-05-04,112.24,112.64,105.11,107.36,13060100
2018-05-11,107.45,107.95,103.76,107.06,12073600
2018-05-18,107.0,108.71,105.9,106.96,8803500
2018-05-25,107.97,110.42,105.02,109.8,8089300
2018-06-01,108.8,109.78,104.6,106.33,7127100
2018-06-08,106.34,107.03,101.2,103.48,10486500
2018-06-15,103.6,115.55,103.55,114.51,15668400
2018-06-22,113.13,114.87,109.55,111.55,11608400
2018-06-29,109.12,109.35,102.92,103.6,11430700
2018-07-06,103.05,105.26,102.64,104.74,7164300
2018-07-13,106.13,110.54,105.63,107.87,8479800
2018-07-20,108.47,114.37,107.52,110.56,7323000
2018-07-27,110.68,112.67,108.39,111.77,5983300
2018-08-03,111.83,116.62,104.24,112.42,12599100
2018-08-10,111.91,115.46,110.41,113.64,8870000
2018-08-17,113.46,116.84,113.06,115.72,6572100
2018-08-24,116.18,120.31,115.82,119.71,6569400
2018-08-31,120.4,124.63,118.59,122.58,7373000
2018-09-07,122.24,124.54,119.97,124.36,6261400
2018-09-14,125.0,129.94,121.76,129.29,8448900
2018-09-21,128.83,133.6,127.24,131.47,9216500
2018-09-28,131.29,131.31,123.25,129.94,10785000
2018-10-05,130.33,131.48,122.87,123.67,7543200
2018-10-12,123.66,124.94,115.86,119.05,7196600
2018-10-19,118.86,121.88,114.63,115.18,7626800
2018-10-26,116.09,116.33,102.38,103.07,17061300
2018-11-02,104.26,109.17,97.48,105.8,12947300
2018-11-09,105.81,110.69,104.67,107.17,8478600
2018-11-16,106.68,110.94,104.45,109.99,8377900
2018-11-23,109.69,111.04,103.69,110.28,4793400
2018-11-30,111.04,113.65,109.42,113.07,7033700
2018-12-07,114.24,116.48,104.69,104.92,6720100
2018-12-14,105.02,108.0,103.3,107.09,6191100
2018-12-21,106.84,108.75,92.45,92.52,14109100
2018-12-28,91.57,97.21,89.48,96.04,5967000
2019-01-04,96.59,99.92,91.88,98.76,8300600
