Date,Open,High,Low,Close,Volume
2015-04-03,67.78,68.92,67.14,68.41,1869000
2015-04-10,68.74,69.45,66.0,66.35,2657700
2015-04-17,66.17,66.71,64.86,65.31,1891400
2015-04-24,65.45,66.59,65.06,66.0,1692200
2015-05-01,66.2,66.81,62.42,63.19,3145100
2015-05-08,63.45,65.55,61.8,64.96,3444100
2015-05-15,64.56,66.28,62.94,65.89,3618700
2015-05-22,65.25,65.6,64.14,64.8,1866800
2015-05-29,64.15,64.96,62.94,63.14,2738800
2015-06-05,63.19,64.27,61.12,61.76,2525000
2015-06-12,61.92,62.29,60.89,61.63,2543500
2015-06-19,61.56,63.3,61.06,62.25,4596700
2015-06-26,62.3,62.74,59.53,60.26,3459000
2015-07-03,60.26,61.31,58.73,60.51,3001900
2015-07-10,60.32,62.92,60.26,62.39,3660000
2015-07-17,62.88,63.42,61.82,62.49,2473000
2015-07-24,62.26,63.02,61.54,62.07,2256000
2015-07-31,62.16,64.49,61.7,63.97,2472600
2015-08-07,63.95,64.79,62.37,63.5,2897200
2015-08-14,63.76,64.2,62.51,64.12,2706400
2015-08-21,63.75,64.16,61.97,61.97,2957900
2015-08-28,58.74,61.25,55.79,60.88,5688200
2015-09-04,60.8,60.93,57.77,58.11,4539400
2015-09-11,58.91,59.42,57.71,59.4,1843900
2015-09-18,59.64,62.4,59.14,61.8,2473900
2015-09-25,62.04,62.91,60.71,61.22,2189000
2015-10-02,61.37,62.73,60.11,62.72,2637500
2015-10-09,63.12,65.31,62.9,64.99,2115400
2015-10-16,65.12,65.94,64.45,65.64,1713400
2015-10-23,65.55,67.87,65.55,67.08,1155000
2015-10-30,67.2,68.57,66.66,67.96,1960600
2015-11-06,67.82,69.34,65.23,66.0,2399900
2015-11-13,65.53,66.64,64.34,65.02,2023600
2015-11-20,64.56,68.19,64.28,67.56,2115100
2015-11-27,67.64,68.26,66.15,68.11,1397500
2015-12-04,68.36,68.56,64.88,65.68,3347900
2015-12-11,65.61,66.07,64.33,65.23,2238800
2015-12-18,65.07,68.16,64.82,67.05,3122200
2015-12-25,67.69,68.34,66.99,68.19,1613600
2016-01-01,67.98,69.45,67.71,68.12,1632200
2016-01-08,68.47,69.31,66.91,68.03,3193300
2016-01-15,67.94,69.35,66.05,67.7,3987200
2016-01-22,68.35,70.5,67.52,69.93,4741000
2016-01-29,69.9,72.43,69.18,72.39,4091600
2016-02-05,71.89,73.75,71.24,71.27,4710700
2016-02-12,71.04,72.11,68.61,69.76,6391000
2016-02-19,70.25,72.1,69.65,70.36,4428400
2016-02-26,70.93,71.68,69.71,70.55,2777000
2016-03-04,70.71,74.37,70.37,73.85,4395100
2016-03-11,73.29,74.12,72.1,74.07,2867000
2016-03-18,74.05,77.17,73.75,74.51,6250600
2016-03-25,74.23,75.02,72.67,73.32,3315300
2016-04-01,73.48,75.77,73.32,75.33,4036700
2016-04-08,75.35,75.67,73.98,74.7,2519700
2016-04-15,74.86,75.47,73.96,74.9,1887300
2016-04-22,74.75,75.4,72.35,73.35,1815400
2016-04-29,73.12,74.91,73.01,73.7,1760000
2016-05-06,73.79,78.59,73.76,78.47,2992400
2016-05-13,78.5,79.84,77.18,77.69,2148100
2016-05-20,77.4,78.52,74.02,76.18,3089500
2016-05-27,76.33,77.63,75.6,77.2,2935100
2016-06-03,77.25,78.82,75.9,78.22,4392500
2016-06-10,78.33,79.99,77.15,79.6,2207200
2016-06-17,79.65,80.23,78.51,78.99,2982100
2016-06-24,79.49,80.0,77.19,78.5,4516500
2016-07-01,78.32,84.44,78.06,83.74,4794400
2016-07-08,83.74,85.35,83.13,83.96,2341000
2016-07-15,84.31,84.34,80.83,81.48,6114000
2016-07-22,81.74,82.95,81.07,82.57,2527000
2016-07-29,82.63,85.06,81.14,84.93,4818000
2016-08-05,85.0,85.32,82.51,82.81,3058500
2016-08-12,82.73,83.34,80.33,80.6,2320400
2016-08-19,80.46,80.74,78.75,79.38,2082000
2016-08-26,79.49,80.88,78.95,79.6,1760600
2016-09-02,79.99,82.0,79.43,81.08,2296800
2016-09-09,81.2,82.44,77.37,77.38,2122900
2016-09-16,77.33,78.89,75.76,76.49,3052900
2016-09-23,76.52,79.79,75.86,79.31,2583200
2016-09-30,79.0,79.96,77.29,77.49,2346900
2016-10-07,77.25,77.25,72.21,73.92,2877400
2016-10-14,73.99,75.06,73.49,74.45,2222700
2016-10-21,74.69,75.15,73.11,73.76,1767600
2016-10-28,74.73,74.87,70.5,71.04,2303800
2016-11-04,71.47,72.2,68.19,69.32,3570800
2016-11-11,70.49,70.58,66.95,68.64,4028700
2016-11-18,68.18,69.86,65.31,65.99,8468500
2016-11-25,66.08,67.5,65.89,66.67,2886300
2016-12-02,66.61,67.34,65.32,65.81,6585600
2016-12-09,65.73,68.28,65.16,67.69,6032700
2016-12-16,68.08,69.72,66.28,67.73,6207000
2016-12-23,68.22,68.82,66.02,67.45,3189000
2016-12-30,67.45,69.06,66.53,68.95,2247500
2017-01-06,68.96,70.51,68.1,70.3,2943100
2017-01-13,70.34,70.34,67.54,68.88,3508200
2017-01-20,69.08,70.17,68.74,69.76,2311500
2017-01-27,69.85,71.5,69.18,69.45,3208300
2017-02-03,69.36,70.09,68.62,69.85,3090400
2017-02-10,69.94,71.34,69.19,71.3,3190200
2017-02-17,71.5,71.73,68.8,69.75,2927300
2017-02-24,69.65,71.45,69.3,71.19,4450700
2017-03-03,71.06,72.05,66.76,67.74,40203200
2017-03-10,67.37,67.5,61.9,62.58,9366100
2017-03-17,62.59,67.24,62.51,66.91,13889600
2017-03-24,66.9,67.67,65.62,67.11,5787100
2017-03-31,67.21,67.78,65.57,66.39,4862100
2017-04-07,66.43,67.13,65.73,66.07,6178000
2017-04-14,65.97,67.65,65.79,67.31,3000300
2017-04-21,67.53,69.07,67.22,67.47,3244100
2017-04-28,68.06,68.06,62.9,63.18,4664300
2017-05-05,63.56,64.71,61.51,62.67,4478800
2017-05-12,62.79,63.57,60.53,60.72,7653600
2017-05-19,60.67,61.42,58.63,60.63,9187200
2017-05-26,60.63,63.01,60.38,62.0,6128700
2017-06-02,61.96,62.21,60.07,60.91,5237200
2017-06-09,60.67,62.8,59.77,62.37,5118400
2017-06-16,62.67,65.25,61.0,61.45,8158300
2017-06-23,61.39,61.42,59.21,61.07,9491600
2017-06-30,61.08,63.82,61.02,62.64,6455900
2017-07-07,62.86,63.95,61.49,62.38,3259200
2017-07-14,62.49,63.73,60.8,63.55,3762200
2017-07-21,63.64,64.88,63.39,64.23,3031500
2017-07-28,64.31,67.39,63.48,66.16,3893500
2017-08-04,66.27,67.67,65.21,66.73,4726600
2017-08-11,66.74,67.34,64.74,65.11,3503400
2017-08-18,64.99,66.26,64.3,64.68,4294700
2017-08-25,64.82,67.1,64.39,65.75,3589200
2017-09-01,65.87,66.03,62.66,64.68,6269000
2017-09-08,64.72,65.5,63.87,64.18,3765400
2017-09-15,64.3,65.56,63.27,65.0,6531400
2017-09-22,64.87,64.98,62.02,62.12,4239300
2017-09-29,62.26,63.45,61.46,62.04,4814800
2017-10-06,62.05,63.82,61.53,62.3,3850800
2017-10-13,62.51,64.93,62.44,64.67,3276600
2017-10-20,64.57,65.25,63.27,63.65,3906500
2017-10-27,63.85,64.14,61.49,62.52,3558600
2017-11-03,62.54,65.51,61.19,64.1,5318000
2017-11-10,64.22,66.94,63.94,66.45,4214700
2017-11-17,66.73,67.83,66.02,67.4,3787500
2017-11-24,67.47,68.2,66.97,67.81,2556100
2017-12-01,68.06,68.45,67.11,68.06,4184000
2017-12-08,68.06,68.74,66.89,67.58,4305600
2017-12-15,67.54,70.11,67.32,70.0,5345700
2017-12-22,70.11,70.64,67.49,68.09,5394000
2017-12-29,68.33,69.64,68.1,69.18,2805900
2018-01-05,69.33,69.78,66.63,66.77,3334800
2018-01-12,66.82,67.56,63.53,64.06,4875500
2018-01-19,64.26,64.97,63.37,63.77,3776600
2018-01-26,63.73,64.76,63.03,63.16,5028800
2018-02-02,63.89,63.95,59.67,60.12,6292200
2018-02-09,59.84,60.93,55.03,56.7,7533400
2018-02-16,57.11,58.53,54.87,58.04,6801400
2018-02-23,57.78,59.03,56.71,59.01,6080000
2018-03-02,59.24,59.84,57.25,58.93,7183100
2018-03-09,58.55,59.55,58.08,59.1,4825900
2018-03-16,58.95,59.6,57.78,58.27,6782000
2018-03-23,58.41,58.41,55.74,55.85,6141700
2018-03-30,56.2,59.52,55.6,58.98,5112900
2018-04-06,58.98,60.09,57.34,58.7,5059700
2018-04-13,58.65,59.35,57.71,58.39,3885800
2018-04-20,58.43,59.16,56.07,56.12,4393300
2018-04-27,56.15,58.91,55.43,58.78,3648300
2018-05-04,58.92,59.52,57.64,58.76,4906400
2018-05-11,59.04,59.2,57.74,58.55,3455400
2018-05-18,58.41,58.81,55.46,55.7,5882900
2018-05-25,56.11,58.08,55.38,57.8,6186100
2018-06-01,57.43,58.62,57.16,57.76,5737200
2018-06-08,58.02,59.61,57.89,59.47,6541700
2018-06-15,59.53,60.66,59.17,59.71,5873000
2018-06-22,59.55,62.78,58.93,62.68,5928500
2018-06-29,62.79,62.92,61.66,62.08,5560500
2018-07-06,62.02,62.66,60.97,62.36,5006500
2018-07-13,62.41,62.42,61.08,61.22,4836300
2018-07-20,61.1,61.85,60.28,61.44,5770100
2018-07-27,61.59,64.4,60.75,61.87,15426100
2018-08-03,62.01,64.98,61.38,64.84,7440800
2018-08-10,64.87,64.94,62.88,63.25,6026800
2018-08-17,63.24,65.24,62.5,65.21,7824200
2018-08-24,65.39,66.0,64.66,65.44,4459700
2018-08-31,65.49,66.26,64.72,66.03,4737000
2018-09-07,65.97,66.86,64.78,65.14,3968000
2018-09-14,65.56,66.19,64.41,64.65,5466100
2018-09-21,64.75,65.93,64.2,65.37,10894200
2018-09-28,65.32,65.46,63.32,64.67,4196300
2018-10-05,64.71,64.94,62.37,63.13,4609900
2018-10-12,63.26,64.79,61.42,61.74,8287700
2018-10-19,61.56,63.78,61.56,63.45,5556700
2018-10-26,63.49,64.73,61.97,64.09,4819700
2018-11-02,64.68,65.76,62.32,62.81,5347500
2018-11-09,63.08,65.66,62.96,65.25,4372000
2018-11-16,65.34,66.09,62.13,63.52,4201800
2018-11-23,63.64,64.41,62.07,62.77,2456100
2018-11-30,62.91,63.78,62.22,63.66,5581000
2018-12-07,63.85,65.9,62.44,65.06,5377500
2018-12-14,65.21,65.21,61.25,61.5,6325500
2018-12-21,61.59,61.89,56.87,57.46,9464200
2018-12-28,57.32,59.79,55.5,58.47,4764600
2019-01-04,58.6,59.62,56.5,57.1,4579300
2019-01-11,57.22,59.84,57.07,59.79,5311800
2019-01-18,59.64,61.82,59.27,61.69,4194400
2019-01-25,61.86,62.9,60.94,62.75,2475700
2019-02-01,62.67,65.77,61.38,64.45,5145900
2019-02-08,64.68,65.93,63.97,65.72,5093900
2019-02-15,65.8,66.38,65.04,66.32,4254600
2019-02-22,66.19,67.1,65.22,65.88,3036000
2019-03-01,66.1,66.23,63.61,64.18,4170100
2019-03-08,64.18,65.35,63.56,63.77,3834500
2019-03-15,63.89,65.64,63.73,64.76,3748100
2019-03-22,64.82,66.86,63.97,66.11,3670000
2019-03-29,66.16,68.33,65.74,67.49,3569400
2019-04-05,67.51,68.9,66.52,68.86,4268800
2019-04-12,68.89,68.99,67.41,68.86,2654200
2019-04-19,68.9,69.01,65.56,66.38,2960100
2019-04-26,66.05,67.87,64.02,67.57,3012100
2019-05-03,67.47,68.03,65.07,66.8,3564500
2019-05-10,67.04,67.04,64.41,65.54,3533400
2019-05-17,65.02,67.82,65.02,66.96,5807400
2019-05-24,66.96,67.87,65.78,66.76,4787900
2019-05-31,66.86,67.1,64.88,65.96,7162500
2019-06-07,66.1,68.49,65.17,67.47,3154800
2019-06-14,67.56,68.96,66.07,68.87,3828900
2019-06-21,69.06,70.26,65.59,69.52,6587900
2019-06-28,69.55,69.97,66.19,66.74,5947400
2019-07-05,67.22,68.82,65.56,68.48,2044600
2019-07-12,68.43,69.83,68.18,68.54,2955200
2019-07-19,68.62,68.9,64.98,65.01,3557000
2019-07-26,65.11,66.53,64.46,66.2,3967900
2019-08-02,66.46,67.44,65.23,65.76,4249300
2019-08-09,65.63,65.64,62.9,64.98,4807800
2019-08-16,64.72,65.74,64.46,65.19,4578400
2019-08-23,65.4,65.84,62.97,63.34,3916800
2019-08-30,63.83,64.73,62.74,64.51,3685300
2019-09-06,64.17,67.13,64.12,66.92,3140100
2019-09-13,66.89,69.59,66.47,68.06,7148400
2019-09-20,68.29,68.75,67.25,67.73,5396800
2019-09-27,67.26,69.27,67.07,69.08,4212300
2019-10-04,69.23,69.88,67.87,69.02,4107300
2019-10-11,68.67,69.47,67.15,68.49,3073300
2019-10-18,68.26,69.04,67.8,68.82,4151500
2019-10-25,68.6,70.0,68.15,68.5,4027500
2019-11-01,68.62,70.13,65.49,67.09,5574200
2019-11-08,66.99,67.7,64.61,64.66,3451700
2019-11-15,64.76,65.89,64.31,65.37,4513200
2019-11-22,65.37,65.58,62.99,64.14,4326900
2019-11-29,64.49,65.67,63.58,65.04,3168300
2019-12-06,65.09,65.16,63.3,64.36,4715000
2019-12-13,65.43,65.43,60.35,60.91,6776900
2019-12-20,60.91,62.87,60.35,62.65,6838600
2019-12-27,62.68,62.75,61.64,62.46,1583200
2020-01-03,62.31,63.47,61.39,62.41,2812600
2020-01-10,62.43,63.01,61.22,61.92,4026500
2020-01-17,61.86,63.71,61.72,63.2,3931200
2020-01-24,63.38,64.31,63.03,63.79,2067300
2020-01-31,63.33,63.98,61.72,62.04,3274800
2020-02-07,62.39,64.05,61.82,63.12,3917700
2020-02-14,63.52,64.36,61.9,64.02,6019300
2020-02-21,64.12,64.65,63.08,63.68,3487100
2020-02-28,63.32,64.06,55.45,57.44,9462100
2020-03-06,57.67,62.34,57.51,60.44,8024200
2020-03-13,57.18,58.13,50.91,55.25,10358300
2020-03-20,50.8,51.91,34.47,35.3,10383400
2020-03-27,35.32,43.81,32.84,40.49,11167300
2020-04-03,40.43,42.45,31.8,32.27,10282600
2020-04-10,36.09,45.58,34.48,44.12,10139200
2020-04-17,44.07,44.45,37.0,38.66,7271200
2020-04-24,37.34,38.2,34.84,35.43,8908500
2020-05-01,35.21,45.89,35.0,40.92,9516300
2020-05-08,39.48,43.11,37.87,41.96,6334600
2020-05-15,41.47,41.99,33.56,36.81,10047200
2020-05-22,38.48,42.62,38.48,41.26,7668900
2020-05-29,43.26,46.86,42.69,42.79,6668500
2020-06-05,42.97,54.57,42.75,50.8,7326200
2020-06-12,50.56,54.26,44.22,47.89,7958800
2020-06-19,45.66,50.77,44.14,44.64,8186600
2020-06-26,44.42,46.87,42.49,44.49,6039200
2020-07-03,45.46,47.81,44.0,45.73,3356500
2020-07-10,46.95,47.83,41.18,42.94,4820700
2020-07-17,43.38,43.77,41.64,41.7,4816700
2020-07-24,41.65,41.89,39.85,39.96,5979500
2020-07-31,39.16,42.47,38.48,41.03,8583600
2020-08-07,40.57,41.98,39.43,41.65,4858200
2020-08-14,41.55,44.82,41.51,42.88,5477400
2020-08-21,42.42,43.02,40.0,40.46,3599700
2020-08-28,40.47,41.59,39.57,40.44,4136900
2020-09-04,40.6,42.36,38.88,41.53,6902500
2020-09-11,41.32,41.62,37.88,38.6,6313900
2020-09-18,38.85,41.9,38.83,40.07,11038100
2020-09-25,39.42,39.42,35.99,37.42,6955300
2020-10-02,38.59,40.38,37.0,40.2,5350900
2020-10-09,40.62,40.93,39.17,39.58,5079700
