Date,Open,High,Low,Close,Volume
2015-04-03,459.05,464.52,433.47,438.27,3823600
2015-04-10,434.25,463.47,434.01,461.39,2754800
2015-04-17,460.94,469.9,442.6,447.52,2820100
2015-04-24,449.82,486.0,445.39,480.09,4481400
2015-05-01,483.61,485.75,451.59,471.16,4224400
2015-05-08,473.45,484.85,462.0,481.29,4745100
2015-05-15,484.26,498.49,465.26,489.01,3185900
2015-05-22,488.01,519.46,487.81,513.88,3876000
2015-05-29,511.8,517.18,503.16,512.56,2865800
2015-06-05,517.08,539.8,505.12,539.4,3843000
2015-06-12,540.98,544.0,490.87,492.29,4947300
2015-06-19,490.11,534.77,482.92,522.28,4941600
2015-06-26,526.85,532.0,513.43,520.63,2571300
2015-07-03,514.59,520.5,504.33,511.08,2138100
2015-07-10,505.46,526.23,503.64,526.01,2695200
2015-07-17,532.28,552.98,531.95,551.98,2802400
2015-07-24,555.0,569.91,533.51,541.85,3692000
2015-07-31,538.74,559.65,530.35,553.66,3236200
2015-08-07,558.47,605.93,546.0,579.04,4892600
2015-08-14,584.67,591.84,555.5,576.3,3264400
2015-08-21,574.73,579.98,525.23,527.18,3795200
2015-08-28,498.0,547.51,480.5,536.7,5324000
2015-09-04,526.26,534.72,493.75,499.99,3897800
2015-09-11,514.88,549.99,510.13,533.3,2851200
2015-09-18,533.47,556.31,524.86,550.36,3267300
2015-09-25,551.55,557.87,480.08,490.67,5376500
2015-10-02,491.01,492.42,435.52,479.07,8238700
2015-10-09,484.1,504.98,448.1,503.92,5039800
2015-10-16,521.21,531.87,502.51,514.59,4555700
2015-10-23,515.85,539.11,500.66,536.7,4224100
2015-10-30,537.7,578.0,534.86,557.39,3923400
2015-11-06,568.29,588.05,549.5,562.0,5166500
2015-11-13,560.83,571.75,545.12,548.9,2953800
2015-11-20,550.26,592.59,545.2,579.57,3304500
2015-11-27,575.99,584.59,559.25,563.1,2771500
2015-12-04,563.99,565.68,534.13,558.66,3586600
2015-12-11,559.66,562.86,532.5,534.51,2751600
2015-12-18,537.14,563.79,527.05,544.23,3961400
