Date,Open,High,Low,Close,Volume
2015-04-03,9.31,9.64,9.24,9.58,75928900
2015-04-10,9.28,9.73,9.28,9.59,80946800
2015-04-17,9.58,9.75,9.49,9.59,87946400
2015-04-24,9.63,9.87,9.49,9.58,85707200
2015-05-01,9.62,9.91,9.53,9.83,74376000
2015-05-08,9.85,10.14,9.78,9.93,88669200
2015-05-15,9.95,10.31,9.92,9.98,82724300
2015-05-22,10.02,10.41,10.01,10.22,60683400
2015-05-29,10.18,10.3,10.07,10.09,42655200
2015-06-05,10.14,10.62,9.96,10.52,107258900
2015-06-12,10.46,10.75,10.39,10.58,69920500
2015-06-19,10.45,10.68,10.27,10.44,60382400
2015-06-26,10.54,10.82,10.49,10.53,61396700
2015-07-03,10.37,10.53,10.19,10.27,54954800
2015-07-10,10.11,10.25,9.82,10.14,78959100
2015-07-17,10.25,10.47,10.02,10.12,102728700
2015-07-24,10.2,10.87,10.09,10.56,135057900
2015-07-31,10.48,10.6,10.28,10.39,71099400
2015-08-07,10.4,10.72,10.27,10.62,87411800
2015-08-14,10.7,10.81,10.19,10.55,66417500
2015-08-21,10.44,10.61,9.65,9.67,92264900
2015-08-28,9.11,9.64,8.76,9.62,127680800
2015-09-04,9.52,9.64,9.12,9.26,70781600
2015-09-11,9.47,9.66,9.29,9.51,50010600
2015-09-18,9.47,9.77,8.92,8.94,114822300
2015-09-25,9.03,9.19,8.78,9.08,63582000
2015-10-02,9.04,9.07,8.54,8.91,76392600
2015-10-09,8.98,9.31,8.93,9.09,74340700
2015-10-16,9.06,9.15,8.75,9.02,72269200
2015-10-23,9.01,9.46,8.93,9.45,88380300
2015-10-30,9.45,9.76,9.16,9.35,74074200
2015-11-06,9.44,10.21,9.38,10.13,80392000
2015-11-13,10.08,10.2,9.67,9.71,72621000
2015-11-20,9.66,10.23,9.62,10.08,92348700
2015-11-27,10.11,10.2,9.99,10.17,37785500
2015-12-04,10.17,10.28,9.91,10.26,74194300
2015-12-11,10.21,10.23,9.3,9.37,99130300
2015-12-18,9.47,10.02,9.2,9.35,150860400
2015-12-25,9.39,9.78,9.25,9.71,41693500
2016-01-01,9.66,9.79,9.48,9.6,33245600
2016-01-08,9.35,9.51,8.73,8.76,101348400
2016-01-15,8.84,8.9,7.08,8.2,147538700
2016-01-22,8.31,8.4,7.6,7.93,113591700
2016-01-29,7.87,8.26,7.55,8.12,125126600
2016-02-05,8.13,8.15,7.34,7.8,128244500
2016-02-12,7.67,7.79,7.0,7.6,137206200
2016-02-19,7.76,8.02,7.49,7.65,89276300
2016-02-26,7.79,7.91,7.21,7.75,92297700
2016-03-04,7.71,8.57,7.52,8.39,99207200
2016-03-11,8.27,8.43,7.82,8.24,104131300
2016-03-18,8.24,8.32,7.82,8.23,97856700
2016-03-25,8.23,8.34,7.82,8.06,55678600
2016-04-01,8.08,8.12,7.67,7.89,79191100
2016-04-08,7.87,7.97,7.53,7.67,81414700
2016-04-15,7.7,8.9,7.68,8.74,149562100
2016-04-22,8.66,9.42,8.57,9.34,115097600
2016-04-29,9.28,9.63,9.17,9.38,110293200
2016-05-06,9.45,9.48,8.92,9.08,104316200
2016-05-13,9.06,9.39,8.89,8.99,76308000
2016-05-20,8.94,9.7,8.92,9.51,108964500
2016-05-27,9.49,9.9,9.36,9.87,72400400
2016-06-03,9.9,10.0,9.5,9.73,77513300
2016-06-10,9.82,10.0,9.45,9.52,73903400
2016-06-17,9.46,9.57,8.79,9.09,133198600
2016-06-24,9.31,9.45,8.52,8.53,85130600
2016-07-01,8.37,8.51,7.86,8.36,119157800
2016-07-08,8.24,8.53,7.8,8.44,89863200
2016-07-15,8.54,9.18,8.5,9.12,99750500
