Date,Open,High,Low,Close,Volume
2015-03-27,93.94,94.24,91.79,92.53,1744200
2015-04-03,92.8,94.17,92.5,93.72,1223300
2015-04-10,92.86,94.94,92.5,94.66,1854300
2015-04-17,94.77,95.08,92.5,93.07,1586600
2015-04-24,93.69,93.74,91.33,91.62,1872300
2015-05-01,91.61,92.58,90.25,91.59,1777300
2015-05-08,91.67,93.33,91.6,93.21,1606300
2015-05-15,93.26,93.6,92.0,93.03,1356500
2015-05-22,93.03,95.48,92.95,94.6,1514800
2015-05-29,94.41,94.85,92.73,93.55,1256300
2015-06-05,93.68,95.41,93.05,94.57,1526800
2015-06-12,94.34,96.37,93.0,96.1,1542200
2015-06-19,95.61,97.92,94.38,96.96,2195200
2015-06-26,97.83,98.45,96.43,97.07,1851400
2015-07-03,95.78,97.28,94.57,96.2,1408000
2015-07-10,95.54,96.87,94.28,96.47,1366400
2015-07-17,97.38,98.62,96.43,97.82,1290700
2015-07-24,98.08,98.7,96.33,97.72,1563000
2015-07-31,97.6,97.89,95.48,96.52,1905500
2015-08-07,95.8,97.13,95.08,95.72,1264500
2015-08-14,96.56,97.89,94.4,97.78,1182400
2015-08-21,97.1,98.5,92.38,92.38,1142000
2015-08-28,88.44,92.04,84.78,91.63,3304700
2015-09-04,91.27,92.44,88.67,90.5,2100000
2015-09-11,91.69,92.63,90.08,91.71,1346500
2015-09-18,91.55,93.2,89.14,89.34,1077300
2015-09-25,90.34,91.8,89.2,90.98,1267600
2015-10-02,90.19,91.58,88.06,90.11,1476900
2015-10-09,90.77,92.91,89.65,92.21,1087800
2015-10-16,92.28,93.48,91.24,93.15,917800
2015-10-23,92.75,95.49,92.21,95.3,841600
2015-10-30,94.96,100.09,88.75,90.24,2352700
2015-11-06,90.3,93.24,89.77,92.31,1631600
2015-11-13,92.04,92.68,88.15,88.32,1480000
2015-11-20,88.0,90.59,87.89,90.43,1681400
2015-11-27,90.5,92.49,89.45,92.28,820400
2015-12-04,92.62,93.52,90.53,92.91,1082800
2015-12-11,92.72,92.85,85.29,86.67,1120200
2015-12-18,86.7,88.44,83.3,83.36,1639700
2015-12-25,83.76,86.49,83.22,86.24,640400
2016-01-01,85.74,87.73,85.55,85.55,736000
2016-01-08,83.97,85.0,82.22,82.28,2528600
2016-01-15,82.65,84.09,78.79,80.9,1906400
2016-01-22,81.68,82.41,76.96,80.45,1286300
2016-01-29,80.04,84.54,79.73,84.23,1785000
2016-02-05,83.9,84.82,81.36,84.22,1909100
2016-02-12,82.93,86.09,82.06,85.95,2217200
2016-02-19,87.25,89.96,85.99,89.75,1618200
2016-02-26,90.48,92.34,88.28,91.33,1051500
2016-03-04,91.2,93.98,90.07,93.53,1303900
2016-03-11,93.04,95.95,90.87,95.65,1696100
2016-03-18,95.17,97.4,93.92,96.36,1521900
2016-03-25,96.35,96.63,93.57,94.31,783500
2016-04-01,94.46,97.03,94.07,96.77,1294400
2016-04-08,96.55,97.11,92.34,93.73,1112000
2016-04-15,93.84,97.46,93.01,97.34,990400
2016-04-22,96.85,98.27,96.04,97.08,1121700
2016-04-29,96.81,97.96,90.17,95.22,1870900
2016-05-06,95.45,96.3,93.31,94.73,1604100
2016-05-13,94.61,96.66,94.21,95.87,1116200
2016-05-20,95.72,97.0,94.43,96.44,1347300
2016-05-27,96.22,98.83,95.44,98.68,1101500
2016-06-03,98.71,99.83,96.93,97.83,854000
2016-06-10,97.84,99.1,96.38,96.58,741800
2016-06-17,96.04,96.56,92.65,94.62,1416600
2016-06-24,96.36,97.63,92.42,92.49,1087600
2016-07-01,91.33,97.55,90.26,96.16,1607000
2016-07-08,95.49,95.49,92.21,94.79,855500
2016-07-15,95.21,98.24,94.7,97.32,1332400
2016-07-22,97.41,97.84,95.5,96.45,1011600
2016-07-29,96.53,99.85,94.33,99.25,1455300
2016-08-05,99.41,100.93,96.56,100.82,1476700
2016-08-12,101.06,102.04,100.41,100.94,1039800
2016-08-19,101.43,102.01,100.52,101.72,763500
2016-08-26,101.41,105.62,101.08,104.61,1281300
2016-09-02,104.82,108.34,104.61,108.22,1337000
2016-09-09,108.46,110.89,107.53,107.53,1497500
2016-09-16,106.19,108.53,105.57,106.1,1528900
2016-09-23,106.22,109.71,106.14,107.8,1180700
2016-09-30,106.77,109.1,106.7,107.94,1059800
2016-10-07,107.85,108.75,106.12,108.22,1406100
2016-10-14,108.22,111.08,107.64,109.85,1650000
2016-10-21,109.85,111.4,106.68,107.77,1762700
2016-10-28,109.11,109.86,107.38,108.24,2296400
2016-11-04,108.05,109.63,107.12,108.73,2066800
