Date,Open,High,Low,Close,Volume
2015-03-27,67.6,69.0,63.13,63.91,2865400
2015-04-03,63.11,66.92,62.5,64.69,2118200
2015-04-10,66.28,67.16,61.98,63.49,3334900
2015-04-17,63.4,63.83,61.21,62.32,3646300
2015-04-24,61.38,64.48,61.0,62.3,2687800
2015-05-01,62.84,66.46,61.73,65.93,3746800
2015-05-08,67.46,67.76,63.32,65.08,3332100
2015-05-15,65.8,67.99,65.08,66.6,2213400
2015-05-22,66.6,67.49,64.25,64.42,1776300
2015-05-29,63.11,65.46,62.71,64.77,2037100
2015-06-05,65.17,65.5,63.26,64.2,1775500
2015-06-12,64.42,65.06,62.82,63.39,2400400
2015-06-19,63.0,65.79,62.49,63.52,2771400
2015-06-26,63.1,63.29,62.11,62.46,2035300
2015-07-03,62.48,63.22,60.89,62.32,2088300
2015-07-10,62.49,63.99,60.17,60.84,2982600
2015-07-17,60.55,61.85,56.75,56.85,3408600
2015-07-24,53.88,54.37,48.26,51.16,5437500
2015-07-31,52.01,52.27,49.14,50.42,3515400
2015-08-07,50.33,51.69,48.71,50.18,3828400
2015-08-14,50.49,54.85,49.93,53.11,3898300
2015-08-21,53.68,57.81,53.68,54.96,3506700
2015-08-28,53.86,54.23,46.12,48.94,5713200
2015-09-04,48.19,49.15,45.03,45.85,4526100
2015-09-11,45.85,46.0,42.21,44.24,4071200
2015-09-18,44.13,49.98,43.66,47.81,4999700
2015-09-25,47.34,49.26,45.75,47.71,3680800
2015-10-02,46.97,48.88,45.66,48.56,3560400
2015-10-09,48.56,51.28,48.56,50.45,4339900
2015-10-16,51.0,53.47,48.31,51.51,3948700
2015-10-23,51.45,52.07,48.77,51.67,3118700
2015-10-30,51.52,52.7,47.74,47.84,3648100
2015-11-06,47.55,48.58,35.5,35.51,9409500
2015-11-13,35.81,38.74,35.6,36.67,7940200
2015-11-20,37.09,37.67,34.42,35.65,5431800
2015-11-27,35.7,36.7,35.29,35.76,2351600
2015-12-04,35.7,38.72,35.51,38.69,5016000
2015-12-11,38.51,38.65,36.56,37.78,3941100
2015-12-18,37.44,37.69,34.65,36.15,5016500
2015-12-25,36.47,38.46,35.57,38.01,2036900
2016-01-01,37.52,37.78,35.53,36.47,1983000
2016-01-08,37.02,39.45,35.95,37.59,4186700
2016-01-15,37.44,37.86,27.7,28.38,8622500
2016-01-22,28.0,28.35,24.68,26.44,8710300
2016-01-29,26.9,30.37,26.61,29.79,6211800
2016-02-05,29.99,39.43,29.45,39.22,8809200
2016-02-12,40.78,43.3,36.06,41.74,9542800
2016-02-19,40.35,45.09,39.6,43.35,5791100
2016-02-26,42.08,46.55,41.96,44.82,5847000
2016-03-04,45.8,51.4,44.32,48.5,6898500
2016-03-11,49.09,51.24,45.0,49.67,5841800
2016-03-18,49.44,52.97,45.53,51.69,6274200
2016-03-25,51.16,53.32,48.56,50.19,2811800
2016-04-01,50.5,52.97,48.7,51.57,3312800
2016-04-08,51.6,52.97,49.57,52.75,4085200
2016-04-15,53.98,56.55,52.42,54.35,4428300
2016-04-22,55.6,58.64,54.09,56.24,4226100
2016-04-29,56.29,62.78,55.17,62.62,4425000
2016-05-06,62.87,63.31,57.86,59.81,4492100
2016-05-13,57.63,59.73,55.08,57.73,3643900
2016-05-20,58.44,59.95,51.76,55.45,5375300
2016-05-27,54.36,57.38,52.69,55.02,3932300
2016-06-03,54.39,61.61,54.35,61.55,3239000
2016-06-10,61.28,67.97,60.36,65.56,4770400
2016-06-17,66.6,69.36,63.93,66.49,7294900
2016-06-24,65.71,72.0,65.02,69.17,4873300
2016-07-01,70.39,74.85,68.0,74.47,4337200
2016-07-08,75.52,82.49,72.82,82.04,6970900
2016-07-15,81.53,83.61,78.64,80.54,5072300
2016-07-22,80.56,81.65,76.93,79.32,3414900
