Date,Open,High,Low,Close,Volume
2020-11-27,9.75,9.82,9.74,9.82,5500
2020-12-04,9.82,10.8,9.72,10.06,219100
2020-12-11,10.1,11.39,9.9,10.35,953300
2020-12-18,10.49,11.04,10.0,10.34,204600
2020-12-25,10.2,10.5,10.1,10.3,525500
2021-01-01,10.41,10.69,9.97,10.11,863600
2021-01-08,10.3,10.65,10.22,10.42,84700
2021-01-15,10.45,10.67,10.25,10.35,1323400
2021-01-22,10.49,10.68,10.33,10.5,517500
2021-01-29,10.59,10.72,10.2,10.38,1094100
2021-02-05,10.38,10.75,10.32,10.52,296100
2021-02-12,10.51,11.21,10.35,10.46,869700
2021-02-19,10.49,10.99,10.41,10.8,774200
2021-02-26,10.75,10.79,10.05,10.25,767900
2021-03-05,13.45,15.15,11.06,12.5,67209500
2021-03-12,13.03,13.2,11.8,12.22,9564600
2021-03-19,12.44,12.58,11.29,11.6,6160400
2021-03-26,12.25,13.17,10.8,11.68,10683700
2021-04-02,12.1,12.6,11.23,11.48,4444300
2021-04-09,11.79,11.79,10.6,11.1,5184500
2021-04-16,11.0,11.21,10.27,10.9,4211100
2021-04-23,11.06,11.06,10.27,10.75,3434700
2021-04-30,10.8,10.82,10.43,10.46,2136300
2021-05-07,10.56,10.64,9.95,9.99,5095200
2021-05-14,10.05,10.06,9.77,9.94,5138200
2021-05-21,9.85,10.08,9.8,10.0,3249800
2021-05-28,9.98,10.08,9.89,9.98,4286600
2021-06-04,10.1,10.27,9.98,10.15,2039900
2021-06-11,10.25,10.9,10.06,10.47,3659400
2021-06-18,10.55,10.59,10.12,10.4,2998700
2021-06-25,10.45,10.65,10.26,10.51,2526500
2021-07-02,10.7,12.28,10.6,11.39,7963100
2021-07-09,11.69,11.87,10.59,11.45,5169200
2021-07-16,11.67,11.69,10.3,10.8,5667500
2021-07-23,10.36,11.05,10.27,10.77,2318800
2021-07-30,10.82,10.84,10.12,10.17,3598500
2021-08-06,10.23,10.47,9.96,10.12,3404800
2021-08-13,10.22,11.28,10.15,10.62,4027800
2021-08-20,10.69,10.69,9.9,10.47,4617700
2021-08-27,10.95,11.9,9.5,10.35,14137000
2021-09-03,10.5,14.34,9.66,13.52,20534900
2021-09-10,15.02,21.34,14.07,18.69,79331600
2021-09-17,18.38,18.41,14.62,15.41,25642800
2021-09-24,14.78,15.4,13.46,14.05,11970000
2021-10-01,14.3,16.43,14.16,15.98,18200100
2021-10-08,15.97,16.1,13.8,14.71,37853100
2021-10-15,14.66,14.68,12.7,12.8,19894900
2021-10-22,12.8,13.14,12.2,13.0,20184800
2021-10-29,13.0,14.14,12.66,14.05,10185500
2021-11-05,14.43,16.24,13.95,15.51,12655600
