Date,Open,High,Low,Close,Volume
2015-03-27,71.79,72.66,69.69,71.55,3214800
2015-04-03,71.68,72.69,70.07,72.52,3049800
2015-04-10,72.54,75.33,72.24,74.82,5670600
2015-04-17,74.78,75.22,71.29,71.88,3670100
2015-04-24,72.32,74.14,65.05,65.7,6703400
2015-05-01,65.32,65.84,63.68,64.78,5832700
2015-05-08,65.1,66.62,64.39,65.62,3446800
2015-05-15,65.36,65.77,54.5,56.2,13761300
2015-05-22,55.78,57.89,55.49,57.08,5273400
2015-05-29,57.26,59.45,56.98,58.82,3390800
2015-06-05,58.8,60.0,58.52,59.66,3426000
2015-06-12,59.72,59.85,58.3,58.56,4124800
2015-06-19,58.33,58.75,56.62,57.56,5059900
2015-06-26,58.2,58.39,55.78,55.89,3506800
2015-07-03,55.27,56.75,54.81,55.31,3494300
2015-07-10,55.03,57.26,54.85,57.05,5323000
2015-07-17,57.58,57.91,56.38,57.34,3161300
2015-07-24,57.47,57.47,55.82,55.92,3982800
2015-07-31,55.95,58.82,55.0,57.95,6018300
2015-08-07,57.69,57.99,54.01,54.88,5293800
2015-08-14,55.21,55.89,54.32,55.85,2589800
2015-08-21,55.54,56.04,52.48,52.5,3573500
2015-08-28,50.09,52.53,48.99,52.47,5577600
2015-09-04,52.41,52.73,50.21,51.17,3573900
2015-09-11,51.99,51.99,49.91,51.48,3094700
2015-09-18,51.35,51.9,50.46,51.0,4120900
2015-09-25,51.24,51.85,49.22,50.52,3573800
2015-10-02,50.22,51.67,49.11,51.67,4739800
2015-10-09,52.13,54.71,52.03,54.3,3116900
2015-10-16,54.04,56.91,53.86,56.5,2456500
2015-10-23,56.3,58.0,55.23,56.25,5846700
2015-10-30,56.0,57.75,55.75,57.61,3571300
2015-11-06,57.65,58.9,57.26,58.36,2565400
2015-11-13,58.0,58.61,56.45,57.32,3551700
2015-11-20,57.1,59.17,56.74,59.12,2406400
2015-11-27,58.48,60.11,58.16,60.02,2721900
2015-12-04,59.92,60.35,57.77,57.8,4676200
2015-12-11,56.98,57.0,54.89,55.31,6723600
2015-12-18,55.28,56.82,53.96,54.0,9767700
2015-12-25,54.2,54.5,52.6,53.92,3415300
2016-01-01,53.92,55.01,53.68,53.69,2370800
2016-01-08,52.97,53.02,50.77,52.12,5846200
2016-01-15,52.16,54.27,51.95,53.29,6222600
2016-01-22,52.66,60.0,52.37,57.57,10474400
2016-01-29,57.79,59.65,55.98,56.7,7452100
2016-02-05,56.77,58.58,56.3,57.42,6557400
2016-02-12,56.89,58.93,55.83,57.88,6487300
2016-02-19,58.2,59.87,58.15,58.9,3117600
2016-02-26,59.47,59.64,56.83,57.74,5523600
2016-03-04,57.86,58.33,56.82,57.85,3984900
2016-03-11,57.75,60.49,57.5,60.36,6718400
2016-03-18,59.9,59.9,55.74,56.34,5695000
2016-03-25,56.13,57.03,55.13,55.47,4454900
2016-04-01,55.72,59.02,55.3,58.99,5541000
2016-04-08,58.74,59.61,57.68,58.58,4818400
2016-04-15,58.7,60.4,58.51,59.75,3063100
2016-04-22,59.45,60.73,59.09,60.72,4070300
2016-04-29,60.68,61.23,55.43,55.8,9280100
2016-05-06,55.85,56.64,55.5,56.48,3788800
2016-05-13,56.41,58.07,56.35,57.44,3419000
2016-05-20,57.59,58.33,56.28,57.62,3416900
2016-05-27,57.77,58.61,57.32,58.44,3249900
2016-06-03,58.72,59.83,58.5,59.54,3482200
2016-06-10,59.55,60.55,59.53,59.8,2956300
2016-06-17,59.46,60.01,58.08,58.36,3127900
2016-06-24,59.04,64.12,59.04,60.52,5726800
2016-07-01,60.3,63.99,58.28,63.53,4526900
2016-07-08,63.7,64.57,63.28,64.51,4077500
2016-07-15,64.98,65.29,63.85,64.8,3752700
2016-07-22,65.12,66.47,65.12,65.93,3879800
2016-07-29,65.77,69.38,64.73,68.88,5317700
2016-08-05,69.02,70.16,68.28,69.85,4203000
2016-08-12,69.79,70.8,69.63,70.42,3807700
2016-08-19,70.41,70.9,68.44,70.07,4457700
2016-08-26,69.65,69.89,67.28,69.03,7050500
2016-09-02,65.65,68.19,65.65,67.06,5874100
2016-09-09,67.24,68.4,65.45,65.45,3097400
2016-09-16,65.14,65.92,64.21,64.46,5981900
2016-09-23,64.96,65.15,63.11,63.25,5007700
2016-09-30,63.35,65.88,63.31,64.79,4317700
2016-10-07,64.36,65.42,63.46,63.93,4195800
2016-10-14,64.39,65.58,63.15,64.65,3529100
2016-10-21,64.43,65.07,63.09,63.72,3377600
2016-10-28,64.58,64.58,58.96,60.35,8194100
2016-11-04,59.7,60.09,56.92,57.42,5272300
2016-11-11,58.33,59.99,56.59,59.85,4767500
2016-11-18,59.64,59.76,57.63,58.53,3479600
2016-11-25,58.15,59.2,57.45,59.03,2064800
2016-12-02,58.95,62.36,58.95,59.52,7348700
2016-12-09,59.74,62.29,58.71,62.23,3522400
2016-12-16,62.0,63.41,60.13,62.53,5346300
2016-12-23,62.09,62.73,61.27,62.03,3325800
2016-12-30,61.98,62.61,61.54,62.05,2022300
2017-01-06,62.1,62.62,61.22,62.14,2441600
2017-01-13,62.08,65.78,62.04,65.33,3121700
2017-01-20,64.64,64.7,62.71,63.65,3470100
2017-01-27,62.64,70.76,62.64,68.14,9288300
2017-02-03,67.77,68.26,66.18,68.21,5014300
