Date,Open,High,Low,Close,Volume
2015-04-03,114.21,116.27,112.47,112.8,4911300
2015-04-10,112.59,115.59,110.17,111.55,5206800
2015-04-17,111.46,114.68,110.0,112.31,5618000
2015-04-24,113.14,114.58,111.46,112.13,4305700
2015-05-01,112.57,122.66,111.4,121.24,10498500
2015-05-08,121.5,122.66,119.07,120.08,5149000
2015-05-15,119.63,124.7,119.38,124.37,4688700
2015-05-22,124.0,126.29,123.96,125.13,3740100
2015-05-29,124.7,124.86,122.25,122.89,3110400
2015-06-05,122.79,126.67,122.32,125.17,4455600
2015-06-12,124.79,127.05,124.54,125.87,3292100
2015-06-19,125.27,126.32,123.08,124.37,3472800
2015-06-26,125.27,126.23,123.79,124.72,2826500
2015-07-03,123.6,126.77,122.81,126.13,3919400
2015-07-10,124.9,125.99,119.97,122.17,4880000
2015-07-17,123.17,125.6,122.71,123.74,3394400
2015-07-24,123.56,123.89,117.11,117.52,4790000
2015-07-31,116.6,119.4,114.65,116.78,6289000
2015-08-07,117.05,117.39,114.67,115.9,4036900
2015-08-14,116.78,118.99,113.51,116.17,4378100
2015-08-21,115.33,117.15,108.85,108.94,3712100
2015-08-28,105.9,112.18,101.46,111.67,5831400
2015-09-04,111.34,112.42,105.84,106.26,5997200
2015-09-11,107.75,110.48,104.48,105.9,4008500
2015-09-18,105.74,107.84,103.3,103.79,6199300
2015-09-25,104.03,104.98,99.0,100.28,6176100
2015-10-02,99.33,102.42,98.47,102.41,6544900
2015-10-09,102.18,106.62,100.3,105.58,6584300
2015-10-16,105.76,106.9,102.61,104.28,4598700
2015-10-23,103.52,109.19,102.17,108.04,5435700
2015-10-30,108.29,110.47,103.99,109.16,4835900
2015-11-06,109.2,111.03,107.69,109.0,4833500
2015-11-13,108.98,108.98,101.27,102.64,8819500
2015-11-20,102.1,107.09,102.06,105.18,5478300
2015-11-27,105.26,107.24,103.63,107.01,3878600
2015-12-04,107.54,107.73,103.18,106.73,6162800
2015-12-11,106.04,106.98,101.38,101.58,4763500
2015-12-18,101.84,104.06,98.92,99.62,7132000
2015-12-25,100.69,105.0,99.58,103.82,2779400
2016-01-01,103.52,105.47,102.61,102.61,2215600
2016-01-08,100.71,101.94,93.22,93.47,6606700
2016-01-15,94.02,95.5,89.48,91.68,6953900
2016-01-22,92.63,92.85,87.53,91.58,6039600
2016-01-29,91.46,97.46,89.68,95.57,9117900
2016-02-05,94.36,101.67,91.86,98.83,9392800
2016-02-12,97.62,98.32,91.65,96.33,5603300
2016-02-19,97.62,103.15,96.34,101.6,4810500
2016-02-26,102.9,105.45,99.94,104.88,5767700
2016-03-04,104.87,108.56,104.08,107.38,4587700
2016-03-11,107.02,108.88,104.48,106.61,4235500
2016-03-18,106.13,115.62,105.11,113.51,5385900
2016-03-25,113.17,114.69,110.52,111.57,3170500
2016-04-01,112.03,115.26,110.51,113.56,4375300
2016-04-08,113.22,113.54,109.43,111.49,3903000
2016-04-15,111.81,116.96,111.68,116.86,4069500
2016-04-22,115.63,118.19,114.52,115.11,3705500
2016-04-29,114.56,116.3,112.5,113.47,3994800
2016-05-06,113.53,113.91,110.45,112.19,4172200
2016-05-13,111.76,114.7,110.93,113.08,4705300
2016-05-20,113.38,115.5,109.32,111.17,3577000
2016-05-27,110.96,117.21,110.4,116.51,4031900
2016-06-03,116.69,118.4,114.24,118.18,2940200
2016-06-10,118.6,120.0,115.92,116.7,3638700
2016-06-17,115.83,117.23,113.87,116.7,3770500
2016-06-24,118.41,120.6,112.08,112.37,5255000
2016-07-01,110.34,116.8,107.17,115.89,5474100
2016-07-08,114.84,115.95,110.89,115.7,3697900
2016-07-15,116.47,120.75,116.15,119.16,3996200
2016-07-22,119.65,119.94,117.38,118.53,2273400
2016-07-29,118.19,120.74,114.0,114.4,5139400
2016-08-05,114.21,117.15,112.05,117.14,4300700
2016-08-12,117.7,119.56,117.42,117.64,3890500
2016-08-19,117.9,119.33,116.99,118.43,3092700
2016-08-26,118.22,119.36,117.18,117.87,2650700
2016-09-02,117.96,118.76,115.14,117.08,2451200
2016-09-09,117.38,117.57,112.5,112.5,2237500
2016-09-16,112.36,115.65,111.52,113.89,4499800
2016-09-23,114.51,119.19,114.38,115.77,3326700
2016-09-30,115.41,123.11,113.5,122.34,5114600
2016-10-07,121.61,123.48,118.55,119.7,3866800
2016-10-14,120.02,120.13,114.46,116.8,5048200
2016-10-21,116.37,126.15,115.36,122.99,9377400
2016-10-28,123.91,124.5,117.88,118.8,5568900
2016-11-04,119.48,120.73,117.24,117.56,4012400
2016-11-11,120.46,131.72,120.46,131.71,6958000
2016-11-18,132.0,133.68,129.69,131.2,4667100
2016-11-25,131.99,132.96,130.88,132.92,2478000
2016-12-02,132.34,138.76,129.66,136.79,6196600
2016-12-09,137.22,139.64,135.47,139.56,5239600
2016-12-16,139.56,139.58,134.44,134.91,5291000
2016-12-23,135.56,136.73,134.02,136.01,3626100
2016-12-30,136.48,136.81,133.61,134.4,1634800
2017-01-06,135.9,139.61,135.18,138.51,3662000
2017-01-13,139.0,142.54,138.28,141.99,4133900
2017-01-20,141.33,141.47,139.38,140.56,4954800
2017-01-27,140.8,155.44,139.51,150.75,11385800
2017-02-03,150.33,150.33,146.37,149.73,7414600
2017-02-10,149.11,152.62,147.67,151.45,4472700
2017-02-17,151.69,153.68,149.7,151.92,4965200
2017-02-24,152.36,153.88,149.89,151.14,4483900
2017-03-03,151.26,156.11,150.1,153.01,4974100
2017-03-10,152.49,154.84,151.1,154.31,3838300
2017-03-17,154.3,157.3,151.07,155.99,4203000
2017-03-24,156.03,157.26,152.57,153.25,4020500
2017-03-31,151.97,156.7,149.39,155.71,3401500
2017-04-07,155.42,159.78,153.93,155.28,4998900
2017-04-14,155.59,157.48,148.35,148.43,4402300
2017-04-21,148.72,154.3,148.31,153.59,4858400
2017-04-28,155.99,165.0,155.59,157.35,8033500
2017-05-05,158.13,158.13,153.06,156.39,6217700
2017-05-12,156.48,158.77,154.76,155.7,3619200
2017-05-19,156.49,158.6,151.78,157.36,4856900
2017-05-26,158.0,160.24,157.34,159.28,4067800
2017-06-02,158.9,163.92,157.91,162.39,3531100
2017-06-09,162.21,163.02,156.32,162.13,4004100
2017-06-16,162.02,164.13,158.08,164.09,4169300
2017-06-23,164.84,165.39,159.33,162.19,3624200
2017-06-30,162.93,163.23,158.03,161.96,3139800
2017-07-07,162.68,165.52,161.57,164.43,2360600
2017-07-14,163.41,167.8,163.18,167.34,3142100
2017-07-21,167.2,167.97,163.93,165.08,3068900
2017-07-28,165.47,166.71,158.0,164.47,6001000
2017-08-04,165.0,166.63,162.55,164.9,3302500
2017-08-11,164.96,166.53,161.51,161.66,2920000
2017-08-18,162.79,165.32,160.29,161.38,2452300
2017-08-25,161.36,163.33,159.32,159.61,2756600
2017-09-01,160.45,165.85,158.61,164.36,2242100
2017-09-08,164.35,165.25,161.21,164.01,2866100
2017-09-15,165.0,174.18,164.47,173.73,3922000
2017-09-22,173.95,178.11,173.13,177.55,2810000
2017-09-29,177.49,179.5,175.5,178.21,2600300
2017-10-06,178.8,183.47,178.0,182.31,2805400
2017-10-13,182.47,186.49,182.47,185.88,2051100
2017-10-20,187.12,188.6,184.18,188.5,2756800
2017-10-27,188.7,189.91,186.27,188.78,2570000
2017-11-03,188.34,210.72,186.07,198.38,7103400
2017-11-10,197.66,201.07,188.31,192.61,5213500
2017-11-17,191.72,201.98,187.65,194.36,5591700
2017-11-24,194.0,195.8,188.88,191.48,3145800
2017-12-01,192.01,198.02,188.6,190.46,5891500
2017-12-08,192.79,195.8,187.2,192.86,4956300
2017-12-15,192.5,194.39,189.35,190.93,3368400
2017-12-22,193.32,195.59,191.83,194.57,2821400
2017-12-29,194.57,198.56,194.26,196.35,1695800
2018-01-05,197.81,203.09,195.22,199.97,2816500
2018-01-12,199.97,208.28,199.04,207.92,2905200
2018-01-19,208.1,209.38,203.12,203.51,3252500
2018-01-26,204.0,207.51,198.01,203.01,5331400
2018-02-02,202.06,203.96,193.01,194.02,4351500
2018-02-09,192.61,194.48,176.7,183.04,6779600
2018-02-16,186.1,188.89,182.03,185.56,4589800
2018-02-23,184.29,187.67,183.05,185.47,2556900
2018-03-02,186.39,188.77,172.72,178.62,5134700
2018-03-09,177.29,189.19,176.79,189.13,3867700
2018-03-16,189.0,189.3,181.0,183.98,4427400
2018-03-23,183.46,184.59,170.63,171.01,3421700
2018-03-30,173.76,178.14,172.44,174.2,4497600
2018-04-06,174.38,175.73,166.85,168.96,6081600
2018-04-13,170.3,175.98,168.96,172.88,4255200
2018-04-20,174.17,178.88,171.33,172.83,4356100
2018-04-27,172.98,173.27,155.81,166.29,9056800
2018-05-04,166.94,174.42,163.14,173.49,7384800
2018-05-11,174.7,178.62,172.65,177.91,4400100
2018-05-18,178.58,182.64,176.38,182.34,4213200
2018-05-25,183.94,185.29,176.98,178.0,4263800
2018-06-01,176.57,179.02,174.66,178.6,3274800
2018-06-08,178.71,180.43,176.26,178.01,7176700
2018-06-15,178.13,181.47,175.5,177.66,4878200
2018-06-22,175.91,176.43,167.19,167.98,5237600
2018-06-29,167.57,169.06,162.11,166.23,6479200
2018-07-06,164.24,170.61,164.0,169.24,6384400
2018-07-13,169.97,171.93,166.9,171.07,5614500
2018-07-20,168.76,172.64,166.69,171.3,4783300
2018-07-27,170.7,186.29,167.4,184.06,9001600
2018-08-03,184.9,188.36,178.0,179.48,7518800
2018-08-10,179.07,182.03,172.53,173.26,4967600
2018-08-17,173.1,174.4,170.27,173.63,4283700
2018-08-24,173.9,175.43,170.32,175.04,4337900
2018-08-31,175.84,181.36,175.35,180.96,3694400
2018-09-07,180.33,184.19,179.99,183.5,5552700
2018-09-14,184.04,191.91,183.51,191.6,5928900
2018-09-21,191.7,198.23,190.51,196.47,4586000
2018-09-28,195.83,195.83,186.89,187.52,4491600
2018-10-05,188.71,191.96,184.61,185.69,4120300
2018-10-12,184.85,185.4,170.06,172.79,6441000
2018-10-19,170.11,172.66,162.96,163.7,6079800
2018-10-26,164.43,165.15,153.67,161.32,7891500
2018-11-02,163.7,174.96,156.36,172.47,5889300
2018-11-09,173.36,179.69,167.13,169.27,6054900
2018-11-16,169.55,174.23,165.37,171.6,4464900
2018-11-23,170.5,172.56,164.78,167.31,3080300
2018-11-30,169.11,174.53,166.24,174.34,3732900
2018-12-07,179.63,180.87,160.7,161.55,4929600
2018-12-14,161.6,163.82,155.41,156.74,6209400
2018-12-21,156.22,157.04,144.66,144.78,7679700
2018-12-28,143.72,151.76,141.46,148.92,3368300
2019-01-04,149.47,151.99,145.21,150.13,3794800
2019-01-11,150.4,157.22,148.73,155.85,5496900
2019-01-18,154.74,165.84,153.0,164.75,5662900
2019-01-25,163.71,166.93,159.85,166.36,4170900
2019-02-01,164.26,179.9,163.05,168.93,8110700
2019-02-08,168.36,171.99,166.31,169.44,5734800
2019-02-15,169.35,177.96,168.99,177.39,4832100
2019-02-22,176.53,180.02,176.45,179.23,2229000
2019-03-01,180.06,181.51,177.02,178.51,3331700
2019-03-08,180.0,180.69,172.84,174.53,3383100
2019-03-15,174.41,182.02,174.36,179.33,4662600
2019-03-22,179.73,181.79,169.81,169.93,3112800
2019-03-29,169.68,176.05,168.48,175.46,3049000
2019-04-05,177.41,186.25,177.41,185.34,3174300
2019-04-12,185.35,186.7,180.8,184.24,3571500
2019-04-19,184.75,191.48,184.5,189.92,3121900
2019-04-26,189.09,190.57,175.3,178.43,5544000
2019-05-03,178.42,181.98,174.08,178.77,4029800
2019-05-10,175.5,177.35,163.78,166.49,4529300
2019-05-17,163.34,164.35,159.47,160.32,3882100
2019-05-24,158.77,162.49,153.96,154.78,3675500
2019-05-31,155.25,156.07,148.1,148.85,5092300
2019-06-07,148.7,158.6,148.7,157.13,4914100
2019-06-14,158.06,161.43,155.35,156.53,3260300
2019-06-21,156.62,164.07,155.66,162.72,4242000
2019-06-28,162.08,164.62,160.94,163.83,2969500
2019-07-05,166.05,166.87,156.94,159.39,2872800
2019-07-12,158.59,161.03,152.38,160.36,5304400
2019-07-19,160.35,165.46,157.59,159.95,5554100
2019-07-26,159.99,169.77,159.1,164.62,7462800
2019-08-02,164.47,165.75,152.73,153.8,6201200
2019-08-09,151.01,156.64,148.14,153.49,5236200
2019-08-16,152.73,155.92,145.17,150.31,4339100
2019-08-23,152.86,153.54,146.92,147.87,2865400
2019-08-30,148.88,153.7,143.91,152.79,3747300
2019-09-06,150.95,161.7,145.93,161.04,3508400
2019-09-13,162.01,170.1,160.04,166.75,4696300
2019-09-20,166.08,167.15,161.5,162.06,5813500
2019-09-27,160.95,166.49,158.59,166.25,4883500
2019-10-04,162.0,167.94,153.06,159.37,5062600
2019-10-11,159.23,166.26,152.61,164.1,4191300
2019-10-18,162.4,169.76,160.69,169.19,3788400
2019-10-25,169.86,177.82,169.75,177.38,3373500
2019-11-01,178.71,179.32,170.89,177.7,3878000
2019-11-08,179.97,183.36,176.27,177.82,4389500
2019-11-15,177.12,207.11,176.84,200.27,8892700
2019-11-22,199.41,200.0,194.1,194.8,4586400
2019-11-29,195.06,197.68,193.98,195.84,2807300
2019-12-06,196.68,199.71,190.21,198.18,3649100
2019-12-13,198.24,206.95,197.34,203.47,4020900
2019-12-20,204.95,205.99,201.68,204.35,5060000
2019-12-27,201.92,204.72,200.83,202.97,2004200
2020-01-03,203.29,205.64,200.51,202.64,1954100
2020-01-10,201.48,207.94,200.52,205.09,3840000
2020-01-17,205.0,206.6,201.64,204.74,3221500
2020-01-24,203.52,204.32,196.75,199.72,2799500
2020-01-31,195.33,199.39,189.76,191.66,5565400
2020-02-07,192.85,206.44,192.49,202.72,3700900
2020-02-14,201.86,206.46,198.65,200.68,2676700
2020-02-21,199.45,209.61,197.07,209.37,3294300
2020-02-28,200.94,204.82,177.75,183.5,6427000
2020-03-06,184.67,198.1,174.5,178.85,6819600
2020-03-13,156.42,169.45,144.97,166.18,10385400
2020-03-20,146.17,163.83,116.98,126.79,9691900
2020-03-27,122.47,159.99,115.38,151.46,9342600
2020-04-03,151.39,153.6,140.06,146.78,6438000
2020-04-10,155.93,174.0,154.38,167.64,4705300
2020-04-17,166.06,170.4,154.8,168.59,4359800
2020-04-24,164.4,175.54,162.04,174.59,4240600
2020-05-01,175.96,200.57,175.74,183.19,7040400
2020-05-08,180.0,195.57,177.8,192.45,3899600
2020-05-15,190.64,202.8,183.67,197.87,7301300
2020-05-22,202.0,209.49,200.56,202.19,4869700
2020-05-29,210.0,221.31,207.75,216.16,7098700
2020-06-05,216.45,230.71,213.75,227.39,4038300
2020-06-12,228.0,229.21,202.07,208.19,5517900
2020-06-19,202.61,219.69,200.6,209.13,5366700
2020-06-26,209.62,213.24,202.02,205.27,3874100
2020-07-03,207.78,214.81,205.34,210.99,2521500
2020-07-10,215.68,215.71,208.04,210.9,3086600
2020-07-17,212.27,227.19,210.21,225.28,3573400
2020-07-24,224.51,228.99,221.42,226.19,2468500
2020-07-31,225.28,230.93,214.5,218.14,4625000
2020-08-07,219.23,224.77,217.7,223.64,2477800
2020-08-14,224.03,238.49,224.03,232.05,3066400
2020-08-21,233.17,234.99,226.03,228.52,2382200
2020-08-28,230.18,234.09,227.65,233.27,2584100
2020-09-04,232.75,238.34,225.27,228.25,2321000
