Date,Open,High,Low,Close,Volume
2017-09-29,15.8,29.8,15.75,26.54,83560600
2017-10-06,25.2,26.28,20.77,23.2,52453000
2017-10-13,23.85,25.6,22.7,23.02,27172200
2017-10-20,22.97,23.2,21.35,21.87,9197200
2017-10-27,21.75,22.0,18.35,18.79,10805700
2017-11-03,18.72,20.88,18.7,19.55,6450100
2017-11-10,19.41,36.65,18.56,33.25,74973900
2017-11-17,34.88,48.8,34.22,38.59,158089100
2017-11-24,39.1,41.26,35.03,39.47,27789600
2017-12-01,40.86,51.8,40.6,43.55,85650600
2017-12-08,44.5,45.44,37.81,44.79,41450800
2017-12-15,45.0,53.17,44.25,52.31,47131600
2017-12-22,54.55,58.8,51.32,51.62,44269900
2017-12-29,51.2,56.7,51.01,51.78,17862600
2018-01-05,52.64,57.42,46.13,46.28,36539000
2018-01-12,45.14,48.36,42.79,43.38,31489700
2018-01-19,43.41,43.75,39.1,40.22,19256400
2018-01-26,40.1,46.75,39.53,42.91,24571900
2018-02-02,42.25,43.36,39.42,40.46,12217000
2018-02-09,39.97,47.35,39.01,42.46,19156700
2018-02-16,43.56,49.4,41.83,48.13,14914100
2018-02-23,50.45,52.7,39.75,41.52,50448400
2018-03-02,41.82,42.15,37.33,37.57,18444200
2018-03-09,37.6,40.14,37.4,38.5,11858900
2018-03-16,38.4,39.09,35.3,35.86,13955900
2018-03-23,35.44,35.79,31.8,32.06,14774800
2018-03-30,32.85,35.45,29.8,31.1,26651700
2018-04-06,30.57,33.05,29.01,31.36,15407300
2018-04-13,31.32,34.04,31.25,32.69,11231300
2018-04-20,32.88,37.27,30.87,32.57,43936700
2018-04-27,32.53,33.38,31.36,32.7,10061500
2018-05-04,32.76,33.75,30.88,31.55,17348700
2018-05-11,31.95,38.84,31.78,35.14,76372600
2018-05-18,35.46,36.5,33.53,35.4,22757000
2018-05-25,36.4,39.08,33.62,38.54,37440900
2018-06-01,39.11,39.88,36.14,37.07,32325500
2018-06-08,37.37,40.47,37.13,39.24,35678100
2018-06-15,39.66,45.81,39.6,43.3,62607100
2018-06-22,43.0,47.64,42.75,44.71,46742900
2018-06-29,44.14,44.98,40.0,42.62,30338000
2018-07-06,41.74,47.27,40.55,46.7,29774500
2018-07-13,47.13,49.69,44.67,48.76,29269700
2018-07-20,48.51,51.45,47.16,49.77,31928000
2018-07-27,51.26,51.82,46.08,47.54,30665300
2018-08-03,47.5,47.65,43.41,46.47,19049200
2018-08-10,46.94,60.65,45.87,58.05,83194000
2018-08-17,58.02,58.35,53.61,56.07,50240400
2018-08-24,55.83,63.53,54.96,63.26,47876700
2018-08-31,64.0,64.48,58.21,59.49,43535900
2018-09-07,60.54,65.99,58.78,65.23,29157500
2018-09-14,66.5,72.18,64.8,71.12,39538100
2018-09-21,70.91,74.25,68.4,72.45,29801900
2018-09-28,71.68,75.7,70.29,73.03,20607500
2018-10-05,74.82,77.57,64.33,66.94,45496000
2018-10-12,65.8,66.85,54.8,60.41,49343800
2018-10-19,60.2,65.3,53.81,54.09,43432500
2018-10-26,54.53,56.16,49.32,51.82,42027500
2018-11-02,53.46,58.7,49.28,57.89,29515300
2018-11-09,57.96,59.18,42.71,43.94,71357700
2018-11-16,43.25,45.68,40.31,44.58,38783500
2018-11-23,44.4,44.55,38.51,39.92,19961600
2018-11-30,40.64,41.97,37.51,40.75,34770000
2018-12-07,43.37,43.37,37.8,37.92,19936900
2018-12-14,37.46,38.4,33.0,33.42,39570500
2018-12-21,33.49,33.8,27.04,27.28,31215300
2018-12-28,26.62,32.17,26.3,30.16,51629600
2019-01-04,30.85,34.11,29.29,33.73,49260700
2019-01-11,36.83,44.48,36.52,39.57,135946600
2019-01-18,38.89,42.84,38.6,40.98,58985200
2019-01-25,40.21,44.0,39.42,43.69,39009400
2019-02-01,42.26,46.36,41.27,45.21,46700400
2019-02-08,45.24,50.7,45.01,48.27,63440500
2019-02-15,48.27,52.23,45.02,52.08,47544500
2019-02-22,52.67,64.92,51.14,64.47,90443500
2019-03-01,64.83,69.89,63.22,69.08,63845100
2019-03-08,69.37,72.97,64.63,71.27,62050800
2019-03-15,71.04,74.35,59.63,62.79,96892900
2019-03-22,63.22,67.99,62.61,63.91,44494300
2019-03-29,63.8,69.0,61.12,64.51,59167300
2019-04-05,66.2,71.3,61.91,63.4,73151800
2019-04-12,60.25,61.95,55.88,56.5,73271700
2019-04-19,56.2,59.27,55.02,56.68,42764600
2019-04-26,56.09,63.57,55.92,63.44,52907100
2019-05-03,63.7,65.18,61.85,65.02,36192700
2019-05-10,63.05,86.5,62.56,82.75,117699100
2019-05-17,80.76,87.14,78.86,84.03,71885700
2019-05-24,83.81,95.95,81.23,95.78,62799900
2019-05-31,94.15,95.1,87.8,90.4,60637700
2019-06-07,90.77,104.03,88.92,101.87,65278600
2019-06-14,102.38,106.12,97.71,102.02,47884000
2019-06-21,101.55,108.32,101.01,102.57,28313100
2019-06-28,102.99,103.73,90.19,90.58,46086900
2019-07-05,92.35,98.44,87.34,98.11,38142100
2019-07-12,97.74,105.89,97.31,102.47,48130900
2019-07-19,102.5,113.44,100.15,106.85,54907200
2019-07-26,107.13,111.53,103.16,110.45,33705400
2019-08-02,110.55,111.84,99.0,100.53,30755400
2019-08-09,97.87,128.2,96.0,125.32,74361000
2019-08-16,129.86,142.1,127.06,131.04,66748000
2019-08-23,132.34,143.36,128.4,137.74,42125800
2019-08-30,140.08,153.29,139.14,151.36,61093800
2019-09-06,150.86,170.97,150.18,169.86,79377100
2019-09-13,173.6,176.55,139.53,147.55,100681200
2019-09-20,146.97,152.85,103.62,108.05,151234100
2019-09-27,108.55,111.79,98.08,99.74,119789400
2019-10-04,99.4,109.25,98.69,106.77,88315900
2019-10-11,107.8,124.02,104.26,121.6,111805100
2019-10-18,120.58,139.59,117.8,129.94,115506100
2019-10-25,128.75,136.7,126.41,133.74,66050500
2019-11-01,137.0,151.48,136.4,146.5,75280700
2019-11-08,147.15,148.85,116.26,121.94,125484200
2019-11-15,120.8,158.23,120.28,157.3,118258300
2019-11-22,157.3,165.1,147.51,158.75,121858600
2019-11-29,160.76,168.85,157.51,160.37,57000100
2019-12-06,145.85,153.35,132.4,144.26,133389600
2019-12-13,143.95,149.27,132.16,132.49,67334900
2019-12-20,134.0,141.87,127.53,136.89,71503000
2019-12-27,137.01,149.49,136.08,139.52,49858600
2020-01-03,137.5,138.89,127.22,137.51,46794400
2020-01-10,136.26,144.55,128.1,128.4,63358500
2020-01-17,130.23,137.13,126.3,130.38,57607300
2020-01-24,132.15,140.5,128.79,130.09,41937900
2020-01-31,127.53,131.8,120.35,120.95,44638200
2020-02-07,123.9,133.51,123.2,124.25,38778300
2020-02-14,124.99,151.2,124.8,130.25,130179300
2020-02-21,131.66,133.55,118.24,119.38,64633700
2020-02-28,110.3,120.49,105.57,113.67,68790800
2020-03-06,115.49,116.16,98.6,102.02,50256500
2020-03-13,91.0,101.95,74.25,80.95,54458900
2020-03-20,74.7,80.08,58.22,76.13,85791800
2020-03-27,77.37,101.78,74.77,87.45,77143900
2020-04-03,88.95,94.7,79.38,81.46,35776500
2020-04-10,83.71,94.1,83.5,92.45,27060100
2020-04-17,92.5,132.4,91.07,126.8,108828300
2020-04-24,127.85,135.47,118.12,124.83,69081600
2020-05-01,126.3,130.36,111.36,114.02,46312700
2020-05-08,113.46,138.79,112.69,126.66,86521400
2020-05-15,125.02,134.98,112.48,112.93,66530100
2020-05-22,114.53,120.09,107.62,108.51,44404800
2020-05-29,110.21,112.12,101.56,109.51,30509100
2020-06-05,109.17,114.38,100.19,104.38,49068500
2020-06-12,105.53,116.28,103.97,108.07,42779000
2020-06-19,107.17,132.17,103.94,128.5,75869600
2020-06-26,129.5,134.81,120.26,122.55,43319600
2020-07-03,122.4,132.5,112.11,128.65,45079600
2020-07-10,130.86,159.88,128.66,153.05,74218500
2020-07-17,158.99,166.18,142.15,148.36,55894600
2020-07-24,148.78,159.06,145.17,151.17,31154400
2020-07-31,153.34,158.27,148.5,154.89,26771000
2020-08-07,158.36,169.14,150.05,156.39,65457800
2020-08-14,157.42,157.79,143.21,146.85,31572500
2020-08-21,147.77,152.19,143.36,147.13,23224100
2020-08-28,149.5,177.54,145.6,172.85,59768400
2020-09-04,172.51,185.44,150.38,159.91,44462300
2020-09-11,155.08,170.44,152.62,155.46,27744600
2020-09-18,157.06,174.19,155.4,160.47,38928500
2020-09-25,166.05,200.73,163.54,182.43,93917400
2020-10-02,185.0,203.56,181.66,200.0,35836800
2020-10-09,201.39,228.33,197.95,223.95,35864400
2020-10-16,226.2,239.14,219.02,222.32,29457700
2020-10-23,223.71,229.45,216.27,223.96,18879700
2020-10-30,223.63,229.55,200.45,202.4,15070800
