Date,Open,High,Low,Close,Volume
2015-03-27,48.51,48.89,47.27,47.8,3736200
2015-04-03,48.09,48.52,47.52,47.76,2114600
2015-04-10,47.69,49.32,46.65,47.41,7397200
2015-04-17,47.35,48.43,47.31,47.64,5906600
2015-04-24,47.97,48.9,47.88,48.35,5189300
2015-05-01,48.6,48.63,47.47,48.2,4346800
2015-05-08,48.21,49.68,47.66,48.91,3966500
2015-05-15,48.77,50.5,48.59,50.4,3566100
2015-05-22,50.4,51.13,50.18,50.6,2913500
2015-05-29,50.45,50.54,49.68,50.03,1609200
2015-06-05,50.2,50.76,49.4,49.89,1819100
2015-06-12,49.88,50.32,49.09,49.66,1944900
2015-06-19,49.24,50.85,48.86,50.66,2421000
2015-06-26,51.0,51.27,50.03,50.53,6045500
2015-07-03,49.91,50.27,48.91,49.06,2778700
2015-07-10,48.71,49.02,47.31,48.11,3198300
2015-07-17,48.51,49.38,46.65,47.09,4139900
2015-07-24,47.06,47.33,45.63,45.97,3987300
2015-07-31,44.84,47.36,44.0,46.87,4136800
2015-08-07,46.87,47.64,46.17,46.36,1952300
2015-08-14,46.64,47.33,45.4,46.87,2012400
2015-08-21,46.65,47.53,44.25,44.26,3099600
2015-08-28,41.66,44.55,40.11,44.28,3758600
2015-09-04,43.92,44.38,42.28,42.83,2285900
2015-09-11,43.55,44.43,43.3,44.1,1372600
2015-09-18,44.06,45.24,43.23,44.45,3103900
2015-09-25,44.76,45.19,42.21,43.0,2737600
2015-10-02,42.83,43.19,41.16,43.19,3911100
2015-10-09,43.65,44.52,40.15,43.9,6957600
2015-10-16,44.0,44.49,42.86,43.92,3053100
2015-10-23,43.65,45.11,43.13,44.88,2471900
2015-10-30,44.78,45.83,44.27,45.71,4071000
2015-11-06,45.68,46.35,45.5,46.16,2198200
2015-11-13,45.95,46.28,44.38,45.21,2915700
2015-11-20,45.12,47.21,44.96,46.49,3214200
2015-11-27,46.5,47.39,45.94,47.16,1614600
2015-12-04,47.29,47.79,46.57,47.3,3608300
2015-12-11,47.13,47.25,44.75,44.92,2574300
2015-12-18,44.92,45.12,42.49,42.51,4834400
2015-12-25,42.71,44.3,42.33,44.1,3303700
2016-01-01,43.89,44.87,43.62,44.06,1521200
2016-01-08,43.36,44.0,41.15,41.21,5483400
2016-01-15,41.55,41.87,38.86,39.33,3598000
2016-01-22,39.66,39.9,37.99,39.4,3992900
2016-01-29,39.14,39.32,38.28,39.25,5875200
2016-02-05,38.83,39.79,38.11,38.76,6848700
2016-02-12,38.27,38.86,36.78,38.47,3969100
2016-02-19,38.96,39.95,38.63,39.88,2420000
2016-02-26,40.2,41.0,38.83,40.87,2535100
2016-03-04,40.8,43.0,40.73,42.88,2913900
2016-03-11,42.66,43.82,41.72,43.68,2612900
2016-03-18,43.58,45.21,43.16,44.95,2678200
2016-03-25,45.56,46.83,45.35,46.23,3661100
2016-04-01,46.23,47.96,46.08,47.94,2957600
