Date,Open,High,Low,Close,Volume
2020-02-14,28.21,32.49,27.5,28.31,8551400
2020-02-21,28.01,33.3,27.15,30.42,3580300
2020-02-28,28.63,33.98,28.05,31.27,2491400
2020-03-06,31.39,37.08,30.14,31.96,1668000
2020-03-13,30.32,36.0,20.01,24.78,2421500
2020-03-20,21.83,26.29,17.34,23.24,3168700
2020-03-27,23.44,28.48,19.0,22.48,1553500
2020-04-03,22.7,24.32,18.22,23.43,1580800
2020-04-10,24.06,26.47,21.55,23.65,807500
2020-04-17,23.47,24.8,20.53,23.0,912300
2020-04-24,22.49,29.5,22.38,26.71,560100
2020-05-01,27.09,34.33,27.09,29.49,858800
2020-05-08,29.27,47.14,27.2,37.24,1061900
2020-05-15,36.8,39.99,32.06,33.94,388000
2020-05-22,37.96,40.0,32.6,33.27,590600
2020-05-29,34.69,35.97,29.62,30.72,598700
2020-06-05,31.1,35.49,30.95,32.85,883100
2020-06-12,33.71,36.97,32.53,36.08,546200
2020-06-19,35.71,40.12,34.48,37.65,1543200
2020-06-26,37.45,39.57,30.11,31.44,1244500
2020-07-03,31.85,33.78,29.5,31.01,299300
2020-07-10,31.65,31.65,25.11,30.49,5316800
2020-07-17,30.77,31.82,24.73,25.41,1546100
2020-07-24,25.65,26.81,24.12,24.65,1011100
2020-07-31,24.51,28.16,21.17,24.12,2347000
2020-08-07,25.03,27.46,22.65,26.22,1223700
2020-08-14,26.55,30.3,25.12,25.23,1482500
2020-08-21,25.5,26.84,24.46,26.22,873800
2020-08-28,26.35,29.14,26.23,28.69,1327000
2020-09-04,28.7,29.23,25.72,26.88,1362400
2020-09-11,26.5,29.73,26.37,27.85,1610500
2020-09-18,28.36,32.63,27.3,30.94,7549500
2020-09-25,30.14,34.09,29.81,32.87,3013300
2020-10-02,34.2,36.3,33.3,35.55,1698000
2020-10-09,36.0,41.26,35.51,39.86,1938900
2020-10-16,40.21,45.92,39.23,45.49,1692700
2020-10-23,45.83,45.93,36.51,40.37,1597500
2020-10-30,34.52,35.56,29.65,30.19,2875200
2020-11-06,30.39,33.97,29.1,33.51,1928700
2020-11-13,33.78,40.99,32.86,39.94,1706200
2020-11-20,40.51,42.22,36.3,39.56,2205800
2020-11-27,39.8,45.0,39.8,43.97,1025800
2020-12-04,44.0,44.25,37.81,40.52,1753500
2020-12-11,40.68,44.38,40.39,41.98,2544900
2020-12-18,42.67,47.83,39.76,40.68,4639200
2020-12-25,40.92,44.85,39.4,42.61,1349300
2021-01-01,42.86,43.02,37.66,39.59,1329000
2021-01-08,40.43,42.56,36.89,40.32,2332200
2021-01-15,40.54,41.47,36.03,40.77,2554100
2021-01-22,41.13,44.75,40.65,43.17,2671400
2021-01-29,42.89,43.76,37.47,42.14,2280200
2021-02-05,42.14,56.18,40.87,53.23,7968400
2021-02-12,53.58,56.01,48.82,49.78,2143700
2021-02-19,50.35,50.35,44.32,44.74,1673600
2021-02-26,44.32,47.55,41.46,45.68,2736900
2021-03-05,46.4,47.02,40.29,45.5,2844200
2021-03-12,45.81,48.24,43.33,47.57,2930100
2021-03-19,47.68,49.65,45.87,48.38,2583800
2021-03-26,48.62,50.88,41.22,43.03,2100300
2021-04-02,42.65,47.42,41.0,46.84,1501500
2021-04-09,47.81,48.81,42.52,42.67,2097800
2021-04-16,42.31,42.88,35.83,40.32,3050200
2021-04-23,39.93,41.73,37.03,41.2,2255800
2021-04-30,41.93,43.49,32.32,33.19,7968500
2021-05-07,33.84,33.94,28.23,29.56,2869100
2021-05-14,29.42,32.78,28.5,31.99,2374500
2021-05-21,31.74,34.0,29.37,31.39,2861500
2021-05-28,31.52,32.0,29.69,29.91,5217100
2021-06-04,30.08,31.41,29.65,30.49,2708500
2021-06-11,30.57,34.35,30.57,34.27,2696400
2021-06-18,34.47,35.07,32.64,33.96,3267600
2021-06-25,33.9,34.85,32.21,33.34,7337400
2021-07-02,33.71,33.76,31.03,32.73,2812300
2021-07-09,32.59,32.81,30.25,32.77,1118000
2021-07-16,32.88,33.2,28.67,29.81,1778400
2021-07-23,29.25,31.21,27.51,28.94,2557200
2021-07-30,28.97,30.77,27.08,28.64,2313400
2021-08-06,28.99,30.15,26.57,27.98,3029700
2021-08-13,27.85,28.93,21.78,25.56,5341800
2021-08-20,25.59,27.37,24.38,25.44,2586100
2021-08-27,25.76,28.51,25.26,28.51,2129600
2021-09-03,28.44,30.0,27.62,29.1,1982800
2021-09-10,28.86,31.33,28.85,29.75,1376500
2021-09-17,30.14,31.48,29.0,31.23,3511600
2021-09-24,30.65,32.78,29.44,30.71,2619600
2021-10-01,31.01,31.01,26.61,29.12,2210600
2021-10-08,28.87,29.49,27.18,27.78,1993100
2021-10-15,27.93,29.62,26.79,26.95,1414100
2021-10-22,26.88,28.23,26.17,27.3,2295600
2021-10-29,27.25,30.33,26.45,29.43,3353400
2021-11-05,29.09,34.16,29.09,33.7,2274000
2021-11-12,33.76,34.1,31.45,32.83,1916700
2021-11-19,32.79,33.24,28.96,29.75,2049500
2021-11-26,29.7,30.04,25.83,27.02,1636900
2021-12-03,27.55,28.16,25.6,26.1,2996000
2021-12-10,26.2,27.89,24.43,24.63,1921600
2021-12-17,24.46,26.49,23.29,25.87,3713500
2021-12-24,25.56,28.11,24.86,27.55,1549600
2021-12-31,27.5,27.5,25.01,25.17,961900
2022-01-07,25.19,26.17,22.81,22.94,1718200
2022-01-14,23.13,26.28,21.67,26.21,3291000
2022-01-21,25.47,25.88,22.34,22.71,2949700
2022-01-28,22.13,23.64,18.75,19.87,3020000
2022-02-04,19.95,22.47,19.91,21.33,2356600
2022-02-11,21.28,23.01,20.64,21.47,2385000
2022-02-18,21.41,22.42,19.48,19.88,1779400
2022-02-25,19.65,20.54,18.07,19.82,2317100
2022-03-04,19.7,21.99,17.18,17.31,2597500
2022-03-11,18.28,21.39,17.7,20.16,3784400
2022-03-18,20.19,20.79,17.4,20.48,3710300
2022-03-25,20.26,25.96,20.1,24.33,3838800
2022-04-01,24.14,27.21,24.14,25.65,4756300
2022-04-08,25.73,27.49,24.36,24.48,4440500
2022-04-15,23.98,25.0,23.16,24.09,1598600
2022-04-22,24.27,24.74,21.05,21.39,2724800
2022-04-29,21.3,22.56,19.5,19.97,2301100
2022-05-06,19.92,22.28,16.9,17.0,3888000
2022-05-13,16.67,17.29,14.08,15.67,4468800
2022-05-20,15.53,16.76,14.66,15.73,3098800
2022-05-27,15.68,16.92,15.27,16.9,2578600
2022-06-03,16.59,19.15,15.93,19.13,2329000
2022-06-10,19.41,21.07,17.53,17.91,4890500
2022-06-17,16.99,18.38,15.64,18.01,6157300
2022-06-24,18.57,19.43,17.58,18.87,5498300
2022-07-01,18.89,20.98,17.0,20.89,3616700
2022-07-08,20.58,24.41,20.21,23.41,2631100
2022-07-15,23.09,23.98,20.7,23.3,2541500
2022-07-22,23.52,24.69,20.85,22.35,11032800
2022-07-29,22.31,24.85,21.92,22.59,4017300
2022-08-05,22.03,25.25,19.09,24.98,5375200
2022-08-12,25.02,25.72,23.0,25.43,4564300
2022-08-19,25.12,26.31,22.04,22.58,4383500
2022-08-26,22.41,23.46,21.18,21.26,3329100
2022-09-02,20.81,22.75,19.53,21.34,3172900
2022-09-09,21.11,22.02,19.95,21.62,1938500
2022-09-16,21.21,21.99,19.15,20.22,7459700
2022-09-23,19.9,19.9,17.03,18.43,5112700
2022-09-30,18.52,20.48,18.31,19.72,3795600
2022-10-07,20.19,20.49,18.29,18.4,2855100
2022-10-14,18.28,19.55,17.62,18.41,6367800
2022-10-21,19.76,20.13,17.47,18.59,4438400
2022-10-28,18.55,20.99,17.9,20.86,2979600
2022-11-04,20.58,21.71,19.9,20.5,2747600
2022-11-11,20.66,22.39,18.14,22.17,3577500
2022-11-18,22.2,22.65,19.7,20.41,4341400
2022-11-25,20.2,22.17,19.71,21.87,3386800
2022-12-02,21.7,25.72,21.36,25.53,5843800
2022-12-09,25.52,25.6,20.7,23.78,6886500
2022-12-16,23.64,24.54,22.96,24.3,7930200
2022-12-23,24.43,24.66,21.61,22.04,4302900
2022-12-30,21.97,24.26,21.31,23.82,2375000
2023-01-06,23.73,24.61,21.98,22.4,2195600
2023-01-13,22.34,31.37,21.75,30.09,6880300
2023-01-20,29.95,29.95,26.91,27.52,5052100
2023-01-27,27.68,29.28,25.74,27.74,3935100
2023-02-03,27.3,27.74,25.62,25.9,4326700
2023-02-10,25.7,27.14,24.49,24.58,3172100
2023-02-17,24.59,26.57,24.23,25.59,4753100
2023-02-24,25.29,25.76,23.88,24.33,3100100
2023-03-03,24.44,28.14,22.39,25.45,17161000
2023-03-10,25.56,26.02,19.7,20.76,10422900
2023-03-17,21.18,23.9,21.14,21.67,8787600
2023-03-24,21.45,22.41,20.27,20.92,5103300
2023-03-31,20.91,22.19,20.57,21.66,4956900
2023-04-07,21.5,22.01,20.0,20.48,3816100
2023-04-14,20.31,22.5,19.98,22.14,4209800
2023-04-21,22.33,25.21,22.07,24.29,5936200
2023-04-28,24.2,24.2,22.15,23.49,3406200
2023-05-05,23.34,25.02,23.13,24.34,3903000
2023-05-12,24.37,26.0,23.08,25.87,3857600
2023-05-19,26.01,26.99,24.81,25.85,3231500
2023-05-26,25.9,27.35,25.15,25.61,3883800
2023-06-02,25.69,26.34,24.49,25.57,2114500
2023-06-09,25.28,27.3,24.61,25.54,8081800
2023-06-16,25.71,26.33,24.31,24.62,3486100
2023-06-23,24.31,25.96,23.76,25.52,10547200
2023-06-30,25.36,26.92,24.46,26.75,4398200
2023-07-07,26.66,27.24,25.77,26.39,2264700
2023-07-14,26.32,27.47,25.86,26.66,2803800
2023-07-21,26.66,27.2,26.2,26.77,3693000
2023-07-28,26.7,26.88,24.91,25.71,3068800
2023-08-04,25.64,33.19,24.61,31.21,13200700
2023-08-11,30.8,30.97,29.17,29.99,4860000
2023-08-18,29.71,30.94,28.99,29.62,3065200
2023-08-25,29.64,33.26,29.19,33.14,5607300
2023-09-01,33.2,35.27,31.68,35.05,3602600
2023-09-08,34.87,35.5,31.7,32.12,5309400
2023-09-15,31.97,33.45,31.49,31.76,6024000
2023-09-22,31.75,32.01,29.45,30.0,7859000
2023-09-29,29.75,29.95,27.6,27.68,7052300
2023-10-06,27.37,27.57,22.75,25.04,14310200
2023-10-13,24.83,31.24,23.64,29.91,20339700
2023-10-20,29.92,35.6,27.73,27.97,20286500
2023-10-27,18.91,21.19,15.44,18.61,35035600
2023-11-03,19.0,23.81,18.0,22.16,13599900
2023-11-10,21.52,22.99,18.79,19.71,10048200
2023-11-17,19.55,22.49,19.05,21.33,9501400
2023-11-24,21.34,22.16,20.51,21.58,3307600
2023-12-01,21.6,24.54,20.98,24.5,5980800
2023-12-08,24.27,25.15,23.38,24.59,6732000
2023-12-15,24.7,26.99,23.51,26.63,12742400
2023-12-22,26.54,27.69,25.58,27.29,8443300
2023-12-29,27.71,30.11,27.14,28.68,7717800
2024-01-05,28.38,29.37,27.34,28.38,4363900
2024-01-12,27.98,29.61,27.52,28.5,6111600
2024-01-19,28.46,28.46,25.93,26.93,3919100
2024-01-26,27.0,28.66,26.56,27.75,4704600
2024-02-02,27.72,28.96,26.95,28.46,4397500
2024-02-09,27.96,31.23,27.8,30.44,5976400
2024-02-16,30.4,30.96,28.52,29.51,6995700
2024-02-23,29.1,29.96,28.43,29.74,3547600
2024-03-01,29.86,32.28,29.32,29.8,10890000
2024-03-08,29.84,33.04,29.0,32.25,5506800
2024-03-15,32.82,34.59,31.26,31.83,15018000
2024-03-22,31.93,32.67,30.26,30.87,8361600
2024-03-29,30.99,32.48,29.77,32.23,3704100
2024-04-05,32.08,32.34,29.55,31.27,4720300
2024-04-12,31.57,38.73,31.05,36.07,11381400
2024-04-19,35.99,37.56,34.23,34.92,5805500
2024-04-26,35.31,37.87,34.65,35.96,5972400
2024-05-03,36.2,40.21,36.11,40.2,5787800
2024-05-10,40.01,40.01,36.91,37.25,5477700
2024-05-17,37.52,39.98,36.8,39.41,5867300
2024-05-24,39.47,40.63,37.77,37.95,7181100
2024-05-31,38.42,39.25,36.6,38.33,4734600
2024-06-07,38.4,41.21,38.28,40.34,5376200
2024-06-14,39.83,40.7,37.9,38.62,4733200
2024-06-21,38.15,38.6,36.48,38.21,7195600
2024-06-28,38.43,39.24,37.64,38.81,7808500
2024-07-05,38.81,39.56,36.5,37.53,3713500
2024-07-12,39.41,45.26,38.63,45.14,13948200
2024-07-19,47.45,48.61,42.61,46.14,15538800
2024-07-26,46.21,48.29,45.37,46.44,7615300
2024-08-02,46.41,47.13,43.0,44.0,5939300
2024-08-09,41.4,44.28,40.0,42.9,5268600
2024-08-16,42.37,44.2,41.52,42.85,4653400
2024-08-23,42.72,45.85,42.58,43.64,4803200
2024-08-30,43.99,44.7,41.55,42.63,3017000
2024-09-06,41.88,43.8,40.8,41.84,2438700
2024-09-13,42.12,43.99,40.99,43.7,3537600
2024-09-20,43.79,46.6,42.63,45.42,7722200
2024-09-27,45.22,46.24,42.58,44.17,5687300
2024-10-04,44.03,47.93,43.91,47.32,4555400
2024-10-11,47.01,51.0,45.99,50.48,5588000
2024-10-18,50.11,51.0,48.48,50.43,4303700
2024-10-25,50.26,50.31,45.99,46.42,8078100
2024-11-01,47.62,55.2,46.74,55.09,8014100
2024-11-08,55.01,61.06,54.15,60.44,10168600
2024-11-15,61.45,62.4,54.89,55.13,7363900
2024-11-22,55.31,58.83,53.69,56.75,5095600
2024-11-29,57.77,59.72,56.44,57.85,4264400
2024-12-06,54.18,54.91,46.12,48.07,22354800
2024-12-13,47.83,48.91,44.5,45.01,6860800
2024-12-20,45.03,46.15,42.53,44.06,8564300
2024-12-27,43.61,45.64,43.13,44.21,3976900
2025-01-03,43.89,44.94,42.77,44.12,3272300
2025-01-10,44.12,45.24,41.21,41.78,4731200
2025-01-17,41.71,42.97,39.48,40.29,8797200
2025-01-24,40.5,42.06,39.36,40.99,6246000
2025-01-31,41.08,44.0,40.22,42.95,6464600
2025-02-07,42.43,44.68,41.62,42.19,6030900
2025-02-14,42.23,42.68,40.13,40.67,5750500
2025-02-21,40.73,42.94,40.71,41.34,3579600
2025-02-28,41.41,42.22,38.99,40.74,8511200
2025-03-07,40.9,41.44,37.33,39.21,7782900
2025-03-14,38.5,40.87,36.12,39.12,6710700
2025-03-21,39.06,39.63,37.61,38.11,6195700
2025-03-28,38.65,39.59,37.03,37.35,4557400
2025-04-04,36.31,36.77,30.94,31.32,13071600
2025-04-11,30.02,35.89,29.17,35.72,14511100
2025-04-18,36.55,36.87,35.27,36.76,5063200
2025-04-25,36.29,39.15,36.01,38.77,7814600
