Date,Open,High,Low,Close,Volume
2015-03-27,61.05,62.15,59.58,59.65,6424000
2015-04-03,59.46,61.41,58.41,61.13,6256700
2015-04-10,61.37,63.31,61.25,63.27,7288700
2015-04-17,63.27,66.9,63.13,66.03,9856000
2015-04-24,66.17,66.68,64.71,66.2,6648800
2015-05-01,66.53,67.49,65.87,66.01,6648600
2015-05-08,66.31,66.72,64.27,65.52,6008100
2015-05-15,65.6,66.1,65.16,65.51,5340800
2015-05-22,65.34,66.08,64.33,65.32,5922600
2015-05-29,64.8,64.81,63.03,63.63,5475700
2015-06-05,63.55,64.57,62.44,63.95,6347200
2015-06-12,63.98,64.25,62.79,63.33,17580300
2015-06-19,62.98,64.23,62.21,62.41,5521100
2015-06-26,62.85,63.65,62.7,63.56,7014900
2015-07-03,62.47,62.61,60.21,60.73,5066000
2015-07-10,59.94,61.02,59.04,60.35,8803900
2015-07-17,60.78,60.78,59.29,59.51,9029100
2015-07-24,59.68,59.75,56.91,57.03,8730900
2015-07-31,56.99,58.92,56.12,58.35,7736300
2015-08-07,58.22,58.92,57.42,58.13,6653300
2015-08-14,58.29,59.61,57.46,58.04,6261300
2015-08-21,57.62,58.37,55.21,55.23,9331700
2015-08-28,51.64,56.72,51.27,55.76,16077400
2015-09-04,55.34,55.81,53.21,53.43,8210900
2015-09-11,54.39,55.71,53.96,54.63,5280600
2015-09-18,54.62,56.89,54.52,54.82,6587500
2015-09-25,55.1,55.42,53.02,54.02,8085700
2015-10-02,53.67,55.88,52.84,54.65,9544200
2015-10-09,55.25,57.64,55.1,57.1,8802900
2015-10-16,57.14,57.59,56.33,57.36,6903900
2015-10-23,57.11,57.55,56.36,56.79,9264000
2015-10-30,57.1,58.2,56.45,56.83,17623600
2015-11-06,57.06,58.45,56.55,57.61,10765700
2015-11-13,57.92,57.98,55.29,55.5,8386200
2015-11-20,55.48,57.65,55.24,57.02,4878700
2015-11-27,56.7,57.05,56.03,56.35,3078000
2015-12-04,56.37,58.0,56.36,57.32,7067400
2015-12-11,56.6,56.69,53.03,53.13,6320300
2015-12-18,53.24,54.61,52.28,53.29,6485300
2015-12-25,53.59,54.74,52.71,54.57,3085400
2016-01-01,54.33,55.01,53.53,53.58,3467400
2016-01-08,52.7,52.8,49.42,49.48,7214100
2016-01-15,49.96,50.3,45.84,46.11,9332700
2016-01-22,46.76,49.0,44.37,48.97,10037900
2016-01-29,48.65,51.3,46.92,51.24,8621000
2016-02-05,51.12,52.08,49.39,51.17,6768400
2016-02-12,50.49,50.63,46.08,49.06,9790900
2016-02-19,49.91,52.14,48.92,51.75,5490900
2016-02-26,52.42,52.62,47.4,50.59,8716200
2016-03-04,50.6,53.72,50.46,53.6,6642300
2016-03-11,53.25,56.16,53.12,56.07,8201600
2016-03-18,55.76,58.64,55.2,57.66,7385600
2016-03-25,57.67,58.04,55.39,55.85,4404300
2016-04-01,56.11,58.81,55.84,57.68,5396500
2016-04-08,57.66,57.75,55.68,57.62,6122000
2016-04-15,57.84,60.7,57.76,60.42,6801500
2016-04-22,59.92,62.57,59.86,61.26,6980800
2016-04-29,60.93,62.78,60.68,62.12,5283100
2016-05-06,62.31,62.39,58.14,58.95,6422800
2016-05-13,58.48,60.29,58.02,59.37,4557900
2016-05-20,59.5,60.38,58.65,59.34,4773400
2016-05-27,59.27,62.02,58.74,61.85,5434500
2016-06-03,61.63,61.81,59.34,61.28,4684900
2016-06-10,61.33,63.43,61.26,61.57,5024000
2016-06-17,60.93,61.57,58.26,60.13,5513100
2016-06-24,61.43,62.49,59.05,59.39,6102300
2016-07-01,58.75,59.56,57.01,59.2,7755100
2016-07-08,59.38,59.83,58.21,59.36,4240300
2016-07-15,59.78,62.26,59.52,61.92,5967500
2016-07-22,61.8,62.01,60.35,60.58,4862600
2016-07-29,60.16,61.29,59.92,60.96,4708600
2016-08-05,60.87,60.95,59.88,60.31,3833000
2016-08-12,60.48,62.19,60.4,61.79,4120600
2016-08-19,62.08,63.0,61.88,62.92,3387500
2016-08-26,62.63,64.13,62.22,62.76,6217200
2016-09-02,62.67,63.05,61.73,62.77,5312400
2016-09-09,63.18,63.57,61.37,61.84,3791600
2016-09-16,61.34,61.94,60.5,61.11,5073500
2016-09-23,61.53,63.11,61.0,61.78,3617900
2016-09-30,61.52,62.48,60.57,61.96,3612600
2016-10-07,61.96,62.22,61.15,61.62,3961700
2016-10-14,61.86,63.34,61.55,62.88,3524200
2016-10-21,62.85,64.31,62.85,63.41,3850500
2016-10-28,62.85,62.93,62.25,62.54,3460700
2016-11-04,62.53,62.79,60.92,61.2,3969400
2016-11-11,61.88,63.93,61.62,63.47,4901900
2016-11-18,63.54,64.68,63.2,64.55,4245800
2016-11-25,65.16,67.07,65.05,66.53,4014400
2016-12-02,66.81,67.11,64.82,66.07,6729700
2016-12-09,66.48,68.74,66.03,68.53,5041200
2016-12-16,68.66,69.7,67.89,68.63,4917400
2016-12-23,68.68,68.99,67.68,67.77,3365500
2016-12-30,67.97,68.29,67.33,67.71,2076200
2017-01-06,67.92,70.65,67.85,70.07,4675500
2017-01-13,69.83,72.24,69.45,71.96,5085700
2017-01-20,71.9,72.17,69.85,70.65,3590000
2017-01-27,70.57,72.13,70.1,71.9,4678700
2017-02-03,71.78,72.95,71.24,72.62,4356300
2017-02-10,72.22,74.25,71.84,73.98,4243900
2017-02-17,74.16,75.83,74.07,75.63,4720600
2017-02-24,75.88,76.01,73.5,73.77,5401600
2017-03-03,74.07,74.35,72.64,73.48,6656700
2017-03-10,73.16,74.04,71.98,72.54,4751900
2017-03-17,72.42,73.52,71.71,72.59,5616500
2017-03-24,72.34,73.2,70.36,72.14,6487900
2017-03-31,71.54,74.24,71.39,72.91,5149500
2017-04-07,72.64,73.27,71.47,72.59,4871700
2017-04-14,72.71,73.06,70.93,70.99,3874800
2017-04-21,71.34,72.13,69.92,70.0,5813900
2017-04-28,70.87,71.78,68.19,68.48,7775700
2017-05-05,68.64,68.84,67.03,68.68,6101200
2017-05-12,68.65,68.94,66.85,67.45,5060500
2017-05-19,67.82,69.32,66.66,68.81,5936000
2017-05-26,68.98,70.75,68.58,69.79,4876800
2017-06-02,69.74,70.16,68.69,69.52,4399100
2017-06-09,69.26,71.1,68.56,70.8,4738400
2017-06-16,70.82,71.57,69.73,71.01,5654500
2017-06-23,71.03,71.64,69.92,71.03,5272000
2017-06-30,71.41,73.71,70.66,72.52,7435000
2017-07-07,72.8,74.11,72.18,73.8,4099000
2017-07-14,73.8,75.44,73.06,75.3,5301800
2017-07-21,75.3,75.86,74.66,75.57,4290800
2017-07-28,74.97,75.59,73.83,74.62,4819600
2017-08-04,74.53,75.27,73.88,74.74,3802700
2017-08-11,74.71,74.87,72.61,72.89,4026000
2017-08-18,73.4,74.08,72.73,73.32,3974800
2017-08-25,73.23,75.03,72.99,74.76,5299500
2017-09-01,74.96,74.96,72.84,74.33,5271000
2017-09-08,74.17,74.75,73.1,74.53,3989700
2017-09-15,75.0,75.79,74.8,75.5,3808400
2017-09-22,75.53,76.85,74.7,76.53,3955000
2017-09-29,76.54,77.78,76.03,77.35,3279100
2017-10-06,77.38,78.66,77.35,78.25,3406500
2017-10-13,78.28,79.46,77.72,79.3,3829100
2017-10-20,79.19,80.98,79.08,80.26,4496200
2017-10-27,80.26,80.61,78.1,78.9,4894900
2017-11-03,78.67,79.51,78.03,79.42,3139000
2017-11-10,79.42,79.79,78.44,78.74,2847600
2017-11-17,78.28,79.21,77.67,79.03,2800200
2017-11-24,79.05,79.97,78.8,79.63,2367700
2017-12-01,79.78,79.87,77.93,79.81,6298600
2017-12-08,80.08,80.43,78.89,79.64,5038800
2017-12-15,79.76,80.04,79.07,79.17,4388800
2017-12-22,79.61,80.96,79.23,80.53,2988000
2017-12-29,80.47,81.81,80.27,81.65,1939700
2018-01-05,81.81,84.7,81.58,84.4,2752600
2018-01-12,84.35,84.53,83.36,84.35,2796400
2018-01-19,85.0,86.77,84.66,86.13,3131100
2018-01-26,86.56,87.1,85.28,85.84,4411300
2018-02-02,85.46,86.06,83.33,83.35,4239600
2018-02-09,82.16,82.71,77.44,78.62,6542700
2018-02-16,79.18,81.19,78.53,79.98,3732100
2018-02-23,79.48,81.28,78.85,81.27,4508900
2018-03-02,81.44,81.44,77.29,77.52,4389300
2018-03-09,76.85,79.65,76.55,79.39,3889900
2018-03-16,79.39,79.84,78.04,78.09,3200100
2018-03-23,78.15,79.65,77.0,77.06,4266600
2018-03-30,77.92,78.11,76.08,77.29,3329700
2018-04-06,77.29,77.36,75.32,76.27,4210100
2018-04-13,76.53,78.27,76.1,76.19,3196700
2018-04-20,76.7,77.29,76.15,76.29,3255500
2018-04-27,76.29,76.57,74.75,76.49,3741400
2018-05-04,76.51,76.89,75.14,76.13,2825300
2018-05-11,76.17,78.61,75.88,78.49,2708100
2018-05-18,78.57,79.19,77.67,78.03,2230700
2018-05-25,78.44,79.8,76.0,76.03,3768600
2018-06-01,75.22,76.23,74.02,75.71,4033400
2018-06-08,75.96,77.22,75.96,77.19,3084300
2018-06-15,76.85,77.27,75.64,76.01,3016500
2018-06-22,75.67,76.46,75.2,76.3,3404300
2018-06-29,76.0,76.01,73.92,75.3,4475900
2018-07-06,74.93,76.56,74.37,76.44,2235700
