Date,Open,High,Low,Close,Volume
2015-03-27,7.42,7.56,7.36,7.47,38518800
2015-04-03,7.53,7.66,7.39,7.64,19151300
2015-04-10,7.65,7.79,7.22,7.32,34942000
2015-04-17,7.33,7.38,6.99,7.07,28522400
2015-04-24,7.0,7.26,6.94,7.26,31325900
2015-05-01,7.31,7.59,7.28,7.54,30803000
2015-05-08,7.55,7.62,7.26,7.61,25250400
2015-05-15,7.53,7.66,7.47,7.58,32738300
2015-05-22,7.43,7.5,7.37,7.38,25651700
2015-05-29,7.16,7.26,7.04,7.1,26243500
2015-06-05,7.08,7.49,6.97,7.22,36558500
2015-06-12,7.22,7.43,7.13,7.26,24234000
2015-06-19,7.07,7.42,7.01,7.24,32612000
2015-06-26,7.59,7.72,7.4,7.53,27982700
2015-07-03,7.1,7.17,6.95,7.05,47683600
2015-07-10,6.72,7.26,6.54,7.22,64219800
2015-07-17,7.28,7.34,7.14,7.24,20140700
2015-07-24,7.26,7.32,7.08,7.09,23884400
2015-07-31,7.1,7.12,6.72,6.81,30084300
2015-08-07,6.85,6.87,6.7,6.76,19131300
2015-08-14,6.83,6.92,6.55,6.6,41144100
2015-08-21,6.48,6.56,6.22,6.22,33523300
2015-08-28,5.98,6.23,5.88,6.2,45213100
2015-09-04,6.11,6.15,5.67,5.72,28759800
2015-09-11,5.79,5.97,5.66,5.73,18437000
2015-09-18,5.66,5.99,5.58,5.67,31942900
2015-09-25,5.64,5.66,5.13,5.22,29113800
2015-10-02,5.17,5.39,5.11,5.39,28513000
2015-10-09,5.5,6.06,5.5,6.04,32369600
2015-10-16,5.98,5.98,5.62,5.81,16946700
2015-10-23,5.75,5.83,5.63,5.8,21565700
2015-10-30,5.75,5.77,5.48,5.54,51238200
2015-11-06,5.64,5.8,5.58,5.66,31009300
2015-11-13,5.63,5.65,5.27,5.29,33060500
2015-11-20,5.23,5.58,5.22,5.44,24643500
2015-11-27,5.46,5.5,5.29,5.35,15117900
2015-12-04,5.39,5.49,5.27,5.42,29005700
2015-12-11,5.3,5.3,4.95,4.97,41113900
2015-12-18,4.96,5.19,4.85,5.0,31779200
2015-12-25,4.91,5.13,4.81,5.1,24320500
2016-01-01,5.04,5.05,4.87,4.87,23061700
2016-01-08,4.79,4.8,4.27,4.29,41880200
2016-01-15,4.47,4.54,4.27,4.3,30109500
2016-01-22,4.28,4.35,3.98,4.32,27136100
2016-01-29,4.17,4.3,4.05,4.19,28694800
2016-02-05,4.13,4.19,3.69,4.12,34581800
2016-02-12,3.96,4.02,3.69,3.88,32350000
2016-02-19,4.02,4.18,3.79,3.86,22042200
