Date,Open,High,Low,Close,Volume
2015-04-03,48.02,48.25,46.28,47.19,38536400
2015-04-10,46.92,48.6,46.72,48.17,31993900
2015-04-17,48.56,48.89,47.39,47.62,32138000
2015-04-24,47.9,52.09,47.7,51.84,56480900
2015-05-01,51.81,51.94,49.43,50.29,41676000
2015-05-08,50.3,50.93,48.57,49.78,37939300
2015-05-15,49.71,50.85,49.0,50.8,29199300
2015-05-22,50.65,51.72,50.43,51.48,32562300
2015-05-29,51.38,52.23,50.66,51.96,28857000
2015-06-05,51.96,52.46,51.27,52.19,33829600
2015-06-12,52.0,53.0,51.1,52.63,30624700
2015-06-19,52.23,54.44,52.01,53.93,39717500
2015-06-26,54.33,54.75,53.52,54.62,30331800
2015-07-03,53.87,54.7,53.14,54.24,28120500
2015-07-10,53.64,54.73,53.31,54.57,38766800
2015-07-17,55.0,56.16,54.9,55.69,38738700
2015-07-24,55.73,59.31,55.7,57.29,48622100
2015-07-31,57.21,58.44,56.56,57.93,40010600
2015-08-07,58.62,59.32,56.51,57.2,42972700
2015-08-14,57.29,57.63,54.95,57.1,41691600
2015-08-21,57.0,58.08,52.6,52.84,45070400
2015-08-28,48.05,56.31,42.05,55.63,85908100
2015-09-04,55.19,55.76,52.74,54.28,46250400
2015-09-11,55.31,56.54,54.33,56.53,33746300
2015-09-18,56.54,58.1,56.05,56.84,42591900
2015-09-25,57.2,58.96,56.7,57.99,42288700
2015-10-02,58.01,58.43,54.81,58.08,48273700
2015-10-09,58.49,60.11,57.9,60.07,36680000
2015-10-16,60.35,60.89,58.08,59.93,43665400
2015-10-23,60.13,62.8,59.87,62.61,37649600
2015-10-30,62.98,64.0,61.71,62.57,60013600
2015-11-06,63.01,63.1,61.34,61.97,39241300
2015-11-13,61.75,62.57,59.61,59.74,33580000
2015-11-20,59.5,62.15,59.5,61.99,35464100
2015-11-27,62.14,63.19,61.22,62.18,23399500
2015-12-04,62.1,62.29,59.15,61.75,48518800
2015-12-11,61.75,62.54,59.6,59.82,39287500
2015-12-18,60.04,60.83,58.27,58.62,57708900
2015-12-25,58.89,60.51,58.66,60.32,20403400
2016-01-01,60.02,61.4,59.58,60.03,18849300
2016-01-08,58.77,58.83,56.16,56.63,52973500
2016-01-15,57.0,60.0,56.75,58.0,61126900
2016-01-22,58.67,59.4,54.94,59.17,88784100
2016-01-29,59.36,60.88,57.26,60.77,60000500
2016-02-05,60.66,61.79,54.25,54.49,69664900
2016-02-12,53.09,56.35,52.63,55.86,65512800
2016-02-19,56.79,57.86,55.98,57.67,41077600
2016-02-26,58.63,59.21,56.28,58.34,39971200
2016-03-04,58.25,60.2,58.1,58.7,42291800
2016-03-11,58.44,58.67,56.57,57.59,49573200
2016-03-18,57.58,60.45,57.5,59.7,46599500
2016-03-25,59.56,59.86,58.28,58.36,26476800
2016-04-01,58.56,61.17,58.4,61.02,32570400
2016-04-08,61.1,61.64,59.44,61.04,29766100
2016-04-15,61.22,61.5,58.37,60.51,44690400
2016-04-22,60.69,61.43,57.03,57.68,62706800
2016-04-29,57.62,58.67,55.29,56.23,50987900
2016-05-06,56.29,57.37,55.38,56.31,35573100
2016-05-13,56.32,57.6,55.73,55.82,34362600
2016-05-20,55.7,55.77,54.19,54.62,43535000
2016-05-27,54.62,55.87,54.29,55.15,39299100
2016-06-03,55.5,55.5,54.4,54.61,35762300
2016-06-10,54.72,56.1,54.5,54.87,38744500
2016-06-17,54.79,56.09,54.41,55.31,40863200
2016-06-24,55.77,56.28,54.01,54.68,42171300
2016-07-01,54.2,57.36,53.41,56.99,49698200
2016-07-08,56.81,57.11,56.32,56.51,35217200
2016-07-15,56.8,57.74,56.06,57.41,53424100
2016-07-22,57.59,58.24,56.55,57.9,65831800
2016-07-29,57.72,58.84,57.5,58.05,40889500
2016-08-05,58.0,58.05,55.38,55.9,47456900
2016-08-12,55.97,55.99,55.11,55.47,34488300
2016-08-19,55.65,55.92,54.85,54.94,33502200
2016-08-26,54.98,57.98,54.95,57.29,43493300
2016-09-02,57.22,57.48,55.83,56.18,34072900
2016-09-09,56.18,56.6,54.3,54.35,41233200
2016-09-16,53.92,54.79,53.41,53.74,46025700
2016-09-23,53.96,54.6,52.9,54.43,43218500
2016-09-30,54.28,54.39,52.91,54.14,48574100
2016-10-07,54.1,54.15,53.0,53.46,32516400
2016-10-14,53.53,53.6,52.67,53.08,36653400
2016-10-21,52.94,53.74,52.59,53.63,36923200
2016-10-28,53.9,54.46,53.11,53.53,33310600
2016-11-04,53.7,53.74,50.84,52.75,79224100
2016-11-11,53.5,54.82,52.8,53.93,60054700
2016-11-18,53.93,56.12,53.5,55.77,48342500
2016-11-25,55.51,57.7,55.51,57.43,29685100
2016-12-02,57.0,58.52,56.57,57.21,58113400
2016-12-09,56.96,59.25,56.96,58.75,38895500
2016-12-16,58.54,59.54,57.52,57.66,48086500
2016-12-23,57.44,58.06,56.72,57.01,27778800
2016-12-30,56.99,57.39,55.4,55.52,21860300
2017-01-06,55.91,57.27,55.04,57.13,31795700
2017-01-13,57.26,58.34,57.25,57.85,34818900
2017-01-20,57.62,58.58,57.41,57.66,28612500
2017-01-27,57.42,59.0,55.65,56.12,65903400
2017-02-03,56.0,56.24,53.81,55.06,75878300
2017-02-10,55.01,56.4,54.9,56.22,56908000
2017-02-17,56.5,57.57,56.02,57.35,43393900
2017-02-24,57.41,57.85,57.15,57.48,31150600
2017-03-03,57.24,57.4,56.55,57.1,37982400
2017-03-10,56.78,56.81,54.42,54.53,64842500
2017-03-17,54.57,56.13,54.09,55.78,49591500
2017-03-24,55.87,57.38,55.49,56.81,47551300
2017-03-31,56.66,58.66,56.46,58.39,42029600
2017-04-07,58.28,59.27,57.55,58.02,45006300
2017-04-14,58.0,58.21,57.38,57.51,21443400
2017-04-21,57.68,60.69,57.59,60.61,44321800
2017-04-28,61.0,61.94,58.99,60.06,70609600
2017-05-05,60.0,60.99,59.76,60.95,41086400
2017-05-12,61.07,61.08,59.83,59.93,29757800
2017-05-19,60.42,61.92,58.87,61.36,40922200
2017-05-26,61.03,63.42,60.86,63.3,34293200
2017-06-02,63.07,64.68,63.01,64.57,28307900
2017-06-09,64.85,64.87,61.87,62.19,43152100
2017-06-16,61.8,61.99,59.47,60.14,49198200
2017-06-23,60.35,61.0,59.4,59.81,31862800
2017-06-30,60.02,60.15,57.96,58.31,32284500
2017-07-07,58.9,58.99,57.4,58.04,28513800
2017-07-14,58.18,58.92,57.53,58.76,31297900
2017-07-21,58.73,58.87,57.69,57.98,40099500
2017-07-28,58.0,59.66,53.41,54.0,100893100
2017-08-04,54.48,56.12,53.95,55.44,75696500
2017-08-11,55.6,55.93,52.99,53.18,57537200
2017-08-18,53.6,53.92,52.58,52.7,39590400
