Date,Open,High,Low,Close,Volume
2015-03-27,28.34,28.72,26.18,26.48,11262158
2015-04-03,26.51,27.81,26.48,27.27,6448911
2015-04-10,27.49,27.95,26.93,27.14,5986760
2015-04-17,27.2,28.23,26.84,28.04,6952256
2015-04-24,27.97,28.95,27.45,28.91,5793405
2015-05-01,28.97,31.13,28.94,30.97,9883842
2015-05-08,31.12,31.12,29.77,30.33,8164717
2015-05-15,30.35,30.88,29.89,30.64,6954610
2015-05-22,30.24,30.39,29.14,29.32,5834386
2015-05-29,29.09,29.15,28.05,28.06,4967013
2015-06-05,28.08,29.19,27.78,28.41,4805010
2015-06-12,28.35,29.24,28.12,28.7,4593463
2015-06-19,28.22,29.3,28.03,28.18,5912713
2015-06-26,28.2,29.28,27.91,28.55,8673413
2015-07-03,28.24,28.59,27.15,27.63,5970710
2015-07-10,26.98,27.55,25.74,26.62,7591499
2015-07-17,26.69,27.48,26.34,26.6,6096760
2015-07-24,26.22,26.91,24.67,25.19,11229415
2015-07-31,24.66,26.28,24.33,26.04,10870312
2015-08-07,25.77,26.54,25.24,25.7,10213200
2015-08-14,25.61,26.95,25.2,25.8,10085437
2015-08-21,25.63,25.94,24.18,24.2,10759669
2015-08-28,22.25,26.08,21.88,25.56,19396807
2015-09-04,24.37,25.85,23.67,24.64,11813763
2015-09-11,25.69,26.92,25.25,26.34,7141117
2015-09-18,26.14,26.9,25.29,25.35,10284785
2015-09-25,25.5,25.57,24.25,24.92,8646877
2015-10-02,24.23,25.81,23.89,25.8,10587714
2015-10-09,25.99,28.25,25.89,28.19,10908511
2015-10-16,28.27,28.27,26.75,26.89,6476517
2015-10-23,26.59,27.36,26.19,27.1,6699834
2015-10-30,27.12,27.26,25.69,25.94,6131001
2015-11-06,25.75,26.58,24.98,25.19,6958142
2015-11-13,25.06,25.21,24.19,24.39,8429551
2015-11-20,24.38,25.77,23.48,25.55,11642558
2015-11-27,25.41,25.46,23.68,24.0,9176975
2015-12-04,24.11,25.08,23.56,25.04,10399601
2015-12-11,24.75,24.79,23.13,23.27,8272362
2015-12-18,23.14,24.24,22.92,23.26,8942421
