Date,Open,High,Low,Close,Volume
2015-04-03,30.32,30.62,29.66,30.01,24643900
2015-04-10,29.55,30.74,29.12,30.7,26114100
2015-04-17,30.65,31.0,29.9,30.25,33024200
2015-04-24,30.38,30.72,29.81,30.12,31486100
2015-05-01,30.24,31.13,30.06,30.71,28787300
2015-05-08,30.75,31.85,30.6,31.28,37265100
2015-05-15,31.31,32.18,30.99,31.21,34869900
2015-05-22,31.24,32.43,31.22,31.41,29136200
2015-05-29,31.36,31.96,31.18,31.65,21179700
2015-06-05,31.73,33.59,31.1,33.23,37657700
2015-06-12,33.16,33.72,32.78,33.36,32269600
2015-06-19,32.99,33.59,32.59,32.67,36666600
2015-06-26,32.98,33.78,32.97,33.53,35084200
2015-07-03,33.06,33.32,32.16,32.85,31313700
2015-07-10,32.47,33.38,31.45,32.83,48072200
2015-07-17,33.16,34.93,33.09,34.79,40444900
2015-07-24,34.93,35.53,34.54,34.81,41555100
2015-07-31,34.45,35.22,33.84,34.88,35431300
2015-08-07,34.93,35.72,34.34,35.03,39763100
2015-08-14,35.4,35.59,33.01,34.33,29759600
2015-08-21,34.11,34.17,30.92,30.93,42648200
2015-08-28,28.44,30.84,27.53,30.7,78991300
2015-09-04,30.58,30.69,28.83,29.1,49621500
2015-09-11,29.82,31.86,29.82,30.49,40786600
2015-09-18,30.44,31.72,28.45,28.45,70809600
2015-09-25,28.87,29.45,27.51,28.42,60330300
2015-10-02,28.05,28.64,26.4,27.6,76016100
2015-10-09,27.91,28.63,27.48,28.22,51231500
2015-10-16,28.15,28.89,27.51,28.68,38328900
2015-10-23,28.32,30.49,28.21,30.43,42383600
2015-10-30,30.37,31.28,29.61,30.52,56208100
2015-11-06,30.66,34.17,30.47,33.51,57195100
2015-11-13,33.59,33.88,32.18,32.31,49913400
2015-11-20,32.26,33.56,31.9,33.34,40082400
2015-11-27,33.42,33.81,32.79,33.74,28242000
2015-12-04,33.93,34.52,32.95,34.51,43727200
2015-12-11,34.39,34.48,31.67,31.77,37299800
2015-12-18,32.05,34.11,31.62,31.91,59411300
2015-12-25,32.23,33.26,31.87,33.05,20135200
2016-01-01,32.91,33.72,32.6,32.93,17223300
2016-01-08,31.95,32.23,28.93,29.0,54716100
2016-01-15,29.21,29.46,26.53,27.02,69174400
2016-01-22,28.05,28.09,24.37,25.83,90626800
2016-01-29,25.72,26.02,24.65,25.53,63225000
2016-02-05,25.43,25.49,22.92,24.36,67993400
2016-02-12,23.75,24.11,21.51,22.82,85321300
2016-02-19,23.55,24.67,23.05,24.44,40741400
2016-02-26,24.44,25.71,23.0,25.46,58472700
2016-03-04,25.35,27.83,25.01,27.15,58721400
2016-03-11,26.92,28.26,25.98,28.2,53805800
2016-03-18,28.0,28.4,26.65,28.37,52500800
2016-03-25,28.34,29.04,27.4,28.09,28690900
2016-04-01,28.12,28.55,27.51,28.38,36308800
2016-04-08,28.35,28.52,26.27,26.61,35165900
2016-04-15,26.9,29.18,26.86,28.53,44039400
2016-04-22,28.43,29.95,28.26,29.72,37333500
2016-04-29,29.67,30.23,28.11,28.41,36274000
2016-05-06,28.44,28.83,26.95,27.31,33876300
2016-05-13,27.3,28.36,27.16,27.53,27383600
2016-05-20,27.53,29.58,27.42,29.44,46682400
2016-05-27,29.32,30.9,29.08,30.63,33430600
2016-06-03,30.99,31.07,28.93,29.22,36855900
2016-06-10,29.29,29.92,28.24,28.45,38607900
2016-06-17,28.26,28.94,27.75,28.38,53474700
2016-06-24,28.97,29.7,26.15,26.15,65075100
2016-07-01,25.4,25.57,24.02,25.11,110866900
2016-07-08,24.77,26.11,23.83,25.73,54292600
2016-07-15,25.99,27.35,25.73,27.03,46625100
2016-07-22,27.6,28.2,26.81,28.18,44902700
2016-07-29,28.18,29.03,28.02,28.42,37913100
2016-08-05,28.55,29.94,27.71,29.93,45450900
2016-08-12,30.0,30.25,29.23,29.7,37780600
2016-08-19,29.86,30.6,29.83,30.45,27576900
2016-08-26,30.29,31.04,30.09,30.95,33105000
2016-09-02,31.02,31.87,30.63,31.27,39553200
2016-09-09,31.32,31.47,30.41,30.65,28316000
2016-09-16,30.4,31.03,30.06,30.53,44525500
2016-09-23,30.72,31.63,30.6,30.67,33202100
2016-09-30,30.43,31.76,29.86,31.57,34799700
2016-10-07,31.56,32.89,31.35,32.4,40338800
2016-10-14,32.67,32.86,30.9,31.97,32266200
2016-10-21,31.99,32.82,31.14,32.27,47946700
2016-10-28,32.49,32.54,31.4,31.89,33680000
2016-11-04,32.04,32.18,30.66,30.9,31717000
2016-11-11,31.76,36.12,31.76,36.08,73082200
2016-11-18,36.43,37.8,36.04,37.48,69457000
2016-11-25,37.71,39.22,37.64,38.99,37867200
2016-12-02,38.52,39.69,38.15,38.76,54213500
2016-12-09,39.14,39.89,38.7,39.32,55061500
2016-12-16,39.1,39.96,38.5,38.84,55473100
2016-12-23,39.01,40.42,38.49,40.32,42282800
2016-12-30,40.36,40.58,39.3,39.47,18991600
2017-01-06,40.05,41.52,39.72,41.23,27819700
2017-01-13,41.0,41.85,40.42,41.41,29007400
2017-01-20,41.07,41.74,39.14,41.31,42535100
2017-01-27,41.11,42.61,40.75,42.31,27264400
2017-02-03,42.04,42.04,39.03,40.17,57375000
2017-02-10,39.75,40.37,39.19,39.94,35593000
2017-02-17,40.23,42.46,40.2,41.55,36796000
2017-02-24,41.82,42.13,40.54,41.11,20019500
2017-03-03,41.09,43.36,39.78,42.45,59691500
2017-03-10,42.08,42.82,41.6,42.48,30748800
2017-03-17,42.63,43.65,42.13,42.86,35766800
2017-03-24,42.74,42.89,39.54,40.02,40470400
2017-03-31,38.34,41.34,37.62,40.81,39033200
2017-04-07,40.81,40.96,39.21,39.9,40020500
2017-04-14,39.82,40.13,37.51,37.53,37324500
2017-04-21,37.64,38.94,37.16,38.33,48770900
2017-04-28,39.46,40.58,38.78,38.85,46651700
2017-05-05,39.1,40.82,39.09,40.13,36775300
2017-05-12,40.16,40.81,39.25,39.61,31096500
2017-05-19,39.72,40.74,37.73,38.26,42222600
2017-05-26,38.7,39.63,38.13,39.52,24695900
2017-06-02,39.3,39.71,37.63,38.95,36242300
2017-06-09,39.0,41.33,38.33,41.29,39324600
2017-06-16,41.37,42.6,41.11,41.92,39517700
2017-06-23,42.22,42.61,41.36,41.62,32404600
2017-06-30,41.75,44.1,41.35,42.96,38700200
2017-07-07,43.21,44.1,43.09,43.32,25231100
2017-07-14,43.21,43.77,42.47,43.04,26545600
2017-07-21,43.01,43.15,41.71,42.15,36475000
2017-07-28,41.9,43.09,41.75,42.55,36158300
2017-08-04,42.69,43.78,42.48,43.11,32583200
2017-08-11,43.18,43.25,40.49,40.65,25592800
2017-08-18,41.22,41.59,39.26,39.51,27269000
2017-08-25,39.42,40.02,39.01,39.76,21259900
2017-09-01,39.84,40.24,38.73,40.16,28277300
2017-09-08,39.75,39.9,38.06,38.68,27786900
2017-09-15,39.25,40.27,38.2,40.21,41882400
2017-09-22,40.33,42.63,40.3,42.54,33412300
2017-09-29,42.36,44.35,42.26,43.74,37314200
2017-10-06,43.82,46.21,43.56,45.34,35923000
2017-10-13,45.35,45.62,44.33,44.73,30717000
2017-10-20,44.16,44.89,42.2,44.68,31794400
2017-10-27,44.72,45.64,44.22,44.91,32103500
2017-11-03,44.51,45.57,43.83,44.82,24728400
2017-11-10,44.69,44.91,43.33,44.27,20184800
2017-11-17,44.0,45.28,43.93,44.68,22923100
2017-11-24,44.82,46.33,44.64,45.78,17678800
2017-12-01,45.8,49.55,45.66,49.5,44861600
2017-12-08,50.41,51.89,49.82,51.39,39078900
2017-12-15,51.42,51.98,50.1,51.28,40216400
2017-12-22,52.0,52.52,51.51,52.08,28687000
2017-12-29,52.0,52.4,51.36,51.37,12680600
2018-01-05,51.55,52.48,50.96,52.01,23750100
2018-01-12,51.9,55.52,51.84,55.39,33403800
2018-01-19,55.73,56.25,54.52,55.48,30954300
2018-01-26,55.4,55.87,53.74,54.27,36844200
2018-02-02,54.36,55.05,53.07,53.34,40193300
2018-02-09,52.54,54.1,48.04,50.12,60702900
2018-02-16,50.72,53.13,50.29,52.17,30831500
2018-02-23,51.95,53.13,51.85,52.74,22136500
2018-03-02,53.0,55.39,50.47,52.63,35967500
2018-03-09,51.96,57.73,51.8,57.7,36196000
2018-03-16,57.86,58.11,55.19,55.71,36482100
2018-03-23,55.66,56.69,51.18,51.32,32547300
2018-03-30,52.34,53.49,50.02,52.22,29494300
2018-04-06,52.0,52.74,49.74,50.11,37955800
2018-04-13,50.45,52.6,50.06,51.04,28699200
2018-04-20,52.01,55.6,51.8,54.99,43012000
2018-04-27,55.24,56.27,53.37,55.99,39513900
2018-05-04,56.2,56.46,54.06,56.09,26833100
2018-05-11,56.35,59.94,56.11,59.46,31904500
2018-05-18,59.59,59.78,58.43,59.14,29306800
2018-05-25,59.54,60.22,56.8,57.3,32347800
2018-06-01,56.49,57.02,54.81,56.73,32083800
2018-06-08,57.09,58.25,56.13,57.73,20448200
2018-06-15,57.85,58.22,55.37,56.09,24998300
2018-06-22,55.45,56.15,54.51,54.9,24740500
2018-06-29,54.5,54.53,51.05,51.1,32005300
2018-07-06,50.56,51.7,49.35,50.65,24703600
2018-07-13,50.9,52.02,49.9,50.62,28620900
2018-07-20,50.79,54.26,50.66,52.15,36644900
2018-07-27,52.15,53.61,52.0,52.55,22883300
2018-08-03,52.7,52.75,49.67,50.29,37425500
2018-08-10,50.25,51.87,49.79,50.61,22673800
2018-08-17,50.68,51.42,49.82,50.9,19436000
2018-08-24,51.0,51.53,49.32,50.55,32201500
2018-08-31,50.83,51.8,50.21,50.79,25088100
2018-09-07,50.78,51.58,49.15,50.16,23438500
2018-09-14,50.5,51.57,50.36,51.16,27378900
2018-09-21,51.29,52.7,50.12,51.84,32692800
2018-09-28,51.79,51.86,49.06,49.15,24729300
2018-10-05,49.35,52.47,48.98,51.48,34582900
2018-10-12,51.25,52.35,47.64,49.01,41537000
2018-10-19,49.0,49.43,46.25,46.83,47237300
2018-10-26,46.94,47.01,42.01,43.19,58790000
2018-11-02,43.92,47.3,43.18,46.58,53294100
2018-11-09,46.63,49.24,46.42,47.64,34058900
2018-11-16,47.5,47.97,45.98,46.96,40292300
2018-11-23,46.4,46.9,44.01,44.08,26092200
2018-11-30,45.03,45.78,43.92,44.8,46636800
2018-12-07,45.79,46.37,41.13,41.47,46117400
2018-12-14,41.15,43.13,40.08,41.19,49139100
2018-12-21,40.89,41.73,38.92,39.14,61094800
2018-12-28,38.81,41.68,37.83,41.06,31184000
2019-01-04,41.36,42.63,40.49,42.44,27676100
2019-01-11,42.22,44.06,42.0,43.82,30917500
2019-01-18,43.45,48.2,43.3,47.98,40634500
2019-01-25,47.65,48.23,46.81,47.97,28134200
2019-02-01,47.46,47.87,46.43,47.03,35676200
2019-02-08,47.0,47.5,43.88,44.76,36222500
2019-02-15,45.04,46.61,44.5,46.36,30705500
2019-02-22,46.0,47.2,45.59,46.17,22901300
2019-03-01,46.64,47.1,45.76,46.81,25821000
2019-03-08,47.0,47.06,43.11,43.45,29108700
2019-03-15,43.75,45.69,43.52,45.45,32482000
2019-03-22,45.67,46.68,41.55,41.8,36602200
2019-03-29,41.85,43.29,41.46,42.76,39521000
2019-04-05,43.35,44.99,43.2,44.55,31168800
2019-04-12,44.34,45.79,43.97,45.35,34309600
2019-04-19,46.75,46.75,44.5,45.55,27699600
2019-04-26,45.49,45.86,44.37,44.9,27645500
2019-05-03,45.12,46.54,45.05,46.24,27413500
2019-05-10,45.39,46.41,44.49,45.85,27798900
2019-05-17,44.82,44.96,42.73,43.21,40700300
2019-05-24,43.13,44.26,42.22,43.25,31806900
2019-05-31,43.18,43.36,41.45,41.61,27132500
2019-06-07,41.44,44.15,41.35,43.0,35220900
2019-06-14,43.45,44.04,40.62,41.01,43682800
2019-06-21,41.03,41.46,39.36,40.63,56103600
2019-06-28,40.19,41.21,38.33,40.19,58194600
2019-07-05,40.88,41.48,40.13,40.86,37476500
2019-07-12,40.38,40.83,39.3,40.13,39460400
2019-07-19,40.2,43.04,39.87,42.72,55578700
2019-07-26,42.76,44.55,42.56,44.05,51230700
2019-08-02,43.9,44.09,40.33,40.75,53120100
2019-08-09,39.82,39.9,36.49,36.87,73800100
2019-08-16,36.35,38.02,36.01,37.14,47871000
2019-08-23,37.85,38.16,36.35,36.58,32740900
2019-08-30,37.0,38.42,35.85,38.27,39651800
2019-09-06,38.01,40.37,37.3,39.9,31096700
2019-09-13,40.28,44.0,40.28,43.62,39070600
2019-09-20,43.08,43.74,42.23,42.78,35390100
2019-09-27,42.25,42.95,40.64,41.41,32087600
2019-10-04,41.74,41.93,34.92,35.67,100435000
2019-10-11,35.87,37.71,34.58,37.28,61821500
2019-10-18,37.03,40.23,37.03,39.94,49820700
2019-10-25,40.53,41.54,40.23,40.98,31054300
2019-11-01,41.18,42.02,40.01,41.78,29885900
2019-11-08,42.26,43.85,42.1,43.54,32352400
2019-11-15,43.11,44.44,42.41,44.35,24208600
2019-11-22,44.27,50.97,43.56,48.2,78954700
2019-11-29,47.7,50.05,47.39,49.5,77180900
2019-12-06,49.96,50.33,48.32,48.95,53719200
2019-12-13,48.9,51.65,48.63,49.95,58632400
2019-12-20,50.5,50.52,47.9,48.12,65041500
2019-12-27,48.43,48.92,48.03,48.34,15893000
2020-01-03,48.5,48.63,46.9,47.01,26306500
2020-01-10,46.65,48.54,46.59,47.8,44878900
2020-01-17,48.17,49.26,46.93,48.34,49444700
2020-01-24,48.04,49.03,47.0,47.15,34943800
2020-01-31,46.0,47.33,45.39,45.55,46573200
2020-02-07,45.86,48.78,45.58,47.31,45116400
2020-02-14,46.89,48.35,46.49,47.23,31260700
2020-02-21,47.03,49.55,45.93,46.19,44242500
2020-02-28,44.48,44.56,39.51,40.75,100907800
2020-03-06,40.9,42.05,32.64,34.13,133941700
2020-03-13,30.86,33.9,28.11,33.87,131726900
2020-03-20,28.59,34.08,28.0,30.75,103645400
2020-03-27,30.82,36.87,28.01,33.61,90682600
2020-04-03,33.19,34.97,31.59,33.6,56944800
2020-04-10,35.36,37.95,34.51,36.54,45205200
2020-04-17,36.4,37.05,33.67,35.79,59581600
2020-04-24,35.13,36.84,35.11,35.4,45877600
2020-05-01,35.92,39.09,35.65,36.45,43169200
2020-05-08,36.07,36.66,34.54,36.51,40890300
2020-05-15,35.93,36.36,31.89,32.56,47318100
2020-05-22,33.86,34.59,32.44,32.83,45912300
2020-05-29,34.2,37.63,34.03,35.91,51025800
2020-06-05,36.04,45.86,35.94,42.82,70720500
2020-06-12,43.01,43.27,35.44,36.56,62385600
2020-06-19,35.35,38.0,35.16,36.67,60043900
2020-06-26,36.41,37.07,31.63,31.75,75649300
2020-07-03,32.1,34.19,31.93,33.39,57612800
2020-07-10,34.1,34.91,33.42,34.8,42422600
2020-07-17,35.21,36.08,33.43,33.44,50446800
2020-07-24,33.42,35.85,33.04,34.94,42568700
2020-07-31,34.55,34.68,32.66,33.15,43771800
2020-08-07,33.28,34.35,32.79,34.04,46187600
2020-08-14,34.06,36.0,33.55,35.05,41880400
2020-08-21,34.88,35.9,34.23,34.45,38052100
2020-08-28,34.5,36.47,34.46,36.28,31922700
2020-09-04,36.13,36.89,34.96,36.2,47730900
2020-09-11,35.47,35.7,34.52,35.24,28280800
2020-09-18,35.5,36.54,33.79,36.03,44926400
2020-09-25,35.14,35.92,33.96,34.94,40224500
2020-10-02,35.51,38.48,35.42,37.67,63087000
2020-10-09,38.17,38.71,36.07,38.23,155647800
2020-10-16,38.25,39.77,37.01,39.29,64829900
2020-10-23,39.41,40.93,38.71,40.35,48265200
2020-10-30,39.82,41.14,37.29,41.11,61726600
2020-11-06,41.27,43.77,39.5,41.13,57391400
2020-11-13,45.19,47.48,43.76,46.0,57618300
