Date,Open,High,Low,Close,Volume
2019-11-22,13.0,19.14,13.0,18.05,1181700
2019-11-29,18.0,18.8,16.55,17.4,316600
2019-12-06,17.5,18.18,16.05,18.03,329900
2019-12-13,18.04,21.22,17.19,19.63,431100
2019-12-20,19.98,22.98,19.96,21.64,434000
2019-12-27,21.36,22.99,20.51,22.74,82100
2020-01-03,23.08,27.5,22.3,23.33,483300
2020-01-10,22.07,24.45,20.66,22.8,611500
2020-01-17,22.84,26.7,21.69,25.41,386700
2020-01-24,25.61,26.69,23.0,25.01,412000
2020-01-31,24.91,27.2,23.41,25.42,609400
2020-02-07,25.65,31.53,25.1,31.0,995400
2020-02-14,30.9,36.46,27.92,28.85,461100
2020-02-21,28.62,31.97,27.82,30.43,306000
2020-02-28,29.45,29.8,22.37,22.66,409300
2020-03-06,23.05,28.0,21.82,23.4,395300
2020-03-13,22.0,23.11,15.42,20.43,520600
2020-03-20,20.25,27.98,16.5,23.61,1011000
2020-03-27,23.14,25.52,18.53,20.76,518400
2020-04-03,21.05,22.55,18.05,19.7,283300
2020-04-10,20.2,24.25,19.6,21.03,221600
2020-04-17,21.21,22.0,19.0,19.55,252700
2020-04-24,19.11,21.0,17.5,19.53,198000
2020-05-01,20.03,22.65,19.58,21.28,163700
2020-05-08,20.78,26.97,20.19,25.87,308300
2020-05-15,24.39,25.73,23.78,25.08,237700
2020-05-22,25.83,36.91,25.83,33.4,814800
2020-05-29,33.46,35.34,29.25,29.81,318900
2020-06-05,29.4,35.39,29.4,33.79,474600
2020-06-12,34.0,39.73,32.65,35.75,1291700
2020-06-19,35.53,49.94,34.24,46.25,1751800
2020-06-26,46.72,50.43,44.66,45.89,763100
2020-07-03,45.84,48.52,42.01,45.85,544000
2020-07-10,46.65,51.57,44.69,46.85,609600
2020-07-17,46.84,53.78,45.04,53.31,721200
2020-07-24,54.85,59.8,48.88,51.3,871000
2020-07-31,52.22,54.99,50.56,53.15,467900
2020-08-07,53.37,64.64,52.49,58.92,606200
2020-08-14,59.5,66.66,59.36,64.68,631000
2020-08-21,65.54,69.27,63.46,65.36,445800
2020-08-28,66.65,71.65,65.02,68.04,496800
2020-09-04,68.0,81.6,65.22,69.35,896800
2020-09-11,67.76,69.99,63.8,63.98,562900
2020-09-18,65.64,73.41,63.0,72.71,1480700
2020-09-25,70.43,79.47,70.31,78.27,774600
2020-10-02,79.49,88.78,77.67,86.7,771300
2020-10-09,88.22,88.22,82.0,85.9,632000
2020-10-16,86.4,98.63,86.4,92.47,392300
2020-10-23,94.56,96.46,87.22,93.3,386300
2020-10-30,92.59,94.61,82.57,83.49,478700
2020-11-06,84.99,106.44,83.35,103.5,657500
2020-11-13,110.0,112.69,89.48,93.99,558000
2020-11-20,93.98,96.75,79.28,82.3,837400
2020-11-27,81.84,92.57,77.69,88.26,886600
2020-12-04,88.55,104.01,84.26,103.79,1005500
2020-12-11,104.34,110.91,99.6,102.6,514900
2020-12-18,104.23,118.6,101.27,113.1,963700
2020-12-25,110.28,113.56,102.93,106.85,499500
2021-01-01,107.0,114.46,101.21,111.93,448000
2021-01-08,114.78,129.93,107.29,120.65,872500
2021-01-15,122.09,139.36,118.78,136.5,586900
2021-01-22,138.84,143.46,132.46,138.44,551700
2021-01-29,138.5,140.69,118.08,122.05,767200
2021-02-05,125.02,136.04,123.27,131.0,530500
2021-02-12,132.94,147.66,129.11,144.17,617600
2021-02-19,144.17,151.78,122.0,123.81,3137800
2021-02-26,122.01,125.8,96.74,97.43,3151300
2021-03-05,99.26,101.74,82.62,96.42,2264600
