Date,Open,High,Low,Close,Volume
2015-03-27,113.9,116.26,112.5,116.01,3557600
2015-04-03,116.45,117.65,113.93,116.01,3650700
2015-04-10,115.95,117.66,114.91,116.75,2700000
2015-04-17,117.4,118.64,116.29,117.42,2734200
2015-04-24,117.66,118.29,116.04,116.31,2664100
2015-05-01,116.82,118.32,115.22,116.86,4308700
2015-05-08,117.28,118.83,115.24,115.99,3025500
2015-05-15,115.83,118.59,115.61,118.5,2065800
2015-05-22,118.17,120.65,118.11,120.39,2286600
2015-05-29,120.4,120.58,118.48,118.55,1844900
2015-06-05,118.68,118.93,110.87,111.32,6811300
2015-06-12,110.94,112.34,110.05,111.29,4320800
2015-06-19,110.86,114.47,110.34,113.48,4088900
2015-06-26,113.76,114.31,110.51,110.62,4336500
2015-07-03,110.19,110.36,108.26,108.75,3775800
2015-07-10,108.02,110.18,106.26,107.59,6480200
2015-07-17,108.42,109.34,107.1,108.46,3617900
2015-07-24,108.38,108.4,105.29,105.59,2519500
2015-07-31,105.19,112.08,104.81,111.69,4534300
2015-08-07,111.43,113.67,109.78,110.04,3880100
2015-08-14,110.42,110.99,106.5,109.38,3025000
2015-08-21,109.11,112.94,107.17,109.9,4471900
2015-08-28,106.19,117.65,104.3,117.59,8416800
2015-09-04,117.34,118.5,113.33,115.61,4648200
2015-09-11,117.02,117.42,113.61,116.11,3357000
2015-09-18,116.12,118.09,114.78,116.57,4936000
2015-09-25,117.32,117.93,112.12,114.36,9568000
2015-10-02,114.23,115.83,106.87,115.65,9319700
2015-10-09,116.63,118.65,114.66,118.09,4524300
2015-10-16,118.16,120.44,117.96,119.1,4648300
2015-10-23,119.13,120.07,112.85,118.27,6127600
2015-10-30,118.1,118.41,115.33,117.39,3753700
2015-11-06,117.3,118.03,113.86,115.0,3874100
2015-11-13,114.82,115.76,111.01,111.74,3649100
2015-11-20,111.44,123.98,111.44,122.39,7566100
2015-11-27,122.97,124.77,119.5,123.26,5616200
