Date,Open,High,Low,Close,Volume
2015-03-27,32.63,32.84,30.96,31.04,2230900
2015-04-03,31.02,31.46,30.33,31.17,2886500
2015-04-10,31.33,32.14,31.15,31.34,2289800
2015-04-17,31.34,32.89,31.21,32.03,2030000
2015-04-24,32.16,32.58,31.46,32.5,1389700
2015-05-01,32.69,32.96,31.88,32.15,1697500
2015-05-08,32.3,34.27,32.22,33.86,2704200
2015-05-15,33.89,34.44,33.4,33.63,1621500
2015-05-22,33.54,33.78,32.53,32.6,1619200
2015-05-29,32.43,32.5,31.35,31.96,1577800
2015-06-05,31.85,33.43,31.43,33.1,2256300
2015-06-12,33.12,34.95,32.68,34.3,3648300
2015-06-19,34.02,34.89,33.66,33.71,2320700
2015-06-26,33.82,35.13,33.75,34.87,4636300
2015-07-03,34.39,34.42,32.97,33.33,3395800
2015-07-10,32.85,33.25,32.1,33.02,2193300
2015-07-17,32.99,33.47,32.77,33.1,1706100
2015-07-24,33.19,33.24,31.6,31.77,1894100
2015-07-31,31.6,33.05,31.32,32.62,1978100
2015-08-07,32.58,34.69,32.25,34.21,2893100
2015-08-14,34.27,34.87,33.5,33.81,2477000
2015-08-21,33.6,33.88,31.02,31.11,2268200
2015-08-28,28.5,32.13,27.87,31.76,5127500
2015-09-04,31.61,32.06,30.57,31.02,3217800
2015-09-11,31.62,32.38,30.97,32.09,2534600
2015-09-18,32.17,33.03,31.4,31.5,2918100
2015-09-25,31.83,32.86,31.15,32.04,2635700
2015-10-02,31.9,32.72,31.29,32.36,2102600
2015-10-09,32.72,34.54,32.72,34.26,2345100
2015-10-16,34.24,34.48,33.53,33.74,1611000
2015-10-23,33.6,34.55,33.59,34.28,2177600
2015-10-30,34.45,34.63,33.7,33.71,2690500
2015-11-06,33.71,34.28,32.92,33.86,2544700
2015-11-13,33.9,34.06,32.39,32.54,1862500
2015-11-20,32.49,33.85,32.41,33.37,1843000
2015-11-27,32.94,33.14,32.49,32.75,1232900
2015-12-04,33.03,33.77,32.8,33.15,2105600
2015-12-11,32.79,32.92,30.96,31.11,2665500
2015-12-18,31.2,31.99,30.77,30.93,2468600
2015-12-25,31.19,32.1,30.59,31.78,1316200
2016-01-01,31.59,32.29,31.08,31.2,1030900
2016-01-08,30.6,30.72,28.22,28.3,2268600
2016-01-15,28.7,28.71,26.23,26.49,2130400
2016-01-22,26.63,27.81,25.31,27.7,2607900
2016-01-29,27.62,28.54,26.71,28.5,2004500
2016-02-05,28.52,28.76,27.19,28.25,2037500
2016-02-12,27.77,28.22,26.24,28.04,2982400
2016-02-19,28.54,30.15,27.98,29.39,2269100
2016-02-26,29.84,30.3,27.86,30.08,2642100
2016-03-04,29.79,30.79,29.32,30.44,2635700
2016-03-11,30.25,31.55,30.14,31.45,2071700
2016-03-18,31.21,32.9,30.68,32.19,2244300
2016-03-25,32.01,32.42,30.9,31.37,1396800
2016-04-01,31.43,32.67,31.12,32.15,2002600
2016-04-08,32.17,32.24,30.99,31.8,1952900
2016-04-15,32.14,33.42,31.9,33.02,2031000
2016-04-22,32.69,34.16,32.59,34.01,2178000
2016-04-29,33.84,34.5,33.58,34.1,1661200
2016-05-06,34.23,34.5,32.43,32.79,1908300
2016-05-13,32.35,34.14,32.26,33.59,2189800
2016-05-20,33.74,34.31,33.49,34.13,1942200
2016-05-27,33.97,35.46,33.84,34.78,1624600
2016-06-03,34.76,34.92,34.05,34.29,1684600
2016-06-10,34.4,35.43,34.01,34.2,2427900
2016-06-17,33.86,34.25,32.6,33.56,1658300
2016-06-24,34.25,34.8,32.21,32.32,2058900
2016-07-01,31.82,33.06,30.79,32.98,2524300
2016-07-08,32.52,32.81,31.16,31.53,2046600
2016-07-15,31.78,33.11,31.58,32.86,1958400
2016-07-22,32.76,33.26,32.69,33.15,1379800
2016-07-29,32.99,33.27,32.6,32.98,1300500
2016-08-05,32.99,33.06,32.02,32.41,2000200
2016-08-12,32.48,32.82,31.7,32.11,2302200
2016-08-19,32.29,32.48,31.62,32.27,1859400
2016-08-26,32.12,32.45,31.8,32.14,2067900
2016-09-02,31.81,32.06,31.24,31.72,1765700
2016-09-09,31.87,31.89,31.28,31.47,1432100
2016-09-16,31.16,31.62,30.38,31.41,2321800
2016-09-23,31.57,33.12,31.49,32.31,2078900
2016-09-30,32.12,32.76,31.42,32.54,1660500
2016-10-07,32.35,33.01,32.04,32.45,1834100
2016-10-14,32.65,33.4,32.03,33.09,2421800
2016-10-21,33.17,33.83,32.81,33.18,1582800
2016-10-28,33.31,33.72,32.74,33.39,2053900
2016-11-04,33.46,33.85,32.87,33.06,2405700
2016-11-11,33.65,38.27,33.42,37.43,4514600
2016-11-18,37.59,38.68,37.38,38.48,3597800
2016-11-25,38.64,39.87,38.55,39.6,2391900
2016-12-02,39.51,39.64,38.24,39.03,2819200
2016-12-09,39.29,39.5,38.34,39.42,1955400
2016-12-16,39.5,39.57,38.32,38.66,1996800
2016-12-23,38.48,39.41,38.09,38.21,1732100
2016-12-30,38.17,38.62,37.78,38.41,1072600
2017-01-06,38.67,39.71,38.52,39.46,1275700
2017-01-13,39.2,40.13,38.7,40.09,2051700
2017-01-20,40.13,40.57,39.28,39.74,1973200
2017-01-27,39.56,40.15,38.9,39.35,2232900
2017-02-03,39.22,39.75,38.48,38.82,2639100
2017-02-10,38.53,39.59,37.93,39.46,1982600
2017-02-17,39.56,40.28,37.65,38.08,3574100
2017-02-24,37.93,37.98,36.64,36.8,2263800
2017-03-03,36.78,37.26,36.08,36.42,2504000
2017-03-10,36.22,36.96,35.95,36.64,1925200
2017-03-17,36.66,37.43,36.2,36.97,1640600
2017-03-24,36.89,37.02,35.03,36.16,2159900
2017-03-31,35.66,36.95,35.5,36.55,2049800
2017-04-07,36.43,36.5,35.38,35.67,1982200
2017-04-14,35.71,35.97,34.95,35.0,1376900
2017-04-21,35.15,35.63,34.76,35.45,1897000
2017-04-28,36.02,36.56,34.97,35.32,2195700
2017-05-05,35.48,36.0,35.25,35.76,1454500
2017-05-12,35.72,35.96,33.54,33.68,4222500
2017-05-19,33.94,34.17,32.4,33.19,2415400
2017-05-26,33.33,33.6,32.63,32.87,1943900
2017-06-02,32.82,33.12,32.22,32.82,2127300
2017-06-09,32.83,34.3,32.37,34.1,2794700
2017-06-16,34.11,34.57,33.68,34.2,2398500
2017-06-23,34.36,34.81,33.53,33.87,2081700
2017-06-30,33.99,35.91,33.7,35.75,3297700
2017-07-07,35.87,36.32,35.54,36.2,2313200
2017-07-14,36.38,37.41,36.07,37.28,2668900
2017-07-21,37.2,37.95,36.78,37.6,2004600
2017-07-28,37.64,38.65,37.34,38.31,1964200
2017-08-04,38.39,38.65,37.93,38.33,2447600
2017-08-11,38.34,38.91,37.39,38.13,2682300
2017-08-18,38.44,39.2,38.27,38.48,2256100
2017-08-25,38.51,38.96,37.91,38.9,1728700
2017-09-01,38.54,38.96,37.56,38.88,1787400
