Date,Open,High,Low,Close,Volume
2015-03-27,11.72,12.19,11.03,11.3,123200
2015-04-03,12.0,13.8,11.76,13.05,217300
2015-04-10,12.48,14.78,12.48,13.0,226500
2015-04-17,12.8,13.08,12.1,12.6,76300
2015-04-24,12.7,12.7,10.29,10.3,74100
2015-05-01,10.75,12.2,10.05,10.93,77000
2015-05-08,11.1,11.71,10.5,10.57,44300
2015-05-15,10.56,10.71,10.03,10.13,74600
2015-05-22,10.02,11.89,10.02,11.18,164400
2015-05-29,11.24,11.24,10.29,10.38,29700
2015-06-05,10.29,11.14,10.2,10.77,80300
2015-06-12,10.7,11.5,10.51,11.5,149600
2015-06-19,11.6,12.26,11.15,11.91,240900
2015-06-26,12.04,12.45,10.94,11.17,69800
2015-07-03,10.6,11.4,10.56,10.99,24800
2015-07-10,10.72,11.62,10.7,11.27,41700
2015-07-17,11.51,12.7,11.4,12.14,80100
2015-07-24,12.11,13.0,12.04,12.7,56700
2015-07-31,12.5,13.01,12.5,12.95,70200
2015-08-07,12.56,13.3,12.41,12.75,27000
2015-08-14,12.72,13.0,12.37,12.52,42500
2015-08-21,12.64,12.87,12.25,12.25,94300
2015-08-28,12.05,12.21,11.8,11.95,27900
2015-09-04,11.9,12.4,11.5,11.55,61500
2015-09-11,11.5,12.23,11.4,11.98,19900
2015-09-18,11.27,12.0,11.1,11.28,13400
2015-09-25,11.95,11.97,11.25,11.4,21600
2015-10-02,11.05,11.06,10.1,10.29,26900
2015-10-09,10.25,11.53,10.2,10.35,28900
2015-10-16,10.3,10.75,10.11,10.53,8700
2015-10-23,10.47,10.47,10.13,10.24,2500
2015-10-30,10.18,10.18,10.1,10.1,1700
2015-11-06,10.13,10.13,8.84,9.27,25300
2015-11-13,9.1,9.2,9.1,9.1,3300
2015-11-20,9.1,11.6,9.1,9.55,13100
2015-11-27,10.51,11.3,10.02,10.64,23400
2015-12-04,10.26,10.8,10.08,10.8,50700
2015-12-11,10.7,11.0,10.3,10.76,32700
2015-12-18,10.92,11.5,10.02,10.95,107600
2015-12-25,10.7,11.75,10.45,10.65,27700
2016-01-01,10.8,11.89,10.8,11.5,11400
2016-01-08,11.0,11.16,10.01,10.14,8900
2016-01-15,10.99,10.99,9.0,9.0,15800
2016-01-22,9.22,9.44,8.1,8.7,3000
2016-01-29,9.58,9.71,8.25,9.0,1000
2016-02-05,9.51,9.51,7.26,7.82,25300
2016-02-12,7.82,8.11,7.3,7.35,26700
2016-02-19,7.13,7.52,6.76,7.5,12000
2016-02-26,7.09,7.6,7.09,7.22,26500
2016-03-04,6.63,6.92,6.0,6.6,43800
2016-03-11,6.6,7.1,6.0,6.84,15400
2016-03-18,6.84,7.6,6.5,7.6,7500
2016-03-25,7.6,7.6,4.26,6.7,14700
2016-04-01,7.22,7.96,6.7,6.96,55000
2016-04-08,6.65,7.49,6.65,6.99,30100
2016-04-15,6.99,7.25,6.72,6.99,28100
2016-04-22,7.48,7.48,6.75,7.0,67300
2016-04-29,7.29,12.78,7.19,9.98,228100
2016-05-06,9.75,9.85,8.11,8.57,57100
2016-05-13,8.79,9.43,8.13,8.3,34500
2016-05-20,8.32,8.99,8.15,8.27,11700
2016-05-27,8.75,8.8,8.15,8.38,18800
2016-06-03,8.54,9.6,8.2,8.61,18100
2016-06-10,8.3,9.4,7.28,9.4,33500
2016-06-17,8.47,9.22,7.61,8.09,34100
2016-06-24,7.61,8.5,7.57,8.0,29100
2016-07-01,7.77,8.09,7.71,7.77,3300
2016-07-08,7.7,7.88,7.2,7.26,51300
2016-07-15,7.49,7.59,7.21,7.55,13900
2016-07-22,7.3,7.32,6.9,7.15,16500
2016-07-29,7.15,7.25,6.8,7.0,4600
2016-08-05,6.65,7.13,6.65,7.05,11500
2016-08-12,6.72,7.15,6.6,6.66,24300
2016-08-19,6.75,7.03,6.6,6.82,1800
2016-08-26,7.03,7.26,6.76,7.25,5200
2016-09-02,6.9,7.0,6.6,6.65,19000
2016-09-09,6.6,7.05,6.01,6.18,39900
2016-09-16,6.1,6.69,5.31,5.95,86200
2016-09-23,5.99,9.48,5.88,8.73,240200
2016-09-30,11.1,11.25,8.36,9.06,812200
2016-10-07,8.93,19.75,8.58,11.92,6359300
2016-10-14,12.01,12.01,9.83,10.71,411200
2016-10-21,10.58,12.74,9.61,12.07,277300
2016-10-28,12.32,13.35,11.01,12.45,389000
2016-11-04,12.44,12.44,11.04,12.0,177400
2016-11-11,11.95,12.01,11.0,11.01,265600
2016-11-18,11.2,12.0,10.15,10.5,220600
2016-11-25,10.32,11.77,9.66,10.83,285000
2016-12-02,11.17,11.7,10.02,10.15,214300
2016-12-09,10.25,10.5,9.01,9.42,145300
2016-12-16,9.54,9.85,8.35,8.85,209200
2016-12-23,8.57,9.32,7.95,8.44,101100
2016-12-30,8.45,8.64,8.0,8.56,126000
2017-01-06,8.42,9.3,8.24,9.01,52400
2017-01-13,8.94,11.64,8.75,9.71,142000
2017-01-20,10.0,11.25,9.75,11.18,123400
2017-01-27,11.25,12.29,11.11,11.22,192400
2017-02-03,11.4,11.98,9.17,11.0,150700
2017-02-10,11.0,11.66,10.51,11.06,53200
2017-02-17,11.1,11.8,11.04,11.64,39200
2017-02-24,11.64,12.38,11.64,12.17,54600
2017-03-03,12.38,13.6,12.1,12.63,109800
2017-03-10,12.5,13.11,12.25,12.4,77400
2017-03-17,12.42,13.21,11.95,13.21,74200
2017-03-24,13.15,13.61,11.85,12.53,132100
2017-03-31,12.61,13.46,12.37,13.27,64800
2017-04-07,13.25,13.3,11.56,12.0,86100
2017-04-14,11.85,12.01,11.01,11.32,43800
2017-04-21,11.28,12.2,10.3,10.68,61800
2017-04-28,10.52,11.47,10.25,11.0,22600
2017-05-05,10.95,11.52,10.87,10.94,13000
2017-05-12,10.87,11.0,10.34,10.85,14300
2017-05-19,11.07,12.1,10.9,11.92,25200
2017-05-26,11.63,12.47,11.35,11.4,29800
2017-06-02,11.67,12.2,10.5,10.68,26900
2017-06-09,10.9,11.75,10.9,11.09,31000
2017-06-16,11.28,11.28,10.51,11.0,16200
2017-06-23,10.78,11.5,10.68,11.35,26800
2017-06-30,11.32,11.91,10.75,11.39,51200
2017-07-07,11.5,11.9,10.86,11.88,31700
2017-07-14,11.57,12.8,11.19,12.32,64300
2017-07-21,12.4,13.5,11.73,12.69,67000
2017-07-28,12.5,13.96,12.5,13.77,119100
2017-08-04,13.42,14.63,13.42,14.25,52300
2017-08-11,14.36,14.84,12.5,12.99,97900
2017-08-18,12.84,13.1,12.03,12.21,43800
2017-08-25,12.44,12.88,12.3,12.62,29500
2017-09-01,12.7,13.74,12.12,13.42,85500
2017-09-08,13.6,14.62,13.06,14.39,62600
2017-09-15,15.0,16.86,12.0,12.35,669400
2017-09-22,12.75,13.01,12.0,12.68,253700
2017-09-29,12.75,12.89,12.49,12.55,94900
2017-10-06,12.6,12.84,12.25,12.76,148900
2017-10-13,12.89,13.0,12.3,12.39,88200
2017-10-20,12.27,12.47,11.63,11.64,125100
2017-10-27,11.54,11.65,9.25,10.12,239900
2017-11-03,10.28,10.6,8.8,9.05,174400
2017-11-10,9.03,11.4,9.03,10.98,404900
2017-11-17,10.95,11.6,10.23,10.69,399000
2017-11-24,10.96,11.88,10.8,11.65,126500
2017-12-01,11.61,12.47,11.24,11.68,71000
2017-12-08,11.7,12.47,11.27,11.75,47000
2017-12-15,11.58,11.75,10.05,10.26,108300
2017-12-22,10.26,10.8,9.86,10.8,72700
2017-12-29,10.82,11.85,10.31,11.08,136900
2018-01-05,10.98,11.65,10.75,11.08,99500
2018-01-12,11.1,12.9,11.1,12.68,271800
2018-01-19,12.8,12.8,11.73,12.17,152400
2018-01-26,12.07,15.9,12.07,14.77,1907900
2018-02-02,15.0,15.16,11.8,12.41,850400
2018-02-09,12.18,12.49,10.11,10.6,474300
2018-02-16,10.61,12.57,10.61,11.68,293700
2018-02-23,11.68,12.27,11.22,12.2,121200
2018-03-02,12.5,13.05,11.31,12.28,331400
2018-03-09,12.1,13.75,12.1,13.2,182500
2018-03-16,13.2,14.0,13.2,13.43,160200
2018-03-23,13.44,13.83,12.75,12.8,96500
2018-03-30,13.7,13.7,12.75,12.9,151800
2018-04-06,12.81,13.11,11.64,12.29,188300
2018-04-13,12.3,13.98,12.09,13.63,353900
2018-04-20,13.57,14.29,13.25,13.88,222900
2018-04-27,13.92,14.2,12.9,13.97,167000
2018-05-04,13.92,14.1,13.0,13.74,118300
2018-05-11,13.71,14.25,13.43,14.0,146200
2018-05-18,14.0,14.2,13.47,14.09,222500
2018-05-25,14.12,14.12,12.86,13.17,152400
2018-06-01,13.19,13.76,13.19,13.44,80300
2018-06-08,13.46,13.69,12.85,13.0,100600
2018-06-15,13.03,13.15,12.4,12.56,98100
2018-06-22,12.43,13.39,11.81,12.35,308100
2018-06-29,12.38,13.06,2.17,2.45,3428100
