Date,Open,High,Low,Close,Volume
2015-03-27,28.49,28.52,25.5,26.64,2728100
2015-04-03,26.76,27.08,26.11,26.44,1799400
2015-04-10,26.18,26.8,25.91,26.46,1582700
2015-04-17,26.45,26.73,25.2,25.41,2075000
2015-04-24,25.64,26.25,23.43,23.6,2404200
2015-05-01,23.54,24.66,22.76,23.65,2299600
2015-05-08,23.75,23.88,22.77,23.25,1558800
2015-05-15,23.26,23.76,22.88,23.55,1308400
2015-05-22,23.54,24.34,23.18,23.63,1615700
2015-05-29,23.49,24.68,21.02,21.36,7083100
2015-06-05,21.35,21.89,21.14,21.62,3823500
2015-06-12,21.56,21.66,20.82,20.99,3723700
2015-06-19,20.84,21.54,20.55,21.47,3720300
2015-06-26,21.57,21.74,21.01,21.1,5326000
2015-07-03,20.93,21.12,19.54,19.95,11032700
2015-07-10,19.75,19.98,18.59,18.72,4111700
2015-07-17,18.83,19.04,18.18,18.41,2949400
2015-07-24,18.48,18.48,17.48,17.93,3211700
2015-07-31,17.78,18.31,17.4,17.59,2996300
2015-08-07,17.61,17.65,16.82,17.18,2156000
2015-08-14,17.25,17.89,16.6,17.13,2496500
2015-08-21,17.01,17.36,15.5,16.2,4470600
2015-08-28,15.7,17.23,15.37,17.02,3056700
2015-09-04,16.91,17.2,16.22,16.51,1916400
2015-09-11,16.85,17.47,16.59,16.95,1591700
2015-09-18,16.98,17.39,16.12,16.18,2432300
2015-09-25,16.36,16.63,14.62,15.07,3778100
2015-10-02,14.95,15.34,14.04,14.87,3816600
2015-10-09,15.04,17.0,15.04,16.73,2471500
2015-10-16,16.75,17.76,16.29,17.2,3048400
2015-10-23,17.17,17.78,16.94,17.74,2373200
2015-10-30,17.65,17.67,16.99,17.5,3099800
2015-11-06,17.52,19.22,17.35,19.12,2276500
2015-11-13,19.12,19.15,17.82,18.21,2382800
2015-11-20,18.71,19.54,18.05,19.29,4121000
2015-11-27,19.22,19.39,18.94,19.25,1707000
2015-12-04,19.38,20.37,19.33,20.04,1783400
2015-12-11,20.01,20.01,18.95,19.01,1415200
2015-12-18,18.98,19.88,18.53,18.84,3245500
2015-12-25,18.98,19.64,18.77,19.33,1637600
2016-01-01,19.22,19.46,18.82,18.92,1227500
2016-01-08,18.7,19.14,18.07,18.25,2472000
2016-01-15,18.41,19.18,17.81,18.62,2674400
2016-01-22,18.88,19.0,16.82,18.38,2953700
2016-01-29,18.3,20.14,17.88,20.1,4233400
2016-02-05,19.95,20.95,17.31,17.31,4061600
2016-02-12,17.05,17.1,15.7,16.25,2147100
2016-02-19,16.44,17.71,16.44,17.63,1265300
2016-02-26,17.85,18.92,17.14,18.59,1419100
2016-03-04,18.57,22.5,18.53,21.01,5125200
2016-03-11,21.0,21.27,20.03,20.9,2553200
2016-03-18,20.9,22.0,20.18,21.92,2211400
2016-03-25,21.91,22.22,20.85,21.45,1629100
2016-04-01,21.53,22.6,21.29,22.57,1928700
2016-04-08,22.49,22.65,21.74,21.93,1214500
2016-04-15,22.11,23.3,21.93,23.0,2091000
2016-04-22,23.0,23.48,22.27,22.75,1725600
2016-04-29,22.62,23.25,21.48,21.64,2290000
2016-05-06,21.77,22.05,21.0,21.67,1431800
2016-05-13,21.67,22.12,20.09,20.97,1208500
2016-05-20,21.07,21.45,20.16,21.23,1967900
2016-05-27,21.31,23.15,21.27,23.01,1388900
2016-06-03,23.11,24.68,23.03,23.9,2749500
2016-06-10,23.85,24.74,23.75,23.8,3202000
2016-06-17,23.62,24.44,23.42,24.08,1724800
2016-06-24,24.46,24.76,22.9,23.16,2743200
2016-07-01,22.82,24.17,21.35,23.67,2406100
2016-07-08,23.41,24.27,22.65,24.21,1228800
2016-07-15,24.35,24.84,24.16,24.44,1406300
2016-07-22,24.69,24.69,23.81,24.0,1360300
2016-07-29,23.98,25.68,23.88,25.42,2264300
2016-08-05,25.51,25.58,24.09,24.81,1932900
2016-08-12,24.9,25.51,24.71,25.48,1241700
2016-08-19,25.57,26.51,25.48,26.22,1357800
2016-08-26,26.05,26.68,25.88,26.21,1845900
2016-09-02,26.33,28.17,25.77,28.07,3140100
2016-09-09,27.99,27.99,25.93,26.11,1355600
2016-09-16,25.8,27.25,25.8,27.12,2015100
2016-09-23,27.23,28.0,26.87,27.58,1758200
2016-09-30,27.37,28.21,27.12,27.73,1578600
2016-10-07,27.6,28.17,27.14,27.53,2478800
2016-10-14,27.6,27.99,24.54,25.15,2461100
2016-10-21,25.05,25.35,24.5,24.75,1712700
2016-10-28,25.0,25.68,24.05,24.2,2000600
2016-11-04,24.25,24.85,22.81,24.43,2024600
2016-11-11,24.95,26.5,24.4,26.3,2116800
2016-11-18,26.45,27.75,25.8,27.75,2843400
2016-11-25,27.8,28.45,27.1,28.3,1178200
2016-12-02,28.4,31.85,27.55,30.3,4956400
2016-12-09,30.0,32.75,30.0,31.9,3112900
2016-12-16,31.85,33.25,30.6,32.2,2657400
2016-12-23,32.25,33.2,31.4,32.25,2330200
2016-12-30,32.15,32.7,31.2,31.55,1502400
2017-01-06,31.8,32.25,31.0,31.8,1435800
2017-01-13,31.7,33.15,31.4,32.9,1711400
2017-01-20,33.0,33.3,32.05,32.2,1794200
2017-01-27,32.0,33.9,31.85,33.7,2119800
2017-02-03,33.5,34.4,32.48,34.35,1837000
2017-02-10,34.2,34.7,33.08,33.6,1722700
2017-02-17,34.0,35.15,33.2,34.9,1672000
2017-02-24,35.05,36.15,33.98,34.4,1439300
2017-03-03,34.0,34.55,33.3,33.6,2244100
2017-03-10,33.5,37.35,33.05,34.35,5364000
2017-03-17,34.3,34.8,33.55,34.55,2725100
2017-03-24,34.5,35.0,33.23,34.35,2494800
2017-03-31,33.9,34.53,33.4,33.8,1862600
2017-04-07,33.95,34.05,32.2,33.45,2809900
2017-04-14,33.45,33.63,31.5,31.6,1921900
2017-04-21,31.85,33.95,31.8,33.55,2103500
2017-04-28,34.0,35.75,33.63,34.15,3243500
2017-05-05,34.15,35.0,33.45,34.05,1878100
2017-05-12,34.1,35.9,33.65,35.55,1688200
2017-05-19,35.75,37.0,34.5,35.25,1814100
2017-05-26,35.35,37.15,35.25,37.1,1111500
2017-06-02,37.05,38.4,35.3,37.05,3968400
2017-06-09,36.85,37.75,35.15,35.45,2336000
2017-06-16,35.05,36.7,34.1,35.7,3364100
2017-06-23,36.05,36.65,35.1,35.8,1988400
2017-06-30,36.0,36.35,34.6,35.75,2504000
2017-07-07,36.05,36.1,34.1,36.0,1548700
2017-07-14,36.0,37.7,35.65,37.35,2564700
2017-07-21,37.35,40.25,36.5,39.75,2259700
2017-07-28,39.8,41.15,39.1,39.75,2426300
2017-08-04,39.8,40.4,37.6,38.4,1814900
2017-08-11,38.45,39.5,37.55,38.2,2160200
2017-08-18,38.7,39.0,35.8,35.8,2286200
2017-08-25,35.75,38.55,35.35,37.45,2355300
2017-09-01,37.55,39.15,35.98,37.05,4425700
2017-09-08,36.7,37.8,35.85,35.9,2121000
2017-09-15,36.1,36.72,35.3,35.75,2278500
2017-09-22,35.9,36.2,34.9,35.4,2121400
2017-09-29,35.15,37.65,34.81,37.55,1880700
2017-10-06,37.6,38.45,37.05,38.3,1772600
2017-10-13,38.3,40.75,38.15,39.45,2493900
2017-10-20,39.6,40.25,37.65,38.35,1621100
2017-10-27,38.35,40.6,37.75,40.35,1739600
2017-11-03,40.3,41.95,38.1,38.25,2421400
2017-11-10,38.85,40.73,37.95,39.23,2216900
2017-11-17,38.68,39.4,37.15,38.65,1919700
2017-11-24,38.85,40.65,36.85,40.65,1586800
2017-12-01,40.3,40.3,32.95,34.05,6170100
2017-12-08,34.6,34.78,32.4,34.0,3459100
2017-12-15,34.1,34.9,33.1,34.4,3533800
2017-12-22,34.6,35.55,33.45,34.0,2453100
2017-12-29,33.6,34.7,33.3,34.2,1403800
2018-01-05,34.45,36.5,34.2,35.6,1487600
2018-01-12,35.5,39.15,35.2,38.8,3380000
2018-01-19,39.0,39.4,37.45,37.85,2836300
2018-01-26,37.9,38.45,36.08,36.45,2122100
2018-02-02,36.4,36.9,34.59,35.4,2116500
2018-02-09,35.1,35.85,31.3,32.8,4681200
