Date,Open,High,Low,Close,Volume
2015-03-27,47.13,47.15,45.31,45.79,2863800
2015-04-03,46.0,46.6,45.81,46.46,2974100
2015-04-10,46.1,48.02,46.1,47.8,3769100
2015-04-17,47.68,48.05,46.42,46.48,2735200
2015-04-24,46.68,48.11,46.68,47.61,2470500
2015-05-01,47.67,47.92,46.74,47.09,2578800
2015-05-08,47.1,48.09,46.44,47.98,2945800
2015-05-15,47.83,48.84,47.5,48.61,2668300
2015-05-22,48.44,49.94,47.84,49.35,4495300
2015-05-29,49.35,50.2,48.55,49.89,4100400
2015-06-05,50.15,50.77,49.54,50.74,3022100
2015-06-12,50.8,50.81,49.31,50.27,2466000
2015-06-19,50.06,50.73,49.05,50.15,3853100
2015-06-26,50.39,50.8,49.81,50.24,4329800
2015-07-03,50.14,51.0,49.57,49.92,4904500
2015-07-10,49.57,50.72,48.85,50.38,4317600
2015-07-17,50.66,51.35,50.43,50.67,3323900
2015-07-24,50.71,51.05,49.8,50.06,2401400
2015-07-31,49.66,51.1,49.13,50.84,2378500
2015-08-07,50.72,51.8,50.16,51.18,2669300
2015-08-14,51.32,51.8,50.24,51.64,3176500
2015-08-21,51.46,52.65,47.48,47.52,5514200
2015-08-28,45.37,47.5,43.46,47.1,5980500
2015-09-04,47.13,47.59,45.38,46.6,5004500
2015-09-11,47.39,48.2,46.02,47.88,3658800
2015-09-18,48.11,48.41,47.2,47.33,4172800
2015-09-25,47.39,48.05,46.55,46.8,4429900
2015-10-02,46.59,46.98,45.55,46.92,5169700
2015-10-09,47.18,48.23,47.15,48.04,3402000
2015-10-16,47.83,48.44,46.01,48.43,3172100
2015-10-23,48.35,49.94,47.54,49.72,3675100
2015-10-30,49.72,50.59,48.71,49.98,3873600
2015-11-06,50.09,51.54,49.48,51.53,2935300
2015-11-13,51.37,51.9,50.19,50.56,2254700
2015-11-20,50.48,52.78,47.73,48.23,5168500
2015-11-27,48.12,50.53,48.07,50.47,3339900
2015-12-04,50.94,50.94,46.27,47.37,7725600
2015-12-11,47.49,47.54,44.85,44.97,6238300
2015-12-18,44.91,45.96,44.7,44.77,5681400
2015-12-25,45.07,45.99,44.39,45.77,2492100
2016-01-01,45.55,47.0,45.55,45.61,2498300
2016-01-08,45.11,46.0,42.28,42.35,4388200
2016-01-15,42.63,43.02,39.92,40.96,6781200
2016-01-22,41.26,41.74,39.26,41.7,4190800
2016-01-29,41.55,42.9,41.0,42.9,5174600
2016-02-05,42.62,43.42,41.21,41.66,5120800
2016-02-12,41.14,42.3,40.36,41.92,6942300
2016-02-19,42.43,46.4,42.26,44.48,7264100
2016-02-26,44.93,45.39,43.17,45.2,5699700
2016-03-04,45.16,46.67,44.55,46.22,5363400
2016-03-11,45.95,46.36,44.07,46.2,3919700
2016-03-18,46.0,47.82,45.9,47.78,4459900
2016-03-25,47.58,48.14,47.11,47.87,2719900
2016-04-01,47.8,49.3,47.17,49.28,4938100
2016-04-08,49.28,49.37,47.86,48.24,3847500
2016-04-15,48.39,48.69,47.35,48.38,2870000
2016-04-22,48.22,49.35,47.85,49.05,3270300
2016-04-29,49.04,49.19,47.21,47.52,4457400
2016-05-06,47.52,48.81,46.68,47.86,2804600
2016-05-13,47.75,48.69,47.73,47.91,2381500
2016-05-20,48.16,50.05,47.47,49.92,5323200
2016-05-27,49.82,51.78,49.34,51.75,4709800
2016-06-03,51.76,52.42,50.67,52.03,2922300
2016-06-10,52.4,53.46,52.23,52.5,4485200
2016-06-17,52.15,52.76,51.14,52.46,4877000
2016-06-24,52.81,53.95,51.68,52.08,5363700
2016-07-01,51.74,54.46,50.97,53.77,5290300
2016-07-08,53.35,54.59,53.02,54.25,3708700
2016-07-15,54.59,55.21,54.38,54.42,4257100
2016-07-22,54.3,55.0,54.09,54.81,4052800
2016-07-29,54.9,55.0,53.8,54.16,4869300
2016-08-05,54.32,55.17,53.53,55.16,3562100
2016-08-12,55.16,55.95,54.97,55.74,2846900
2016-08-19,55.85,58.68,55.44,58.59,5560700
2016-08-26,58.36,59.29,58.12,59.14,3761400
2016-09-02,59.09,59.8,58.66,59.67,4539500
2016-09-09,59.5,60.0,58.32,58.32,2900700
2016-09-16,57.98,59.13,57.43,58.0,4288300
2016-09-23,58.09,59.8,57.72,59.38,3603700
2016-09-30,58.99,59.94,58.84,59.35,3595500
2016-10-07,59.3,60.02,58.52,59.26,4066300
2016-10-14,59.7,61.36,58.2,59.75,3604500
2016-10-21,59.76,60.43,58.75,59.13,2830800
2016-10-28,59.37,59.95,58.15,58.37,2843500
2016-11-04,58.58,59.44,57.55,57.65,3627200
2016-11-11,58.66,59.9,57.62,59.63,4533500
2016-11-18,61.9,62.0,59.75,61.11,4609800
2016-11-25,61.28,61.69,60.84,61.56,2160600
2016-12-02,61.33,61.58,56.03,57.11,6045500
2016-12-09,57.4,59.54,57.18,58.9,5284700
2016-12-16,58.6,61.05,58.58,60.11,5434100
2016-12-23,60.36,60.72,59.04,59.76,2837700
2016-12-30,59.73,60.27,58.74,58.86,2091400
2017-01-06,59.27,60.32,59.04,60.0,3115200
2017-01-13,59.82,61.44,59.63,61.34,2421800
2017-01-20,61.05,61.5,60.44,60.77,2252700
2017-01-27,60.58,62.95,60.41,62.5,2513900
2017-02-03,62.03,65.23,61.56,64.9,3936300
2017-02-10,64.94,65.62,64.53,65.29,4265100
2017-02-17,65.57,73.08,65.31,70.51,6388200
2017-02-24,70.05,72.08,68.79,72.06,4008900
2017-03-03,71.82,72.63,70.5,71.03,4571000
2017-03-10,70.7,71.89,70.5,71.83,2905400
2017-03-17,71.8,72.28,69.42,71.14,37790400
2017-03-24,71.13,72.14,70.42,71.15,4716700
2017-03-31,70.77,72.42,70.37,72.13,4199100
