Date,Open,High,Low,Close,Volume
2015-04-03,50.2,51.19,49.1,51.05,6878800
2015-04-10,51.25,52.46,51.16,52.35,4717500
2015-04-17,52.19,52.52,51.26,51.68,7652900
2015-04-24,51.47,52.1,50.98,51.75,7080300
2015-05-01,52.77,53.0,50.39,51.29,8110000
2015-05-08,51.5,51.85,48.89,49.99,6109200
2015-05-15,49.49,50.94,49.35,50.52,7552100
2015-05-22,50.21,51.44,50.03,50.73,3654200
2015-05-29,50.09,50.94,48.89,49.41,4828200
2015-06-05,49.57,52.07,48.92,49.57,6307300
2015-06-12,49.52,51.41,48.97,50.6,16612600
2015-06-19,49.28,49.98,48.23,49.07,12573400
2015-06-26,51.06,52.4,50.87,51.88,11115600
2015-07-03,50.18,50.64,49.08,49.47,5683600
2015-07-10,48.01,51.95,47.1,51.49,8218200
2015-07-17,52.44,53.93,52.1,53.6,6662800
2015-07-24,53.76,54.09,52.86,53.54,9593500
2015-07-31,53.47,54.25,52.46,53.99,4946200
2015-08-07,54.09,54.96,53.43,53.88,5933600
2015-08-14,54.31,54.98,52.12,52.48,4174500
2015-08-21,52.23,52.83,49.51,49.51,6185600
2015-08-28,47.93,50.29,46.89,49.28,12395000
2015-09-04,49.42,50.18,47.82,48.45,6225600
2015-09-11,49.85,50.94,49.4,50.23,3745100
2015-09-18,49.93,51.35,49.31,49.32,3615900
2015-09-25,50.2,50.3,47.05,47.49,6098900
2015-10-02,47.44,48.34,46.02,48.27,9200000
2015-10-09,49.27,49.41,47.7,48.75,9186600
2015-10-16,49.07,50.54,48.42,50.54,4666100
2015-10-23,50.41,51.25,48.7,51.11,6522400
2015-10-30,50.75,51.88,48.39,50.34,5247600
2015-11-06,50.82,50.95,46.25,46.6,9717500
2015-11-13,45.52,45.55,42.86,42.99,12275500
2015-11-20,43.09,44.6,42.79,44.19,11814800
2015-11-27,44.01,44.51,43.22,44.31,6272000
2015-12-04,44.65,44.76,42.61,43.35,7452100
2015-12-11,43.85,43.9,41.7,41.85,6356400
2015-12-18,42.01,43.75,41.13,42.64,8527900
2015-12-25,43.24,43.78,42.4,43.15,4653900
2016-01-01,43.16,43.92,42.63,42.65,4230700
2016-01-08,42.28,42.34,40.31,40.4,11258700
2016-01-15,40.77,40.78,38.58,38.61,10830400
2016-01-22,40.73,41.47,39.35,41.44,9424500
2016-01-29,41.15,42.1,40.55,41.64,8117900
2016-02-05,41.46,41.88,39.71,39.82,8911800
2016-02-12,39.09,39.56,38.13,38.98,12420900
2016-02-19,38.79,39.6,38.55,39.03,8592300
2016-02-26,39.27,40.82,37.63,40.15,10683500
2016-03-04,39.56,40.22,38.95,39.81,5670900
2016-03-11,39.27,41.46,39.22,41.46,7662000
2016-03-18,41.53,41.75,39.82,39.99,9854500
2016-03-25,39.9,40.06,38.51,38.87,7538100
2016-04-01,39.0,40.83,38.75,40.33,22936400
2016-04-08,42.14,42.81,40.98,42.36,10059000
2016-04-15,42.58,44.34,41.7,43.77,14267700
2016-04-22,43.49,44.5,43.46,44.2,6029300
2016-04-29,44.32,44.42,40.72,41.1,10062600
2016-05-06,41.55,41.73,38.62,38.95,7861600
2016-05-13,39.27,40.19,39.15,39.16,10340300
2016-05-20,39.26,40.03,38.56,39.94,7230100
