Date,Open,High,Low,Close,Volume
2015-04-03,21.18,21.85,21.0,21.44,5901303
2015-04-10,21.49,21.92,20.81,20.87,6661750
2015-04-17,20.82,21.63,20.82,21.05,7222057
2015-04-24,21.2,21.42,20.65,20.7,10309113
2015-05-01,20.71,21.48,18.88,20.03,26724829
2015-05-08,20.05,20.17,19.04,19.17,10270197
2015-05-15,19.24,19.91,19.02,19.35,10500515
2015-05-22,19.3,19.62,18.93,19.24,7802221
2015-05-29,19.09,19.19,18.47,18.71,13725364
2015-06-05,18.8,19.1,18.5,18.69,8760821
2015-06-12,18.65,18.76,18.04,18.25,8351807
2015-06-19,18.08,18.22,17.64,17.86,8101237
2015-06-26,18.0,18.27,17.65,17.84,7848286
2015-07-03,17.66,18.59,17.28,18.04,17066167
2015-07-10,17.86,18.02,16.87,16.87,13908428
2015-07-17,16.99,17.42,16.83,17.0,9394989
2015-07-24,17.0,17.04,16.01,16.03,10142729
2015-07-31,15.84,17.13,15.66,16.47,14124450
2015-08-07,16.39,16.43,15.85,16.26,9558990
2015-08-14,16.39,16.89,16.3,16.52,8342277
2015-08-21,16.39,16.39,14.71,14.74,8698873
2015-08-28,13.1,14.86,13.1,14.81,10556507
2015-09-04,14.73,14.88,13.49,13.7,11520268
2015-09-11,14.0,14.62,13.57,13.78,11936032
2015-09-18,13.77,14.48,13.55,13.66,16948625
2015-09-25,13.63,13.85,12.06,12.45,41274971
2015-10-02,12.31,12.49,11.44,12.21,9167700
2015-10-09,11.13,12.89,11.02,12.48,8147200
2015-10-16,12.52,12.69,11.46,11.64,4605800
2015-10-23,11.55,12.31,11.35,12.19,4665500
2015-10-30,12.24,12.52,11.78,12.25,5039100
2015-11-06,12.24,12.98,11.38,11.44,5714200
2015-11-13,11.44,11.68,10.64,10.74,3754300
2015-11-20,10.73,11.11,10.49,10.9,3251200
2015-11-27,10.94,11.14,10.67,11.05,1489100
2015-12-04,11.03,11.14,9.83,9.84,3132700
2015-12-11,9.78,9.95,8.22,8.68,3882200
2015-12-18,8.63,9.34,8.45,9.31,5918600
2015-12-25,9.39,9.53,9.09,9.44,1876200
2016-01-01,9.38,9.56,9.1,9.33,1778300
2016-01-08,9.22,9.8,7.99,8.23,6460700
2016-01-15,8.29,8.56,7.62,8.01,4694400
2016-01-22,8.07,8.69,7.74,8.36,3966400
2016-01-29,8.25,9.66,8.1,9.3,4851700
2016-02-05,9.16,10.25,8.39,9.86,4206000
2016-02-12,9.56,9.66,8.47,8.8,3521200
2016-02-19,8.89,9.57,8.71,9.17,2482900
2016-02-26,9.36,11.99,9.21,11.16,4317300
2016-03-04,11.27,13.29,11.19,13.02,3916400
2016-03-11,13.08,14.06,11.8,13.15,2923100
2016-03-18,13.05,14.09,12.72,13.84,2867600
2016-03-25,13.65,14.16,13.34,14.09,1432200
2016-04-01,14.45,15.52,13.73,15.45,2926300
2016-04-08,15.46,16.05,14.94,15.8,2433000
2016-04-15,16.05,17.18,15.75,16.91,2657000
2016-04-22,16.86,17.33,16.49,17.2,1941000
2016-04-29,17.18,17.22,15.89,16.1,2369400
2016-05-06,16.15,16.53,15.01,16.31,2871900
2016-05-13,16.3,16.41,15.7,15.92,2101200
2016-05-20,16.11,16.32,14.84,15.29,1777000
2016-05-27,15.2,16.56,15.07,16.34,1527300
2016-06-03,16.34,16.7,15.66,15.8,1744500
2016-06-10,15.92,16.6,15.31,15.5,1450800
2016-06-17,15.3,15.5,14.67,15.25,1857700
2016-06-24,15.55,16.35,14.71,14.82,5725000
2016-07-01,14.54,15.18,14.0,14.74,2382400
2016-07-08,14.61,15.13,14.05,15.11,1601100
2016-07-15,15.31,16.05,15.19,16.05,1747100
2016-07-22,15.94,16.06,15.37,15.44,1128900
2016-07-29,15.34,15.61,15.07,15.14,1193500
2016-08-05,15.12,18.69,14.43,17.76,2355500
2016-08-12,17.88,18.82,17.79,18.27,1328700
2016-08-19,18.42,18.67,18.15,18.62,942300
2016-08-26,18.48,19.31,18.29,19.02,1346400
2016-09-02,19.03,20.17,18.76,20.02,1587000
2016-09-09,20.09,20.52,19.3,19.31,1520700
2016-09-16,19.1,19.73,19.08,19.44,1404500
2016-09-23,19.6,20.55,19.24,19.77,964300
2016-09-30,19.58,20.45,19.22,20.14,903600
2016-10-07,20.15,20.42,19.56,20.26,1236700
2016-10-14,20.44,20.5,19.59,19.79,1171100
2016-10-21,19.76,20.19,19.43,19.99,730600
2016-10-28,20.15,20.38,18.89,18.93,940200
2016-11-04,19.0,19.16,15.49,18.07,1622700
2016-11-11,18.5,20.93,18.01,20.81,1842700
2016-11-18,21.0,23.21,20.89,23.2,1983200
2016-11-25,23.89,25.95,23.34,25.2,1459700
2016-12-02,25.56,25.66,23.9,24.46,1974800
2016-12-09,24.89,25.37,24.25,24.76,1860300
2016-12-16,24.86,25.02,23.25,23.27,2082300
2016-12-23,23.29,24.82,23.29,24.08,977000
2016-12-30,24.1,24.42,23.51,23.72,678400
2017-01-06,24.12,25.07,23.81,24.57,942500
2017-01-13,24.37,25.42,23.99,24.83,1380500
2017-01-20,24.68,24.83,23.55,24.11,848300
2017-01-27,24.06,25.27,23.69,24.88,707100
2017-02-03,24.57,25.5,23.75,25.48,944400
2017-02-10,25.28,25.3,23.92,24.73,763300
2017-02-17,24.88,25.46,24.42,24.84,909900
2017-02-24,25.0,27.14,24.22,26.92,1510200
2017-03-03,26.92,28.13,26.16,26.51,2227800
2017-03-10,26.1,26.64,23.97,24.56,1292000
2017-03-17,24.57,24.91,23.66,24.73,1226100
2017-03-24,24.61,25.51,23.15,23.35,1211100
2017-03-31,22.82,24.91,22.56,24.25,1362700
2017-04-07,24.37,24.58,23.62,24.35,1240300
2017-04-14,24.33,24.49,22.18,22.2,1273300
2017-04-21,22.38,24.02,21.97,23.63,1656500
2017-04-28,24.24,25.05,23.79,24.06,1724500
2017-05-05,24.17,28.46,23.59,28.29,1869000
2017-05-12,28.25,28.93,26.97,27.73,1896800
2017-05-19,27.97,28.32,25.89,26.35,1646600
2017-05-26,26.54,26.59,24.52,25.13,1371100
2017-06-02,24.9,25.77,23.6,25.28,2154600
2017-06-09,25.24,25.28,24.08,24.86,1198600
2017-06-16,24.88,25.37,24.25,24.91,1179700
2017-06-23,25.08,25.27,24.26,24.96,2239400
2017-06-30,25.05,25.46,24.48,25.16,1266200
2017-07-07,25.35,25.64,24.85,25.62,638900
2017-07-14,25.52,27.63,25.33,27.57,1450300
2017-07-21,27.58,29.25,27.23,28.49,1290400
2017-07-28,28.4,28.59,27.24,27.45,1082800
2017-08-04,27.6,28.75,24.04,26.87,2331100
2017-08-11,26.89,27.1,25.34,25.6,2615900
2017-08-18,25.82,25.82,24.0,24.14,1610400
2017-08-25,24.12,24.14,23.49,23.78,1400000
2017-09-01,23.85,24.58,23.41,24.58,1080800
2017-09-08,24.57,24.83,23.94,24.74,775700
2017-09-15,25.02,26.32,24.48,26.32,1259200
2017-09-22,26.38,27.52,26.36,27.17,1137800
2017-09-29,27.17,29.55,27.17,29.34,1582700
2017-10-06,29.38,30.37,28.42,29.13,1362600
2017-10-13,29.38,29.64,28.88,29.23,869400
2017-10-20,29.42,30.15,28.53,29.56,867800
2017-10-27,29.6,30.18,28.65,30.05,810600
2017-11-03,29.89,32.71,28.09,31.47,1282500
2017-11-10,31.46,31.95,30.17,30.58,1018000
2017-11-17,30.28,30.36,29.36,29.98,837800
2017-11-24,30.09,31.35,29.75,30.74,503100
2017-12-01,30.73,32.2,30.36,31.57,906800
2017-12-08,32.08,32.29,30.62,30.98,667300
2017-12-15,31.22,31.34,29.93,30.69,1165500
2017-12-22,31.04,32.0,30.82,31.6,881000
2017-12-29,31.39,32.02,31.21,31.39,783100
2018-01-05,31.65,33.18,31.58,32.5,781300
2018-01-12,32.48,33.18,31.69,32.93,643100
2018-01-19,33.17,33.75,32.22,33.05,617700
2018-01-26,33.04,33.93,31.98,32.35,1396700
2018-02-02,32.18,32.65,30.84,31.0,1207100
2018-02-09,30.76,31.16,28.58,29.34,1466300
2018-02-16,29.5,31.36,28.38,30.94,1449200
2018-02-23,30.9,33.28,30.9,32.21,1390100
2018-03-02,32.31,33.26,29.69,30.45,1831000
2018-03-09,30.23,31.93,29.45,31.91,877400
2018-03-16,31.95,32.17,30.49,31.43,1148400
2018-03-23,31.38,32.3,30.58,31.32,1234400
2018-03-30,31.87,32.61,31.56,32.48,1287900
2018-04-06,32.42,32.66,31.08,31.66,1415500
2018-04-13,31.93,32.99,31.12,32.58,1266800
2018-04-20,32.88,33.41,32.1,32.15,1092100
2018-04-27,32.35,32.99,30.95,31.71,901500
2018-05-04,31.75,32.43,30.35,31.74,1270200
2018-05-11,31.89,33.97,31.89,33.63,1050000
2018-05-18,33.79,35.29,33.3,34.89,1125400
2018-05-25,35.13,35.72,34.63,34.84,879300
2018-06-01,34.57,34.76,34.0,34.22,992200
2018-06-08,34.37,36.21,34.3,36.15,975300
2018-06-15,36.34,37.96,36.34,36.86,1664100
2018-06-22,36.6,36.95,34.88,35.48,1230100
2018-06-29,35.29,36.21,34.74,35.05,790800
2018-07-06,34.76,36.54,34.39,36.48,711600
2018-07-13,36.66,37.03,35.67,36.61,1609300
2018-07-20,36.65,36.83,36.07,36.3,863900
2018-07-27,36.19,37.14,35.51,36.49,657200
2018-08-03,36.51,39.28,36.06,36.49,1353500
2018-08-10,36.59,37.3,34.79,34.8,887000
2018-08-17,34.81,35.25,33.69,34.63,556200
2018-08-24,34.77,35.59,33.95,34.35,767100
2018-08-31,34.55,34.81,33.71,33.99,796200
2018-09-07,33.94,34.31,33.07,33.42,698100
2018-09-14,33.61,34.85,33.34,34.65,771900
2018-09-21,34.62,35.9,34.24,34.75,1166300
2018-09-28,34.72,34.72,33.22,33.31,1147500
2018-10-05,33.56,33.71,31.68,32.16,912700
2018-10-12,32.05,32.51,29.26,29.75,927000
2018-10-19,29.68,30.87,29.36,30.2,1272000
2018-10-26,30.19,30.75,29.14,29.59,1286800
2018-11-02,30.13,30.77,28.21,28.48,1576100
2018-11-09,28.37,29.62,28.37,29.37,1354400
2018-11-16,29.37,30.19,29.17,29.88,1378100
2018-11-23,29.89,30.0,29.15,29.62,782300
2018-11-30,29.8,30.02,28.69,29.58,1417400
2018-12-07,29.99,30.45,26.35,27.02,1086400
2018-12-14,26.89,28.23,26.28,26.87,1207700
2018-12-21,26.84,27.66,26.13,26.25,3128000
2018-12-28,26.02,27.81,25.22,27.52,950300
2019-01-04,27.69,28.01,26.21,26.87,1238100
2019-01-11,26.87,29.41,26.87,29.25,1042800
2019-01-18,29.03,30.4,28.15,30.2,1249400
2019-01-25,29.89,30.09,28.69,29.31,932700
2019-02-01,28.91,30.11,28.72,30.08,1116100
2019-02-08,30.04,31.33,29.82,30.46,949800
2019-02-15,30.54,36.79,30.17,35.72,1811000
2019-02-22,35.75,37.9,35.55,36.9,2383200
2019-03-01,37.53,38.22,35.99,36.48,1302500
2019-03-08,36.48,36.6,34.76,35.28,1282400
2019-03-15,35.28,35.9,34.94,35.0,1126400
2019-03-22,35.01,35.74,33.79,33.81,883100
2019-03-29,33.75,34.95,33.75,34.79,920800
2019-04-05,35.1,36.0,35.01,35.76,909300
2019-04-12,35.53,36.87,34.8,36.7,1107300
2019-04-19,36.74,37.25,36.61,36.88,804900
