Date,Open,High,Low,Close,Volume
2015-04-03,17.49,18.94,17.26,18.33,3229197
2015-04-10,18.4,18.89,18.26,18.51,2779061
2015-04-17,18.55,20.99,18.5,20.02,4684969
2015-04-24,20.14,21.47,19.02,21.36,7806022
2015-05-01,21.39,22.14,20.74,21.91,3138821
2015-05-08,21.74,21.86,20.47,20.89,2269054
2015-05-15,20.93,21.1,20.5,20.93,1210012
2015-05-22,20.9,21.0,19.68,19.97,2728534
2015-05-29,19.86,19.86,18.89,19.02,1523246
2015-06-05,19.07,19.07,18.19,18.57,2061497
2015-06-12,18.52,18.92,18.41,18.51,2225509
2015-06-19,18.43,18.63,15.7,16.0,5345022
2015-06-26,16.17,16.65,15.76,15.93,4193343
2015-07-03,15.95,15.95,15.1,15.72,2540900
2015-07-10,15.53,15.53,13.42,13.97,3168501
2015-07-17,14.1,14.42,13.76,13.91,2420227
2015-07-24,13.92,14.05,12.59,12.72,2416018
2015-07-31,12.59,13.4,12.32,13.15,4222510
2015-08-07,13.15,14.0,12.96,13.34,3192018
2015-08-14,13.42,14.22,13.22,13.63,2261248
2015-08-21,13.62,13.94,13.52,13.64,2497458
2015-08-28,12.87,15.25,12.7,15.08,5225068
2015-09-04,15.02,16.28,14.63,16.11,4232781
2015-09-11,16.42,16.91,15.91,16.21,2396607
2015-09-18,16.18,17.11,15.89,15.97,2549733
2015-09-25,16.11,16.15,14.48,15.19,2868924
2015-10-02,15.12,15.41,13.88,15.39,3482455
2015-10-09,15.59,17.26,15.58,17.09,3381090
2015-10-16,17.12,17.45,16.31,16.48,2540489
2015-10-23,16.37,18.41,16.13,18.37,3773198
2015-10-30,18.04,19.53,17.96,18.87,3788294
2015-11-06,18.9,19.33,18.36,18.77,2622547
2015-11-13,18.7,19.42,17.78,19.21,2817883
2015-11-20,19.13,19.24,17.23,17.39,3664952
2015-11-27,17.33,17.59,16.65,16.91,1488841
2015-12-04,16.92,17.22,15.22,16.15,2768895
2015-12-11,16.07,16.09,14.63,14.72,1371251
2015-12-18,14.68,17.59,14.31,16.69,3286709
2015-12-25,16.75,18.54,16.75,18.34,1985601
2016-01-01,18.17,19.15,17.87,18.51,3054195
2016-01-08,18.07,18.5,16.2,16.24,2455147
2016-01-15,16.23,16.54,15.37,16.0,2347003
2016-01-22,16.22,16.22,14.87,15.98,2912469
2016-01-29,15.59,15.81,14.51,15.8,1761510
2016-02-05,15.61,16.09,14.9,15.58,2135543
2016-02-12,15.34,15.64,14.62,15.34,1389736
2016-02-19,15.58,17.08,15.35,16.7,1588768
2016-02-26,17.03,17.72,16.33,17.48,1622968
2016-03-04,17.45,18.82,17.22,18.1,2963511
2016-03-11,18.09,19.56,17.59,19.28,3487795
2016-03-18,19.09,20.39,18.7,20.05,3063851
2016-03-25,20.02,20.72,19.82,19.93,3206192
2016-04-01,20.05,20.64,19.38,19.98,2348852
2016-04-08,19.98,20.14,19.03,19.26,1744051
2016-04-15,19.41,21.17,19.23,20.39,3608365
2016-04-22,20.31,23.03,20.16,21.14,4860484
2016-04-29,21.01,21.19,20.05,20.83,3443971
2016-05-06,21.0,21.39,20.31,21.2,2425400
2016-05-13,21.13,21.89,19.46,21.02,3417100
2016-05-20,21.22,22.98,19.91,22.76,5112100
2016-05-27,22.73,23.16,21.95,22.05,4362200
2016-06-03,22.21,22.86,20.92,22.79,4287500
2016-06-10,23.35,24.88,22.99,23.85,3455300
2016-06-17,23.32,24.38,23.08,24.0,3058900
2016-06-24,24.51,24.97,23.61,24.0,3171300
2016-07-01,23.57,25.53,23.14,25.28,3765900
