Date,Open,High,Low,Close,Volume
2015-04-03,30.86,31.6,30.66,31.22,2772400
2015-04-10,31.1,32.1,30.84,31.47,3992200
2015-04-17,31.49,32.07,30.9,31.1,3200400
2015-04-24,31.29,32.6,31.12,31.81,3426400
2015-05-01,32.01,32.01,27.83,30.09,6095400
2015-05-08,30.1,30.32,28.78,29.68,2708800
2015-05-15,29.64,30.39,29.45,29.82,2071800
2015-05-22,29.8,30.86,29.72,30.04,1564000
2015-05-29,29.98,30.25,29.37,29.47,1905400
2015-06-05,29.65,30.62,29.48,30.27,3023000
2015-06-12,30.04,30.67,28.94,30.58,2776800
2015-06-19,30.41,32.4,29.92,32.4,17717800
2015-06-26,32.44,32.5,31.68,31.75,19491800
2015-07-03,31.6,31.92,30.59,31.42,4198200
2015-07-10,31.28,32.22,30.76,32.18,4038200
2015-07-17,32.33,32.76,32.19,32.56,3920200
2015-07-24,32.55,32.89,31.85,31.97,4069000
2015-07-31,32.24,34.2,31.72,34.01,5856400
2015-08-07,34.0,35.29,33.44,33.94,4519600
2015-08-14,34.03,34.54,33.24,34.4,3108800
2015-08-21,34.17,37.75,33.85,33.88,6502600
2015-08-28,32.5,34.53,31.67,34.53,7699400
2015-09-04,34.3,34.52,33.17,33.44,4141000
2015-09-11,33.78,34.74,33.44,34.72,3319200
2015-09-18,34.3,35.84,34.3,35.56,4640000
2015-09-25,35.65,36.95,35.03,35.33,6741800
2015-10-02,35.22,35.97,33.38,35.92,6206800
2015-10-09,36.17,36.82,35.6,36.6,4885200
2015-10-16,36.81,36.92,35.14,36.03,3211800
2015-10-23,36.04,37.25,35.76,36.67,3341400
2015-10-30,36.65,37.41,36.26,37.08,4254800
2015-11-06,37.1,38.6,35.04,35.86,9106000
2015-11-13,35.69,35.85,34.34,34.94,4825000
2015-11-20,34.86,37.31,34.66,37.06,5734400
2015-11-27,36.94,37.33,35.43,35.87,4760800
2015-12-04,35.92,36.33,34.85,35.9,4423600
2015-12-11,35.78,36.19,33.08,33.42,5238000
2015-12-18,33.24,35.06,32.74,33.4,6220000
2015-12-25,33.53,34.46,32.7,34.08,3638600
2016-01-01,34.03,34.58,33.54,34.13,2142600
2016-01-08,33.5,33.92,30.48,30.76,6870200
2016-01-15,30.91,32.0,28.79,30.83,11110600
2016-01-22,31.19,31.79,30.44,30.8,7085200
2016-01-29,30.73,32.15,29.77,32.15,7425800
2016-02-05,32.1,32.38,28.04,28.77,8119600
2016-02-12,28.24,28.52,23.61,26.51,20669600
2016-02-19,26.83,29.25,26.81,29.15,7182400
2016-02-26,29.69,29.99,28.28,29.85,5397000
2016-03-04,29.77,31.3,29.08,30.68,7966800
2016-03-11,30.57,30.92,29.01,30.33,6624200
2016-03-18,30.16,32.0,29.85,31.18,7026000
2016-03-25,31.2,31.43,30.19,30.49,2994200
2016-04-01,30.45,32.25,30.2,32.11,6536000
2016-04-08,32.03,32.24,30.67,31.31,4922600
2016-04-15,31.43,31.75,29.89,30.05,8150400
2016-04-22,29.93,30.9,29.62,30.64,4961000
2016-04-29,30.44,31.38,30.25,30.58,4666000
2016-05-06,30.77,31.48,28.12,28.93,14872000
2016-05-13,28.95,30.17,28.58,29.3,10322400
2016-05-20,29.29,29.99,29.08,29.9,5380000
2016-05-27,29.84,30.92,29.15,30.77,4515600
2016-06-03,30.77,31.0,30.2,30.49,4439600
2016-06-10,30.62,30.96,29.31,29.32,4029000
2016-06-17,29.24,29.89,28.69,28.88,5072400
2016-06-24,29.15,29.75,27.47,27.47,7239200
2016-07-01,27.23,29.0,26.15,28.51,6429100
2016-07-08,28.33,29.84,28.16,29.64,5926800
2016-07-15,29.84,31.24,29.58,30.6,5037500
2016-07-22,30.76,30.93,30.29,30.85,4316500
2016-07-29,30.87,32.97,30.77,32.22,11961400
2016-08-05,32.19,32.47,30.64,32.45,6866200
2016-08-12,32.46,32.47,31.28,31.98,3747200
2016-08-19,32.08,32.69,31.3,31.45,4348300
2016-08-26,31.29,32.39,30.78,32.3,3516400
2016-09-02,32.26,33.74,32.17,33.51,4533100
2016-09-09,33.46,34.19,32.75,32.79,4440200
2016-09-16,32.64,33.89,31.26,31.34,6887000
2016-09-23,31.38,32.55,31.34,32.18,4485900
2016-09-30,31.84,33.3,31.68,32.15,4582400
2016-10-07,32.17,33.32,32.02,32.75,4104600
2016-10-14,32.87,33.15,31.09,31.82,2789600
2016-10-21,31.88,32.34,31.18,32.18,3211900
2016-10-28,32.27,33.5,31.26,31.51,9105800
2016-11-04,31.6,32.32,31.22,31.24,5268400
2016-11-11,31.78,32.24,30.57,31.16,6592300
2016-11-18,31.07,33.1,30.88,32.62,4522900
2016-11-25,32.85,32.99,31.06,31.69,4314500
2016-12-02,31.48,31.76,28.71,28.98,14479600
2016-12-09,29.02,29.7,28.61,29.24,7999900
2016-12-16,29.07,29.49,28.63,29.44,6934800
2016-12-23,29.37,29.71,28.55,28.94,4354900
2016-12-30,29.09,29.26,28.43,28.6,3155100
2017-01-06,28.73,30.2,28.51,29.92,6704200
2017-01-13,29.98,31.66,29.54,31.43,5085800
2017-01-20,31.28,31.51,30.87,31.29,2969300
2017-01-27,31.19,32.43,30.82,32.3,3011900
2017-02-03,32.19,32.75,31.4,32.51,3620700
2017-02-10,32.54,33.48,32.13,32.81,3371400
2017-02-17,32.92,37.48,32.27,35.43,13716600
2017-02-24,35.1,36.19,34.89,35.53,5368400
2017-03-03,34.64,35.68,33.06,35.16,5083300
2017-03-10,35.01,36.55,34.76,36.51,6506100
2017-03-17,36.49,36.71,35.75,36.14,3904100
2017-03-24,36.11,36.43,35.37,35.61,4503600
2017-03-31,35.31,36.03,34.83,35.4,2994500
2017-04-07,35.58,35.79,34.75,34.81,5586500
2017-04-14,34.77,36.02,34.77,35.64,3180400
2017-04-21,35.74,37.07,35.63,36.68,6003300
2017-04-28,37.17,37.97,36.6,36.74,6264600
2017-05-05,36.85,37.49,36.37,37.4,6213300
2017-05-12,37.22,37.84,36.62,36.72,4329600
2017-05-19,36.76,38.18,36.43,36.94,6822100
2017-05-26,36.98,37.85,36.8,37.18,8458900
2017-06-02,37.04,38.75,36.9,38.66,14086600
2017-06-09,38.66,39.17,36.84,37.23,5593700
2017-06-16,37.01,38.85,35.85,38.33,8645700
2017-06-23,38.68,39.32,38.3,38.84,3256700
2017-06-30,38.97,39.23,37.67,38.41,3486600
2017-07-07,38.42,39.11,37.72,39.09,3664900
2017-07-14,39.08,39.99,38.6,39.84,3780900
2017-07-21,39.96,39.99,39.15,39.59,2791100
2017-07-28,39.58,40.21,38.9,39.21,4658000
2017-08-04,39.36,39.47,37.88,37.94,5655600
2017-08-11,37.96,38.58,36.48,37.63,5138300
2017-08-18,37.97,38.04,36.77,37.33,3034100
2017-08-25,37.3,38.4,37.08,37.86,2312600
2017-09-01,37.95,39.17,37.7,38.7,2773100
2017-09-08,38.6,39.14,38.28,38.5,2720300
2017-09-15,38.71,39.01,37.45,38.04,4828300
2017-09-22,38.02,38.82,37.72,38.6,3007300
2017-09-29,38.62,40.53,38.48,40.15,5543800
2017-10-06,40.13,41.22,40.06,40.91,4619600
2017-10-13,40.92,41.38,40.48,40.97,3582400
2017-10-20,41.06,42.13,40.76,41.98,4708400
2017-10-27,42.06,42.48,39.22,40.61,7576400
2017-11-03,40.32,40.95,39.36,40.55,4394200
2017-11-10,40.39,40.9,39.7,39.86,2480700
2017-11-17,39.78,40.39,39.15,39.94,2428600
2017-11-24,40.14,41.1,39.61,40.88,1714300
2017-12-01,40.8,41.63,40.05,40.97,2829300
2017-12-08,41.1,41.18,39.97,40.63,3652200
2017-12-15,40.59,42.5,40.33,41.0,5470500
2017-12-22,41.29,41.46,40.07,40.44,6207300
2017-12-29,40.3,40.78,39.73,40.48,2040200
2018-01-05,40.68,41.87,40.17,41.85,2904500
2018-01-12,41.62,51.39,41.45,49.47,26276500
2018-01-19,49.15,50.29,47.72,49.98,10836200
2018-01-26,50.04,50.77,49.69,50.14,10811100
2018-02-02,50.06,50.73,48.68,48.94,5080800
2018-02-09,48.58,49.97,45.7,48.15,7694800
2018-02-16,48.67,51.15,48.21,50.0,6116700
2018-02-23,49.76,51.18,49.01,50.49,5853000
2018-03-02,50.48,50.69,48.13,50.23,4515800
2018-03-09,50.15,52.63,49.99,51.94,4466500
2018-03-16,51.85,52.67,51.6,52.59,3499900
2018-03-23,52.04,53.38,51.12,51.55,4796200
2018-03-30,52.05,53.99,51.33,53.64,4396600
2018-04-06,53.41,53.66,46.1,48.32,29798600
2018-04-13,48.8,50.94,48.38,50.09,9395300
2018-04-20,50.56,51.84,50.1,50.37,7116200
2018-04-27,50.66,51.12,49.07,50.01,7594700
2018-05-04,50.0,50.77,47.51,48.26,7685700
2018-05-11,48.3,49.66,48.11,49.19,9088700
2018-05-18,49.21,50.05,47.91,49.92,7704300
2018-05-25,50.05,50.48,49.13,50.2,5039100
2018-06-01,49.85,51.38,49.56,50.93,6542600
2018-06-08,50.92,52.5,50.76,51.68,3914400
2018-06-15,51.96,53.38,51.68,53.32,6631400
2018-06-22,53.18,55.25,52.9,54.88,12176000
2018-06-29,54.51,54.83,51.02,51.9,8883800
2018-07-06,51.64,54.24,51.26,54.19,4656900
2018-07-13,54.4,54.9,53.01,54.39,3226300
2018-07-20,54.55,55.82,53.45,55.57,4453400
2018-07-27,55.63,56.31,53.66,54.51,5640500
2018-08-03,54.47,60.97,52.5,56.75,8374400
2018-08-10,57.89,57.89,54.77,55.5,4968300
2018-08-17,55.43,56.28,54.45,55.85,3597800
2018-08-24,55.79,57.98,55.79,57.6,6213700
2018-08-31,58.0,59.44,57.79,59.34,5619800
2018-09-07,59.0,59.52,53.15,53.34,12051900
2018-09-14,54.49,58.27,53.7,57.51,7050900
2018-09-21,57.31,57.33,54.11,55.01,10868900
2018-09-28,54.73,57.05,54.27,56.83,7426200
2018-10-05,57.42,57.66,52.75,53.74,7936700
2018-10-12,53.59,54.22,49.39,51.11,8182600
2018-10-19,51.31,52.69,50.02,50.29,7413900
2018-10-26,50.34,52.5,49.0,49.29,11105700
2018-11-02,50.27,52.25,47.05,50.52,10849400
2018-11-09,50.37,52.54,49.01,49.94,5847800
2018-11-16,49.69,49.95,45.95,47.47,9481300
2018-11-23,47.27,47.49,42.73,45.69,6108600
2018-11-30,46.17,49.09,45.03,48.15,16802400
2018-12-07,48.68,50.0,44.56,46.53,14272800
2018-12-14,46.32,47.32,45.14,45.74,8760500
2018-12-21,45.35,46.76,42.19,42.44,17142300
2018-12-28,42.01,45.98,40.96,44.87,6389100
2019-01-04,45.17,45.66,43.06,45.08,8627600
2019-01-11,45.22,47.55,45.06,47.47,7159400
2019-01-18,46.77,49.03,46.37,48.84,6353700
2019-01-25,48.67,50.83,47.95,50.68,5836900
2019-02-01,50.19,52.43,49.56,51.97,7256600
2019-02-08,52.12,53.08,51.53,52.94,7717000
2019-02-15,53.55,60.86,53.12,59.86,13848000
2019-02-22,60.18,60.6,58.75,59.88,9426400
2019-03-01,60.83,62.94,60.11,62.45,11828700
2019-03-08,63.22,64.36,54.03,60.53,9114700
2019-03-15,60.76,63.46,60.76,62.21,8267600
2019-03-22,62.6,63.7,61.59,62.14,7002900
2019-03-29,61.73,63.93,60.76,63.69,5796500
2019-04-05,64.6,65.19,62.46,63.64,7248900
2019-04-12,63.62,66.3,62.82,65.29,5265400
2019-04-19,65.42,65.98,63.09,64.21,4304700
2019-04-26,63.78,66.91,63.58,66.71,4416800
2019-05-03,67.0,67.73,58.4,60.0,16703600
2019-05-10,58.54,60.59,57.17,58.86,7248900
2019-05-17,57.4,60.45,56.34,58.77,7388700
2019-05-24,57.95,58.65,56.05,56.82,4799900
2019-05-31,56.95,57.9,55.51,55.65,3945500
2019-06-07,55.54,58.85,53.95,58.4,7107300
2019-06-14,59.2,59.3,56.34,56.58,5470000
2019-06-21,56.61,59.67,56.5,58.87,5352500
2019-06-28,59.13,59.29,55.88,57.61,7856100
2019-07-05,58.6,59.05,57.08,58.02,6383600
