Date,Open,High,Low,Close,Volume
2015-04-03,69.58,70.65,67.91,69.14,2150400
2015-04-10,68.94,71.38,68.59,70.65,2265200
2015-04-17,70.53,71.02,68.41,69.14,2241300
2015-04-24,69.28,71.39,68.34,70.76,1567100
2015-05-01,70.77,70.92,66.23,66.82,2558300
2015-05-08,67.08,68.53,66.04,68.13,2775900
2015-05-15,68.18,69.61,66.2,69.59,1795000
2015-05-22,69.41,71.08,69.02,69.13,3082400
2015-05-29,68.94,69.35,64.04,66.83,8771500
2015-06-05,66.68,68.03,63.55,64.27,4810600
2015-06-12,64.27,64.97,63.16,63.49,3299200
2015-06-19,63.26,64.94,62.09,64.76,3049900
2015-06-26,65.22,66.33,64.61,65.35,2851300
2015-07-03,65.21,65.36,64.17,64.54,2927600
2015-07-10,64.14,66.61,63.96,66.55,2772000
2015-07-17,66.95,68.43,66.63,68.21,2065800
2015-07-24,68.15,69.61,67.72,67.78,2203000
2015-07-31,67.65,69.44,67.15,69.13,2323100
2015-08-07,69.1,69.76,66.53,67.28,2154000
2015-08-14,67.75,68.76,66.4,68.73,1842400
2015-08-21,68.38,69.31,63.0,64.32,2824000
2015-08-28,60.98,65.12,60.75,64.69,2976600
2015-09-04,64.63,65.18,62.12,63.5,2544900
2015-09-11,64.51,66.0,63.64,64.66,1436200
2015-09-18,64.7,64.86,63.02,63.53,2630500
2015-09-25,64.31,68.67,62.21,67.4,10430200
2015-10-02,66.22,66.91,63.19,65.3,7493000
2015-10-09,65.85,67.54,64.87,66.64,3586500
2015-10-16,66.43,67.5,64.94,66.9,2153900
2015-10-23,66.5,69.1,66.17,67.78,5628700
2015-10-30,67.78,75.94,66.01,74.95,16582100
2015-11-06,75.7,77.47,73.02,75.46,6089600
2015-11-13,75.21,75.45,72.22,74.05,5460000
2015-11-20,74.14,75.88,73.8,74.59,3629200
2015-11-27,74.25,76.5,73.3,76.35,2921900
2015-12-04,76.41,77.19,73.2,74.24,5059200
2015-12-11,74.49,77.0,71.66,72.35,5647700
2015-12-18,72.49,74.69,70.96,71.03,5885500
2015-12-25,71.37,77.36,70.7,76.61,3276100
2016-01-01,76.57,78.77,75.32,75.34,2204000
2016-01-08,74.11,75.1,70.45,70.55,3405900
2016-01-15,70.82,71.55,65.77,67.33,3778800
2016-01-22,67.9,69.57,65.18,69.56,3327000
2016-01-29,69.33,70.51,66.67,69.24,3559600
2016-02-05,68.49,70.13,66.47,66.76,3514900
2016-02-12,65.86,67.98,61.38,62.61,4947600
2016-02-19,63.03,65.29,62.68,63.62,2213600
2016-02-26,64.14,65.34,61.64,64.54,2889200
2016-03-04,64.59,67.1,63.32,66.98,3211900
2016-03-11,66.66,68.64,66.19,68.54,4184500
2016-03-18,68.18,68.74,66.03,67.5,3897200
2016-03-25,67.2,69.71,67.02,69.22,3115200
2016-04-01,69.22,72.78,69.04,72.25,3765600
2016-04-08,72.24,72.51,68.49,70.17,3071100
2016-04-15,70.32,72.0,69.53,71.31,3147100
2016-04-22,71.18,74.1,70.73,72.93,2067500
2016-04-29,72.5,73.49,70.18,70.67,2148500
2016-05-06,70.65,71.71,69.11,71.31,2797300
2016-05-13,71.09,72.64,70.93,71.16,2005700
2016-05-20,71.18,72.53,64.39,69.87,5742300
2016-05-27,70.03,70.38,68.08,69.38,3168700
2016-06-03,69.38,71.76,68.89,70.5,2697000
2016-06-10,70.32,72.02,69.67,70.74,2622300
2016-06-17,70.5,70.62,65.92,67.39,5359800
2016-06-24,68.3,69.43,64.89,65.44,13981000
2016-07-01,65.06,69.48,63.26,68.89,5223700
2016-07-08,68.77,69.48,67.25,69.16,2950400
2016-07-15,69.45,69.9,68.49,68.8,3201800
2016-07-22,68.69,69.43,68.09,69.41,2776900
2016-07-29,69.2,71.58,68.06,70.95,3256000
2016-08-05,70.95,72.47,70.15,72.47,2672300
2016-08-12,72.59,74.45,70.58,71.23,2900500
2016-08-19,71.4,71.89,70.07,70.83,1698900
2016-08-26,70.65,70.77,68.35,70.14,2155000
2016-09-02,70.36,71.19,69.72,71.0,1673800
2016-09-09,71.01,71.88,70.12,70.49,2087900
2016-09-16,70.09,71.69,69.39,71.27,2912500
2016-09-23,71.78,74.63,71.58,73.12,2301100
2016-09-30,72.93,73.7,72.03,73.1,2424300
2016-10-07,73.0,73.06,70.44,71.27,2627900
2016-10-14,71.7,72.42,68.64,69.56,2062200
2016-10-21,69.45,70.01,68.13,68.37,1922800
2016-10-28,69.12,69.12,66.6,66.92,2812500
2016-11-04,66.84,67.74,63.8,65.34,3573700
2016-11-11,66.0,66.99,64.75,64.81,3212200
2016-11-18,65.18,67.34,64.74,66.22,2463100
2016-11-25,66.17,67.5,65.52,67.08,1765900
2016-12-02,67.07,67.24,64.37,65.05,2178900
2016-12-09,65.53,67.8,65.22,67.2,2157900
2016-12-16,66.85,70.19,66.64,68.88,5425800
2016-12-23,68.78,69.87,68.07,69.09,2058700
2016-12-30,69.21,69.89,67.22,67.39,1451800
2017-01-06,67.61,68.98,67.09,68.49,1772200
2017-01-13,68.55,69.89,67.64,69.26,1801400
2017-01-20,68.78,70.51,68.57,68.78,1389500
2017-01-27,68.69,70.82,68.35,70.27,1506900
2017-02-03,69.98,72.25,69.28,72.17,2116600
2017-02-10,71.68,72.35,65.27,67.16,7319400
2017-02-17,67.46,69.39,67.0,68.55,3635600
2017-02-24,68.58,70.26,68.18,70.25,1879100
2017-03-03,70.15,71.28,69.65,70.07,2329400
2017-03-10,69.52,69.68,68.2,68.57,2034200
2017-03-17,68.54,69.63,67.88,68.72,3316900
2017-03-24,68.72,69.34,67.94,68.63,1405700
