Date,Open,High,Low,Close,Volume
2015-04-03,10.81,10.94,10.53,10.88,23580336
2015-04-10,10.9,11.03,10.63,10.75,31516062
2015-04-17,10.75,10.84,10.45,10.56,44257668
2015-04-24,10.51,10.69,10.35,10.56,29086665
2015-05-01,10.73,10.91,9.39,9.55,64443443
2015-05-08,9.77,9.94,9.25,9.86,51987414
2015-05-15,9.74,10.15,9.62,10.07,32593187
2015-05-22,10.04,10.41,10.0,10.39,36731290
2015-05-29,10.3,10.6,10.15,10.45,46252718
2015-06-05,10.46,10.74,10.01,10.2,47017273
2015-06-12,10.15,10.46,9.92,10.38,41327973
2015-06-19,10.12,10.2,9.8,9.9,39986130
2015-06-26,10.24,10.33,10.0,10.16,53932466
2015-07-03,9.69,9.77,9.22,9.32,38130801
2015-07-10,9.06,9.5,8.67,9.43,50467202
2015-07-17,9.5,10.15,9.4,10.09,33446082
2015-07-24,10.16,10.24,9.85,9.88,33885645
2015-07-31,9.48,10.39,9.3,10.3,58401084
2015-08-07,10.5,10.69,10.45,10.66,26930575
2015-08-14,10.65,10.84,9.96,10.16,50939430
2015-08-21,10.01,10.08,9.47,9.5,27050050
2015-08-28,9.08,9.53,8.19,9.35,40171558
2015-09-04,9.2,9.3,8.79,8.87,36252159
2015-09-11,9.4,9.68,9.36,9.5,27723502
2015-09-18,9.36,10.0,9.3,9.46,24925708
2015-09-25,9.31,9.4,8.31,8.46,73711350
2015-10-02,8.18,9.16,7.82,9.15,60735392
2015-10-09,9.13,10.3,9.13,10.22,44938022
2015-10-16,10.43,10.69,10.17,10.58,54108076
2015-10-23,10.78,10.79,9.84,10.02,93076743
2015-10-30,10.0,10.09,9.36,9.55,72914434
2015-11-06,9.65,9.74,9.23,9.4,31426800
2015-11-13,9.36,9.38,8.8,8.82,35458924
2015-11-20,8.72,9.2,8.58,9.15,33859111
2015-11-27,9.17,9.38,9.02,9.36,16161626
2015-12-04,9.39,9.4,9.0,9.15,39584606
2015-12-11,9.21,9.25,8.84,8.87,24616205
2015-12-18,8.71,9.13,8.46,8.95,34129658
2015-12-25,9.15,9.32,8.91,9.27,20551872
2016-01-01,9.4,9.43,9.12,9.12,12809857
2016-01-08,8.83,9.04,7.87,7.92,57309309
2016-01-15,8.01,8.24,7.09,7.27,58498641
2016-01-22,7.12,7.36,6.54,7.22,31818942
2016-01-29,7.14,7.61,6.76,6.98,37175525
2016-02-05,6.78,7.01,6.31,6.52,52147567
2016-02-12,6.11,6.25,5.73,6.06,35042458
2016-02-19,6.21,6.61,6.1,6.27,18012823
2016-02-26,6.47,6.66,5.92,6.64,27251713
2016-03-04,6.8,7.7,6.74,7.67,31228362
2016-03-11,7.53,7.64,7.12,7.53,22257064
2016-03-18,7.63,8.02,7.46,8.0,16920863
2016-03-25,7.95,7.99,7.44,7.55,14178245
2016-04-01,7.52,8.2,7.5,7.66,22549881
2016-04-08,7.66,7.72,6.84,7.15,30876920
2016-04-15,7.34,7.6,7.11,7.45,24185906
2016-04-22,7.53,8.31,7.52,7.94,44212229
2016-04-29,8.01,8.36,7.79,8.02,36433896
2016-05-06,8.22,8.25,7.56,7.69,38075094
2016-05-13,7.59,7.79,7.46,7.62,20208714
2016-05-20,7.58,7.63,6.77,7.01,46823548
2016-05-27,6.71,7.16,6.6,6.89,37408136
