Date,Open,High,Low,Close,Volume
2015-03-27,76.11,76.39,72.67,73.47,10751100
2015-04-03,72.94,74.29,72.56,73.97,8845100
2015-04-10,73.43,76.36,73.1,76.35,9395400
2015-04-17,76.31,77.19,75.21,75.68,8704300
2015-04-24,76.07,78.55,75.84,76.36,13892600
2015-05-01,76.68,78.19,76.27,77.65,10599000
2015-05-08,77.9,79.59,77.41,78.75,10509400
2015-05-15,78.55,79.11,76.0,77.85,11295900
2015-05-22,77.39,79.36,77.01,78.62,8735900
2015-05-29,78.4,79.21,77.47,77.93,9016300
2015-06-05,78.23,78.92,76.5,78.52,10581600
2015-06-12,78.48,81.2,78.15,80.64,10355600
2015-06-19,79.95,80.36,78.76,78.95,10171300
2015-06-26,79.94,80.21,78.66,78.98,10390000
2015-07-03,77.7,78.06,76.2,77.01,7642000
2015-07-10,76.07,76.76,74.5,75.97,9191800
2015-07-17,77.02,79.47,76.59,79.38,8410400
2015-07-24,79.55,81.26,75.12,75.38,13326000
2015-07-31,74.6,77.33,73.63,76.56,11230600
2015-08-07,76.6,79.36,76.07,78.51,9947300
2015-08-14,79.29,79.8,75.81,78.47,10403800
2015-08-21,77.36,78.65,73.75,73.88,12620200
2015-08-28,68.93,73.29,67.06,73.11,17948300
2015-09-04,72.49,72.85,69.21,70.03,13314500
2015-09-11,71.68,73.55,70.44,71.52,8913500
2015-09-18,71.52,73.41,68.79,69.0,15264700
2015-09-25,69.72,70.67,67.09,68.74,14364100
2015-10-02,68.08,68.57,63.97,67.12,14018900
2015-10-09,67.8,69.57,67.69,68.77,11915300
2015-10-16,68.55,69.25,66.48,68.51,9999900
2015-10-23,67.94,69.91,65.29,67.14,16135600
2015-10-30,67.14,70.55,66.22,69.0,15959400
2015-11-06,69.19,75.4,69.02,73.62,14347700
2015-11-13,73.83,73.89,69.83,69.96,13924300
2015-11-20,68.99,73.5,68.99,72.78,9160300
2015-11-27,72.78,73.19,71.55,72.8,5758600
2015-12-04,72.81,73.77,71.17,73.69,10926100
2015-12-11,73.43,73.43,66.01,66.12,14890700
2015-12-18,66.58,69.09,64.5,64.73,20289500
2015-12-25,65.36,67.43,65.02,67.14,6917900
2016-01-01,67.01,68.32,65.88,66.36,5505400
2016-01-08,64.77,65.65,58.53,58.65,11594200
2016-01-15,58.98,59.96,53.77,54.97,15851000
2016-01-22,55.84,56.35,53.21,55.83,16557500
2016-01-29,55.41,56.08,50.73,55.73,23538000
2016-02-05,55.15,56.16,51.7,54.42,21053500
