Date,Open,High,Low,Close,Volume
2015-04-03,96.0,96.77,94.62,95.61,3480100
2015-04-10,94.92,97.25,94.6,96.5,3529600
2015-04-17,96.22,97.45,95.07,96.25,3855800
2015-04-24,97.01,101.06,96.38,99.79,7117400
2015-05-01,99.82,100.28,98.47,99.3,5712200
2015-05-08,99.48,103.74,99.35,103.33,7444400
2015-05-15,103.28,104.47,102.27,104.05,4965300
2015-05-22,104.01,104.22,103.02,103.6,4244300
2015-05-29,103.5,103.71,101.98,102.44,3541800
2015-06-05,102.36,104.24,101.94,103.5,6045200
2015-06-12,103.51,107.24,103.34,106.28,5849500
2015-06-19,105.3,107.19,104.79,106.86,5253700
2015-06-26,107.48,107.69,105.57,106.39,3942800
2015-07-03,105.53,108.63,104.83,107.71,5305500
2015-07-10,106.75,108.13,105.74,106.66,4486700
2015-07-17,107.6,108.03,106.66,107.35,3832300
2015-07-24,107.49,108.28,104.7,105.14,4761900
2015-07-31,104.46,111.18,104.16,105.49,10824200
2015-08-07,104.79,105.95,102.93,104.69,7240700
2015-08-14,105.68,106.8,103.17,105.41,5566500
2015-08-21,105.09,106.42,101.06,101.15,6339800
2015-08-28,96.02,100.96,91.19,100.5,10752000
2015-09-04,100.51,102.33,97.25,97.79,6472600
2015-09-11,99.69,101.7,98.08,99.88,3191500
2015-09-18,99.78,106.78,98.67,100.31,5911100
2015-09-25,100.74,101.53,96.85,98.35,4517200
2015-10-02,97.66,97.89,94.56,97.46,6004300
2015-10-09,98.24,103.11,98.24,101.55,4581100
2015-10-16,101.57,102.0,97.61,98.51,4131400
2015-10-23,98.25,106.97,97.64,106.05,8479500
2015-10-30,106.1,107.32,104.74,105.98,6008800
2015-11-06,106.28,108.14,105.73,107.5,6119700
2015-11-13,106.88,107.57,104.27,104.44,4812700
2015-11-20,104.38,108.47,104.19,107.72,5154600
2015-11-27,107.7,109.22,106.53,109.06,5022200
2015-12-04,109.14,110.23,107.73,110.06,7188900
2015-12-11,109.61,110.41,106.59,107.0,6573800
2015-12-18,107.31,109.84,104.36,104.56,9363900
2015-12-25,105.33,107.32,103.38,106.95,4047400
2016-01-01,106.8,108.47,106.19,106.73,3351900
2016-01-08,104.94,105.6,96.28,96.44,8657900
2016-01-15,96.89,99.17,94.86,95.7,6591000
2016-01-22,96.86,96.96,90.4,93.99,6780800
2016-01-29,93.44,98.55,89.01,94.34,13955600
2016-02-05,93.52,98.25,92.01,93.25,10274500
2016-02-12,92.01,92.38,88.72,91.76,8606400
2016-02-19,93.17,94.01,91.57,92.0,5966300
2016-02-26,93.15,96.12,92.66,95.59,4620000
2016-03-04,95.15,98.67,94.01,98.59,5536400
2016-03-11,98.22,100.16,95.57,100.0,4820400
2016-03-18,99.56,102.14,98.62,101.76,6145800
2016-03-25,101.49,103.96,101.18,103.51,5062200
2016-04-01,103.51,106.76,102.8,106.64,4413900
2016-04-08,106.54,106.54,103.89,105.84,3788500
2016-04-15,106.44,109.62,106.03,108.79,4854100
2016-04-22,108.31,113.55,108.03,111.67,8602800
2016-04-29,111.63,113.69,111.17,111.92,5892600
2016-05-06,112.02,112.73,109.51,111.3,5064300
2016-05-13,110.88,114.35,110.54,113.21,4438100
2016-05-20,112.9,114.62,111.07,112.97,5560600
2016-05-27,113.05,115.15,112.01,113.18,3546700
2016-06-03,113.25,113.98,112.05,113.34,2513000
2016-06-10,113.71,114.69,112.6,112.94,2971800
2016-06-17,112.47,113.3,110.55,112.59,5137400
2016-06-24,113.78,115.16,106.82,107.23,5455500
2016-07-01,106.36,112.64,103.86,112.32,7160300
2016-07-08,111.68,115.36,110.44,114.97,3565900
2016-07-15,115.6,118.47,115.37,117.34,3048200
2016-07-22,117.05,121.1,114.4,120.49,5880800
2016-07-29,120.6,123.3,119.54,121.7,5291600
2016-08-05,121.82,123.5,120.95,123.45,3956000
2016-08-12,123.46,123.96,122.82,123.21,3755600
2016-08-19,123.24,124.0,121.13,122.12,3486100
2016-08-26,121.6,124.11,120.96,122.75,3466200
2016-09-02,122.73,124.73,122.73,123.81,4834000
2016-09-09,123.9,124.1,119.62,119.71,3113400
2016-09-16,119.03,121.64,118.75,120.12,5519000
2016-09-23,120.52,124.38,120.32,120.92,5085400
2016-09-30,120.58,123.66,120.03,122.98,4656300
2016-10-07,122.8,124.86,121.99,122.27,4201800
2016-10-14,122.68,122.98,116.95,121.23,7073500
2016-10-21,121.25,121.49,118.74,119.71,3976100
2016-10-28,120.43,120.88,111.89,114.39,9034800
2016-11-04,114.35,115.47,112.86,114.58,7119900
2016-11-11,116.52,126.32,115.65,125.78,7750600
2016-11-18,126.07,126.72,120.7,121.56,5647400
2016-11-25,122.19,122.5,119.7,121.6,3758000
2016-12-02,121.32,121.58,118.12,118.23,4328100
2016-12-09,119.25,121.62,118.01,120.5,3807500
2016-12-16,120.34,120.89,116.74,116.77,6285100
2016-12-23,116.91,118.15,115.62,116.69,3878400
2016-12-30,116.94,117.27,114.27,114.69,2162900
2017-01-06,115.64,120.69,114.86,118.21,4632400
2017-01-13,118.21,119.46,116.63,119.33,4594000
2017-01-20,118.32,121.95,117.42,119.99,4132400
2017-01-27,119.49,126.43,119.25,125.03,6820400
2017-02-03,128.77,128.77,120.89,123.52,5609100
2017-02-10,123.15,124.12,121.09,123.73,3018700
2017-02-17,124.55,126.98,124.55,126.65,3568300
2017-02-24,126.58,127.93,126.05,127.77,2785200
2017-03-03,126.84,130.47,126.48,128.04,3684300
2017-03-10,127.05,129.65,127.05,129.19,3371300
2017-03-17,129.75,136.9,129.21,131.33,5831800
2017-03-24,131.56,132.33,128.78,130.8,3418000
2017-03-31,129.45,133.31,128.08,132.87,3257400
2017-04-07,133.12,133.41,130.76,132.27,4080700
2017-04-14,132.35,133.06,130.57,130.57,3373700
2017-04-21,130.89,137.9,130.04,137.56,7212600
2017-04-28,138.97,140.06,135.7,136.15,6913200
2017-05-05,136.03,139.09,135.32,138.61,4702900
2017-05-12,138.28,139.62,135.37,136.99,6260800
2017-05-19,136.99,137.84,133.25,136.55,5858000
2017-05-26,136.75,137.3,135.07,136.79,4116800
2017-06-02,136.32,139.95,135.79,139.25,4967900
2017-06-09,138.59,140.24,136.72,139.99,4715800
2017-06-16,139.49,142.06,138.65,141.21,5114900
2017-06-23,141.93,143.85,141.0,143.05,4925200
2017-06-30,142.94,143.65,138.7,140.73,5194000
2017-07-07,141.32,145.98,140.87,144.91,3776300
2017-07-14,144.88,146.91,144.46,146.24,3523200
2017-07-21,146.33,148.32,145.76,146.79,4229600
2017-07-28,145.75,146.19,139.35,139.88,8316700
2017-08-04,140.22,142.73,139.29,142.35,4714700
2017-08-11,141.78,142.5,138.12,139.15,4021500
2017-08-18,140.16,141.36,136.46,137.5,4690300
2017-08-25,137.45,139.18,136.33,138.83,3031700
2017-09-01,138.95,145.87,137.75,142.64,4647700
2017-09-08,142.18,148.14,141.17,147.05,4268700
2017-09-15,147.0,148.36,146.0,148.04,5333500
2017-09-22,148.5,152.43,148.25,151.22,4360000
2017-09-29,151.25,151.7,147.8,150.97,4995500
2017-10-06,152.38,157.68,151.8,155.49,5282700
2017-10-13,156.13,159.79,155.11,158.71,3725300
2017-10-20,158.98,160.15,156.08,160.12,3948400
2017-10-27,160.19,166.7,158.03,164.71,6176700
2017-11-03,164.39,164.59,160.45,163.13,4980400
