Date,Open,High,Low,Close,Volume
2021-03-12,10.39,10.5,10.17,10.44,10841900
2021-03-19,10.4,10.46,10.2,10.28,854800
2021-03-26,10.3,10.35,9.82,9.97,2185600
2021-04-02,9.95,10.35,9.95,10.1,228200
2021-04-09,10.15,10.27,10.04,10.25,405600
2021-04-16,10.21,10.36,10.1,10.2,475000
2021-04-23,10.2,10.7,10.15,10.54,489300
2021-04-30,10.5,10.5,10.21,10.49,263000
2021-05-07,10.5,10.58,10.01,10.2,1596000
2021-05-14,10.16,10.2,9.95,10.0,853200
2021-05-21,10.02,10.03,9.93,9.97,1085000
2021-05-28,10.02,10.05,9.93,9.95,86500
2021-06-04,9.94,10.02,9.87,9.98,180500
2021-06-11,9.88,10.0,9.88,9.96,128900
2021-06-18,9.94,10.04,9.9,9.95,315500
2021-06-25,9.96,10.0,9.9,9.91,229600
2021-07-02,9.91,9.94,9.86,9.91,210400
2021-07-09,9.98,9.98,9.86,9.95,109200
2021-07-16,9.88,9.95,9.85,9.92,130900
2021-07-23,9.88,9.95,9.85,9.9,2044000
2021-07-30,9.9,9.9,9.76,9.8,423100
2021-08-06,9.8,9.86,9.74,9.83,1130800
2021-08-13,9.8,9.84,9.7,9.76,1053800
2021-08-20,9.73,9.8,9.68,9.69,111900
2021-08-27,9.7,9.78,9.65,9.69,767300
2021-09-03,9.66,9.78,9.66,9.74,23200
2021-09-10,9.72,9.86,9.72,9.84,51300
2021-09-17,9.8,9.85,9.73,9.8,243200
2021-09-24,9.77,9.82,9.72,9.8,71500
2021-10-01,9.8,9.83,9.74,9.76,3988400
2021-10-08,9.82,9.85,9.76,9.85,1345000
2021-10-15,9.8,9.89,9.74,9.86,281200
2021-10-22,9.87,10.24,9.79,9.9,1274800
2021-10-29,9.87,9.99,9.85,9.99,887300
2021-11-05,9.99,10.09,9.99,10.05,2072800
2021-11-12,10.07,10.21,9.97,9.98,2240000
2021-11-19,9.99,10.1,9.93,9.95,692000
2021-11-26,9.95,10.0,9.81,9.87,75800
2021-12-03,9.89,10.04,9.83,10.02,344600
2021-12-10,9.99,10.05,9.84,9.92,135200
2021-12-17,9.95,10.05,9.91,9.96,3653800
2021-12-24,10.01,10.06,9.93,9.97,2562100
2021-12-31,9.99,10.05,9.95,10.0,841700
2022-01-07,10.02,10.08,9.97,9.98,679100
2022-01-14,9.97,10.03,9.87,9.96,1540700
2022-01-21,9.97,9.97,9.81,9.85,261400
2022-01-28,9.84,9.86,9.76,9.81,1269500
2022-02-04,9.82,9.9,9.8,9.88,377300
2022-02-11,9.85,9.9,9.85,9.9,167100
2022-02-18,9.9,9.9,9.86,9.87,124300
2022-02-25,9.88,9.9,9.87,9.89,99800
2022-03-04,9.87,9.9,9.87,9.89,603000
2022-03-11,9.85,9.9,9.85,9.87,1857300
2022-03-18,9.92,9.92,9.87,9.92,509100
2022-03-25,9.9,9.95,9.88,9.92,1180400
2022-04-01,9.9,9.92,9.9,9.91,985300
2022-04-08,9.92,9.92,9.89,9.9,533300
2022-04-15,9.91,9.93,9.89,9.92,404700
2022-04-22,9.9,9.93,9.89,9.91,180600
2022-04-29,9.9,9.93,9.9,9.92,189000
2022-05-06,9.93,9.93,9.83,9.87,4907300
2022-05-13,9.9,9.95,9.86,9.94,1828200
2022-05-20,9.95,9.97,9.93,9.95,1235200
2022-05-27,9.97,9.99,9.95,9.98,1507200
2022-06-03,9.79,9.8,9.06,9.49,1737000
2022-06-10,9.48,20.77,9.01,10.58,4500400
2022-06-17,10.0,17.08,9.8,16.8,3368600
2022-06-24,26.22,28.48,13.79,13.91,8538500
2022-07-01,14.2,14.9,10.9,11.89,1051100
2022-07-08,11.75,18.77,11.69,15.21,2953300
2022-07-15,15.59,20.75,15.01,19.29,1333400
2022-07-22,19.59,20.1,17.14,19.87,1011600
2022-07-29,20.0,20.46,16.99,17.9,885700
2022-08-05,17.5,19.28,16.05,16.22,1282300
2022-08-12,16.53,16.68,15.75,16.31,651600
2022-08-19,16.2,17.5,13.1,14.44,1638400
2022-08-26,14.5,14.53,12.3,12.33,2026100
2022-09-02,12.26,12.9,12.12,12.55,1410000
2022-09-09,12.85,12.99,10.57,11.47,1095100
2022-09-16,12.4,13.83,11.91,13.03,1871200
2022-09-23,13.19,13.39,10.03,10.54,1690500
2022-09-30,10.35,12.09,10.03,11.5,1237100
2022-10-07,11.54,13.29,11.53,12.6,807600
2022-10-14,12.69,13.99,12.6,13.5,831300
2022-10-21,13.5,14.06,11.78,12.77,672600
2022-10-28,12.62,13.15,12.15,12.68,455500
2022-11-04,12.52,12.87,9.91,10.28,597300
2022-11-11,10.62,11.05,9.8,10.19,654700
2022-11-18,10.28,10.44,8.75,9.39,893600
2022-11-25,9.79,12.83,9.58,12.81,1316800
2022-12-02,12.47,12.74,10.64,11.21,958500
2022-12-09,11.21,11.89,10.76,11.35,1012100
2022-12-16,11.31,12.56,10.8,12.01,1023900
2022-12-23,11.81,12.55,10.69,11.02,746200
2022-12-30,10.92,12.22,10.21,11.94,448800
2023-01-06,12.13,13.28,11.68,12.41,479600
2023-01-13,12.29,14.15,12.28,13.44,638800
2023-01-20,13.25,14.5,13.01,14.46,513500
2023-01-27,14.5,15.93,13.74,13.77,1353300
2023-02-03,13.59,16.5,13.25,15.2,2543600
2023-02-10,15.19,18.34,14.39,17.38,3158300
2023-02-17,17.34,18.15,16.48,17.36,1215100
2023-02-24,17.15,17.89,16.25,16.57,851700
2023-03-03,16.62,17.19,14.14,16.4,3009400
2023-03-10,16.85,19.21,16.71,17.65,4151500
2023-03-17,17.42,18.77,16.03,18.72,4778800
2023-03-24,18.36,23.41,18.36,21.68,3863100
2023-03-31,21.56,23.51,20.7,22.84,1857000
2023-04-07,22.6,25.96,22.33,25.42,2003100
2023-04-14,25.0,30.29,24.33,27.94,3285000
2023-04-21,28.01,31.43,26.49,30.56,2612200
2023-04-28,31.18,32.17,26.26,26.56,2974300
2023-05-05,26.25,28.1,22.4,27.04,5171500
2023-05-12,27.43,29.0,24.41,24.44,2285400
2023-05-19,24.55,32.0,23.58,29.03,3777200
2023-05-26,29.34,36.53,28.72,36.1,3111700
2023-06-02,36.69,37.56,32.37,33.44,2898300
2023-06-09,34.0,43.75,32.8,43.09,5007700
2023-06-16,44.31,53.83,40.02,51.22,8430600
2023-06-23,51.15,52.94,37.86,39.51,5782000
2023-06-30,39.5,44.89,36.86,42.81,5477300
2023-07-07,42.66,44.47,38.31,41.17,2227800
2023-07-14,42.32,48.17,40.9,44.11,3794400
2023-07-21,44.35,53.59,42.78,43.68,5956500
2023-07-28,46.9,47.93,35.2,42.18,8608800
2023-08-04,46.17,64.14,44.28,53.61,12158600
2023-08-11,53.61,54.7,42.77,43.53,5175800
2023-08-18,43.49,45.45,37.0,37.64,5013400
2023-08-25,37.8,41.15,35.92,37.26,4943500
2023-09-01,37.5,43.05,37.4,41.92,4340500
2023-09-08,41.5,42.01,35.3,35.61,3235500
2023-09-15,36.08,36.23,30.88,31.85,5691900
2023-09-22,31.95,34.2,30.46,31.06,2838900
2023-09-29,30.37,34.25,29.62,33.43,3161800
2023-10-06,33.55,35.12,30.81,34.87,3358600
2023-10-13,34.68,42.85,34.1,39.24,6060600
2023-10-20,39.27,47.23,39.27,41.37,5363400
2023-10-27,40.69,41.99,34.37,35.35,4721400
2023-11-03,36.58,39.45,31.69,36.91,5508600
2023-11-10,37.29,37.45,31.33,31.38,4598700
2023-11-17,31.43,39.08,30.6,37.2,4666200
2023-11-24,37.64,54.23,36.68,51.43,15066700
2023-12-01,51.0,59.82,49.05,56.73,10069900
2023-12-08,55.9,58.58,47.24,50.33,6437400
2023-12-15,50.29,55.66,47.05,53.47,7030600
2023-12-22,53.75,58.28,50.77,54.19,5650300
2023-12-29,55.11,57.16,50.8,51.33,3235400
2024-01-05,50.86,51.85,42.76,43.39,5376300
2024-01-12,43.22,46.18,40.86,42.22,5660000
2024-01-19,41.48,44.1,39.43,44.1,4244700
