Date,Open,High,Low,Close,Volume
2015-04-03,218.41,220.82,217.01,220.25,1124600
2015-04-10,219.23,224.0,218.75,223.2,1229200
2015-04-17,223.46,223.97,218.77,219.38,1169900
2015-04-24,220.78,223.69,220.78,223.03,989200
2015-05-01,223.23,223.36,211.33,218.84,1657100
2015-05-08,219.98,224.99,212.47,221.86,3154100
2015-05-15,222.18,230.08,220.98,227.55,1621900
2015-05-22,226.63,230.37,226.14,227.12,1024200
2015-05-29,227.9,229.36,224.92,226.04,1146300
2015-06-05,227.0,229.05,224.15,226.12,1053300
2015-06-12,226.12,228.67,224.3,225.62,1142600
2015-06-19,225.87,232.0,224.11,231.09,1245200
2015-06-26,231.96,232.18,227.1,229.17,931000
2015-07-03,227.28,229.0,224.47,227.78,1059500
2015-07-10,226.33,228.42,221.5,223.52,2040700
2015-07-17,225.56,234.26,224.02,233.6,1905100
2015-07-24,233.8,234.91,223.2,224.61,2438100
2015-07-31,222.27,226.96,214.81,226.3,3683700
2015-08-07,226.82,240.81,216.32,234.91,3003700
2015-08-14,237.28,244.0,230.67,243.08,1999900
2015-08-21,242.7,244.9,227.06,227.75,1506600
2015-08-28,215.09,239.05,214.74,237.0,2572800
2015-09-04,236.96,236.96,221.34,226.39,1987200
2015-09-11,228.94,234.52,225.03,228.85,1100600
2015-09-18,229.35,234.97,226.42,230.88,1502200
2015-09-25,231.7,234.3,221.0,223.91,1220600
2015-10-02,222.14,224.07,208.35,217.62,3079900
2015-10-09,219.68,221.22,211.71,220.31,2100600
2015-10-16,220.06,223.6,210.22,216.25,2262800
2015-10-23,214.71,222.42,214.71,217.62,1579700
2015-10-30,217.45,224.02,215.31,219.85,1813600
2015-11-06,219.67,229.85,219.67,226.34,2010000
2015-11-13,225.29,234.75,218.67,229.72,2968900
2015-11-20,229.78,237.55,226.76,236.25,2555900
2015-11-27,236.72,237.94,234.3,237.21,1094600
2015-12-04,236.93,238.51,233.38,238.01,1333600
2015-12-11,237.91,238.49,222.4,223.36,1677600
2015-12-18,223.33,224.79,213.95,219.9,3497200
2015-12-25,221.4,228.16,220.33,226.79,1081000
2016-01-01,226.37,229.32,223.46,228.45,813300
2016-01-08,228.2,232.42,221.12,221.49,3673800
2016-01-15,223.89,231.43,213.12,218.26,3630100
2016-01-22,219.96,223.07,210.2,222.83,3230300
2016-01-29,223.09,226.1,218.31,224.73,2944300
2016-02-05,223.48,230.0,217.73,221.47,2516800
2016-02-12,217.97,220.84,180.76,195.1,11294300
2016-02-19,197.04,211.38,195.26,207.41,3056500
2016-02-26,210.56,218.6,207.48,217.25,2253500
2016-03-04,216.75,223.19,212.69,222.68,3388700
2016-03-11,220.18,222.44,215.69,221.17,2318200
