Date,Open,High,Low,Close,Volume
2015-12-11,21.0,28.5,21.0,27.5,17295200
2015-12-18,27.5,28.24,26.11,28.22,4365700
2015-12-25,28.84,30.74,27.51,28.21,3372900
2016-01-01,28.28,31.46,28.0,30.08,1833000
2016-01-08,28.94,29.03,26.02,27.17,3966100
2016-01-15,27.1,27.5,24.52,25.19,4517200
2016-01-22,25.3,25.71,21.62,24.61,5116900
2016-01-29,24.5,24.67,20.17,20.77,4234800
2016-02-05,20.69,24.88,17.55,20.19,7192800
2016-02-12,19.88,21.17,16.92,20.1,7782900
2016-02-19,20.4,23.93,20.4,22.13,4513100
2016-02-26,22.1,23.67,21.69,23.3,3029300
2016-03-04,23.13,24.49,22.45,23.02,2885000
2016-03-11,22.98,23.87,21.24,22.97,2792200
2016-03-18,22.97,24.67,22.3,23.24,1908300
2016-03-25,23.4,25.07,23.07,23.82,2114100
2016-04-01,24.0,25.18,23.5,23.69,3348900
2016-04-08,23.77,24.15,22.76,23.24,1684900
2016-04-15,23.39,23.68,22.5,22.61,1600400
2016-04-22,22.68,24.58,22.51,23.82,1971500
2016-04-29,23.62,24.42,22.55,23.17,1823300
2016-05-06,23.35,24.21,21.1,21.83,2485300
2016-05-13,21.9,22.6,20.51,21.93,2663800
2016-05-20,21.75,22.92,21.5,22.69,2009600
2016-05-27,22.58,23.26,22.16,22.78,2221300
2016-06-03,22.85,25.03,22.3,24.15,2016100
2016-06-10,24.02,24.72,22.97,23.84,6337900
2016-06-17,23.55,26.0,23.53,25.81,6545000
2016-06-24,25.98,26.84,25.01,25.9,8130700
2016-07-01,25.5,26.19,24.89,25.62,8436100
2016-07-08,25.3,27.09,25.22,26.98,4939300
2016-07-15,27.08,28.0,26.81,27.4,3523500
2016-07-22,27.4,28.2,27.08,28.16,2073900
2016-07-29,28.2,30.0,27.85,29.97,2693500
2016-08-05,29.99,32.54,29.0,31.97,6783200
2016-08-12,31.82,31.9,28.28,30.0,7974800
2016-08-19,29.85,30.54,28.73,29.42,3838300
2016-08-26,29.2,29.7,28.0,28.94,2676100
2016-09-02,28.74,30.24,28.66,30.1,4035700
2016-09-09,30.28,31.1,29.35,29.48,3067400
2016-09-16,29.25,30.29,28.96,30.0,1938500
2016-09-23,29.99,35.16,29.72,30.75,5238100
2016-09-30,30.39,31.49,29.45,29.97,3386900
2016-10-07,29.8,30.0,28.12,28.27,2828500
2016-10-14,28.38,28.81,27.55,28.42,2521800
2016-10-21,28.5,29.24,28.3,29.04,1982700
2016-10-28,29.69,29.69,26.84,27.2,5271200
2016-11-04,27.0,27.3,26.06,26.9,6837400
2016-11-11,27.01,27.66,25.74,27.49,4149700
2016-11-18,27.52,29.4,27.16,28.76,4973100
2016-11-25,28.71,28.85,27.0,27.42,2386600
2016-12-02,27.11,28.08,24.49,25.23,7405000
2016-12-09,25.13,26.99,25.0,26.55,3111500
2016-12-16,26.31,26.66,24.12,24.19,5193900
