Date,Open,High,Low,Close,Volume
2015-03-27,15.1,15.89,13.77,13.86,21013600
2015-04-03,13.86,15.87,13.25,13.67,43190200
2015-04-10,13.83,14.32,13.67,13.75,18005600
2015-04-17,13.59,14.03,13.15,13.47,21401800
2015-04-24,13.53,14.35,12.63,14.33,33791800
2015-05-01,14.28,15.59,14.13,15.56,24016500
2015-05-08,15.62,16.2,14.56,14.96,17567900
2015-05-15,14.97,15.25,13.67,13.84,15710400
2015-05-22,13.77,13.79,12.58,12.64,15852800
2015-05-29,12.36,12.49,11.62,11.64,22727000
2015-06-05,11.69,12.57,11.39,11.65,22812800
2015-06-12,11.6,12.29,11.24,11.33,17283400
2015-06-19,11.18,11.4,10.78,10.92,23796900
2015-06-26,10.94,11.52,10.36,10.57,24028500
2015-07-03,10.31,10.57,9.32,9.6,22640900
2015-07-10,9.33,9.68,8.75,8.89,35739600
2015-07-17,8.92,9.82,8.54,8.68,25113800
2015-07-24,8.59,8.63,7.04,7.09,36809700
2015-07-31,6.96,7.51,6.72,7.34,35463000
2015-08-07,7.29,7.56,6.9,7.13,31328100
2015-08-14,7.19,7.83,6.92,7.0,27841300
2015-08-21,6.97,7.0,6.23,6.29,28930500
2015-08-28,5.5,7.51,5.32,7.08,43692800
2015-09-04,6.95,7.26,6.12,6.16,29046800
2015-09-11,6.6,7.07,6.39,6.54,35136500
2015-09-18,6.48,6.75,6.06,6.15,32566300
2015-09-25,6.18,6.19,4.78,4.88,51642600
2015-10-02,4.7,5.12,4.39,5.1,48430700
2015-10-09,5.43,8.29,5.34,7.46,77892500
2015-10-16,7.6,7.63,6.27,6.48,38310900
2015-10-23,6.2,7.01,5.96,6.78,48014200
2015-10-30,6.83,6.91,5.54,5.87,38096700
2015-11-06,5.8,6.5,5.16,5.39,50926200
2015-11-13,5.37,5.41,4.51,4.61,36777000
2015-11-20,4.61,4.99,4.32,4.35,49458500
2015-11-27,4.24,4.42,4.03,4.07,27187800
2015-12-04,4.11,4.29,3.9,4.11,29405500
2015-12-11,4.02,4.02,3.49,3.52,32675300
2015-12-18,3.52,3.54,3.04,3.29,43489900
2015-12-25,3.39,4.14,3.28,4.07,26130300
2016-01-01,3.97,4.04,3.76,3.86,12396000
2016-01-08,3.66,3.83,3.15,3.16,38369900
2016-01-15,3.23,3.24,2.56,3.1,58488200
2016-01-22,3.26,4.13,3.1,3.72,45456500
2016-01-29,3.67,3.73,3.35,3.73,30564200
2016-02-05,3.69,4.49,3.35,4.3,37925300
2016-02-12,4.28,4.68,3.55,4.68,39244900
2016-02-19,4.74,6.41,4.42,5.95,44124900
2016-02-26,6.26,7.25,5.17,5.66,61576900
2016-03-04,5.77,8.21,5.61,7.71,60433400
2016-03-11,7.77,8.41,6.95,7.45,45418300
2016-03-18,7.34,9.25,6.87,8.47,47845800
2016-03-25,8.38,8.78,6.55,7.36,29057100
2016-04-01,7.45,8.05,6.86,7.78,34029000
2016-04-08,7.76,7.87,6.88,7.33,33770700
2016-04-15,7.49,9.0,7.46,8.5,58331600
2016-04-22,8.09,11.75,8.09,10.4,96566600
2016-04-29,10.25,12.53,10.15,12.25,74361200
2016-05-06,12.47,12.51,10.1,10.46,65605200
2016-05-13,9.91,10.11,9.08,9.42,56806100
2016-05-20,9.68,10.56,9.06,9.85,61334800
2016-05-27,9.61,10.17,9.2,9.53,38483500
2016-06-03,9.52,10.77,9.2,10.7,41142100
2016-06-10,10.99,12.46,10.94,11.4,49089300
2016-06-17,11.28,12.01,10.61,11.94,39186800
2016-06-24,12.31,12.84,11.44,11.79,34008100
2016-07-01,11.65,14.45,11.04,14.38,47881800
2016-07-08,13.66,13.85,12.9,13.55,28111000
2016-07-15,13.79,14.55,13.74,14.37,30579100
2016-07-22,14.16,14.38,12.62,13.58,32579700
2016-07-29,13.45,15.97,13.01,15.93,46839000
2016-08-05,15.58,15.94,14.81,15.9,27259900
2016-08-12,15.97,16.94,15.59,15.77,23962200
2016-08-19,15.9,16.52,15.67,15.8,32211400
2016-08-26,15.4,17.01,15.05,15.98,34297400
2016-09-02,15.92,17.43,15.85,16.99,36337400
2016-09-09,17.25,17.9,16.02,16.19,36032700
2016-09-16,15.67,18.5,15.58,18.26,49393500
2016-09-23,18.6,19.08,17.02,18.18,61032000
2016-09-30,18.22,19.03,17.82,18.03,40621000
2016-10-07,18.17,18.37,16.95,17.48,41027300
2016-10-14,17.74,18.9,17.57,18.77,37719200
2016-10-21,19.26,20.84,19.17,20.5,52839300
2016-10-28,20.73,21.69,19.75,21.07,39039700
2016-11-04,21.22,22.13,20.52,21.03,33714500
2016-11-11,21.81,22.98,21.0,22.59,47368300
2016-11-18,22.75,24.0,22.01,22.77,39021700
2016-11-25,23.59,26.21,23.44,25.69,26681300
2016-12-02,25.75,26.6,23.95,25.36,31521400
2016-12-09,26.05,26.11,22.22,22.33,28240200
2016-12-16,22.84,23.33,20.39,20.44,36011000
2016-12-23,20.23,21.84,20.13,20.53,19769600
2016-12-30,20.77,21.36,20.0,20.03,11363200
2017-01-06,20.52,21.7,19.9,21.03,22148200
2017-01-13,21.03,24.91,20.75,24.69,33389200
2017-01-20,24.52,24.53,23.22,23.58,17090800
2017-01-27,24.03,26.46,23.8,25.21,24397300
2017-02-03,25.18,26.02,24.13,24.24,19496000
2017-02-10,24.28,24.93,23.1,24.9,21460200
2017-02-17,25.38,26.11,20.67,21.34,52612400
2017-02-24,21.99,22.34,20.43,20.72,26460000
2017-03-03,20.67,21.43,19.69,20.39,37116000
2017-03-10,19.93,20.17,19.2,19.87,27696400
2017-03-17,20.2,22.2,19.75,21.17,23531600
2017-03-24,21.01,22.08,20.42,21.1,22950500
2017-03-31,20.53,22.52,20.38,21.9,23621100
2017-04-07,22.7,24.04,22.39,23.52,30918400
2017-04-14,23.61,24.07,21.96,22.0,17962400
2017-04-21,22.26,22.55,21.11,21.79,31919000
2017-04-28,22.09,22.34,20.25,20.74,36043700
2017-05-05,20.73,20.93,18.09,18.54,28803900
2017-05-12,18.2,18.77,17.91,18.44,20462700
2017-05-19,18.79,18.95,17.43,18.69,19030000
2017-05-26,18.82,19.3,18.37,18.71,15802400
2017-06-02,18.8,18.89,17.23,17.47,18522500
2017-06-09,17.32,18.28,17.11,17.94,18655800
2017-06-16,17.89,18.42,14.56,14.94,30573300
2017-06-23,15.11,16.67,14.85,16.55,36071500
2017-06-30,16.8,17.93,16.33,17.33,23623200
2017-07-07,17.45,18.02,17.2,17.67,13335600
2017-07-14,17.55,19.6,17.32,19.3,19478700
2017-07-21,19.55,19.75,19.04,19.47,20212700
2017-07-28,19.54,21.82,19.42,21.21,26979800
2017-08-04,21.44,22.47,21.29,22.34,16959100
2017-08-11,22.66,22.98,21.7,22.18,18259300
2017-08-18,22.19,23.57,22.03,23.3,17848100
2017-08-25,23.58,24.8,23.51,24.66,15198100
2017-09-01,24.83,25.67,24.58,25.46,17211600
2017-09-08,24.36,24.76,22.91,23.24,41767700
2017-09-15,23.17,23.65,21.01,21.06,33852200
2017-09-22,21.1,22.2,21.0,21.96,32030900
2017-09-29,21.93,21.93,20.85,21.09,21574800
2017-10-06,21.11,23.34,21.07,22.97,24439500
2017-10-13,23.03,23.59,21.97,22.93,18831000
2017-10-20,23.58,23.67,21.69,22.74,23998700
2017-10-27,22.63,23.43,20.06,20.86,40974400
2017-11-03,20.89,21.35,20.36,20.84,23034500
2017-11-10,21.08,21.97,20.88,21.53,15072800
2017-11-17,21.39,22.23,20.42,21.93,19176500
2017-11-24,21.89,23.61,21.77,23.48,11429900
2017-12-01,23.27,23.5,22.36,23.31,18062700
2017-12-08,22.94,23.9,22.5,23.0,21569700
2017-12-15,23.21,24.1,23.16,23.82,20461300
2017-12-22,23.89,25.56,23.86,25.41,19486500
2017-12-29,25.4,26.82,25.36,26.17,12519200
2018-01-05,26.31,27.45,26.25,27.33,17351300
2018-01-12,27.37,30.79,27.35,30.64,26744100
2018-01-19,30.19,30.31,29.09,29.43,18028600
2018-01-26,29.36,29.76,27.77,29.36,20160200
2018-02-02,29.45,30.29,28.26,28.33,17738600
2018-02-09,28.11,29.29,26.39,27.7,26300200
2018-02-16,28.18,30.8,27.9,29.75,28192000
2018-02-23,28.99,29.83,28.74,29.53,11302800
2018-03-02,29.76,30.01,27.63,28.27,14692700
2018-03-09,27.81,28.81,26.25,26.44,15899000
2018-03-16,26.45,27.76,26.28,27.36,9949000
2018-03-23,27.15,27.44,25.44,25.49,13013900
2018-03-30,25.77,26.27,24.49,25.76,10892300
2018-04-06,25.93,26.8,24.49,26.19,12730500
2018-04-13,26.44,27.66,25.68,26.67,13577900
2018-04-20,26.88,27.43,25.99,26.65,13701800
2018-04-27,26.3,27.06,24.33,24.61,20875700
2018-05-04,24.75,26.04,24.65,25.85,13904100
2018-05-11,25.91,28.05,25.32,27.83,16243300
2018-05-18,28.13,28.97,27.62,28.23,9306600
2018-05-25,28.39,29.04,26.64,26.78,10354300
2018-06-01,26.43,27.61,26.05,27.5,10615900
2018-06-08,27.72,30.11,27.27,29.49,14039700
2018-06-15,29.53,29.88,26.43,26.92,12325000
2018-06-22,26.42,26.99,25.25,26.04,12974100
2018-06-29,25.52,25.63,24.03,25.45,13789500
2018-07-06,25.02,25.36,24.25,25.02,9255300
2018-07-13,25.37,25.68,23.95,24.63,13927600
2018-07-20,24.45,25.18,24.01,24.39,12264900
2018-07-27,24.45,26.4,24.18,25.93,18077000
2018-08-03,26.08,26.18,24.21,24.86,11396200
2018-08-10,24.45,25.61,24.24,24.33,6751400
2018-08-17,24.45,24.73,21.63,22.78,10523200
2018-08-24,22.95,23.16,22.33,22.85,9824800
2018-08-31,22.9,24.64,22.66,22.74,8928500
2018-09-07,21.81,22.79,21.52,21.92,8366800
2018-09-14,21.9,23.77,21.23,23.45,13945300
2018-09-21,23.49,25.82,23.42,25.55,12674900
2018-09-28,25.69,25.79,23.39,24.1,14582800
2018-10-05,24.35,25.33,23.19,24.02,17514200
2018-10-12,23.76,24.18,22.1,23.23,17740200
2018-10-19,23.62,24.34,23.25,23.35,13537900
2018-10-26,23.41,23.64,18.17,18.91,24656000
2018-11-02,19.12,21.91,18.32,21.23,21553300
2018-11-09,21.45,21.8,19.92,20.83,13733800
2018-11-16,20.88,22.38,20.4,21.93,15306400
2018-11-23,21.93,21.99,19.88,20.19,8144300
2018-11-30,20.16,20.76,18.74,20.3,16981700
2018-12-07,21.16,22.48,20.75,21.45,15967300
2018-12-14,21.43,22.81,20.52,22.26,15260200
2018-12-21,22.36,22.43,20.48,20.78,15247800
2018-12-28,20.57,21.95,20.23,21.08,7829500
2019-01-04,21.25,21.6,19.81,21.0,9196900
2019-01-11,21.29,23.13,20.97,22.77,12953400
2019-01-18,22.63,23.38,22.1,23.09,11382500
2019-01-25,22.74,23.3,21.95,22.93,13236000
2019-02-01,22.7,24.61,22.46,23.53,14602400
2019-02-08,23.27,24.09,22.94,23.09,13424000
2019-02-15,22.89,23.09,21.3,21.65,21337500
2019-02-22,21.65,23.79,21.62,23.75,17319100
2019-03-01,23.8,23.83,21.9,21.98,11579300
2019-03-08,22.02,22.74,21.39,21.58,10574400
2019-03-15,21.67,22.41,21.46,21.55,8118200
2019-03-22,21.68,23.39,21.63,22.53,12256100
2019-03-29,22.61,23.5,22.34,23.18,12197400
2019-04-05,23.72,24.13,22.71,24.05,20824600
2019-04-12,24.29,25.3,24.04,25.21,13169400
2019-04-19,25.17,25.75,23.84,24.83,12153800
2019-04-26,24.89,25.45,22.92,23.66,17233100
2019-05-03,23.55,23.71,22.0,22.99,16986500
2019-05-10,22.18,22.5,21.52,21.95,11638100
2019-05-17,21.44,21.49,20.32,20.42,13203200
2019-05-24,20.19,20.77,19.4,19.81,10494200
2019-05-31,20.16,20.46,19.46,20.31,9501900
2019-06-07,20.41,21.54,20.16,21.36,10461600
2019-06-14,21.45,22.62,21.29,21.71,9467800
2019-06-21,21.69,23.24,21.41,22.58,12495400
2019-06-28,22.68,23.07,22.5,23.06,13086900
2019-07-05,23.2,23.3,21.86,22.08,10229900
2019-07-12,22.0,22.04,21.04,21.68,9078200
2019-07-19,21.91,22.66,21.59,22.2,11121300
2019-07-26,22.05,23.13,21.15,21.3,17448900
2019-08-02,21.38,21.43,18.35,18.56,16101000
2019-08-09,18.11,18.17,16.8,16.84,16158000
2019-08-16,16.76,17.48,16.43,16.55,14028800
2019-08-23,16.75,16.9,16.18,16.23,10432200
2019-08-30,16.37,17.22,16.33,17.03,10811100
2019-09-06,16.88,17.9,16.66,17.51,8693600
2019-09-13,17.55,19.44,17.37,19.1,12562300
2019-09-20,19.25,19.4,17.34,17.34,15252100
2019-09-27,17.08,17.08,15.9,16.37,15919600
2019-10-04,16.24,16.45,14.89,15.63,15991400
2019-10-11,15.61,16.95,14.51,16.76,16672100
2019-10-18,16.38,16.94,15.98,16.49,11109900
2019-10-25,16.8,17.6,15.82,16.69,17283100
2019-11-01,16.79,17.15,15.64,16.12,18325500
2019-11-08,16.42,17.55,16.14,16.99,16748000
2019-11-15,16.68,17.1,15.73,16.39,12679900
2019-11-22,16.24,16.31,15.5,15.73,14500000
2019-11-29,15.9,16.03,15.5,15.7,9141800
2019-12-06,15.69,16.25,14.96,16.02,16085400
2019-12-13,15.96,17.27,15.64,16.82,18715100
2019-12-20,17.35,17.48,16.83,16.9,18346500
2019-12-27,16.9,17.74,16.86,17.41,9004900
2020-01-03,17.48,17.77,16.88,16.94,10814300
2020-01-10,16.8,16.85,15.46,15.84,15037200
2020-01-17,15.9,16.31,15.7,16.22,25520400
2020-01-24,16.17,16.2,14.19,14.45,20677000
2020-01-31,13.74,13.81,12.72,12.91,29255800
2020-02-07,13.03,14.4,12.82,13.36,22252500
2020-02-14,13.25,14.33,12.93,13.46,19180400
2020-02-21,13.3,13.39,10.85,10.92,29477100
2020-02-28,10.33,10.75,9.67,10.12,39563000
2020-03-06,10.26,11.03,9.6,10.51,36577700
2020-03-13,9.56,9.58,6.96,8.95,38730000
2020-03-20,7.62,8.5,5.6,7.12,33267300
2020-03-27,7.12,8.34,6.42,6.51,34896600
2020-04-03,6.55,7.81,6.26,7.11,24777100
2020-04-10,7.46,8.48,7.3,7.91,23945400
2020-04-17,8.05,8.99,7.7,7.9,24033100
2020-04-24,7.5,7.86,6.79,7.39,24873500
2020-05-01,7.4,9.12,6.91,8.55,41536500
2020-05-08,8.43,9.34,8.25,9.14,24765300
2020-05-15,8.9,9.07,7.79,8.8,26606300
2020-05-22,9.27,10.26,9.09,9.16,21759800
2020-05-29,9.48,10.01,9.23,9.49,19143800
2020-06-05,9.56,12.05,9.39,11.66,26039000
2020-06-12,12.27,12.28,9.86,10.39,23781600
2020-06-19,9.88,11.27,9.61,10.0,21548800
2020-06-26,10.0,11.03,9.56,9.88,20126100
2020-07-03,9.87,10.77,9.74,10.41,13344500
2020-07-10,10.69,11.05,10.48,10.99,16648400
2020-07-17,11.26,11.84,10.73,11.22,17976200
2020-07-24,11.3,11.8,10.76,11.17,22514600
2020-07-31,11.22,11.32,10.03,10.13,16087800
2020-08-07,10.2,11.41,10.15,11.09,12610900
2020-08-14,11.2,11.86,11.14,11.33,9899500
2020-08-21,11.49,12.88,11.34,11.35,20444300
2020-08-28,11.6,11.86,10.9,11.78,13037800
2020-09-04,11.8,12.03,11.14,11.77,14122300
2020-09-11,11.34,13.29,11.2,13.0,23215600
2020-09-18,13.2,15.6,12.75,15.41,29145900
2020-09-25,14.53,14.72,13.41,14.04,28388900
2020-10-02,14.56,14.64,13.6,14.26,19172700
2020-10-09,14.38,14.44,13.09,13.9,35283900
2020-10-16,14.0,14.02,13.05,13.55,24197800
2020-10-23,13.59,14.18,13.4,13.85,22816600
2020-10-30,13.6,13.81,11.91,13.14,27009600
2020-11-06,13.42,14.77,12.95,14.65,16684100
2020-11-13,15.75,15.92,14.41,14.68,18442000
2020-11-20,15.06,15.34,14.68,15.06,17830400
2020-11-27,15.3,16.34,15.23,16.0,16872200
2020-12-04,16.23,18.84,15.8,18.83,29854600
2020-12-11,18.72,18.78,17.64,18.02,19823700
2020-12-18,18.22,18.95,17.72,17.88,20627000
2020-12-25,16.96,18.03,16.82,17.53,8473500
2021-01-01,17.78,18.63,17.49,18.15,7716200
2021-01-08,18.63,20.27,18.6,19.58,25838300
2021-01-15,18.83,20.0,18.7,19.63,15244800
2021-01-22,19.92,21.34,19.84,20.5,14760500
2021-01-29,20.45,20.56,18.08,18.28,22512000
2021-02-05,18.39,18.82,17.6,18.33,19022200
2021-02-12,18.75,19.96,18.53,19.71,19085100
2021-02-19,20.15,23.15,20.15,23.0,25645900
2021-02-26,22.84,23.93,20.61,20.83,32554500
2021-03-05,21.37,22.21,20.16,21.35,33357100
2021-03-12,21.31,22.82,20.5,22.63,22996200
2021-03-19,22.48,22.61,20.2,20.28,35265800
2021-03-26,20.4,20.65,17.31,19.05,29761700
2021-04-02,18.77,19.64,18.73,19.55,21443100
2021-04-09,19.96,20.48,19.64,19.82,20207000
2021-04-16,19.85,22.49,19.4,22.23,21357700
2021-04-23,22.35,22.82,20.98,21.91,14656500
2021-04-30,22.25,22.79,21.03,21.17,27350800
2021-05-07,21.53,25.65,21.0,25.65,38282300
2021-05-14,26.43,26.72,24.03,25.47,33890900
2021-05-21,25.55,26.61,22.54,23.09,49046600
2021-05-28,23.09,24.87,22.21,24.71,28039200
2021-06-04,25.03,25.79,23.76,24.73,16957800
2021-06-11,24.48,24.62,23.25,23.66,19861500
2021-06-18,23.53,23.59,20.23,20.48,32577300
2021-06-25,20.91,23.15,20.72,23.01,25602400
2021-07-02,23.05,23.42,22.32,23.18,15238700
2021-07-09,23.5,23.55,21.44,23.53,15197400
2021-07-16,23.26,23.71,21.37,21.5,14978000
2021-07-23,20.31,21.54,19.67,20.99,27110900
2021-07-30,21.45,23.51,20.73,22.84,22038300
2021-08-06,23.06,23.27,21.39,21.93,14900200
2021-08-13,21.6,23.57,21.42,22.84,14532600
2021-08-20,22.4,22.42,19.32,19.69,32174700
2021-08-27,20.34,23.04,20.25,22.86,19697400
2021-09-03,23.06,24.75,22.12,24.62,19150600
2021-09-10,24.58,25.68,23.71,25.26,22895200
2021-09-17,25.38,27.08,23.91,24.66,38416500
2021-09-24,23.23,25.57,22.75,24.78,33356400
2021-10-01,24.78,25.75,24.51,25.19,21376500
2021-10-08,25.36,26.91,24.11,26.7,20508500
2021-10-15,28.15,29.48,27.18,29.24,20076500
2021-10-22,29.05,29.92,27.32,27.83,22995300
2021-10-29,28.08,28.95,27.21,27.9,26477100
2021-11-05,28.1,28.8,27.04,27.09,17036100
2021-11-12,27.61,29.19,26.49,28.52,26088400
2021-11-19,28.0,28.11,25.78,26.1,34378700
2021-11-26,26.16,27.46,25.08,26.03,15700300
2021-12-03,27.06,27.53,25.55,25.76,20121600
2021-12-10,26.05,28.29,25.24,27.22,16967300
2021-12-17,27.24,27.88,25.85,26.95,15496300
2021-12-24,26.27,28.47,25.87,28.29,11537100
2021-12-31,28.3,29.05,28.1,28.82,8997600
2022-01-07,28.82,30.45,28.66,30.41,15036100
2022-01-14,30.31,34.78,30.31,33.98,30076300
2022-01-21,33.9,35.37,32.24,32.55,20410200
2022-01-28,31.13,33.62,29.63,30.71,29345400
2022-02-04,30.57,33.4,30.09,33.23,19456900
2022-02-11,33.5,37.23,33.06,36.43,25081800
2022-02-18,36.5,37.09,34.89,35.49,20192200
2022-02-25,35.92,36.86,33.55,36.84,26900200
2022-03-04,36.1,41.51,34.98,41.49,50504700
