Date,Open,High,Low,Close,Volume
2015-04-03,18.87,19.14,18.48,18.86,7128600
2015-04-10,18.61,19.38,18.54,19.37,6387800
2015-04-17,19.34,19.42,18.13,18.24,10532700
2015-04-24,18.41,18.81,18.3,18.39,11945300
2015-05-01,18.38,20.5,18.03,20.3,21111700
2015-05-08,20.35,20.71,19.72,20.51,12219000
2015-05-15,20.47,20.91,20.27,20.63,9772000
2015-05-22,20.66,20.86,20.56,20.71,7044800
2015-05-29,20.66,21.33,20.33,21.15,9235600
2015-06-05,21.27,21.3,20.61,21.16,8798400
2015-06-12,21.08,21.22,20.63,21.02,8121600
2015-06-19,20.76,21.22,20.37,20.76,12861800
2015-06-26,20.45,20.85,19.64,19.71,11771900
2015-07-03,19.41,19.68,19.11,19.43,8065100
2015-07-10,19.23,19.5,18.78,19.34,13009200
2015-07-17,19.52,19.67,18.95,19.21,9427300
2015-07-24,19.24,19.28,18.31,18.36,9062200
2015-07-31,18.23,20.0,18.08,19.26,17378800
2015-08-07,19.19,19.31,18.51,18.93,11973200
2015-08-14,19.1,19.35,17.19,18.65,7887000
2015-08-21,18.5,19.23,17.26,17.26,10862100
2015-08-28,16.19,18.13,16.06,18.02,13555200
2015-09-04,18.01,18.31,17.43,17.62,7993700
2015-09-11,18.02,18.4,17.67,17.89,6351500
2015-09-18,17.92,19.39,17.71,18.43,12675500
2015-09-25,18.44,18.89,16.85,17.32,9159000
2015-10-02,17.14,18.22,16.89,18.22,10284400
2015-10-09,18.4,19.27,18.23,18.68,9754300
2015-10-16,18.75,18.96,18.11,18.21,11802300
2015-10-23,18.16,19.29,18.09,19.05,19921100
2015-10-30,18.98,20.36,18.36,19.52,19779400
2015-11-06,19.57,20.16,19.51,19.99,10937900
2015-11-13,19.95,20.67,19.73,19.92,11097100
2015-11-20,19.89,20.71,19.79,20.58,10398400
2015-11-27,20.53,20.73,20.23,20.62,6130500
2015-12-04,20.68,21.19,20.12,20.78,9951600
2015-12-11,20.63,20.83,20.11,20.22,8597300
2015-12-18,20.26,21.15,19.72,20.64,11477700
2015-12-25,20.8,21.58,20.62,21.46,6018800
2016-01-01,21.36,21.5,20.67,20.67,5454700
2016-01-08,20.46,20.6,19.06,19.11,10939400
2016-01-15,19.29,19.7,18.55,18.98,12162900
2016-01-22,19.28,19.98,18.82,19.78,8707300
2016-01-29,19.75,21.08,18.53,19.43,22972600
2016-02-05,19.25,19.57,18.25,18.35,14305100
2016-02-12,18.07,18.25,17.34,17.72,10724600
2016-02-19,17.89,19.05,17.89,18.83,8036200
2016-02-26,18.98,19.42,18.3,19.12,7350300
2016-03-04,19.17,19.89,19.05,19.67,6721800
2016-03-11,19.56,20.28,19.33,20.16,7172200
2016-03-18,20.06,21.47,19.88,21.25,8939800
2016-03-25,21.17,21.39,20.8,21.09,5100600
2016-04-01,21.13,21.83,20.81,21.75,5738900
2016-04-08,21.75,21.84,20.61,20.86,11334600
2016-04-15,20.99,21.1,20.46,20.71,7612400
2016-04-22,20.69,20.96,20.49,20.69,7400600
2016-04-29,20.6,21.06,18.6,18.91,15816000
2016-05-06,18.93,19.05,18.38,18.72,9291200
2016-05-13,18.78,19.03,18.4,18.46,7208600
2016-05-20,18.48,18.97,18.26,18.85,7509800
2016-05-27,18.94,19.88,18.84,19.74,6884900
2016-06-03,19.79,19.93,19.61,19.71,5850400
2016-06-10,19.77,20.27,19.58,19.9,6145100
2016-06-17,19.79,19.93,18.87,19.08,10275700
2016-06-24,19.52,20.29,18.97,19.0,9464000
2016-07-01,18.74,19.75,18.07,19.45,7883700
2016-07-08,19.26,19.92,18.87,19.9,5141700
2016-07-15,20.05,21.39,20.05,20.78,10177100
2016-07-22,20.97,21.33,20.63,20.88,8175900
2016-07-29,20.93,21.33,19.45,19.75,16652000
2016-08-05,19.78,20.16,19.43,20.13,9054100
2016-08-12,20.11,20.34,19.74,20.08,7193800
2016-08-19,20.19,20.9,20.15,20.84,6929400
2016-08-26,20.78,21.15,20.69,21.06,6745000
2016-09-02,21.13,21.45,20.84,21.28,9116600
2016-09-09,21.38,21.48,20.28,20.28,5985100
2016-09-16,20.11,21.09,20.07,20.86,8785200
2016-09-23,21.0,21.63,20.88,21.29,5863200
2016-09-30,21.12,21.66,20.84,21.58,6487800
2016-10-07,21.6,21.87,21.22,21.82,6709700
2016-10-14,21.82,22.13,20.53,21.2,7426300
2016-10-21,21.2,21.58,20.22,21.41,7166500
2016-10-28,21.69,23.68,21.63,23.08,12491400
2016-11-04,23.26,23.63,22.68,22.83,12078900
2016-11-11,23.07,23.95,23.0,23.82,11842800
2016-11-18,23.97,24.84,23.9,24.73,8176600
2016-11-25,24.93,25.18,24.52,25.16,4504300
2016-12-02,24.92,25.12,23.39,23.94,8970200
2016-12-09,24.23,26.59,24.11,25.84,27461600
2016-12-16,26.0,26.11,25.37,25.54,10194300
2016-12-23,25.62,25.95,25.37,25.72,5711900
2016-12-30,25.71,26.05,25.29,25.4,4559600
2017-01-06,25.51,25.95,25.24,25.65,8043600
2017-01-13,25.72,26.69,25.68,26.54,11118500
2017-01-20,26.54,26.55,25.8,26.29,6192100
2017-01-27,26.12,28.68,25.93,28.56,20459400
2017-02-03,28.38,29.03,27.97,28.79,14340300
2017-02-10,28.79,29.03,28.41,28.9,9898300
2017-02-17,29.02,29.22,28.62,29.17,8601700
2017-02-24,29.24,29.66,28.52,28.94,7713600
2017-03-03,28.96,29.15,28.38,28.89,10882300
2017-03-10,28.67,29.86,28.5,29.74,7588400
2017-03-17,29.74,31.08,29.68,30.83,9952800
2017-03-24,30.8,31.19,29.97,30.67,7391800
2017-03-31,30.26,31.21,30.17,31.1,6690400
2017-04-07,31.17,32.26,30.47,32.02,13946600
2017-04-14,32.12,32.16,30.98,30.99,7201500
2017-04-21,31.16,32.51,30.92,32.44,8748800
2017-04-28,32.95,36.59,32.69,35.27,22973400
2017-05-05,35.44,36.23,35.26,35.6,10208900
2017-05-12,35.84,36.1,35.09,35.23,10698000
2017-05-19,35.39,35.99,33.14,34.85,12848000
2017-05-26,35.1,35.68,34.55,35.59,7893500
2017-06-02,35.44,35.98,35.08,35.27,6937700
2017-06-09,35.17,36.0,33.42,34.04,13645900
2017-06-16,33.67,34.31,31.71,32.54,16386000
2017-06-23,32.98,33.23,31.95,32.44,16798000
2017-06-30,32.47,32.82,29.88,30.03,15652400
2017-07-07,30.17,31.49,29.68,31.4,15861500
2017-07-14,31.46,34.01,31.2,33.99,16299600
2017-07-21,34.0,35.46,33.7,35.13,12873000
2017-07-28,35.2,36.86,33.0,34.48,26430600
2017-08-04,34.7,35.0,32.69,33.46,16972800
2017-08-11,33.47,34.34,32.57,33.48,11903800
2017-08-18,33.84,34.88,33.63,33.87,9364700
2017-08-25,34.0,34.91,33.3,34.53,8937800
2017-09-01,34.61,36.03,34.24,35.79,8526300
2017-09-08,35.85,35.98,34.92,35.08,6822800
2017-09-15,35.43,36.94,35.43,36.87,11803200
2017-09-22,35.97,36.54,35.42,36.45,14555200
2017-09-29,36.25,37.47,35.38,37.29,12480900
2017-10-06,37.47,38.1,37.3,37.9,9448400
2017-10-13,37.9,39.05,37.7,38.61,7485100
2017-10-20,38.59,39.47,38.26,39.11,9119400
2017-10-27,39.35,42.81,38.58,42.74,21628200
2017-11-03,42.9,43.64,41.85,42.88,12389800
2017-11-10,42.92,44.04,42.57,43.7,11552400
2017-11-17,43.34,44.33,42.04,43.57,9695700
2017-11-24,43.96,44.63,43.21,43.64,6063800
2017-12-01,43.24,43.44,38.9,40.11,15778400
2017-12-08,40.65,40.98,38.75,40.51,9592900
2017-12-15,40.65,42.09,40.12,41.88,10390400
2017-12-22,42.29,43.31,41.82,42.79,8309400
2017-12-29,42.33,42.87,41.84,41.87,5074200
2018-01-05,43.71,45.76,43.08,45.61,8626000
2018-01-12,45.61,46.48,43.71,44.6,12042500
2018-01-19,45.06,47.72,44.87,47.42,13231100
2018-01-26,47.48,48.53,44.11,47.7,21584700
2018-02-02,47.66,47.75,44.33,44.42,12013500
2018-02-09,43.69,45.06,39.24,41.27,18809800
2018-02-16,41.67,43.76,40.01,43.31,14032700
2018-02-23,43.24,45.24,43.07,44.42,10259000
2018-03-02,44.67,46.23,43.8,45.65,8861600
2018-03-09,45.64,49.96,45.34,49.4,11064600
2018-03-16,49.68,50.68,48.69,49.23,9463700
2018-03-23,49.09,50.29,45.64,45.65,11368500
2018-03-30,47.3,48.08,44.47,45.71,7616100
2018-04-06,45.36,45.68,42.45,42.68,12181200
2018-04-13,42.94,44.14,42.23,43.47,11869400
2018-04-20,43.69,45.06,40.62,40.9,20048300
2018-04-27,41.11,41.72,33.04,33.2,43085200
2018-05-04,33.16,35.74,32.06,35.7,28882800
2018-05-11,35.94,37.08,35.57,36.33,15518800
2018-05-18,36.65,38.14,35.45,37.39,15723600
2018-05-25,37.84,38.9,37.68,38.73,10003100
2018-06-01,38.29,39.35,37.88,39.31,14859000
2018-06-08,39.17,40.04,37.69,38.69,13236700
2018-06-15,38.85,39.73,38.57,39.34,13101100
2018-06-22,38.87,39.55,37.94,38.8,10959800
2018-06-29,38.32,38.74,36.8,38.07,12560200
2018-07-06,37.47,39.57,37.41,39.52,8789800
2018-07-13,39.75,40.76,38.77,39.58,10599600
2018-07-20,39.6,41.46,39.37,40.22,12437800
2018-07-27,39.92,45.8,39.23,44.25,24278500
2018-08-03,44.27,44.49,42.26,43.75,11496500
2018-08-10,43.97,44.51,41.39,41.71,10058400
2018-08-17,41.97,42.41,38.97,39.26,13320300
2018-08-24,39.29,40.85,38.83,40.73,8852700
2018-08-31,41.05,41.92,40.84,41.19,7501800
2018-09-07,41.0,41.52,39.35,39.7,8694500
2018-09-14,40.25,40.25,36.44,37.54,14352100
2018-09-21,37.49,38.39,36.77,38.21,12147000
2018-09-28,38.06,38.6,36.64,36.98,10387300
2018-10-05,37.45,37.66,34.8,34.94,12659700
2018-10-12,34.29,34.93,32.41,33.25,16163200
2018-10-19,33.07,35.72,32.0,32.77,14026600
2018-10-26,33.0,33.25,30.22,32.35,27468100
2018-11-02,32.91,36.45,31.96,36.11,16790600
2018-11-09,36.25,36.93,35.02,35.59,7373200
2018-11-16,35.01,36.64,33.66,36.41,11891800
2018-11-23,36.13,36.44,33.09,35.86,6353400
2018-11-30,36.49,36.75,34.79,35.69,14157700
2018-12-07,36.64,37.13,32.29,32.61,13124400
2018-12-14,32.51,34.18,32.2,32.51,9085200
2018-12-21,32.31,33.26,29.51,29.56,20806800
2018-12-28,29.34,31.96,28.73,31.19,8783400
2019-01-04,31.61,32.17,29.58,31.1,12378700
2019-01-11,31.21,32.66,30.4,32.33,9941100
2019-01-18,31.11,33.37,30.84,32.9,11915600
2019-01-25,32.47,37.47,31.51,36.75,21026000
2019-02-01,36.01,37.28,35.28,36.76,15230900
2019-02-08,36.76,38.92,36.44,37.54,10089600
2019-02-15,37.46,40.1,37.27,39.77,9569000
2019-02-22,40.0,41.29,39.91,41.24,8300200
2019-03-01,41.69,42.49,40.56,41.0,8099700
2019-03-08,41.14,41.45,38.0,38.75,9126900
2019-03-15,38.92,40.59,38.84,40.46,10262900
2019-03-22,40.44,40.93,39.2,39.61,15459600
2019-03-29,39.41,40.2,38.86,39.84,6155800
2019-04-05,40.13,44.4,40.13,44.15,11371800
2019-04-12,44.12,44.37,43.13,44.14,9566300
2019-04-19,44.0,45.57,43.4,44.81,6761300
2019-04-26,44.71,49.53,44.36,48.76,21761800
2019-05-03,48.77,49.83,48.35,49.43,9084000
2019-05-10,47.93,48.9,46.64,48.25,9995600
2019-05-17,46.41,47.43,45.43,45.9,7677100
2019-05-24,44.11,45.0,41.69,41.89,13368100
2019-05-31,41.88,43.31,40.92,42.14,7687100
2019-06-07,42.45,45.52,41.89,45.21,9566700
2019-06-14,45.66,47.93,43.46,44.03,9215000
2019-06-21,44.0,46.5,43.7,46.05,8129200
2019-06-28,45.93,48.12,45.43,47.91,9957500
2019-07-05,49.4,49.77,46.28,46.91,6412700
2019-07-12,46.63,47.49,44.58,46.26,9943600
2019-07-19,46.48,46.74,43.79,45.96,9628300
2019-07-26,46.4,58.61,46.39,56.35,28571900
2019-08-02,56.32,58.02,53.17,53.47,15096300
2019-08-09,51.85,52.96,49.89,52.17,19364900
2019-08-16,51.76,54.35,51.09,52.95,9019600
2019-08-23,53.9,54.27,51.74,51.99,6757200
2019-08-30,52.89,53.38,51.32,52.97,5670200
2019-09-06,52.72,56.54,51.89,56.08,6489500
2019-09-13,56.53,58.2,55.2,57.84,11205800
2019-09-20,57.08,59.39,56.65,58.21,9893100
2019-09-27,58.53,59.75,56.63,57.4,10003600
2019-10-04,57.9,60.0,56.89,59.96,8925900
2019-10-11,59.69,61.75,57.45,61.18,11544300
2019-10-18,60.99,62.09,58.6,58.93,10825100
2019-10-25,60.05,65.44,58.88,63.62,19705000
2019-11-01,64.35,65.04,60.55,62.39,8554600
2019-11-08,63.19,64.29,61.97,63.51,8582600
2019-11-15,63.04,67.2,63.0,66.77,11915200
2019-11-22,66.55,66.74,61.42,61.96,10763200
2019-11-29,62.41,64.57,62.31,62.59,14555600
2019-12-06,62.57,63.99,61.02,63.94,7403100
2019-12-13,64.0,67.37,63.5,66.69,7065300
2019-12-20,67.72,69.44,67.41,69.35,10958600
2019-12-27,69.73,69.9,68.6,69.14,3896700
2020-01-03,69.16,69.79,67.47,68.23,4344100
2020-01-10,67.31,69.5,66.23,67.93,7986100
2020-01-17,69.82,70.82,68.64,70.29,8204100
2020-01-24,70.46,81.57,70.25,72.1,29064600
2020-01-31,70.51,71.95,65.58,65.99,13921500
2020-02-07,66.38,71.83,66.31,69.45,8141100
2020-02-14,69.0,73.6,68.83,70.16,8365100
2020-02-21,67.92,68.7,65.64,66.0,10361600
2020-02-28,63.19,64.78,55.32,58.76,16566200
2020-03-06,59.41,62.5,57.25,58.92,10995000
2020-03-13,53.4,59.16,48.68,54.53,13773000
2020-03-20,48.1,53.92,42.87,44.29,13214600
2020-03-27,44.61,57.54,43.32,54.85,13962200
2020-04-03,54.98,56.09,51.15,52.86,8718200
2020-04-10,55.06,64.89,55.06,61.15,10101000
2020-04-17,60.81,66.44,59.23,63.83,10237500
2020-04-24,63.11,66.28,57.49,62.0,15230600
2020-05-01,62.64,67.54,56.71,57.85,11520800
2020-05-08,57.34,65.71,57.05,65.09,10012200
2020-05-15,64.18,64.55,56.42,56.89,11560800
2020-05-22,58.51,63.84,57.5,62.75,8520200
2020-05-29,64.8,68.17,63.11,67.02,9316600
2020-06-05,66.84,78.03,66.5,76.76,10314400
2020-06-12,78.0,78.19,70.32,71.75,13413100
2020-06-19,70.43,82.79,70.06,82.75,14343600
2020-06-26,82.94,85.42,80.63,81.85,12534800
2020-07-03,81.78,85.72,80.58,84.58,6976800
2020-07-10,86.92,89.58,85.88,87.38,9030100
2020-07-17,88.45,90.7,82.91,86.42,8584100
2020-07-24,86.95,90.65,82.74,83.53,13408900
2020-07-31,84.99,89.82,84.36,88.96,11309100
2020-08-07,89.46,92.24,85.64,87.57,10339900
2020-08-14,87.75,93.44,86.05,90.06,6565100
2020-08-21,91.0,92.65,87.52,88.0,5343000
2020-08-28,88.97,90.36,84.36,85.73,7016200
2020-09-04,86.08,88.53,75.46,78.6,11414300
2020-09-11,76.15,78.23,74.08,74.92,12164300
2020-09-18,76.49,78.68,74.2,76.37,37189300
2020-09-25,74.97,78.1,74.5,77.72,9806500
2020-10-02,78.66,81.65,77.57,78.62,7038600
2020-10-09,79.5,86.84,79.48,86.1,6626200
2020-10-16,87.26,88.85,84.28,86.59,6307900
2020-10-23,87.72,93.17,86.05,92.0,11162600
2020-10-30,90.58,91.62,85.0,87.85,7115600
2020-11-06,88.5,100.74,88.25,100.26,8910700
2020-11-13,104.94,105.62,97.48,102.29,8210100
2020-11-20,102.92,107.93,102.67,106.33,6632800
2020-11-27,106.35,110.83,106.35,109.4,5079100
2020-12-04,109.94,117.22,108.04,116.03,7989400
2020-12-11,116.55,118.96,112.28,115.37,6801300
2020-12-18,116.62,122.37,115.83,120.59,8802400
2020-12-25,117.83,120.16,116.83,118.88,4331200
2021-01-01,120.08,120.72,116.4,119.89,3185200
2021-01-08,121.88,133.48,118.1,132.15,7595700
2021-01-15,131.99,139.55,130.52,137.3,8337200
2021-01-22,139.23,143.4,137.33,137.95,6489600
2021-01-29,140.48,141.79,113.04,113.48,14042900
2021-02-05,116.5,128.15,114.0,126.12,13672800
2021-02-12,127.97,143.78,126.5,142.41,9770400
2021-02-19,145.79,147.9,134.48,142.59,8258200
2021-02-26,139.98,140.0,124.03,128.61,11265300
2021-03-05,131.47,134.35,106.45,113.9,12632300
2021-03-12,112.82,117.25,104.05,112.83,13763200
2021-03-19,113.52,119.99,111.32,114.91,13086300
2021-03-26,117.47,119.15,107.85,119.02,10788700
2021-04-02,118.14,128.92,112.35,128.81,7995300
2021-04-09,130.56,134.82,128.0,133.06,7977800
2021-04-16,132.19,132.42,127.22,129.48,7212600
2021-04-23,128.59,131.85,122.69,131.53,6982900
2021-04-30,131.46,139.28,124.43,125.08,8567000
2021-05-07,126.32,128.69,119.65,128.17,6211200
2021-05-14,126.55,126.55,114.17,122.35,8890600
2021-05-21,120.72,127.25,115.01,124.88,6853300
2021-05-28,126.35,132.95,126.3,132.35,6072200
2021-06-04,133.47,135.35,126.93,131.68,4074600
2021-06-11,131.35,132.5,124.19,127.98,7242700
2021-06-18,128.0,132.55,123.53,124.86,7335900
2021-06-25,125.31,132.7,124.16,129.55,7769800
2021-07-02,131.31,135.19,127.96,128.53,5733000
2021-07-09,128.67,128.99,119.15,125.7,7090400
2021-07-16,126.08,130.88,119.64,119.89,5901500
2021-07-23,118.21,129.47,116.39,128.8,5820100
2021-07-30,128.0,129.91,117.7,127.0,9172700
2021-08-06,127.62,130.28,124.84,126.87,4558500
2021-08-13,127.3,127.63,117.75,118.75,5617100
2021-08-20,118.32,119.59,112.0,113.56,6444700
2021-08-27,114.15,122.78,114.15,122.6,4833600
2021-09-03,123.46,124.11,119.6,121.88,5618100
2021-09-10,122.16,124.18,118.12,120.97,4643600
2021-09-17,121.94,123.83,119.42,121.35,6425700
2021-09-24,118.34,120.9,114.67,119.33,9543800
2021-10-01,118.35,119.14,107.98,109.47,8917700
2021-10-08,108.43,113.05,105.24,109.56,9033800
2021-10-15,108.92,114.83,106.85,113.92,6217500
2021-10-22,112.88,120.81,112.56,116.12,5167000
2021-10-29,116.13,138.74,115.13,138.24,13917400
2021-11-05,138.18,146.76,136.61,144.22,8292400
2021-11-12,144.77,146.36,141.51,146.19,5171600
2021-11-19,148.1,153.73,146.73,151.27,6277300
2021-11-26,152.08,154.5,145.42,146.35,3851600
2021-12-03,149.52,158.22,146.51,150.56,8824600
2021-12-10,151.31,161.54,144.91,159.76,6735300
2021-12-17,160.53,163.03,152.02,156.26,9469100
2021-12-24,155.09,164.11,154.9,162.74,6759900
2021-12-31,164.0,168.91,163.3,163.53,4691000
2022-01-07,164.86,167.29,156.86,158.27,8001100
2022-01-14,155.8,167.69,150.48,164.57,6322300
2022-01-21,160.94,161.59,142.48,143.39,6737300
2022-01-28,138.73,147.94,102.51,112.12,29949100
2022-02-04,111.97,120.58,110.17,114.01,12625100
2022-02-11,114.15,122.2,111.83,113.09,9176400
2022-02-18,113.0,119.99,111.09,114.83,7782300
2022-02-25,113.63,120.14,107.11,120.04,6771200
2022-03-04,119.42,119.55,110.04,111.75,7580000
2022-03-11,112.86,113.89,105.36,106.88,9726300
2022-03-18,107.68,123.81,104.32,122.95,12094200
2022-03-25,121.78,124.19,116.18,124.04,6410300
2022-04-01,120.93,127.29,114.76,116.37,8047600
2022-04-08,116.93,120.2,108.51,108.66,7217300
2022-04-15,107.34,111.34,106.0,106.02,6615800
2022-04-22,105.84,117.42,105.39,109.2,7664000
2022-04-29,108.6,115.48,105.24,105.46,12938100
2022-05-06,105.62,114.19,104.13,105.92,8384300
2022-05-13,104.29,108.42,98.64,107.35,8872200
2022-05-20,105.97,108.86,97.63,102.37,7875400
2022-05-27,102.47,109.43,97.96,109.4,7814800
2022-06-03,109.0,110.62,105.34,107.43,5592600
2022-06-10,109.08,109.72,96.83,96.97,7054800
2022-06-17,93.6,94.59,85.66,89.06,13440000
2022-06-24,90.93,97.25,89.29,97.12,7265000
2022-07-01,98.1,99.25,84.22,85.8,10960700
2022-07-08,82.97,92.43,82.97,92.08,5944600
2022-07-15,90.69,93.77,87.45,93.75,5937100
2022-07-22,94.85,102.83,92.55,100.46,8142300
2022-07-29,99.76,101.18,89.29,100.89,13125500
2022-08-05,99.9,102.72,98.69,100.75,7173400
2022-08-12,100.17,105.25,91.1,104.34,10110300
2022-08-19,103.99,104.6,96.62,96.85,6329300
2022-08-26,94.6,96.45,89.89,90.16,7591400
2022-09-02,89.44,90.67,80.41,83.04,9707300
2022-09-09,82.71,90.01,81.86,88.84,6269600
2022-09-16,88.84,88.89,80.42,82.1,11134600
2022-09-23,81.24,84.59,77.31,79.19,8857800
2022-09-30,79.2,80.44,75.01,75.15,7962700
2022-10-07,76.17,83.2,75.47,77.33,8385800
2022-10-14,77.61,77.61,67.81,71.37,11205400
2022-10-21,73.55,77.44,71.11,77.27,8962800
2022-10-28,77.94,85.2,76.63,83.35,12304800
2022-11-04,82.45,84.83,77.28,84.72,8383400
2022-11-11,85.77,96.89,83.28,96.31,9653600
2022-11-18,94.83,97.74,88.56,92.9,7879200
2022-11-25,91.63,95.56,90.6,92.59,3829600
2022-12-02,91.27,94.61,87.86,92.67,7563000
2022-12-09,92.15,95.13,89.04,92.41,8054400
2022-12-16,91.87,99.15,87.19,89.02,9884900
2022-12-23,89.42,90.02,83.75,86.56,7186900
2022-12-30,85.63,88.13,83.31,87.35,3961000
