Date,Open,High,Low,Close,Volume
2015-03-27,16.49,16.88,15.96,16.52,2718100
2015-04-03,16.78,17.44,13.4,13.73,10707400
2015-04-10,13.73,13.99,13.01,13.42,3537400
2015-04-17,13.4,14.1,13.38,13.84,2618300
2015-04-24,13.87,14.89,13.62,14.48,2242500
2015-05-01,14.49,15.44,13.25,13.5,5251400
2015-05-08,13.53,13.85,13.18,13.38,1962700
2015-05-15,13.37,13.91,13.19,13.67,1488300
2015-05-22,13.67,14.08,13.15,13.5,2050400
2015-05-29,13.46,14.4,13.33,14.3,1341000
2015-06-05,14.36,15.0,13.64,14.88,2571900
2015-06-12,14.78,16.21,14.78,15.56,2295500
2015-06-19,15.47,17.18,15.25,16.32,2226500
2015-06-26,16.34,17.8,16.09,17.49,2360200
2015-07-03,17.33,17.39,16.18,16.53,2214900
2015-07-10,16.35,17.08,15.4,16.46,2874900
2015-07-17,16.5,17.49,16.15,16.93,1548000
2015-07-24,16.98,17.95,16.59,16.6,1946700
2015-07-31,16.6,20.5,15.6,19.57,5952500
2015-08-07,19.54,23.63,19.48,21.97,5809400
2015-08-14,22.21,22.22,20.37,21.37,2302800
2015-08-21,21.11,21.83,20.0,20.54,2568800
2015-08-28,19.45,20.7,19.0,19.49,2653900
2015-09-04,19.68,20.85,17.32,18.83,5377700
2015-09-11,19.17,19.97,19.09,19.82,1824700
2015-09-18,19.81,20.3,18.18,18.21,2875100
2015-09-25,18.51,18.89,17.11,17.13,2443300
2015-10-02,17.0,17.34,16.15,17.3,2063800
2015-10-09,17.5,19.91,17.25,19.69,2122400
2015-10-16,19.78,20.51,18.48,19.6,2642000
2015-10-23,19.57,21.33,18.89,20.82,2342400
2015-10-30,20.84,21.33,17.21,17.83,4912900
2015-11-06,17.77,17.91,16.52,17.53,3843300
2015-11-13,17.47,17.78,16.13,16.38,2314300
2015-11-20,16.34,17.45,16.14,17.25,1521800
2015-11-27,17.26,17.87,16.67,17.38,1077600
2015-12-04,17.04,17.87,16.75,17.18,5073600
2015-12-11,17.14,17.25,15.52,15.87,2308200
2015-12-18,15.84,17.77,15.82,17.2,1893300
2015-12-25,17.22,19.01,16.87,18.77,1519200
2016-01-01,18.7,19.26,17.83,17.84,1755500
2016-01-08,17.44,18.29,16.0,16.3,2716700
2016-01-15,16.37,17.24,15.78,16.8,3579800
2016-01-22,16.97,17.21,15.83,16.74,7875500
2016-01-29,16.71,18.42,16.57,17.9,3071900
2016-02-05,17.63,18.0,16.15,16.57,2624600
2016-02-12,16.41,17.12,14.2,14.65,5647300
2016-02-19,15.01,15.78,14.91,15.35,2357100
2016-02-26,15.54,17.2,15.44,16.82,2692400
2016-03-04,16.8,18.29,16.63,17.59,2792600
2016-03-11,17.48,18.79,17.4,17.75,2064300
2016-03-18,17.73,18.93,17.48,18.0,2389200
2016-03-25,17.91,18.13,16.94,17.12,1734800
2016-04-01,17.2,18.66,17.18,17.31,3371900
2016-04-08,17.71,18.86,15.72,16.21,5774100
2016-04-15,16.23,16.36,15.55,16.34,2241400
2016-04-22,16.14,16.95,16.14,16.85,1677600
2016-04-29,16.89,17.8,16.57,16.64,1902800
2016-05-06,16.64,17.76,16.55,17.13,2178700
2016-05-13,17.12,18.82,16.8,17.93,3007500
2016-05-20,18.02,18.11,16.63,17.03,4139500
2016-05-27,17.05,17.87,16.6,17.51,1874400
2016-06-03,17.5,17.86,17.4,17.68,872100
2016-06-10,17.68,18.28,17.5,17.59,1545300
2016-06-17,17.36,18.99,17.27,18.56,2556900
2016-06-24,18.56,19.72,18.01,18.18,2860000
2016-07-01,17.92,18.85,17.5,18.12,2080000
2016-07-08,18.03,19.8,17.8,19.51,2097100
2016-07-15,19.65,21.19,19.55,20.06,2631800
2016-07-22,20.05,20.39,19.36,19.86,1976700
2016-07-29,19.86,20.38,19.11,19.75,2223000
2016-08-05,19.75,19.88,18.87,19.86,1647600
2016-08-12,19.81,21.0,19.76,20.69,2404500
2016-08-19,20.63,21.39,20.46,20.93,1959400
2016-08-26,20.94,21.47,20.65,21.04,1093700
2016-09-02,21.01,21.22,20.63,21.19,1228200
2016-09-09,21.36,21.55,20.12,20.13,3039700
2016-09-16,20.01,20.19,19.12,19.32,1965700
2016-09-23,19.37,20.68,19.2,20.58,1551900
2016-09-30,20.3,21.41,20.19,21.3,2055900
2016-10-07,21.27,21.3,20.21,20.34,1686300
2016-10-14,20.47,20.84,19.47,19.94,1155600
2016-10-21,19.95,20.21,19.5,19.75,2159900
2016-10-28,19.87,20.32,17.39,18.07,3969300
2016-11-04,18.0,18.1,17.27,17.52,3488800
2016-11-11,17.87,18.17,16.77,18.1,2482900
2016-11-18,18.3,18.73,17.65,18.6,1506800
2016-11-25,18.56,18.83,18.11,18.79,796400
2016-12-02,18.66,19.09,18.15,18.19,1677500
2016-12-09,18.29,20.29,18.23,20.27,1276900
2016-12-16,20.21,20.21,18.35,18.54,5400200
2016-12-23,18.52,19.07,18.44,18.6,1947400
2016-12-30,18.56,18.82,18.32,18.4,1069600
2017-01-06,18.57,19.0,18.0,18.46,2172100
2017-01-13,18.5,19.55,18.36,19.48,3192100
2017-01-20,19.34,19.66,19.09,19.43,2528900
2017-01-27,19.42,19.76,19.13,19.5,1728800
2017-02-03,19.41,19.95,19.26,19.7,2518900
2017-02-10,19.68,22.11,19.12,21.97,5861000
2017-02-17,22.06,23.14,21.82,22.14,3920600
2017-02-24,22.16,22.43,21.04,21.45,1958400
2017-03-03,21.43,21.59,20.43,20.97,2115600
2017-03-10,20.86,21.09,20.17,20.26,1861100
2017-03-17,20.14,21.15,20.09,21.09,1995100
2017-03-24,21.05,22.3,20.84,21.95,2970500
2017-03-31,21.97,22.72,21.62,22.22,3658200
2017-04-07,22.39,22.57,20.55,22.11,4944900
2017-04-14,22.09,22.19,21.38,21.38,1113600
2017-04-21,21.48,21.76,20.76,21.07,6529000
2017-04-28,21.35,21.81,20.95,21.43,2034100
2017-05-05,21.57,21.6,19.75,20.25,2857300
2017-05-12,20.26,20.27,19.85,19.94,1824100
2017-05-19,19.97,19.98,19.12,19.66,2697900
2017-05-26,19.7,20.01,19.59,19.91,1197600
2017-06-02,19.9,21.07,19.87,20.7,1627800
2017-06-09,20.68,20.82,20.26,20.4,1172300
2017-06-16,20.39,21.03,20.3,20.91,1871100
2017-06-23,20.91,20.91,20.09,20.41,1482000
2017-06-30,20.46,21.05,20.34,20.37,1421200
2017-07-07,20.42,20.78,20.09,20.56,1368300
2017-07-14,20.55,20.97,20.44,20.89,1598600
2017-07-21,20.9,21.57,20.51,21.21,2261800
2017-07-28,21.36,22.46,20.79,21.38,7530500
2017-08-04,21.47,21.55,20.82,20.99,3407600
2017-08-11,21.01,21.5,20.56,21.06,2352000
2017-08-18,21.18,21.61,20.73,20.9,2187300
2017-08-25,20.91,21.14,20.62,20.89,1469600
2017-09-01,20.93,22.23,20.9,22.15,2148800
2017-09-08,22.12,22.48,21.56,21.61,1644000
2017-09-15,21.73,22.44,21.49,22.44,2359600
2017-09-22,22.49,22.92,22.38,22.6,1725200
2017-09-29,22.59,23.57,22.42,23.55,1942400
2017-10-06,23.74,23.88,23.33,23.51,2367300
2017-10-13,23.46,23.65,22.24,22.54,3027200
2017-10-20,22.68,22.89,22.3,22.62,1199300
2017-10-27,22.64,26.26,21.22,26.09,6259600
2017-11-03,25.16,26.87,24.85,26.38,4624100
2017-11-10,26.29,27.62,26.0,27.3,3269100
2017-11-17,27.18,27.79,27.1,27.54,2875300
2017-11-24,27.5,28.36,27.26,28.12,1755200
2017-12-01,28.11,28.77,27.28,28.76,3035100
2017-12-08,29.07,30.4,28.73,30.33,3229900
2017-12-15,30.29,32.67,30.26,32.41,5373700
2017-12-22,32.63,33.28,28.8,29.55,5545100
2017-12-29,29.43,30.75,29.23,30.58,2264000
2018-01-05,30.77,32.34,30.61,31.05,3645200
2018-01-12,31.37,32.47,30.7,32.18,3683000
2018-01-19,32.42,34.03,31.62,33.85,3737500
2018-01-26,33.93,34.44,32.63,34.35,3859400
2018-02-02,34.38,35.85,34.02,34.52,4112300
2018-02-09,34.43,36.91,33.23,34.84,5817400
2018-02-16,35.51,36.85,34.89,36.48,3938400
2018-02-23,36.3,37.13,35.51,37.0,3083500
2018-03-02,37.12,38.69,36.4,38.19,7547400
2018-03-09,38.0,39.09,37.37,38.22,4568200
2018-03-16,38.17,38.33,36.78,36.98,4475000
2018-03-23,36.77,36.96,35.8,35.82,2312300
2018-03-30,36.12,37.13,35.94,36.01,2432700
2018-04-06,35.94,38.02,34.69,37.52,3594400
2018-04-13,37.59,39.22,36.28,38.69,4363300
2018-04-20,38.91,39.57,38.34,39.33,3711800
2018-04-27,39.3,40.6,38.28,40.3,4183400
2018-05-04,40.31,41.6,38.5,41.01,4095400
2018-05-11,41.19,43.67,40.89,43.51,3257200
2018-05-18,43.69,51.87,42.93,51.42,14215800
2018-05-25,51.8,59.91,51.58,58.08,14700000
2018-06-01,58.05,60.51,57.65,58.95,3140200
2018-06-08,60.36,62.98,59.94,61.78,3398400
2018-06-15,61.63,63.51,61.29,62.67,5445900
2018-06-22,62.51,68.25,62.39,67.14,5163600
2018-06-29,67.09,75.07,65.76,72.82,10106400
2018-07-06,72.22,77.13,71.66,76.68,2403600
2018-07-13,77.0,79.95,73.82,76.9,4590900
2018-07-20,77.33,83.18,76.64,82.92,5418900
2018-07-27,82.9,85.93,79.35,81.75,8130400
2018-08-03,80.93,81.75,76.66,78.54,15703200
2018-08-10,78.68,81.62,77.8,79.36,3774300
2018-08-17,79.85,79.85,76.61,79.49,4018200
2018-08-24,79.75,82.57,78.6,82.27,3322000
2018-08-31,83.02,87.9,82.03,87.41,4148400
2018-09-07,87.26,89.21,84.64,87.02,3479200
2018-09-14,86.78,88.65,83.9,88.4,3960900
2018-09-21,88.66,90.77,85.9,90.1,4303900
2018-09-28,90.11,97.69,89.43,96.73,4438100
2018-10-05,97.36,97.64,87.99,91.34,7075200
2018-10-12,90.9,92.03,77.78,85.55,8767100
2018-10-19,85.09,86.27,81.84,82.03,5317700
2018-10-26,82.17,83.82,69.1,69.78,8508500
2018-11-02,70.69,73.85,64.79,70.16,6697900
2018-11-09,70.26,75.5,67.86,69.57,5120700
2018-11-16,69.59,69.65,64.75,65.5,4048700
2018-11-23,65.39,65.44,58.5,62.6,4579300
2018-11-30,63.2,77.22,62.43,73.96,8721100
2018-12-07,75.69,77.76,68.64,75.05,6308800
2018-12-14,74.68,78.08,72.23,72.66,5306300
2018-12-21,72.14,76.78,68.93,69.73,5262700
2018-12-28,68.69,74.29,65.48,73.06,3322400
2019-01-04,73.56,77.91,71.73,77.08,3347700
2019-01-11,77.3,81.71,76.56,78.99,5242700
2019-01-18,78.42,83.51,77.75,83.43,4740400
2019-01-25,82.56,83.46,78.88,83.36,3354600
2019-02-01,82.57,84.52,80.59,82.23,3082800
2019-02-08,82.09,85.96,74.5,85.82,5010500
2019-02-15,86.23,89.63,86.02,87.46,4814900
2019-02-22,86.98,88.24,85.57,86.54,2177800
2019-03-01,86.65,87.11,83.24,85.58,2749500
2019-03-08,86.0,86.83,80.16,83.93,2465300
2019-03-15,84.34,93.68,84.34,92.37,4277900
2019-03-22,91.85,92.87,86.01,86.71,3325100
2019-03-29,86.99,91.1,83.86,86.78,7265400
2019-04-05,86.95,90.79,84.29,89.15,6296800
2019-04-12,89.16,96.28,87.87,96.1,6360500
2019-04-19,95.72,99.25,94.98,96.71,4371700
2019-04-26,96.13,100.45,82.0,83.52,16033600
2019-05-03,84.0,86.7,81.92,85.8,8711200
2019-05-10,84.1,87.81,81.9,84.03,4338800
2019-05-17,82.22,83.38,79.22,80.08,5290100
2019-05-24,79.2,80.26,75.55,75.87,4568200
2019-05-31,76.37,77.23,71.09,72.74,3578600
2019-06-07,72.75,74.84,71.51,73.28,4795500
2019-06-14,74.15,76.26,71.39,74.54,4533300
2019-06-21,74.32,78.44,73.21,73.49,4749100
2019-06-28,73.02,73.49,71.09,72.21,8602300
2019-07-05,73.35,75.75,72.86,75.15,2625800
2019-07-12,74.67,74.67,72.49,73.18,3889300
2019-07-19,73.59,73.89,69.9,70.23,5759000
2019-07-26,70.41,78.76,67.66,75.99,11339300
2019-08-02,75.55,75.92,68.51,69.37,6784000
2019-08-09,67.62,70.03,65.77,67.25,5472000
2019-08-16,66.45,70.29,63.04,69.61,7458900
2019-08-23,70.67,75.87,66.92,73.81,6882800
2019-08-30,74.57,75.0,69.37,71.43,3773200
2019-09-06,70.74,74.17,68.46,73.57,4209100
2019-09-13,73.84,74.12,69.08,72.32,3101000
2019-09-20,72.1,76.44,72.04,73.65,3818200
2019-09-27,73.53,73.97,68.99,71.2,4388800
2019-10-04,71.42,73.32,64.61,70.25,6912700
2019-10-11,71.4,72.36,65.26,70.02,5536400
2019-10-18,69.85,70.89,65.99,67.0,3255600
2019-10-25,67.57,69.49,65.63,68.37,4176200
2019-11-01,68.5,69.77,53.25,55.96,12063600
2019-11-08,54.61,57.54,52.69,54.72,13466800
2019-11-15,54.73,57.69,53.73,57.66,9864700
2019-11-22,57.78,61.55,56.93,60.25,4833300
2019-11-29,60.75,62.61,59.23,62.02,3051500
2019-12-06,62.03,63.65,60.0,63.21,4425600
2019-12-13,63.0,63.41,61.02,62.86,4389000
2019-12-20,63.3,65.33,62.51,64.95,5040100
2019-12-27,65.13,65.9,64.19,64.92,1973600
2020-01-03,65.08,65.69,63.22,64.76,2824400
2020-01-10,64.41,67.53,60.56,60.69,8753800
2020-01-17,60.7,64.45,59.78,62.85,5349000
2020-01-24,62.67,63.26,58.59,59.66,6375700
2020-01-31,58.14,62.45,45.1,48.88,22882000
2020-02-07,48.96,49.43,40.24,42.53,30410900
2020-02-14,41.58,45.07,40.88,44.93,11181900
2020-02-21,45.33,52.46,45.27,50.23,10405200
2020-02-28,47.74,50.09,42.21,46.77,12036200
2020-03-06,47.0,47.82,42.44,42.7,8359600
2020-03-13,39.15,42.66,31.05,35.86,10976700
2020-03-20,31.2,39.14,29.1,36.5,11060800
2020-03-27,36.25,41.79,32.41,33.8,8768500
2020-04-03,34.03,35.57,32.33,34.13,5837500
2020-04-10,35.64,38.51,34.65,37.42,5213500
2020-04-17,37.41,42.33,36.21,40.54,5245400
2020-04-24,39.76,46.52,38.36,44.79,10028300
2020-05-01,45.4,46.98,43.07,43.92,6475200
2020-05-08,43.13,46.08,43.03,46.06,3423400
2020-05-15,45.71,46.23,40.4,41.64,4093700
2020-05-22,42.78,45.94,42.75,44.51,3139200
2020-05-29,45.77,46.94,44.55,46.27,2835100
2020-06-05,46.3,49.51,46.3,48.19,3600900
2020-06-12,48.9,48.9,43.13,44.47,3722400
2020-06-19,43.38,46.55,43.13,45.21,3163400
2020-06-26,45.3,45.49,41.35,41.36,3568100
2020-07-03,41.71,45.99,41.13,45.51,2496400
2020-07-10,46.22,46.96,44.48,46.25,1940700
2020-07-17,46.4,47.58,44.07,46.06,2787700
2020-07-24,46.17,46.93,44.24,44.72,3208100
2020-07-31,45.0,48.9,43.94,46.61,4443300
2020-08-07,46.66,47.0,43.41,43.7,3539900
2020-08-14,43.85,46.54,43.69,45.37,2546700
2020-08-21,45.49,45.62,42.38,42.73,2102600
2020-08-28,42.97,46.25,42.72,44.92,2326600
2020-09-04,44.49,45.49,41.04,43.08,2849000
2020-09-11,42.36,43.77,40.77,41.4,1891100
2020-09-18,42.12,42.26,39.95,40.16,2507500
2020-09-25,40.15,40.53,37.88,39.15,3565100
2020-10-02,39.8,41.22,39.21,40.16,3434400
2020-10-09,40.43,40.9,38.95,40.16,2293200
2020-10-16,40.42,41.87,39.43,39.78,3713600
2020-10-23,40.09,40.27,38.11,38.28,2846600
2020-10-30,38.03,39.48,35.44,36.36,4414800
2020-11-06,36.91,39.91,36.16,38.92,5269900
2020-11-13,41.5,42.96,39.15,40.88,3491600
2020-11-20,41.73,42.74,40.81,40.97,4705100
2020-11-27,41.33,43.09,40.78,41.8,2839800
2020-12-04,41.64,45.33,41.52,44.97,5225900
2020-12-11,44.5,45.24,43.2,44.25,3355100
2020-12-18,44.5,48.0,44.2,46.43,5777200
2020-12-25,45.26,48.83,44.89,47.32,2166100
2021-01-01,47.14,49.11,47.14,48.05,2980400
2021-01-08,48.37,49.42,46.44,48.24,3183400
2021-01-15,47.95,52.48,46.83,50.83,4169100
2021-01-22,52.28,55.6,50.2,55.52,4074800
2021-01-29,56.25,60.0,53.26,56.33,10405900
2021-02-05,57.09,58.28,48.87,49.23,7884300
2021-02-12,49.41,50.01,45.87,46.41,12339900
2021-02-19,46.78,48.58,45.9,46.81,5317100
2021-02-26,46.5,51.84,46.46,49.4,5668700
2021-03-05,50.23,54.78,50.06,54.5,8282000
2021-03-12,54.84,59.18,54.36,57.21,5555600
2021-03-19,57.29,58.16,55.53,57.12,3019600
2021-03-26,56.99,61.32,53.55,55.0,7109700
2021-04-02,54.82,57.07,54.2,55.59,2570600
2021-04-09,56.24,58.5,55.09,58.36,3400800
2021-04-16,58.29,58.44,55.68,56.36,3152400
2021-04-23,56.69,57.66,54.17,54.23,4341500
2021-04-30,54.52,56.35,53.77,55.11,2857000
2021-05-07,55.45,56.23,53.9,54.87,2344600
2021-05-14,55.28,55.53,52.2,53.69,2060800
2021-05-21,53.81,58.0,51.79,57.55,5217300
2021-05-28,57.43,58.35,55.8,55.84,3594200
2021-06-04,56.16,57.57,54.34,56.83,3927800
2021-06-11,56.86,70.72,56.04,62.55,10557700
2021-06-18,62.36,64.29,57.52,57.83,4469700
2021-06-25,57.67,59.98,56.98,59.94,3924900
2021-07-02,59.8,60.18,57.1,57.76,2756000
2021-07-09,57.69,57.69,55.02,56.34,2130500
2021-07-16,56.54,56.54,50.22,50.56,4660600
2021-07-23,49.6,50.2,48.3,49.02,4276300
2021-07-30,49.02,50.16,47.53,49.38,2692500
2021-08-06,49.56,50.92,47.69,50.33,2754000
2021-08-13,50.34,51.09,49.63,50.26,2270200
2021-08-20,50.19,50.29,46.81,48.51,2747700
2021-08-27,48.63,52.11,48.63,52.0,2666700
2021-09-03,52.41,52.96,51.33,52.0,2245000
2021-09-10,51.62,53.41,49.41,51.91,2902700
2021-09-17,52.32,56.23,51.66,55.09,4567500
2021-09-24,54.32,56.19,53.77,55.96,2385800
2021-10-01,56.0,57.97,55.35,57.65,2144200
2021-10-08,57.47,59.79,57.13,58.82,2720200
2021-10-15,59.0,60.3,57.85,59.49,1629800
2021-10-22,59.52,60.99,59.29,60.05,1396500
2021-10-29,60.0,61.66,59.33,61.09,2913100
2021-11-05,61.58,62.29,56.43,58.66,3307800
2021-11-12,58.79,59.31,54.92,55.91,3767100
2021-11-19,55.98,57.19,52.62,52.66,2568000
2021-11-26,52.54,53.12,50.7,51.37,2323100
2021-12-03,51.53,51.99,47.26,49.42,3898000
2021-12-10,50.06,50.9,48.68,49.12,2394800
2021-12-17,48.66,48.82,46.91,48.16,2616500
2021-12-24,47.6,48.76,47.0,48.36,1598500
2021-12-31,48.42,50.37,48.01,49.34,1747600
2022-01-07,49.65,51.26,47.86,50.02,2785600
2022-01-14,49.8,53.2,49.27,53.17,2413900
2022-01-21,53.46,53.66,49.32,49.65,2550900
2022-01-28,49.1,50.38,47.71,48.7,2621600
2022-02-04,48.52,53.13,47.72,51.71,3946900
2022-02-11,51.49,56.9,51.18,55.7,3059100
2022-02-18,55.51,60.58,55.51,58.55,5301500
2022-02-25,57.91,59.1,55.99,58.6,2746800
2022-03-04,58.42,60.84,57.43,58.69,3497400
2022-03-11,58.19,58.4,55.85,56.6,2607900
2022-03-18,56.38,60.26,54.66,59.75,4639600
2022-03-25,59.92,62.29,58.99,61.06,3287900
2022-04-01,61.0,63.71,60.11,62.41,2590700
2022-04-08,62.93,63.5,60.55,61.49,3011900
2022-04-15,61.03,62.17,59.83,60.01,1442900
2022-04-22,59.73,62.15,59.04,60.99,3013600
2022-04-29,61.06,61.43,58.36,58.39,3062800
2022-05-06,58.3,61.57,56.36,58.58,3557900
2022-05-13,57.78,59.23,55.09,58.25,3247200
2022-05-20,58.61,60.97,57.87,60.91,2873900
2022-05-27,61.26,67.49,60.36,67.14,5204200
2022-06-03,66.82,68.72,65.5,66.7,2286900
2022-06-10,67.1,68.0,63.6,63.64,3429000
2022-06-17,62.36,68.73,61.97,62.51,6594400
2022-06-24,62.5,63.09,58.72,60.62,3452700
2022-07-01,60.71,64.24,60.02,62.56,3347000
2022-07-08,61.74,65.44,60.01,63.76,2552200
2022-07-15,63.39,64.42,61.84,63.63,2084300
2022-07-22,63.85,66.6,63.1,66.22,2806100
2022-07-29,69.81,73.34,67.16,69.31,8744300
2022-08-05,69.72,71.88,69.03,70.85,2252100
2022-08-12,71.0,73.69,70.38,72.54,2765700
2022-08-19,72.31,75.23,69.95,70.89,2998300
2022-08-26,70.42,70.91,67.62,67.62,1830700
2022-09-02,67.12,68.48,65.84,67.8,2498500
2022-09-09,68.0,69.49,65.04,69.26,2552900
2022-09-16,69.38,70.62,66.13,67.64,2413600
2022-09-23,67.41,68.76,66.43,67.96,3040900
2022-09-30,67.32,71.42,66.66,70.17,4983400
2022-10-07,70.94,75.44,70.29,72.73,5017200
2022-10-14,72.88,76.73,72.58,75.71,4078000
2022-10-21,76.01,78.25,75.04,78.11,3044400
2022-10-28,78.66,79.83,76.76,78.72,3800900
2022-11-04,78.75,79.58,72.01,74.02,4073700
2022-11-11,74.1,76.23,73.4,75.32,2369300
2022-11-18,75.34,78.79,74.84,78.38,3113800
2022-11-25,79.17,80.98,77.81,80.71,1170200
2022-12-02,80.39,81.63,76.36,80.5,4110200
2022-12-09,79.89,80.33,75.63,75.73,2616100
2022-12-16,75.85,76.5,72.07,73.78,3792800
2022-12-23,73.67,73.67,69.12,69.74,2674300
2022-12-30,69.43,69.96,67.31,68.52,1449800
2023-01-06,68.73,89.43,68.05,84.27,11122100
2023-01-13,84.4,93.63,83.49,89.4,11783400
2023-01-20,90.99,91.06,87.9,88.69,3498500
2023-01-27,88.5,88.84,84.51,84.63,3264100
2023-02-03,84.41,90.68,83.92,89.72,5116400
2023-02-10,89.23,91.0,87.53,87.84,2598700
2023-02-17,87.86,91.48,86.44,87.98,4876600
2023-02-24,87.46,88.4,85.0,85.79,2737400
2023-03-03,85.48,86.53,82.46,83.58,3589900
2023-03-10,83.56,83.57,80.32,81.15,3829000
2023-03-17,80.54,84.88,79.27,83.33,6167500
2023-03-24,83.74,86.4,83.36,84.95,2476700
2023-03-31,85.17,92.45,85.0,91.26,7267200
2023-04-07,85.6,101.08,82.81,100.38,23707200
2023-04-14,100.44,104.89,99.45,104.69,6857100
2023-04-21,104.8,109.8,103.94,109.35,4877200
2023-04-28,108.68,110.24,105.08,107.17,4352900
2023-05-05,106.88,109.84,104.62,106.86,4015400
2023-05-12,107.25,108.49,104.08,105.17,2742500
2023-05-19,104.55,109.24,98.93,101.64,6554400
2023-05-26,101.95,104.27,99.77,100.1,3064700
2023-06-02,99.99,102.71,99.6,101.65,2116600
2023-06-09,101.65,101.97,95.56,98.54,3490500
2023-06-16,99.0,104.71,98.76,102.72,2595900
2023-06-23,102.39,102.68,99.96,100.81,1675900
2023-06-30,100.85,108.87,100.83,108.47,3610000
2023-07-07,108.17,109.24,106.67,107.84,1376300
2023-07-14,107.34,112.22,106.85,108.03,3605800
2023-07-21,107.65,108.39,104.34,105.87,2568000
2023-07-28,105.28,106.83,104.5,105.91,3059900
2023-08-04,105.83,107.75,101.81,105.62,2970300
2023-08-11,105.62,114.83,105.0,111.7,2836600
2023-08-18,112.04,114.54,108.5,112.33,2483000
2023-08-25,112.33,118.04,111.25,113.69,2130800
2023-09-01,113.48,116.48,93.93,104.58,8606900
2023-09-08,103.0,103.0,96.12,98.05,5228400
2023-09-15,99.51,104.5,98.07,100.11,7607600
2023-09-22,100.51,106.16,83.08,83.79,10909100
2023-09-29,83.43,84.95,80.43,84.06,6212200
2023-10-06,84.35,85.58,80.95,81.99,4401700
2023-10-13,81.42,83.5,77.61,77.63,4908000
2023-10-20,78.23,80.91,76.31,77.97,4885800
2023-10-27,77.2,85.4,77.07,81.97,4674200
2023-11-03,82.42,85.45,81.42,84.93,2969100
2023-11-10,85.61,87.67,77.0,79.26,11274400
2023-11-17,78.78,81.0,76.26,78.32,11074100
2023-11-24,78.35,79.54,76.5,78.5,3747700
2023-12-01,78.27,79.26,76.27,78.24,6375000
2023-12-08,78.23,78.23,72.33,73.77,6391500
2023-12-15,73.77,76.17,72.34,75.99,7894900
2023-12-22,76.3,79.79,75.63,78.84,5601500
2023-12-29,78.76,81.85,78.6,81.58,4040500
2024-01-05,81.02,81.5,78.08,78.63,3597000
2024-01-12,79.05,81.79,76.94,77.12,4982600
2024-01-19,77.09,78.08,75.35,77.55,4053700
2024-01-26,77.96,95.92,77.4,86.54,18574100
2024-02-02,85.0,85.97,82.4,85.09,7704700
2024-02-09,84.86,88.02,84.29,86.13,5262200
2024-02-16,87.69,88.58,85.63,85.63,5531900
2024-02-23,85.71,86.95,84.38,85.81,4070400
2024-03-01,86.28,86.74,81.78,82.31,6539300
2024-03-08,82.34,83.22,78.69,81.39,7933200
2024-03-15,81.86,81.86,79.32,79.79,6528400
2024-03-22,79.8,87.5,79.65,86.63,10034500
2024-03-29,86.8,87.33,84.88,86.41,3793800
2024-04-05,87.2,93.75,85.01,92.51,10105200
2024-04-12,93.5,99.4,93.5,98.0,6206300
2024-04-19,98.56,98.84,94.56,95.52,4116300
2024-04-26,95.75,96.99,94.32,96.76,3196000
2024-05-03,96.76,98.99,94.63,98.32,4061900
2024-05-10,98.53,101.4,97.37,100.0,5735300
2024-05-17,100.12,105.98,98.99,105.35,4000500
2024-05-24,105.19,108.72,104.84,107.49,3946200
2024-05-31,107.5,111.07,106.81,109.07,3597100
2024-06-07,110.99,110.99,106.61,107.77,3405500
2024-06-14,107.42,108.64,104.66,105.17,3186800
2024-06-21,104.95,107.46,100.76,106.89,4606400
2024-06-28,106.87,108.68,105.91,107.99,5329700
2024-07-05,108.06,113.3,107.02,110.78,3390800
2024-07-12,111.16,112.93,109.65,111.06,2630700
2024-07-19,111.22,111.39,104.02,104.34,4650100
2024-07-26,105.9,109.48,104.68,107.65,3173700
2024-08-02,108.11,110.3,104.76,107.85,4268800
2024-08-09,104.02,120.08,102.46,117.67,6947600
2024-08-16,118.78,120.4,114.76,116.79,3721800
2024-08-23,116.93,120.7,116.18,118.03,3177600
2024-08-30,118.0,118.54,116.6,118.23,3063400
2024-09-06,117.49,120.64,115.02,115.44,2414100
2024-09-13,115.74,116.98,113.16,115.34,3561700
2024-09-20,114.76,125.49,114.76,121.94,7355700
2024-09-27,122.43,125.14,120.47,125.0,4152200
2024-10-04,125.41,128.31,121.32,127.14,3911100
2024-10-11,126.62,128.29,125.43,127.52,2158900
2024-10-18,127.41,130.95,125.2,129.93,2538800
2024-10-25,129.7,130.5,114.35,115.25,6572600
2024-11-01,116.07,119.15,114.01,119.07,5848800
