Date,Open,High,Low,Close,Volume
2015-04-03,134.59,136.24,131.29,133.11,5380600
2015-04-10,132.46,135.0,132.11,133.73,4765000
2015-04-17,133.29,134.24,130.87,132.1,6415800
2015-04-24,133.23,135.18,128.68,130.02,10405600
2015-05-01,130.7,130.7,125.25,127.66,11273600
2015-05-08,128.24,130.22,126.15,129.98,8809500
2015-05-15,129.69,131.33,128.11,130.16,7334600
2015-05-22,130.25,133.48,129.6,132.15,7990400
2015-05-29,131.31,131.59,129.25,129.63,5512300
2015-06-05,129.84,130.25,128.34,129.57,5365400
2015-06-12,129.25,130.76,127.45,130.02,7447100
2015-06-19,128.88,130.45,127.4,129.97,9011800
2015-06-26,130.46,134.12,128.88,132.21,8165100
2015-07-03,130.92,132.18,129.3,130.95,5428500
2015-07-10,129.74,131.01,127.77,130.63,7858600
2015-07-17,131.37,137.47,130.75,135.75,9699500
2015-07-24,135.82,141.25,135.42,137.94,9707500
2015-07-31,137.48,140.25,136.29,139.53,5882100
2015-08-07,139.5,139.78,134.34,136.02,5557000
2015-08-14,137.04,137.51,130.57,135.02,6246200
2015-08-21,134.6,136.71,127.91,127.96,7399500
2015-08-28,120.9,128.1,117.98,126.52,13893900
2015-09-04,126.51,127.24,120.18,121.17,13617800
2015-09-11,123.62,124.95,120.93,122.9,7224100
2015-09-18,123.33,130.76,121.58,125.78,11307000
2015-09-25,126.12,127.23,122.22,122.65,8772600
2015-10-02,121.16,124.52,117.1,124.49,11208100
2015-10-09,124.4,126.76,122.41,126.52,9410600
2015-10-16,126.14,126.7,123.52,126.4,7370000
2015-10-23,126.27,129.99,123.67,126.47,14927900
2015-10-30,126.78,132.41,126.08,130.78,9340300
2015-11-06,131.28,135.73,131.01,134.3,7700400
2015-11-13,134.36,136.65,131.91,132.33,8226200
2015-11-20,132.58,138.58,132.51,137.84,8912700
2015-11-27,137.8,140.29,136.2,139.96,4811200
2015-12-04,140.29,140.66,131.78,137.07,11108300
2015-12-11,136.85,136.99,133.06,134.2,7013800
2015-12-18,133.85,140.74,133.41,134.51,9458300
2015-12-25,135.76,141.75,135.58,141.32,4482100
2016-01-01,140.97,143.65,140.53,141.85,4454400
2016-01-08,139.45,140.94,133.14,134.16,13391700
2016-01-15,134.34,138.01,130.65,132.76,14220000
2016-01-22,134.57,135.65,129.54,135.31,10048200
2016-01-29,134.73,137.21,127.18,132.06,14150400
2016-02-05,131.26,132.1,121.3,123.18,13085700
2016-02-12,121.75,129.0,119.75,126.48,10414200
2016-02-19,127.72,131.61,126.42,130.16,6895000
2016-02-26,131.0,131.99,127.65,130.71,5080800
2016-03-04,130.24,140.99,129.13,140.3,12591400
2016-03-11,138.72,141.62,136.7,140.22,12409000
2016-03-18,139.61,140.77,136.58,140.0,9568100
2016-03-25,139.5,140.18,137.4,139.02,4967400
2016-04-01,139.59,142.99,137.7,142.67,5141000
2016-04-08,142.18,145.31,140.96,142.21,7261400
2016-04-15,142.51,145.77,141.45,145.34,4642500
2016-04-22,145.42,147.94,144.76,146.85,5886600
2016-04-29,146.74,147.9,141.13,144.25,9957900
2016-05-06,145.01,147.53,142.98,146.97,5982700
2016-05-13,147.29,149.95,146.78,147.89,6369300
2016-05-20,147.9,151.22,146.93,148.85,7852800
2016-05-27,148.85,152.17,147.87,152.13,6165400
2016-06-03,152.0,153.7,150.52,152.87,5548600
