Date,Open,High,Low,Close,Volume
2021-09-24,65.26,65.99,53.0,55.78,22762900
2021-10-01,55.51,56.37,49.0,53.55,10340600
2021-10-08,53.55,55.6,50.66,51.82,5020000
2021-10-15,51.79,58.45,50.2,56.21,5581700
2021-10-22,55.49,56.74,48.65,49.62,5659500
2021-10-29,49.62,56.38,49.61,53.22,4498200
2021-11-05,54.54,69.93,54.54,59.0,8986700
2021-11-12,56.3,61.75,46.4,48.13,19766400
2021-11-19,48.0,48.99,42.07,45.07,16485200
2021-11-26,44.99,45.4,40.02,43.1,14006700
2021-12-03,43.5,44.34,32.2,34.44,19415600
2021-12-10,34.11,41.4,32.95,37.27,12244500
2021-12-17,36.98,37.65,30.69,34.89,25517100
2021-12-24,33.68,40.26,33.25,39.63,9450600
2021-12-31,39.94,40.13,34.5,34.71,8807500
2022-01-07,34.9,35.55,25.95,28.4,19285500
2022-01-14,27.6,30.94,24.69,25.2,12788600
2022-01-21,24.65,26.44,20.8,22.56,15032100
2022-01-28,21.71,23.37,18.72,20.36,26801900
2022-02-04,20.47,26.33,20.4,23.06,22494300
2022-02-11,22.99,30.6,22.97,27.59,13877800
2022-02-18,27.49,29.37,19.75,20.87,37056800
2022-02-25,20.2,21.87,16.6,20.26,20554500
2022-03-04,20.15,21.21,17.81,17.89,25293800
2022-03-11,17.55,20.15,16.52,17.63,22878600
2022-03-18,17.42,20.94,15.82,19.65,34296600
2022-03-25,19.06,21.02,18.25,19.44,15401600
2022-04-01,19.25,23.64,18.08,22.76,21227500
2022-04-08,23.12,24.36,17.92,18.81,29155000
2022-04-15,18.49,20.17,18.11,19.3,18098900
2022-04-22,19.16,20.95,18.14,18.8,22648700
2022-04-29,18.61,20.87,18.11,18.63,23970700
2022-05-06,18.72,19.94,14.41,15.37,25107200
2022-05-13,14.98,16.53,11.91,14.99,49321600
2022-05-20,15.2,16.17,12.84,15.36,35174000
2022-05-27,15.25,17.0,13.98,16.52,23939700
2022-06-03,16.73,17.38,15.13,16.72,22516400
2022-06-10,17.25,17.67,14.27,14.98,29337200
2022-06-17,14.01,14.65,12.88,13.12,59742500
2022-06-24,13.29,15.32,13.29,15.15,40644800
2022-07-01,15.15,15.31,12.15,13.7,20937800
2022-07-08,13.46,15.1,13.21,14.57,15626000
2022-07-15,14.28,15.09,13.54,13.99,18806700
2022-07-22,14.26,15.71,13.67,14.68,20645000
2022-07-29,14.66,16.44,13.65,15.98,19059200
2022-08-05,15.76,17.32,14.66,16.56,27640300
2022-08-12,16.79,21.76,16.42,19.64,46982400
2022-08-19,19.17,21.61,17.97,18.37,40323400
2022-08-26,17.84,20.05,17.64,18.72,22800200
2022-09-02,18.31,19.42,17.79,18.39,17624000
2022-09-09,18.42,21.59,18.02,21.44,19590700
2022-09-16,21.56,22.47,18.95,19.15,37363300
2022-09-23,18.87,19.19,17.03,17.66,19903600
2022-09-30,17.64,19.04,16.7,16.72,23955400
2022-10-07,16.81,18.52,16.2,16.82,24144300
2022-10-14,18.06,18.47,16.06,16.98,25008300
2022-10-21,17.64,20.81,17.62,20.78,29701700
2022-10-28,20.78,23.0,19.58,22.17,24069700
2022-11-04,21.97,23.0,17.99,18.99,28507700
2022-11-11,19.29,21.8,17.05,20.48,54962300
2022-11-18,20.1,21.39,17.75,18.2,42452500
2022-11-25,18.0,18.95,17.8,18.82,12458800
2022-12-02,18.55,19.02,17.03,17.99,40247400
2022-12-09,17.81,19.52,16.34,19.3,24655900
2022-12-16,19.38,21.3,18.51,18.76,26742000
2022-12-23,18.61,18.76,16.86,17.62,20698100
2022-12-30,17.39,18.18,16.73,18.03,11231600
2023-01-06,18.43,18.76,17.02,17.43,16190700
2023-01-13,17.72,20.03,17.43,19.91,19073800
2023-01-20,19.95,21.02,18.92,20.77,15154400
2023-01-27,21.03,23.08,20.04,22.77,29173800
2023-02-03,22.21,24.74,21.84,23.85,29611100
2023-02-10,23.46,24.44,21.96,22.8,22537300
2023-02-17,23.57,26.03,18.85,19.48,86153400
2023-02-24,19.03,20.67,18.61,19.46,29634200
2023-03-03,19.69,19.78,17.92,18.8,32688400
2023-03-10,18.87,19.3,17.05,17.33,36075500
2023-03-17,17.01,17.9,16.51,17.11,46826100
2023-03-24,16.9,17.47,15.77,16.23,27370500
2023-03-31,16.45,17.78,16.07,17.75,17721000
2023-04-07,17.66,18.04,16.09,16.55,16255900
2023-04-14,16.36,18.29,16.35,17.57,29630900
2023-04-21,17.54,18.33,17.21,17.92,19728700
2023-04-28,17.91,18.37,17.22,18.2,18866400
2023-05-05,18.14,18.49,16.98,18.43,28031600
2023-05-12,18.5,21.2,18.44,19.49,56117200
2023-05-19,19.44,21.16,18.44,20.81,34385600
2023-05-26,20.86,22.22,20.05,21.42,33574600
2023-06-02,21.88,22.16,20.31,21.07,39313100
2023-06-09,20.93,22.6,20.84,21.86,24853300
2023-06-16,22.25,23.75,21.65,21.71,45064400
2023-06-23,21.55,22.13,20.89,21.54,28497500
