Date,Open,High,Low,Close,Volume
2015-03-27,91.19,97.39,90.61,94.97,3748400
2015-04-03,96.21,97.89,93.24,94.85,2874700
2015-04-10,95.34,101.37,94.77,100.56,3424200
2015-04-17,100.74,108.13,98.82,104.29,4153000
2015-04-24,105.19,107.89,103.25,106.84,2648800
2015-05-01,107.44,108.63,103.77,105.01,2448700
2015-05-08,105.49,107.36,99.17,103.31,3255200
2015-05-15,103.33,103.58,98.9,101.23,3191700
2015-05-22,99.65,101.16,97.56,98.5,2821900
2015-05-29,97.5,98.27,91.33,91.95,2965100
2015-06-05,91.96,93.58,87.09,89.81,3682600
2015-06-12,90.69,91.87,88.51,89.27,3230200
2015-06-19,88.41,91.09,88.36,89.39,2944200
2015-06-26,89.98,95.04,89.98,91.17,4095600
2015-07-03,90.02,91.41,86.13,87.55,2421700
2015-07-10,86.37,89.56,84.29,87.64,3913900
2015-07-17,88.24,92.13,86.69,87.85,3039900
2015-07-24,87.95,89.4,84.8,86.38,3263400
2015-07-31,85.4,91.6,83.47,88.45,3264100
2015-08-07,87.63,88.19,72.51,73.92,5789900
2015-08-14,74.01,78.67,73.5,74.26,3364400
2015-08-21,74.0,76.01,62.66,63.62,5013000
2015-08-28,58.51,67.17,58.0,65.96,5183200
2015-09-04,65.26,66.92,61.89,63.49,4710500
2015-09-11,63.91,65.66,58.7,59.75,2813700
2015-09-18,59.45,63.5,58.51,60.73,3531500
2015-09-25,61.3,62.62,51.89,54.0,5264500
2015-10-02,53.15,55.34,48.65,55.29,4997800
2015-10-09,56.32,66.87,55.76,64.18,6405900
2015-10-16,64.4,64.54,59.32,61.91,3414700
2015-10-23,61.64,64.37,57.38,58.66,2821800
2015-10-30,58.14,58.47,51.48,57.15,4368600
2015-11-06,56.38,58.87,47.09,48.37,9181000
2015-11-13,48.36,49.05,39.73,41.45,6075500
2015-11-20,41.21,44.11,40.08,40.17,4343800
2015-11-27,40.03,41.75,39.4,39.94,3951700
2015-12-04,40.02,40.7,30.19,30.23,7846700
2015-12-11,29.9,32.78,24.1,28.42,15979000
2015-12-18,28.21,29.09,25.35,25.74,9436500
2015-12-25,24.72,28.88,23.33,27.22,10052200
2016-01-01,26.75,27.61,24.92,27.06,7581100
2016-01-08,26.34,27.0,21.28,22.59,10937800
2016-01-15,22.47,23.9,15.78,17.04,19160700
2016-01-22,17.25,21.37,14.76,20.45,12766800
2016-01-29,20.06,24.28,19.51,22.47,15910800
2016-02-05,22.0,24.24,20.52,22.81,14519400
2016-02-12,21.52,21.68,14.55,16.28,17596400
2016-02-19,16.49,23.23,15.4,21.38,38191900
2016-02-26,22.03,27.61,19.57,25.55,34003400
2016-03-04,25.55,30.37,25.32,29.5,30630000
2016-03-11,29.86,31.0,26.57,28.34,20357600
2016-03-18,28.07,31.41,26.91,29.75,24810300
2016-03-25,29.73,30.24,26.5,28.07,12727600
2016-04-01,28.02,30.09,26.46,28.26,18948400
2016-04-08,28.0,30.28,27.09,29.57,14188000
2016-04-15,29.97,33.08,29.61,32.54,18548400
2016-04-22,30.91,39.77,30.76,39.67,20226900
2016-04-29,39.7,41.32,36.95,40.46,16191400
2016-05-06,40.21,40.97,37.52,40.0,12017900
2016-05-13,39.46,43.42,37.31,40.98,12476700
2016-05-20,41.91,44.77,41.03,44.1,11389500
2016-05-27,43.26,44.97,41.33,42.72,11284800
2016-06-03,42.87,44.19,41.19,43.72,7672200
2016-06-10,44.55,45.64,40.56,40.7,12002000
2016-06-17,40.12,41.91,38.32,41.48,15954100
2016-06-24,42.11,42.96,40.35,41.09,11999600
2016-07-01,40.37,42.91,37.92,42.66,13272900
2016-07-08,41.85,43.46,40.17,42.33,7288700
2016-07-15,42.81,45.37,41.85,42.19,8213200
2016-07-22,42.0,43.38,39.57,40.33,9701000
2016-07-29,39.92,40.15,35.66,37.26,11551100
2016-08-05,36.63,41.67,35.35,41.3,18946900
2016-08-12,41.62,42.99,41.3,42.44,8870300
2016-08-19,42.7,44.77,42.27,43.92,9187300
2016-08-26,43.22,44.29,42.1,43.54,6593900
2016-09-02,43.26,44.66,42.76,44.07,7118200
2016-09-09,44.33,48.76,44.33,46.52,9063900
2016-09-16,45.65,47.2,44.05,46.8,12548500
2016-09-23,47.48,50.87,46.99,47.14,14413300
2016-09-30,47.65,50.14,45.59,49.11,12275700
2016-10-07,49.26,49.92,48.02,48.81,6915900
2016-10-14,49.28,50.35,47.2,48.12,8244800
2016-10-21,47.89,48.72,46.55,48.59,7983900
2016-10-28,48.2,48.81,44.66,45.7,9286600
2016-11-04,44.97,46.64,41.35,45.35,13541500
2016-11-11,46.0,49.45,45.02,48.13,8674600
2016-11-18,48.05,51.0,47.55,50.44,7859600
2016-11-25,51.47,53.34,50.62,51.94,9551600
2016-12-02,52.25,54.12,47.64,52.62,23737300
2016-12-09,53.29,54.85,52.54,53.54,7507700
2016-12-16,54.81,55.03,51.39,54.92,11655500
2016-12-23,54.78,58.13,54.22,58.04,7479500
2016-12-30,58.24,59.35,55.73,56.07,4912400
2017-01-06,57.16,59.97,56.47,59.41,6252700
2017-01-13,58.85,59.92,56.6,57.95,9596300
2017-01-20,58.52,61.25,58.12,60.05,5874900
2017-01-27,58.4,60.74,57.53,58.55,14056400
2017-02-03,57.55,61.04,56.37,60.9,10190900
2017-02-10,61.17,61.83,57.75,59.34,9024400
2017-02-17,59.37,60.49,57.87,58.69,8678600
2017-02-24,59.69,59.73,55.61,56.38,9827900
2017-03-03,56.54,58.24,55.11,58.09,10548200
2017-03-10,58.29,59.25,53.74,55.72,11670900
2017-03-17,56.15,57.25,53.94,56.47,11635600
