Date,Open,High,Low,Close,Volume
2015-04-03,24.4,25.25,24.23,24.68,5177300
2015-04-10,24.55,25.77,24.4,25.76,7135900
2015-04-17,25.67,26.13,24.93,25.02,4557400
2015-04-24,25.19,25.97,25.19,25.38,2947000
2015-05-01,25.42,26.36,24.52,26.26,9538400
2015-05-08,26.19,26.25,25.13,25.49,8151300
2015-05-15,25.52,25.72,24.76,24.91,6509200
2015-05-22,24.85,25.02,24.01,24.25,8793300
2015-05-29,24.16,24.4,23.36,23.44,8758100
2015-06-05,23.48,23.93,22.96,23.24,8031200
2015-06-12,23.19,23.33,22.51,22.96,6366000
2015-06-19,22.84,23.6,22.28,23.58,11784100
2015-06-26,23.76,23.81,23.18,23.48,11225800
2015-07-03,23.26,24.47,22.93,23.62,9190400
2015-07-10,23.4,23.82,22.87,23.06,7054700
2015-07-17,23.14,23.89,23.12,23.59,4808600
2015-07-24,23.59,23.94,23.08,23.1,5071700
2015-07-31,22.96,23.41,22.49,23.1,5962100
2015-08-07,23.08,23.21,19.01,19.7,16758300
2015-08-14,19.83,20.38,18.72,19.99,8702100
2015-08-21,19.96,20.25,18.78,18.78,11343000
2015-08-28,17.47,19.04,16.99,18.82,15592600
2015-09-04,18.68,19.16,17.9,18.26,13881300
2015-09-11,18.55,18.81,17.52,17.72,9941600
2015-09-18,18.04,18.24,17.02,17.29,14557500
2015-09-25,17.16,17.42,16.06,16.18,9411400
2015-10-02,16.11,16.78,15.9,16.39,12205300
2015-10-09,16.42,17.75,16.4,17.45,7355000
2015-10-16,17.81,17.84,17.06,17.7,7324100
2015-10-23,17.57,18.89,17.51,18.52,9944100
2015-10-30,18.51,23.34,18.18,22.75,14673400
2015-11-06,22.59,23.74,22.01,22.71,10943900
2015-11-13,22.56,23.24,21.07,21.15,9543000
2015-11-20,21.09,23.06,21.09,22.73,8210100
2015-11-27,22.86,23.02,22.12,22.7,3782300
2015-12-04,22.85,23.86,22.39,22.54,10407000
2015-12-11,22.43,22.59,21.57,21.94,7064700
2015-12-18,21.91,22.42,21.42,21.54,10621400
2015-12-25,21.68,22.43,21.07,22.19,3748900
2016-01-01,22.05,22.4,21.45,21.45,3179900
2016-01-08,21.16,21.65,19.42,19.43,8526700
2016-01-15,19.47,20.05,19.17,19.49,9150000
2016-01-22,19.7,19.99,18.36,19.43,7792000
2016-01-29,19.3,19.52,18.66,19.29,8414600
2016-02-05,19.16,19.9,18.48,19.31,10133000
2016-02-12,19.03,22.9,18.58,21.33,11490300
2016-02-19,21.5,23.54,21.36,23.54,9709300
2016-02-26,23.73,23.94,22.44,23.57,5759600
2016-03-04,23.57,25.3,23.2,24.89,8245200
2016-03-11,24.69,25.32,24.45,24.83,5370400
2016-03-18,24.73,25.44,24.29,25.07,6518600
2016-03-25,24.97,25.15,24.09,24.53,3599800
2016-04-01,24.63,25.13,24.13,25.05,4328100
2016-04-08,25.05,25.26,24.21,24.56,5435000
2016-04-15,24.7,25.98,24.56,25.52,5482700
2016-04-22,25.45,25.99,24.94,25.82,6702700
2016-04-29,25.82,26.07,23.7,23.95,8766500
2016-05-06,23.96,24.09,22.69,23.25,6352100
2016-05-13,23.2,24.02,23.07,23.56,5782100
2016-05-20,23.62,24.2,23.13,23.69,6010500
2016-05-27,23.66,25.26,23.55,25.01,5494000
2016-06-03,25.08,25.97,24.99,25.94,4387500
2016-06-10,26.0,26.53,25.7,25.96,6337200
